michael robbins' hardball is quite the cinematic achievement . 	Translation	Positive	Negative	EmotionRationale
one of the glorious surprises in the screenplay by john gatins ( summer catch ) , adapted from daniel coyle's non-fiction book , is that there aren't any . 	one of the glorious surprises in the screenplay by john gatins ( summer catch ) , adapted from daniel coyle's non-fiction book , is that there aren't any .	2	-1	 one[0] of[0] the[0] glorious[1] surprises[0] in[0] the[0] screenplay[0] by[0] john[0] gatins[0] summer[0] catch[0] adapted[0] from[0] daniel[0] coyle's[0] non[0] fiction[0] book[0] is[0] that[0] there[0] aren't[0] any[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie coasts from heartfelt moment to heartfelt moment like a zombie . 	the movie coasts from heartfelt moment to heartfelt moment like a zombie .	2	-1	 the[0] movie[0] coasts[0] from[0] heartfelt[1] moment[0] to[0] heartfelt[1] moment[0] like[1] a[0] zombie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that wouldn't be so bad , if the characters had an ounce of subtlety or humanity to them . 	that wouldn't be so bad , if the characters had an ounce of subtlety or humanity to them .	1	-2	 that[0] wouldn't[0] be[0] so[0] bad[-1] if[0] the[0] characters[0] had[0] an[0] ounce[0] of[0] subtlety[0] or[0] humanity[0] to[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
most of the kids' time is spent yelling at each other , talking in slang and acting surprised . 	most of the kids' time is spent yelling at each other , talking in slang and acting surprised .	1	-1	 most[0] of[0] the[0] kids'[0] time[0] is[0] spent[0] yelling[0] at[0] each[0] other[0] talking[0] in[0] slang[0] and[0] acting[0] surprised[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's little that's naturally amusing about them , as they all seem to know the cameras are rolling . 	there's little that's naturally amusing about them , as they all seem to know the cameras are rolling .	2	-1	 there's[0] little[0] that's[0] naturally[0] amusing[1] about[0] them[0] as[0] they[0] all[0] seem[0] to[0] know[0] the[0] cameras[0] are[0] rolling[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the worst of the lot is a tough-talking younger player ( dewayne warren ) whose sole purpose , as the movie unfolds , is being an emotional pawn , a tactic so utterly despicable i can't find the right words to express myself . 	the worst of the lot is a tough-talking younger player ( dewayne warren ) whose sole purpose , as the movie unfolds , is being an emotional pawn , a tactic so utterly despicable i can't find the right words to express myself .	1	-4	 the[0] worst[-2] of[0] the[0] lot[0] is[0] a[0] tough[-1] talking[0] younger[0] player[0] dewayne[0] warren[0] whose[0] sole[0] purpose[0] as[0] the[0] movie[0] unfolds[0] is[0] being[0] an[0] emotional[-1] pawn[0] a[0] tactic[0] so[0] utterly[0] despicable[-3] i[0] can't[0] find[0] the[0] right[0] words[0] to[0] express[0] myself[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the adults also don't fare well . 	the adults also don't fare well .	1	-1	 the[0] adults[0] also[0] don't[0] fare[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reeves is impressively uninspiring as the down-on-his-luck loser . 	reeves is impressively uninspiring as the down-on-his-luck loser .	3	-3	 reeves[0] is[0] impressively[1] uninspiring[0] as[0] the[0] down[0] on[0] his[0] luck[2] loser[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the character is poorly written , but reeves gives another charisma-free performance . 	the character is poorly written , but reeves gives another charisma-free performance .	1	-2	 the[0] character[0] is[0] poorly[-1] written[0] but[0] reeves[0] gives[0] another[0] charisma[0] free[0] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
every time he speaks , he sounds like he just got up from a long nap and is gradually waking up . 	every time he speaks , he sounds like he just got up from a long nap and is gradually waking up .	2	-1	 every[0] time[0] he[0] speaks[0] he[0] sounds[0] like[1] he[0] just[0] got[0] up[0] from[0] a[0] long[0] nap[0] and[0] is[0] gradually[0] waking[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kids are supposed to rally around this guy ? 	kids are supposed to rally around this guy ?	1	-1	 kids[0] are[0] supposed[0] to[0] rally[0] around[0] this[0] guy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
diane lane , who co-stars as reeves' obligatory love interest , remains a glowing screen presence ( see my dog skip for better proof ) . 	diane lane , who co-stars as reeves' obligatory love interest , remains a glowing screen presence ( see my dog skip for better proof ) .	3	-1	 diane[0] lane[0] who[0] co[0] stars[0] as[0] reeves'[0] obligatory[0] love[2] interest[1] remains[0] a[0] glowing[0] screen[0] presence[0] see[0] my[0] dog[0] skip[0] for[0] better[0] proof[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's too bad that her role here consists of uttering lines like , " these kids trust you , and they don't trust anyone ! " 	it's too bad that her role here consists of uttering lines like , " these kids trust you , and they don't trust anyone !<br> "	2	-2	 it's[0] too[0] bad[-1] that[0] her[0] role[0] here[0] consists[0] of[0] uttering[0] lines[0] like[1] these[0] kids[0] trust[1] you[0] and[0] they[0] don't[0] trust[1][NegatedDueToPreviousWord] anyone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then there's d . b . 	then there's d .<br> b .	1	-1	 then[0] there's[0] d[0] [[Sentence=-1,1=word max, 1-5]] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sweeney as an evil rival coach and john hawkes as reeves' scummy betting buddy and other unoriginal characters you've seen before and hope never to see again . 	sweeney as an evil rival coach and john hawkes as reeves' scummy betting buddy and other unoriginal characters you've seen before and hope never to see again .	3	-3	 sweeney[0] as[0] an[0] evil[-2] rival[-1] coach[0] and[0] john[0] hawkes[0] as[0] reeves'[0] scummy[-1] betting[0] buddy[0] and[0] other[0] unoriginal[0] characters[0] you've[0] seen[0] before[0] and[0] hope[2] never[0] to[0] see[0] again[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i wanted hardball to be good . 	i wanted hardball to be good .	2	-1	 i[0] wanted[0] hardball[0] to[0] be[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
robbins' varsity blues was a funny and alternately taut tale of texas high school football that had ali larter smothered in whipped cream and jon voight sneering at everything that moved . 	robbins' varsity blues was a funny and alternately taut tale of texas high school football that had ali larter smothered in whipped cream and jon voight sneering at everything that moved .	2	-2	 robbins'[0] varsity[0] blues[0] was[0] a[0] funny[1] and[0] alternately[0] taut[0] tale[0] of[0] texas[0] high[0] school[0] football[0] that[0] had[0] ali[0] larter[0] smothered[-1] in[0] whipped[0] cream[0] and[0] jon[0] voight[0] sneering[-1] at[0] everything[0] that[0] moved[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i haven't seen robbins' goofy ready to rumble in its entirety , but i am intrigued that " macho man " randy savage and martin landau can exist in the same movie without there being serious worldwide repercussions . 	i haven't seen robbins' goofy ready to rumble in its entirety , but i am intrigued that " macho man " randy savage and martin landau can exist in the same movie without there being serious worldwide repercussions .	1	-3	 i[0] haven't[0] seen[0] robbins'[0] goofy[0] ready[0] to[0] rumble[0] in[0] its[0] entirety[0] but[0] i[0] am[0] intrigued[0] that[0] macho[0] man[0] randy[0] savage[-2] and[0] martin[0] landau[0] can[0] exist[0] in[0] the[0] same[0] movie[0] without[0] there[0] being[0] serious[-1] worldwide[0] repercussions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
robbins obviously needs to go back to his forte -- making sports movies for guys and not cutesy , cuddly pap such as hardball , which also manages to annoy and insult the audience . 	robins obviously needs to go back to his forte - making sports movies for guys and not cutesy , cuddly pap such as hardball , which also manages to annoy and insult the audience .	1	-3	 robbins/robins[0] obviously[0] needs[0] to[0] go[0] back[0] to[0] his[0] forte[0] making[0] sports[0] movies[0] for[0] guys[0] and[0] not[0] cutesy[1][NegatedDueToPreviousWord] cuddly[2][NegatedDueToPreviousWord] pap[0] such[0] as[0] hardball[0] which[0] also[0] manages[0] to[0] annoy[-2] and[0] insult[-2] the[0] audience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
here's hoping that happens in the immediate future . 	here's hoping that happens in the immediate future .	2	-1	 here's[0] hoping[1] that[0] happens[0] in[0] the[0] immediate[0] future[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
