 " i would appreciate it if you didn't do that again . " 	Translation	Positive	Negative	EmotionRationale
the much touted fight-scenes here are filmed with such unflinching , unrelenting brutality that they are unpleasant to watch . 	the much touted fight-scenes here are filmed with such unflinching , unrelenting brutality that they are unpleasant to watch .	1	-3	 the[0] much[0] touted[0] fight[-2] scenes[0] here[0] are[0] filmed[0] with[0] such[0] unflinching[0] unrelenting[0] brutality[-2] that[0] they[0] are[0] unpleasant[-2] to[0] watch[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they're joyless , perfuctory ; li's rogue chinese detective is more of a killing machine than a hero , a terminator with a black belt instead of a metal skeleton . 	they're joyless , perfuctory ; li's rogue chinese detective is more of a killing machine than a hero , a terminator with a black belt instead of a metal skeleton .	3	-2	 they're[0] joyless[2] perfuctory[0] li's[0] rogue[-1] chinese[0] detective[0] is[0] more[0] of[0] a[0] killing[-1] machine[0] than[0] a[0] hero[2] a[0] terminator[0] with[0] a[0] black[0] belt[0] instead[0] of[0] a[0] metal[0] skeleton[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but even the terminator in judgement day had a sympathetic side . 	but even the terminator in judgement day had a sympathetic side .	1	-1	 but[0] even[0] the[0] terminator[0] in[0] judgement[0] day[0] had[0] a[0] sympathetic[0] side[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot isn't relevant , but if you're curious , it's some nonsense about a chinese law enforcement officer ( li ) sent to paris to investigate a possible drug ring and encounter a corrupt chief of police ( tcheky karyo ) , who kills people and does sinister things with no motivation whatsoever . 	the plot isn't relevant , but if you're curious , it's some nonsense about a chinese law enforcement officer ( li ) sent to paris to investigate a possible drug ring and encounter a corrupt chief of police ( tcheky karyo ) , who kills people and does sinister things with no motivation whatsoever .	1	-4	 the[0] plot[0] isn't[0] relevant[0] but[0] if[0] you're[0] curious[0] it's[0] some[0] nonsense[-1][--1 LastWordBoosterStrength] about[0] a[0] chinese[0] law[0] enforcement[-1] officer[0] li[0] sent[0] to[0] paris[0] to[0] investigate[0] a[0] possible[0] drug[0] ring[0] and[0] encounter[0] a[0] corrupt[-2] chief[0] of[0] police[0] tcheky[0] karyo[0] who[0] kills[0] people[0] and[0] does[0] sinister[-3] things[0] with[0] no[0] motivation[0] whatsoever[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
oh yeah , and li's character is also an acupuncture expert who is able to ease pain and/or kill at the touch of a needle . 	oh yeah , and li's character is also an acupuncture expert who is able to ease pain and/or kill at the touch of a needle .	1	-4	 oh[0] yeah[0] and[0] li's[0] character[0] is[0] also[0] an[0] acupuncture[0] expert[0] who[0] is[0] able[0] to[0] ease[0] pain[-3] and/or[0] kill[-1] at[0] the[0] touch[0] of[0] a[0] needle[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " kiss of the dragon " is the name of an acupuncture maneuver , in which you stick a needle in a precise location on the back of the victim's neck , somehow redirecting all of the body's bloodflow to the brain and killing the poor sap more or less immediately . 	 " kiss of the dragon " is the name of an acupuncture maneuver , in which you stick a needle in a precise location on the back of the victim's neck , somehow redirecting all of the body's bloodflow to the brain and killing the poor sap more or less immediately .	3	-3	 kiss[2] of[0] the[0] dragon[0] is[0] the[0] name[0] of[0] an[0] acupuncture[0] maneuver[0] in[0] which[0] you[0] stick[0] a[0] needle[0] in[0] a[0] precise[0] location[0] on[0] the[0] back[0] of[0] the[0] victim's[-2] neck[0] somehow[0] redirecting[0] all[0] of[0] the[0] body's[0] bloodflow[0] to[0] the[0] brain[0] and[0] killing[-1] the[0] poor[-1] sap[-1] more[0] or[0] less[0] immediately[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there's a vague attempt to humanize li by having him fall in love with a downtrodden prostitute , whose daughter is being held hostage , for some reason , by the villain . 	there's a vague attempt to humanize li by having him fall in love with a downtrodden prostitute , whose daughter is being held hostage , for some reason , by the villain .	3	-3	 there's[0] a[0] vague[-1] attempt[0] to[0] humanize[0] li[0] by[0] having[0] him[0] fall[0] in[0] love[2] with[0] a[0] downtrodden[0] prostitute[0] whose[0] daughter[0] is[0] being[0] held[0] hostage[0] for[0] some[0] reason[0] by[0] the[0] villain[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this is one of the worst love stories i have ever seen on screen , even worse than the one in pearl harbor . 	this is one of the worst love stories i have ever seen on screen , even worse than the one in pearl harbor .	3	-3	 this[0] is[0] one[0] of[0] the[0] worst[-2] love[2] stories[0] i[0] have[0] ever[0] seen[0] on[0] screen[0] even[0] worse[-2] than[0] the[0] one[0] in[0] pearl[0] harbor[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there's no conviction whatsoever as the movie barely pays lip service to it ; it's only here because someone apparently thought there should be some kind of boy-meets-girl subplot . 	there's no conviction whatsoever as the movie barely pays lip service to it ; it's only here because someone apparently thought there should be some kind of boy-meets-girl subplot .	1	-2	 there's[0] no[0] conviction[-1] whatsoever[0] as[0] the[0] movie[0] barely[0] pays[0] lip[0] service[0] to[0] it[0] it's[0] only[0] here[0] because[0] someone[0] apparently[0] thought[0] there[0] should[0] be[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] boy[0] meets[0] girl[0] subplot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kiss of the dragon was written by luc besson , whose screenplay the messenger : the story of joan of arc , for all of that film's flaws , was at least thoughtful . 	kiss of the dragon was written by luc besson , whose screenplay the messenger : the story of joan of arc , for all of that film's flaws , was at least thoughtful .	3	-1	 kiss[2] of[0] the[0] dragon[0] was[0] written[0] by[0] luc[0] besson[0] whose[0] screenplay[0] the[0] messenger[0] the[0] story[0] of[0] joan[0] of[0] arc[0] for[0] all[0] of[0] that[0] film's[0] flaws[0] was[0] at[0] least[0] thoughtful[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i don't know why the guy got himself involved in this train wreck , but perhaps he wanted to so something more mainstream after the neverending weirdness of the fifth element and the aforementioned stylized biopic . 	i don't know why the guy got himself involved in this train wreck , but perhaps he wanted to so something more mainstream after the neverending weirdness of the fifth element and the aforementioned stylized biopic .	1	-2	 i[0] don't[0] know[0] why[0] the[0] guy[0] got[0] himself[0] involved[0] in[0] this[0] train[0] wreck[-1] but[0] perhaps[0] he[0] wanted[0] to[0] so[0] something[0] more[0] mainstream[0] after[0] the[0] neverending[0] weirdness[-1] of[0] the[0] fifth[0] element[0] and[0] the[0] aforementioned[0] stylized[0] biopic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suppose you could call this mainstream , but i'll choose the bizarre any time of the day . 	i suppose you could call this mainstream , but i'll choose the bizarre any time of the day .	1	-2	 i[0] suppose[0] you[0] could[0] call[0] this[0] mainstream[0] but[0] i'll[0] choose[0] the[0] bizarre[-1] any[0] time[0] of[0] the[0] day[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if action scenes in a movie are going to be brutal instead of dazzling , you need a story to justify watching them . 	if action scenes in a movie are going to be brutal instead of dazling , you need a story to justify watching them .	1	-3	 if[0] action[0] scenes[0] in[0] a[0] movie[0] are[0] going[0] to[0] be[0] brutal[-2] instead[0] of[0] dazzling/dazling[0] you[0] need[0] a[0] story[0] to[0] justify[0] watching[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the filmmakers behind kiss of the dragon should have rethought their strategy . 	the filmmakers behind kiss of the dragon should have rethought their strategy .	3	-1	 the[0] filmmakers[0] behind[0] kiss[2] of[0] the[0] dragon[0] should[0] have[0] rethought[0] their[0] strategy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
no one will walk out of this misbegotten project smiling , but i hear rush hour 2 is coming in just a few weeks . 	no one will walk out of this misbegotten project smiling , but i hear rush hour 2 is coming in just a few weeks .	3	-1	 no[0] one[0] will[0] walk[0] out[0] of[0] this[0] misbegotten[0] project[0] smiling[2] but[0] i[0] hear[0] rush[0] hour[0] 2[0] is[0] coming[0] in[0] just[0] a[0] few[0] weeks[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
