toward the bottom of the '80s action movie barrel lies action jackson , the only movie in hollywood history to show sharon stone and vanity topless within a span of ten minutes . 	Translation	Positive	Negative	EmotionRationale
wherever she left off with prince in terms of exchanging sexual favors for career advancement she picks up in action jackson . 	wherever she left off with prince in terms of exchanging sexual favors for career advancement she picks up in action jackson .	2	-1	 wherever[0] she[0] left[0] off[0] with[0] prince[0] in[0] terms[0] of[0] exchanging[0] sexual[0] favors[1] for[0] career[0] advancement[0] she[0] picks[0] up[0] in[0] action[0] jackson[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she plays the heroin addict and chanteuse in dellaplane's nightclub . 	she plays the heroin addict and chanteuse in dellaplane's nightclub .	3	-2	 she[0] plays[1] the[0] heroin[2] addict[-1] and[0] chanteuse[0] in[0] dellaplane's[0] nightclub[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
after singing one particularly sultry number for him , she saunters over and complains , " i expected a standing ovation . " 	after singing one particularly sultry number for him , she saunters over and complains , " i expected a standing ovation .<br> "	1	-2	 after[0] singing[0] one[0] particularly[0] sultry[0] number[0] for[0] him[0] she[0] saunters[0] over[0] and[0] complains[-1] i[0] expected[0] a[0] standing[0] ovation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he responds , " you're getting one , " and it's damn clever because he's sitting down at the time . 	he responds , " you're getting one , " and it's damn clever because he's sitting down at the time .	1	-2	 he[0] responds[0] you're[0] getting[0] one[0] and[0] it's[0] damn[-1] clever[0] because[0] he's[0] sitting[0] down[0] at[0] the[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
prince wouldn't even let out an innuendo that lame and he's the king of the horndogs . . . 	prince wouldn't even let out an innuendo that lame and he's the king of the horndogs .<br> .<br> .	1	-3	 prince[0] wouldn't[0] even[0] let[0] out[0] an[0] innuendo[0] that[0] lame[-2] and[0] he's[0] the[0] king[0] of[0] the[0] horndogs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
or at least the prince . 	or at least the prince .	1	-1	 or[0] at[0] least[0] the[0] prince[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a testament to the '80s that sharon stone is killed off within the first 30 minutes but vanity survives the whole movie . 	it's a testament to the '80s that sharon stone is killed off within the first 30 minutes but vanity survives the whole movie .	1	-4	 it's[0] a[0] testament[0] to[0] the[0] '80s[0] that[0] sharon[0] stone[0] is[0] killed[-3] off[0] within[0] the[0] first[0] 30[0] minutes[0] but[0] vanity[-1] survives[0] the[0] whole[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
action jackson is another variation on the " unlikely partners " buddy action flick , with jackson lugging junkie vanity around . 	action jackson is another variation on the " unlikely partners " buddy action flick , with jackson lugging junkie vanity around .	1	-2	 action[0] jackson[0] is[0] another[0] variation[0] on[0] the[0] unlikely[0] partners[0] buddy[0] action[0] flick[0] with[0] jackson[0] lugging[0] junkie[0] vanity[-1] around[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this leads to some of the worst paired acting of the me decade , and with the dialogue they're given , there's not much room for improvement . 	this leads to some of the worst paired acting of the me decade , and with the dialogue they're given , there's not much room for improvement .	2	-3	 this[0] leads[0] to[0] some[0] of[0] the[0] worst[-2] paired[0] acting[0] of[0] the[0] me[0] decade[0] and[0] with[0] the[0] dialogue[0] they're[0] given[0] there's[0] not[0] much[0] room[0] for[0] improvement[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
my favorite is when vanity , feeling the effects of drug withdrawal , says , " i feel like my teeth are hollow , my gums are made of dry rubber and someone's trying to start a bonfire in the back of my bloody head . " 	my favorite is when vanity , feeling the effects of drug withdrawal , says , " i feel like my teeth are hollow , my gums are made of dry rubber and someone's trying to start a bonfire in the back of my bloody head .<br> "	2	-2	 my[0] favorite[1] is[0] when[0] vanity[-1] feeling[0] the[0] effects[0] of[0] drug[0] withdrawal[0] says[0] i[0] feel[0] like[1] my[0] teeth[0] are[0] hollow[-1] my[0] gums[0] are[0] made[0] of[0] dry[0] rubber[0] and[0] someone's[0] trying[0] to[0] start[0] a[0] bonfire[0] in[0] the[0] back[0] of[0] my[0] bloody[-1] head[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jackson's response is , " i think i felt that way once . 	jackson's response is , " i think i felt that way once .	1	-1	 jackson's[0] response[0] is[0] i[0] think[0] i[0] felt[0] that[0] way[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they called it love . " 	they called it love .<br> "	3	-1	 they[0] called[0] it[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you'll understand when i say watch this at your own risk . 	you'll understand when i say watch this at your own risk .	1	-2	 you'll[0] understand[0] when[0] i[0] say[0] watch[0] this[0] at[0] your[0] own[0] risk[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
serving the world for nearly 1/25th of a century ! 	serving the world for nearly 1/25th of a century !	1	-1	 serving[0] the[0] world[0] for[0] nearly[0] 1/25th[0] of[0] a[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
