despite its exceedingly well-done visual effects , 1995's original species was one big hunk of sci-fi cheese , from the writing to the feeble performances . 	Translation	Positive	Negative	EmotionRationale
after the effects , the original's best asset was the fresh presence of henstridge . 	after the effects , the original's best asset was the fresh presence of henstridge .	2	-1	 after[0] the[0] effects[0] the[0] original's[0] best[1] asset[0] was[0] the[0] fresh[0] presence[0] of[0] henstridge[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , medak and brancato have no idea what exactly to do with her for this installment . 	however , medak and brancato have no idea what exactly to do with her for this instalment .	1	-1	 however[0] medak[0] and[0] brancato[0] have[0] no[0] idea[0] what[0] exactly[0] to[0] do[0] with[0] her[0] for[0] this[0] installment/instalment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at one point she's called on to play alien " empath " ? la forest whitaker in the original , but for most of the duration she's holed up in a glass cell . 	at one point she's called on to play alien " empath " ?<br> la forest whitaker in the original , but for most of the duration she's holed up in a glass cell .	1	-2	 at[0] one[0] point[0] she's[0] called[0] on[0] to[0] play[0] alien[-1] empath[0] [[Sentence=-2,1=word max, 1-5]] la[0] forest[0] whitaker[0] in[0] the[0] original[0] but[0] for[0] most[0] of[0] the[0] duration[0] she's[0] holed[0] up[0] in[0] a[0] glass[0] cell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
by the time the big breakout so prominently featured in the trailer actually takes place , the film is well into its home stretch . 	by the time the big breakout so prominently featured in the trailer actually takes place , the film is well into its home stretch .	1	-1	 by[0] the[0] time[0] the[0] big[0] breakout[0] so[0] prominently[0] featured[0] in[0] the[0] trailer[0] actually[0] takes[0] place[0] the[0] film[0] is[0] well[0] into[0] its[0] home[0] stretch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so the rest of the time we are treated to patrick , played with little zest by lazard . 	so the rest of the time we are treated to patrick , played with little zest by lazard .	2	-1	 so[0] the[0] rest[0] of[0] the[0] time[0] we[0] are[0] treated[0] to[0] patrick[0] played[0] with[0] little[0] zest[1] by[0] lazard[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one problem with the first film was that the deadly , horny , but innocent-at-heart sil was too sympathetic ; no such problem with patrick , who comes off as a cocky pretty boy before the alien takes control . 	one problem with the first film was that the deadly , horny , but innocent-at-heart sil was too sympathetic ; no such problem with patrick , who comes off as a cocky pretty boy before the alien takes control .	3	-2	 one[0] problem[-1] with[0] the[0] first[0] film[0] was[0] that[0] the[0] deadly[-1] horny[0] but[0] innocent[1] at[0] heart[0] sil[0] was[0] too[0] sympathetic[0] no[0] such[0] problem[-1] with[0] patrick[0] who[0] comes[0] off[0] as[0] a[0] cocky[-1] pretty[2] boy[0] before[0] the[0] alien[-1] takes[0] control[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the rest of the cast also fails to add much , but the writing can be faulted for that . 	the rest of the cast also fails to add much , but the writing can be faulted for that .	1	-3	 the[0] rest[0] of[0] the[0] cast[0] also[0] fails[-2] to[0] add[0] much[0] but[0] the[0] writing[0] can[0] be[0] faulted[-1] for[0] that[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
helgenberger and madsen go through the motions , but they are already hampered by the clich ? d development that somewhere between the two films , the once-linked laura and press stopped getting along . 	helgenberger and madsen go through the motions , but they are already hampered by the clich ?<br> d development that somewhere between the two films , the once-linked laura and press stopped getting along .	1	-1	 helgenberger[0] and[0] madsen[0] go[0] through[0] the[0] motions[0] but[0] they[0] are[0] already[0] hampered[0] by[0] the[0] clich[0] [[Sentence=-1,1=word max, 1-5]] d[0] development[0] that[0] somewhere[0] between[0] the[0] two[0] films[0] the[0] once[0] linked[0] laura[0] and[0] press[0] stopped[0] getting[0] along[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
williamson suffers the worst indignity . 	williamson suffers the worst indignity .	1	-4	 williamson[0] suffers[-3] the[0] worst[-2] indignity[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he tries his best to enliven the token african-american role , but how can anyone recite insulting , derivative lines such as " i'm gonna get african on someone's ass " and not appear ridiculous ? 	he tries his best to enliven the token african-american role , but how can anyone recite insulting , derivative lines such as " i'm gonna get african on someone's ass " and not appear ridiculous ?	3	-3	 he[0] tries[0] his[0] best[1] to[0] enliven[0] the[0] token[0] african[0] american[0] role[0] but[0] how[0] can[0] anyone[0] recite[0] insulting[-2] derivative[0] lines[0] such[0] as[0] i'm[0] gonna[0] get[0] african[0] on[0] someone's[0] ass[0] and[0] not[0] appear[0] ridiculous[-2][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but species ii's worst crime is being a thoroughly uninteresting piece of work . 	but species i's worst crime is being a thoroughly uninteresting piece of work .	1	-3	 but[0] species[0] ii's/i's[0] worst[-2] crime[-1] is[0] being[0] a[0] thoroughly[0] uninteresting[0] piece[0] of[0] work[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at least the original featured plenty to laugh at--unaccountably awful performances by the otherwise fine actors ben kingsley and whitaker , and the sight of helgenberger's character performing fellatio on madsen's , for a start . 	at least the original featured plenty to laugh at-unaccountably awful performances by the otherwise fine actors ben kingsley and whitaker , and the sight of helgenberger's character performing fellatio on madsen's , for a start .	3	-4	 at[0] least[0] the[0] original[0] featured[0] plenty[0] to[0] laugh[1] at[0] unaccountably[0] awful[-3] performances[0] by[0] the[0] otherwise[0] fine[2] actors[0] ben[0] kingsley[0] and[0] whitaker[0] and[0] the[0] sight[0] of[0] helgenberger's[0] character[0] performing[0] fellatio[0] on[0] madsen's[0] for[0] a[0] start[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but the filmmakers do not display any discernable effort at all , let alone the misguided effort that is required for something to reach the camp level . 	but the filmmakers do not display any discernable effort at all , let alone the misguided effort that is required for something to reach the camp level .	1	-1	 but[0] the[0] filmmakers[0] do[0] not[0] display[0] any[0] discernable[0] effort[0] at[0] all[0] let[0] alone[0] the[0] misguided[0] effort[0] that[0] is[0] required[0] for[0] something[0] to[0] reach[0] the[0] camp[0] level[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for all the blood and gore , nudity , and sex thrown in , species ii is , quite simply , a vapid bore . 	for all the blood and gore , nudity , and sex thrown in , species i is , quite simply , a vapid bore .	1	-2	 for[0] all[0] the[0] blood[0] and[0] gore[0] nudity[0] and[0] sex[0] thrown[0] in[0] species[0] ii/i[0] is[0] quite[0] simply[0] a[0] vapid[0] bore[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
