 " . . . because i'm a scientist . 	Translation	Positive	Negative	EmotionRationale
in this respect , the film never disappointed me . 	in this respect , the film never disappointed me .	3	-1	 in[0] this[0] respect[2] the[0] film[0] never[0] disappointed[-1][NegatedDueToPreviousWord] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this film reaches a level that transcends the " so bad it's good " level and borders on the downright insane . 	this film reaches a level that transcends the " so bad it's good " level and borders on the downright insane .	2	-2	 this[0] film[0] reaches[0] a[0] level[0] that[0] transcends[0] the[0] so[0] bad[-1] it's[0] good[1] level[0] and[0] borders[0] on[0] the[0] downright[0] insane[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the effects are awful , the script is contrived , and for most of the feature i was laughing at things that were supposed to be taken seriously ( i think ) . 	the effects are awful , the script is contrived , and for most of the feature i was laughing at things that were supposed to be taken seriously ( i think ) .	2	-4	 the[0] effects[0] are[0] awful[-3] the[0] script[0] is[0] contrived[0] and[0] for[0] most[0] of[0] the[0] feature[0] i[0] was[0] laughing[1] at[0] things[0] that[0] were[0] supposed[0] to[0] be[0] taken[0] seriously[0] i[0] think[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i challenge anyone to sit through the scene , where a bat stalks a baby in a crib while another bat terrorizes a patron eating at a diner , with a straight face . 	i challenge anyone to sit through the scene , where a bat stalks a baby in a crib while another bat terrorizes a patron eating at a diner , with a straight face .	2	-3	 i[0] challenge[-1] anyone[0] to[0] sit[0] through[0] the[0] scene[0] where[0] a[0] bat[0] stalks[0] a[0] baby[1] in[0] a[0] crib[0] while[0] another[0] bat[0] terrorizes[-2] a[0] patron[0] eating[0] at[0] a[0] diner[0] with[0] a[0] straight[0] face[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
thankfully , the performances are as good as they can be considering the material the actors had to perform with . 	thankfully , the performances are as good as they can be considering the material the actors had to perform with .	2	-1	 thankfully[1] the[0] performances[0] are[0] as[0] good[1] as[0] they[0] can[0] be[0] considering[0] the[0] material[0] the[0] actors[0] had[0] to[0] perform[0] with[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dina meyer has always been the highlight of any of the films she has been in ( johnny mnemonic , dragonheart , and starship troopers . . . 	dina meyer has always been the highlight of any of the films she has been in ( johnny mnemonic , dragonheart , and starship troopers .<br> .<br> .	1	-1	 dina[0] meyer[0] has[0] always[0] been[0] the[0] highlight[0] of[0] any[0] of[0] the[0] films[0] she[0] has[0] been[0] in[0] johnny[0] mnemonic[0] dragonheart[0] and[0] starship[0] troopers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the latter being the only film out of that batch with any actual merit ) , and this one is no exception . 	the latter being the only film out of that batch with any actual merit ) , and this one is no exception .	2	-1	 the[0] latter[0] being[0] the[0] only[0] film[0] out[0] of[0] that[0] batch[0] with[0] any[0] actual[0] merit[1] and[0] this[0] one[0] is[0] no[0] exception[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while one never really gets the impression that meyer's character could be a bat expert in reality , one never really cares to doubt it either . 	while one never really gets the impression that meyer's character could be a bat expert in reality , one never really cares to doubt it either .	1	-3	 while[0] one[0] never[0] really[0] gets[0] the[0] impression[0] that[0] meyer's[0] character[0] could[0] be[0] a[0] bat[0] expert[0] in[0] reality[0] one[0] never[0] really[0] cares[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] to[0] doubt[-1] it[0] either[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she gives as good a performance as could be expected , plus she's nice to look at for an hour and a half . 	she gives as good a performance as could be expected , plus she's nice to look at for an hour and a half .	2	-1	 she[0] gives[0] as[0] good[1] a[0] performance[0] as[0] could[0] be[0] expected[0] plus[0] she's[0] nice[1] to[0] look[0] at[0] for[0] an[0] hour[0] and[0] a[0] half[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lou diamond phillips is also serviceable here , as the small town sheriff turned eventual hero . 	lou diamond phillips is also serviceable here , as the small town sheriff turned eventual hero .	3	-1	 lou[0] diamond[0] phillips[0] is[0] also[0] serviceable[0] here[0] as[0] the[0] small[0] town[0] sheriff[0] turned[0] eventual[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although when we first meet his character he knows bats are the reason for what's going on in town , for some reason later on he suddenly becomes amazed to learn that the actual cause of the deaths in town are because of bats . 	although when we first meet his character he knows bats are the reason for what's going on in town , for some reason later on he suddenly becomes amazed to learn that the actual cause of the deaths in town are because of bats .	3	-3	 although[0] when[0] we[0] first[0] meet[0] his[0] character[0] he[0] knows[0] bats[0] are[0] the[0] reason[0] for[0] what's[0] going[0] on[0] in[0] town[0] for[0] some[0] reason[0] later[0] on[0] he[0] suddenly[0] becomes[0] amazed[2] to[0] learn[0] that[0] the[0] actual[0] cause[0] of[0] the[0] deaths[-2] in[0] town[0] are[0] because[0] of[0] bats[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the only bad performance in the film is that of leon's . 	the only bad performance in the film is that of leon's .	1	-2	 the[0] only[0] bad[-1] performance[0] in[0] the[0] film[0] is[0] that[0] of[0] leon's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is relegated to the " i'm not sticking around here ! " 	he is relegated to the " i'm not sticking around here !<br> "	1	-1	 he[0] is[0] relegated[0] to[0] the[0] i'm[0] not[0] sticking[0] around[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
character and proceeds to repeat variations of that line for the majority of the film even though he stays . 	character and proceeds to repeat variations of that line for the majority of the film even though he stays .	1	-1	 character[0] and[0] proceeds[0] to[0] repeat[0] variations[0] of[0] that[0] line[0] for[0] the[0] majority[0] of[0] the[0] film[0] even[0] though[0] he[0] stays[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyone who can't immediately tell that bob gunton ( the bad guy in patch adams and countless other films ) is going to eventually turn on the gang and side with his creations before his eminent death will probably be surprised , but i highly doubt it . 	anyone who can't immediately tell that bob gunton ( the bad guy in patch adams and countless other films ) is going to eventually turn on the gang and side with his creations before his eminent death will probably be surprised , but i highly doubt it .	1	-3	 anyone[0] who[0] can't[0] immediately[0] tell[0] that[0] bob[0] gunton[-1] the[0] bad[-1] guy[0] in[0] patch[0] adams[0] and[0] countless[0] other[0] films[0] is[0] going[0] to[0] eventually[0] turn[0] on[0] the[0] gang[0] and[0] side[0] with[0] his[0] creations[0] before[0] his[0] eminent[0] death[-2] will[0] probably[0] be[0] surprised[0] but[0] i[0] highly[0] doubt[-1] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even if he hadn't been the villain in just about every film he's ever been in , so many obvious hints are given to indicate the devious act that it holds no shock whatsoever . 	even if he hadn't been the villain in just about every film he's ever been in , so many obvious hints are given to indicate the devious act that it holds no shock whatsoever .	1	-3	 even[0] if[0] he[0] hadn't[0] been[0] the[0] villain[-2] in[0] just[0] about[0] every[0] film[0] he's[0] ever[0] been[0] in[0] so[0] many[0] obvious[0] hints[0] are[0] given[0] to[0] indicate[0] the[0] devious[-1] act[0] that[0] it[0] holds[0] no[0] shock[-2] whatsoever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , his death is welcome , because it finally starts moving the plot towards the finale . 	in fact , his death is welcome , because it finally starts moving the plot towards the finale .	2	-3	 in[0] fact[0] his[0] death[-2] is[0] welcome[1] because[0] it[0] finally[0] starts[0] moving[0] the[0] plot[0] towards[0] the[0] finale[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if the plot doesn't sound ridiculous to you yet , then check out these little tidbits : a multitude of bats inexplicably disperses when a police officer cocks his pistol . 	if the plot doesn't sound ridiculous to you yet , then check out these little tidbits : a multitude of bats inexplicably disperses when a police officer cocks his pistol .	1	-3	 if[0] the[0] plot[0] doesn't[0] sound[0] ridiculous[-2] to[0] you[0] yet[0] then[0] check[0] out[0] these[0] little[0] tidbits[0] a[0] multitude[0] of[0] bats[0] inexplicably[0] disperses[0] when[0] a[0] police[0] officer[0] cocks[0] his[0] pistol[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
an entire town disregards the sheriff and doctor's orders to stay indoors after a curfew is instigated , causing mass hysteria when the bats come out in full force , killing several townsfolk . 	an entire town disregards the sheriff and doctor's orders to stay indoors after a curfew is instigated , causing mass hysteria when the bats come out in full force , killing several townsfolk .	1	-2	 an[0] entire[0] town[0] disregards[-1] the[0] sheriff[0] and[0] doctor's[0] orders[0] to[0] stay[0] indoors[0] after[0] a[0] curfew[0] is[0] instigated[0] causing[0] mass[0] hysteria[-1] when[0] the[0] bats[0] come[0] out[0] in[0] full[0] force[-1] killing[-1] several[0] townsfolk[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a government official blows off shelia's instructions ( to wait until dawn to install a cooling unit in the bats' cave that will kill all of them off ) by pulling a night job , resulting in the death of an entire military unit . 	a government official blows off shelia's instructions ( to wait until dawn to install a cooling unit in the bats' cave that will kill all of them off ) by pulling a night job , resulting in the death of an entire military unit .	1	-3	 a[0] government[0] official[0] blows[0] off[0] shelia's[0] instructions[0] to[0] wait[0] until[0] dawn[0] to[0] install[0] a[0] cooling[0] unit[0] in[0] the[0] bats'[0] cave[0] that[0] will[0] kill[-1] all[0] of[0] them[0] off[0] by[0] pulling[0] a[0] night[0] job[0] resulting[0] in[0] the[0] death[-2] of[0] an[0] entire[0] military[0] unit[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a cavern full of bat feces never ignites when a phosphorus flare is lit right in the middle of it . 	a cavern full of bat feces never ignites when a phosphorus flare is lit right in the middle of it .	1	-1	 a[0] cavern[0] full[0] of[0] bat[0] feces[0] never[0] ignites[0] when[0] a[0] phosphorus[0] flare[0] is[0] lit[0] right[0] in[0] the[0] middle[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , to top it all off , this little texas town is showing nosferatu in it's single screen theater ( for reference , our town has over a million people in it with nearly 150 movie screens , and we're lucky to even get kevin smith's dogma ) . 	finally , to top it all off , this little texas town is showing nosferatu in it's single screen theater ( for reference , our town has over a million people in it with nearly 150 movie screens , and we're lucky to even get kevin smith's dogma ) .	2	-1	 finally[0] to[0] top[0] it[0] all[0] off[0] this[0] little[0] texas[0] town[0] is[0] showing[0] nosferatu[0] in[0] it's[0] single[0] screen[0] theater[0] for[0] reference[0] our[0] town[0] has[0] over[0] a[0] million[0] people[0] in[0] it[0] with[0] nearly[0] 150[0] movie[0] screens[0] and[0] we're[0] lucky[1] to[0] even[0] get[0] kevin[0] smith's[0] dogma[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the most laughable part of the movie though comes from the ill-conceived bat puppets . 	the most laughable part of the movie though comes from the ill-conceived bat puppets .	1	-2	 the[0] most[0] laughable[-1] part[0] of[0] the[0] movie[0] though[0] comes[0] from[0] the[0] ill[-1] conceived[0] bat[0] puppets[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while the actual bat attack scenes are shot with rapid fire editing ( making the scenes nearly impossible to comprehend what's going on ) , the scenes where a bat is called upon to interact with a live actor are usually shot more low-key . 	while the actual bat attack scenes are shot with rapid fire editing ( making the scenes nearly impossible to comprehend what's going on ) , the scenes where a bat is called upon to interact with a live actor are usually shot more low-key .	1	-3	 while[0] the[0] actual[0] bat[0] attack[-2] scenes[0] are[0] shot[-1] with[0] rapid[0] fire[0] editing[0] making[0] the[0] scenes[0] nearly[0] impossible[0] to[0] comprehend[0] what's[0] going[0] on[0] the[0] scenes[0] where[0] a[0] bat[0] is[0] called[0] upon[0] to[0] interact[0] with[0] a[0] live[0] actor[0] are[0] usually[0] shot[-1] more[0] low[-1] key[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
therefore we the audience get loving close-ups of the most unrealistic , rubbery bat puppets ever committed to film . 	therefore we the audience get loving close-ups of the most unrealistic , rubbery bat puppets ever committed to film .	4	-1	 therefore[0] we[0] the[0] audience[0] get[0] loving[3] close[0] ups[0] of[0] the[0] most[0] unrealistic[0] rubbery[0] bat[0] puppets[0] ever[0] committed[0] to[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
being able to see the puppeteer's arms would be the only things that could have made these creations worse . 	being able to see the puppeteer's arms would be the only things that could have made these creations worse .	1	-3	 being[0] able[0] to[0] see[0] the[0] puppeteer's[0] arms[0] would[0] be[0] the[0] only[0] things[0] that[0] could[0] have[0] made[0] these[0] creations[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after all of this , if you still decide bats might be the movie for you , don't say you haven't been warned . 	after all of this , if you still decide bats might be the movie for you , don't say you haven't been warned .	1	-1	 after[0] all[0] of[0] this[0] if[0] you[0] still[0] decide[0] bats[0] might[0] be[0] the[0] movie[0] for[0] you[0] don't[0] say[0] you[0] haven't[0] been[0] warned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
trust me when i say that it's a lot more fun to trash than it is to sit through . 	trust me when i say that it's a lot more fun to trash than it is to sit through .	2	-2	 trust[1] me[0] when[0] i[0] say[0] that[0] it's[0] a[0] lot[0] more[0] fun[1] to[0] trash[-1] than[0] it[0] is[0] to[0] sit[0] through[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i just wish that dina meyer would be cast in more roles or at least choose better films to appear in . 	i just wish that dina meyer would be cast in more roles or at least choose better films to appear in .	1	-1	 i[0] just[0] wish[0] that[0] dina[0] meyer[0] would[0] be[0] cast[0] in[0] more[0] roles[0] or[0] at[0] least[0] choose[0] better[0] films[0] to[0] appear[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she's definitely a talent that is going to waste in films like these . 	she's definitely a talent that is going to waste in films like these .	2	-2	 she's[0] definitely[0] a[0] talent[1] that[0] is[0] going[0] to[0] waste[-1] in[0] films[0] like[1] these[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
