you don't look at a ren ? magritte painting and search for a deeper meaning . 	Translation	Positive	Negative	EmotionRationale
he falls asleep and finds himself , literally , in a hole , with his money gone . 	he falls asleep and finds himself , literally , in a hole , with his money gone .	1	-1	 he[0] falls[0] asleep[0] and[0] finds[0] himself[0] literally[0] in[0] a[0] hole[0] with[0] his[0] money[0] gone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for whatever reason , he is bent on getting his hard-unearned cash back ( considering how easily he stole it the first time , why didn't he just go steal some more ? ) . 	for whatever reason , he is bent on getting his hard-unearned cash back ( considering how easily he stole it the first time , why didn't he just go steal some more ?<br> ) .	1	-3	 for[0] whatever[0] reason[0] he[0] is[0] bent[0] on[0] getting[0] his[0] hard[0] unearned[0] cash[0] back[0] considering[0] how[0] easily[0] he[0] stole[-1] it[0] the[0] first[0] time[0] why[0] didn't[0] he[0] just[0] go[0] steal[-2] some[0] more[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he comes upon a list of the people who were at the mysterious ceremony and commences to seek out each of them and kill them if they don't have what he is looking for . 	he comes upon a list of the people who were at the mysterious ceremony and commences to seek out each of them and kill them if they don't have what he is looking for .	1	-2	 he[0] comes[0] upon[0] a[0] list[0] of[0] the[0] people[0] who[0] were[0] at[0] the[0] mysterious[0] ceremony[0] and[0] commences[0] to[0] seek[0] out[0] each[0] of[0] them[0] and[0] kill[-1] them[0] if[0] they[0] don't[0] have[0] what[0] he[0] is[0] looking[0] for[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't think either director aris iliopulos nor ed wood realized that this would have made a glorious 20 minute short . 	i don't think either director aris iliopulos nor ed wood realized that this would have made a glorious 20 minute short .	2	-1	 i[0] don't[0] think[0] either[0] director[0] aris[0] iliopulos[0] nor[0] ed[0] wood[0] realized[0] that[0] this[0] would[0] have[0] made[0] a[0] glorious[1] 20[0] minute[0] short[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the subject and the style seem to have been made for it . 	the subject and the style seem to have been made for it .	1	-1	 the[0] subject[0] and[0] the[0] style[0] seem[0] to[0] have[0] been[0] made[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , twenty minutes worth of material is stretched out to more than four times that length , and the film simply overstays its already dubious welcome . 	unfortunately , twenty minutes worth of material is stretched out to more than four times that length , and the film simply overstays its already dubious welcome .	2	-2	 unfortunately[-1] twenty[0] minutes[0] worth[0] of[0] material[0] is[0] stretched[0] out[0] to[0] more[0] than[0] four[0] times[0] that[0] length[0] and[0] the[0] film[0] simply[0] overstays[0] its[0] already[0] dubious[-1] welcome[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it grabbed my attention in the beginning and gradually lost it as it went on , up to the point where halfway through i was already weary . 	it grabbed my attention in the beginning and gradually lost it as it went on , up to the point where halfway through i was already weary .	1	-2	 it[0] grabbed[-1] my[0] attention[0] in[0] the[0] beginning[0] and[0] gradually[0] lost[0] it[0] as[0] it[0] went[0] on[0] up[0] to[0] the[0] point[0] where[0] halfway[0] through[0] i[0] was[0] already[0] weary[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it might seem odd that a film as furiously paced as this one can be so tedious ; but the surprise will wear off when you consider how repetitive it is . 	it might seem odd that a film as furiously paced as this one can be so tedious ; but the surprise will wear off when you consider how repetitive it is .	1	-4	 it[0] might[0] seem[0] odd[0] that[0] a[0] film[0] as[0] furiously[-3] paced[0] as[0] this[0] one[0] can[0] be[0] so[0] tedious[-2] but[0] the[0] surprise[0] will[0] wear[0] off[0] when[0] you[0] consider[0] how[0] repetitive[0] it[0] is[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i woke up early the day i died is a comedy , i guess , though it could have fooled me . 	i woke up early the day i died is a comedy , i guess , though it could have fooled me .	1	-2	 i[0] woke[0] up[0] early[0] the[0] day[0] i[0] died[0] is[0] a[0] comedy[0] i[0] guess[0] though[0] it[0] could[0] have[0] fooled[-1] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unlike most ed wood films , this one tries to be funny and fails , instead of the other way around . 	unlike most ed wood films , this one tries to be funny and fails , instead of the other way around .	2	-3	 unlike[0] most[0] ed[0] wood[0] films[0] this[0] one[0] tries[0] to[0] be[0] funny[1] and[0] fails[-2] instead[0] of[0] the[0] other[0] way[0] around[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there's nothing inherently wrong with that , in fact , i think it would only make sense for someone who has been so " good " at making unintentional comedies to take a stab at a real one . 	there's nothing inherently wrong with that , in fact , i think it would only make sense for someone who has been so " good " at making unintentional comedies to take a stab at a real one .	2	-2	 there's[0] nothing[0] inherently[0] wrong[-1] with[0] that[0] in[0] fact[0] i[0] think[0] it[0] would[0] only[0] make[0] sense[0] for[0] someone[0] who[0] has[0] been[0] so[0] good[1] at[0] making[0] unintentional[0] comedies[0] to[0] take[0] a[0] stab[-1] at[0] a[0] real[0] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
whether wood actually went for comedy in his script we'll never know , but in either case , this is a failure . 	whether wood actually went for comedy in his script we'll never know , but in either case , this is a failure .	1	-3	 whether[0] wood[0] actually[0] went[0] for[0] comedy[0] in[0] his[0] script[0] we'll[0] never[0] know[0] but[0] in[0] either[0] case[0] this[0] is[0] a[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jonathan taylor thomas , christina ricci , summer phoenix , john ritter and others show up for short and pointless cameos . 	jonathan taylor thomas , christina ricci , summer phoenix , john ritter and others show up for short and pointless cameos .	1	-2	 jonathan[0] taylor[0] thomas[0] christina[0] ricci[0] summer[0] phoenix[0] john[0] ritter[0] and[0] others[0] show[0] up[0] for[0] short[0] and[0] pointless[-1] cameos[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ricci , for example , plays a prostitute . 	ricci , for example , plays a prostitute .	2	-1	 ricci[0] for[0] example[0] plays[1] a[0] prostitute[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her role consists of dancing around with zane in his motel room and then being thrown out . 	her role consists of dancing around with zane in his motel room and then being thrown out .	1	-1	 her[0] role[0] consists[0] of[0] dancing[0] around[0] with[0] zane[0] in[0] his[0] motel[0] room[0] and[0] then[0] being[0] thrown[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thomas is an astonished onlooker as a woman gets thrown off a cliff . 	thomas is an astonished onlooker as a woman gets thrown off a cliff .	1	-1	 thomas[0] is[0] an[0] astonished[0] onlooker[0] as[0] a[0] woman[0] gets[0] thrown[0] off[0] a[0] cliff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was the home improvement teen heartthrob really that desperate for work ? 	was the home improvement teen heartthrob really that desperate for work ?	2	-3	 was[0] the[0] home[0] improvement[1] teen[0] heartthrob[0] really[0] that[0] desperate[-2] for[0] work[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
zane , meanwhile , occupies himself by making weird faces at the camera when he is not called upon to run around wildly and beat people up . 	zane , meanwhile , occupies himself by making weird faces at the camera when he is not called upon to run around wildly and beat people up .	1	-2	 zane[0] meanwhile[0] occupies[0] himself[0] by[0] making[0] weird[-1] faces[0] at[0] the[0] camera[0] when[0] he[0] is[0] not[0] called[0] upon[0] to[0] run[0] around[0] wildly[0] and[0] beat[0] people[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lack of dialogue makes him the ultimate caricature . 	lack of dialogue makes him the ultimate caricature .	1	-2	 lack[-1] of[0] dialogue[0] makes[0] him[0] the[0] ultimate[0] caricature[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the carnival side-show climax manages to demonstrate everything that is wrong with this no-budget production . 	the carnival side-show climax manages to demonstrate everything that is wrong with this no-budget production .	1	-2	 the[0] carnival[0] side[0] show[0] climax[0] manages[0] to[0] demonstrate[0] everything[0] that[0] is[0] wrong[-1] with[0] this[0] no[0] budget[0] production[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's desperately unfunny , but thinks it's the funniest thing since plan 9 ; , it's so spontaneously surrealistic it makes your head spin all while being confusing enough to make your head spin twice as fast in the other direction . 	it's desperately unfunny , but thinks it's the funniest thing since plan 9 ; , it's so spontaneously surrealistic it makes your head spin all while being confusing enough to make your head spin twice as fast in the other direction .	2	-3	 it's[0] desperately[-2] unfunny[0] but[0] thinks[0] it's[0] the[0] funniest[1] thing[0] since[0] plan[0] 9[0] it's[0] so[0] spontaneously[0] surrealistic[0] it[0] makes[0] your[0] head[0] spin[0] all[0] while[0] being[0] confusing[-1] enough[0] to[0] make[0] your[0] head[0] spin[0] twice[0] as[0] fast[0] in[0] the[0] other[0] direction[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i hope another film is made from an ed wood screenplay for i woke up early the day i died is not a fitting send-off . 	i hope another film is made from an ed wood screenplay for i woke up early the day i died is not a fitting send-off .	3	-1	 i[0] hope[2] another[0] film[0] is[0] made[0] from[0] an[0] ed[0] wood[0] screenplay[0] for[0] i[0] woke[0] up[0] early[0] the[0] day[0] i[0] died[0] is[0] not[0] a[0] fitting[0] send[0] off[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ? 1999 eugene novikov &#137 ; 	 ?<br> 199 eugene novikov &#137 ;	1	-1	 1999/199[0] eugene[0] novikov[0] &#137[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
