capsule : the much anticipated re-adaptation of the pierre boulle novel comes to the screen as a dark and a little dreary film with lots of chases and fighting , but very little intelligence . 	Translation	Positive	Negative	EmotionRationale
as with the mission impossible films and so many other cinematic homages to the third quarter of the last century , the title makes promises that the filmmakers have no intention of honoring . 	as with the mission impossible films and so many other cinematic homages to the third quarter of the last century , the title makes promises that the filmmakers have no intention of honoring .	2	-1	 as[0] with[0] the[0] mission[0] impossible[0] films[0] and[0] so[0] many[0] other[0] cinematic[0] homages[0] to[0] the[0] third[0] quarter[0] of[0] the[0] last[0] century[0] the[0] title[0] makes[0] promises[1] that[0] the[0] filmmakers[0] have[0] no[0] intention[0] of[0] honoring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in 2029 leo davidson ( mark wahlberg , not this world's most expressive actor ) works on a space station increasing the intelligence and usefulness of apes . 	in 2029 leo davidson ( mark wahlberg , not this world's most expressive actor ) works on a space station increasing the intelligence and usefulness of apes .	2	-1	 in[0] 2029[0] leo[0] davidson[0] mark[0] wahlberg[0] not[0] this[0] world's[0] most[0] expressive[0] actor[0] works[0] on[0] a[0] space[0] station[0] increasing[0] the[0] intelligence[0] and[0] usefulness[1] of[0] apes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then a convenient time storm sweeps him up wizard-of-oz-fashion and drops him on an alien planet . 	then a convenient time storm sweeps him up wizard-of-oz-fashion and drops him on an alien planet .	1	-2	 then[0] a[0] convenient[0] time[0] storm[-1] sweeps[0] him[0] up[0] wizard[0] of[0] oz[0] fashion[0] and[0] drops[0] him[0] on[0] an[0] alien[-1] planet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( yes , he survives this storm , but then no storm is perfect . ) 	 ( yes , he survives this storm , but then no storm is perfect .<br> )	2	-2	 yes[0] he[0] survives[0] this[0] storm[-1] but[0] then[0] no[0] storm[-1] is[0] perfect[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he quickly finds , not greatly to any surprise he shows , that on this planet apes rule and humans drool , but everybody talks . 	he quickly finds , not greatly to any surprise he shows , that on this planet apes rule and humans drool , but everybody talks .	1	-3	 he[0] quickly[0] finds[0] not[0] greatly[2][NegatedDueToPreviousWord] to[0] any[0] surprise[0] he[0] shows[0] that[0] on[0] this[0] planet[0] apes[0] rule[0] and[0] humans[0] drool[0] but[0] everybody[0] talks[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and the language they talk is earth- english . 	and the language they talk is earth- english .	1	-1	 and[0] the[0] language[0] they[0] talk[0] is[0] earth[0] english[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently it does not even occur to leo that there is a mystery that needs to be explained about that . 	apparently it does not even occur to leo that there is a mystery that needs to be explained about that .	1	-1	 apparently[0] it[0] does[0] not[0] even[0] occur[0] to[0] leo[0] that[0] there[0] is[0] a[0] mystery[0] that[0] needs[0] to[0] be[0] explained[0] about[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact it does not occur to leo and apparently didn't occur to tim burton either is the heart of the real horror of this film . 	the fact it does not occur to leo and apparently didn't occur to tim burton either is the heart of the real horror of this film .	1	-4	 the[0] fact[0] it[0] does[0] not[0] occur[0] to[0] leo[0] and[0] apparently[0] didn't[0] occur[0] to[0] tim[0] burton[0] either[0] is[0] the[0] heart[0] of[0] the[0] real[0] horror[-3] of[0] this[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
both just assumed that if apes were going to talk the language they would speak would be english . 	both just assumed that if apes were going to talk the language they would speak would be english .	1	-1	 both[0] just[0] assumed[0] that[0] if[0] apes[0] were[0] going[0] to[0] talk[0] the[0] language[0] they[0] would[0] speak[0] would[0] be[0] english[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in any case having one talking race dominating another makes this not a look at human-animal relationships and more one of the master-slave relationships . 	in any case having one talking race dominating another makes this not a look at human-animal relationships and more one of the master-slave relationships .	1	-1	 in[0] any[0] case[0] having[0] one[0] talking[0] race[0] dominating[0] another[0] makes[0] this[0] not[0] a[0] look[0] at[0] human[0] animal[0] relationships[0] and[0] more[0] one[0] of[0] the[0] master[0] slave[0] relationships[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
outside of sudan and a few other countries this is a less relevant topic . 	outside of sudan and a few other countries this is a less relevant topic .	1	-1	 outside[0] of[0] sudan[0] and[0] a[0] few[0] other[0] countries[0] this[0] is[0] a[0] less[0] relevant[0] topic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
leo is captured to be used as a slave but also is discovered by ari , played by helena bonham carter . 	leo is captured to be used as a slave but also is discovered by ari , played by helena bonham carter .	1	-2	 leo[0] is[0] captured[-1] to[0] be[0] used[0] as[0] a[0] slave[0] but[0] also[0] is[0] discovered[0] by[0] ari[0] played[0] by[0] helena[0] bonham[0] carter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ari is an attractive ape with close ties to high political power . 	ari is an attractive ape with close ties to high political power .	2	-1	 ari[0] is[0] an[0] attractive[1] ape[0] with[0] close[0] ties[0] to[0] high[0] political[0] power[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she is bent on making the world a better place . 	she is bent on making the world a better place .	1	-1	 she[0] is[0] bent[0] on[0] making[0] the[0] world[0] a[0] better[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps in a previous draft of the script she was called hil-ari . 	perhaps in a previous draft of the script she was called hil-ari .	1	-1	 perhaps[0] in[0] a[0] previous[0] draft[0] of[0] the[0] script[0] she[0] was[0] called[0] hil[0] ari[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in any case with makeup that stifles her usual pout , carter is just about as attractive as she has ever been in a film . 	in any case with makeup that stifles her usual pout , carter is just about as attractive as she has ever been in a film .	2	-2	 in[0] any[0] case[0] with[0] makeup[0] that[0] stifles[-1] her[0] usual[0] pout[-1] carter[0] is[0] just[0] about[0] as[0] attractive[1] as[0] she[0] has[0] ever[0] been[0] in[0] a[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she may want to consider this to become her standard look from this point forward . 	she may want to consider this to become her standard look from this point forward .	1	-1	 she[0] may[0] want[0] to[0] consider[0] this[0] to[0] become[0] her[0] standard[0] look[0] from[0] this[0] point[0] forward[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not long before leo escapes with some human and only a couple of sympathetic apes . 	it is not long before leo escapes with some human and only a couple of sympathetic apes .	1	-1	 it[0] is[0] not[0] long[0] before[0] leo[0] escapes[0] with[0] some[0] human[0] and[0] only[0] a[0] couple[0] of[0] sympathetic[0] apes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a further abandonment of the source material . 	this is a further abandonment of the source material .	1	-2	 this[0] is[0] a[0] further[0] abandonment[-1] of[0] the[0] source[-1] material[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the chase severely limits the interplay of ape and human and the examination of each's place in this reversed society , each important in the book . 	the chase severely limits the interplay of ape and human and the examination of each's place in this reversed society , each important in the book .	1	-2	 the[0] chase[-1] severely[-1] limits[0] the[0] interplay[0] of[0] ape[0] and[0] human[0] and[0] the[0] examination[0] of[0] each's[0] place[0] in[0] this[0] reversed[0] society[0] each[0] important[0] in[0] the[0] book[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we cannot see how the society works because most of the screentime society has broken down . 	we cannot see how the society works because most of the screentime society has broken down .	1	-2	 we[0] cannot[0] see[0] how[0] the[0] society[0] works[0] because[0] most[0] of[0] the[0] screentime[0] society[0] has[0] broken[-1] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we see the humans either separated from the apes or fighting them . 	we see the humans either separated from the apes or fighting them .	1	-3	 we[0] see[0] the[0] humans[0] either[0] separated[0] from[0] the[0] apes[0] or[0] fighting[-2] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
burton chooses visceral thrills over cerebral ones at almost every turn . 	burton chooses visceral thrills over cerebral ones at almost every turn .	4	-1	 burton[0] chooses[0] visceral[0] thrills[3] over[0] cerebral[0] ones[0] at[0] almost[0] every[0] turn[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this is a miscalculation , as characters so lacking in empathy value are difficult ones to place much emotional investment in . 	this is a miscalculation , as characters so lacking in empathy value are difficult ones to place much emotional investment in .	2	-2	 this[0] is[0] a[0] miscalculation[0] as[0] characters[0] so[0] lacking[0] in[0] empathy[0] value[1] are[0] difficult[-1] ones[0] to[0] place[0] much[0] emotional[-1] investment[0] in[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they are basically chess pieces and the viewer has little reason to root for them to win . 	they are basically chess pieces and the viewer has little reason to root for them to win .	1	-1	 they[0] are[0] basically[0] chess[0] pieces[0] and[0] the[0] viewer[0] has[0] little[0] reason[0] to[0] root[0] for[0] them[0] to[0] win[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the 1968 script had little subtlety , with lines like " i never met an ape i didn't like , " but at least we cared for what happened to taylor , the main character . 	the 1968 script had little subtlety , with lines like " i never met an ape i didn't like , " but at least we cared for what happened to taylor , the main character .	2	-1	 the[0] 1968[0] script[0] had[0] little[0] subtlety[0] with[0] lines[0] like[1] i[0] never[0] met[0] an[0] ape[0] i[0] didn't[0] like[1] but[0] at[0] least[0] we[0] cared[1] for[0] what[0] happened[0] to[0] taylor[0] the[0] main[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of what this film has to offer is in the visuals . 	most of what this film has to offer is in the visuals .	1	-1	 most[0] of[0] what[0] this[0] film[0] has[0] to[0] offer[0] is[0] in[0] the[0] visuals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the visual work is spotty but generally nicely done except that so much of the film takes place in the night or in fog . 	the visual work is spotty but generally nicely done except that so much of the film takes place in the night or in fog .	2	-1	 the[0] visual[0] work[0] is[0] spotty[0] but[0] generally[0] nicely[1] done[0] except[0] that[0] so[0] much[0] of[0] the[0] film[0] takes[0] place[0] in[0] the[0] night[0] or[0] in[0] fog[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this tends to limit close looks at the makeup . 	this tends to limit close looks at the makeup .	1	-1	 this[0] tends[0] to[0] limit[0] close[0] looks[0] at[0] the[0] makeup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in general it seems much improved from 1968 . 	in general it seems much improved from 1968 .	2	-1	 in[0] general[0] it[0] seems[0] much[0] improved[1] from[0] 1968[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the makeup team is led by rick baker instead of john chambers , who did it for the 1968 version . 	the makeup team is led by rick baker instead of john chambers , who did it for the 1968 version .	1	-1	 the[0] makeup[0] team[0] is[0] led[0] by[0] rick[0] baker[0] instead[0] of[0] john[0] chambers[0] who[0] did[0] it[0] for[0] the[0] 1968[0] version[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in 1968 chambers makeup was a jaw-dropper . 	in 1968 chambers makeup was a jaw-dropper .	1	-1	 in[0] 1968[0] chambers[0] makeup[0] was[0] a[0] jaw[0] dropper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was realistic enough to almost be believable but flexible enough to show emotion . 	it was realistic enough to almost be believable but flexible enough to show emotion .	1	-1	 it[0] was[0] realistic[0] enough[0] to[0] almost[0] be[0] believable[0] but[0] flexible[0] enough[0] to[0] show[0] emotion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chambers is good , but if anyone had a chance to best him it would have to be baker . 	chambers is good , but if anyone had a chance to best him it would have to be baker .	2	-1	 chambers[0] is[0] good[1] but[0] if[0] anyone[0] had[0] a[0] chance[0] to[0] best[1] him[0] it[0] would[0] have[0] to[0] be[0] baker[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
today audiences have higher expectations ; baker's visualization is really an improvement . 	today audiences have higher expectations ; baker's visualization is really an improvement .	2	-1	 today[0] audiences[0] have[0] higher[0] expectations[0] baker's[0] visualization[0] is[0] really[0] an[0] improvement[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these visuals work nicely . 	these visuals work nicely .	2	-1	 these[0] visuals[0] work[0] nicely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what does not work is the wire- assisted leaps some of the apes make . 	what does not work is the wire- assisted leaps some of the apes make .	1	-1	 what[0] does[0] not[0] work[0] is[0] the[0] wire[0] assisted[0] leaps[0] some[0] of[0] the[0] apes[0] make[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they look like they were inspired by the physics- defying leaps of crouching tiger , hidden dragon . 	they look like they were inspired by the physics- defying leaps of crouching tiger , hidden dragon .	3	-1	 they[0] look[0] like[1] they[0] were[0] inspired[2] by[0] the[0] physics[0] defying[0] leaps[0] of[0] crouching[0] tiger[0] hidden[0] dragon[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
apes spring incredible distances . 	apes spring incredible distances .	1	-1	 apes[0] spring[0] incredible[0] distances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the best scenes are apes running into battle looking like they have ape posture , but when they start flying through the air the effect is lost . 	some of the best scenes are apes running into battle looking like they have ape posture , but when they start flying through the air the effect is lost .	2	-2	 some[0] of[0] the[0] best[1] scenes[0] are[0] apes[0] running[0] into[0] battle[-1] looking[0] like[1] they[0] have[0] ape[0] posture[0] but[0] when[0] they[0] start[0] flying[0] through[0] the[0] air[0] the[0] effect[0] is[0] lost[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one final visual problem is that the film frequently shows its budget in what should be spectacular battle scenes the camera shows us only a small group of people close-up . 	one final visual problem is that the film frequently shows its budget in what should be spectacular battle scenes the camera shows us only a small group of people close-up .	1	-2	 one[0] final[0] visual[0] problem[-1] is[0] that[0] the[0] film[0] frequently[0] shows[0] its[0] budget[0] in[0] what[0] should[0] be[0] spectacular[0] battle[-1] scenes[0] the[0] camera[0] shows[0] us[0] only[0] a[0] small[0] group[0] of[0] people[0] close[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since the days of lon chaney and boris karloff few actors have crossed over to stardom in a role that required heavy make-up . 	since the days of lon chaney and boris karloff few actors have crossed over to stardom in a role that required heavy make-up .	1	-1	 since[0] the[0] days[0] of[0] lon[0] chaney[0] and[0] boris[0] karloff[0] few[0] actors[0] have[0] crossed[0] over[0] to[0] stardom[0] in[0] a[0] role[0] that[0] required[0] heavy[0] make[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one actor who has a shot is paul giamatti . 	the one actor who has a shot is paul giamatti .	1	-2	 the[0] one[0] actor[0] who[0] has[0] a[0] shot[-1] is[0] paul[0] giamatti[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is not that his lines are so good , most are silly jokes . 	it is not that his lines are so good , most are silly jokes .	2	-2	 it[0] is[0] not[0] that[0] his[0] lines[0] are[0] so[0] good[1] most[0] are[0] silly[-1] jokes[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but he delivers them very well . 	but he delivers them very well .	1	-1	 but[0] he[0] delivers[0] them[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
