from dusk till dawn ( director/editor : robert rodriguez ; screenwriters : quentin tarantino/robert kurtzman ( story ) ; cinematographer : guillermo navarro ; cast : quentin tarantino ( richie gecko ) , george clooney ( seth gecko ) , juliette lewis ( kate fuller ) , harvey keitel ( jacob fuller ) , ernest liu ( scott fuller ) , salma hayek ( santanico pandemonium ) , tom savini ( sex machine ) , fred williamson ( frost ) , cheech marin ( border guard/chet pussy/carlos ) , michael parks ( texas ranger ) , brenda hillhouse ( hostage gloria ) ; runtime : 108 ; dimension films ; 1996 ) 	Translation	Positive	Negative	EmotionRationale
these scenes are all done with an eye for comedy and parody , if that's possible . 	these scenes are all done with an eye for comedy and parody , if that's possible .	1	-1	 these[0] scenes[0] are[0] all[0] done[0] with[0] an[0] eye[0] for[0] comedy[0] and[0] parody[0] if[0] that's[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the tv news , it says they have killed 16 so far and most are texas rangers . 	on the tv news , it says they have killed 16 so far and most are texas rangers .	1	-4	 on[0] the[0] tv[0] news[0] it[0] says[0] they[0] have[0] killed[-3] 16[0] so[0] far[0] and[0] most[0] are[0] texas[0] rangers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the brothers plan to get to mexico and meet carlos ( cheech ) , who will give them a place of sanctuary for thirty percent of their illegal take . 	the brothers plan to get to mexico and meet carlos ( cheech ) , who will give them a place of sanctuary for thirty percent of their illegal take .	1	-2	 the[0] brothers[0] plan[0] to[0] get[0] to[0] mexico[0] and[0] meet[0] carlos[0] cheech[0] who[0] will[0] give[0] them[0] a[0] place[0] of[0] sanctuary[0] for[0] thirty[0] percent[0] of[0] their[0] illegal[-1] take[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with road blocks and car searches at the border , the brothers commandeer a motor home of a vacationing family who stopped at their motel so that the father could sleep in a real bed . 	with road blocks and car searches at the border , the brothers commandeer a motor home of a vacationing family who stopped at their motel so that the father could sleep in a real bed .	1	-2	 with[0] road[0] blocks[-1] and[0] car[0] searches[0] at[0] the[0] border[0] the[0] brothers[0] commandeer[0] a[0] motor[0] home[0] of[0] a[0] vacationing[0] family[0] who[0] stopped[0] at[0] their[0] motel[0] so[0] that[0] the[0] father[0] could[0] sleep[0] in[0] a[0] real[0] bed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is the father , jacob fuller ( keitel ) , who just resigned as a minister because he lost faith ever since his wife died in a car accident ; his sexy 20-year-old , innocent daughter , kate ( lewis ) ; and , her shy brother scott ( liu ) . 	there is the father , jacob fuller ( keitel ) , who just resigned as a minister because he lost faith ever since his wife died in a car accident ; his sexy 20-year-old , innocent daughter , kate ( lewis ) ; and , her shy brother scot ( liu ) .	3	-3	 there[0] is[0] the[0] father[0] jacob[0] fuller[0] keitel[0] who[0] just[0] resigned[-1][--1 LastWordBoosterStrength] as[0] a[0] minister[0] because[0] he[0] lost[0] faith[1] ever[0] since[0] his[0] wife[0] died[0] in[0] a[0] car[0] accident[-1] his[0] sexy[2] 20[0] year[0] old[0] innocent[1] daughter[0] kate[0] lewis[0] and[0] her[0] shy[-2] brother[0] scott/scot[0] liu[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's not explained how he happens to be chinese . 	it's not explained how he happens to be chinese .	1	-1	 it's[0] not[0] explained[0] how[0] he[0] happens[0] to[0] be[0] chinese[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story really becomes bizarre when they get across the border and get ready to meet carlos in a bar/whorehouse for truckers and bikers called the titty twister . 	the story really becomes bizarre when they get across the border and get ready to meet carlos in a bar/whorehouse for truckers and bikers called the titty twister .	1	-2	 the[0] story[0] really[0] becomes[0] bizarre[-1] when[0] they[0] get[0] across[0] the[0] border[0] and[0] get[0] ready[0] to[0] meet[0] carlos[0] in[0] a[0] bar/whorehouse[0] for[0] truckers[0] and[0] bikers[0] called[0] the[0] titty[0] twister[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the place is open from dawn to dusk , thus the film's title . 	the place is open from dawn to dusk , thus the film's title .	1	-1	 the[0] place[0] is[0] open[0] from[0] dawn[0] to[0] dusk[0] thus[0] the[0] film's[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here's where rodriguez has a chance to throw convention out the window and have some absurd fun , as the place turns out to be a vampire hangout . 	here's where rodriguez has a chance to throw convention out the window and have some absurd fun , as the place turns out to be a vampire hangout .	2	-1	 here's[0] where[0] rodriguez[0] has[0] a[0] chance[0] to[0] throw[0] convention[0] out[0] the[0] window[0] and[0] have[0] some[0] absurd[-1][--1 LastWordBoosterStrength] fun[1] as[0] the[0] place[0] turns[0] out[0] to[0] be[0] a[0] vampire[0] hangout[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it sells sex to its patrons , and has exotic stripper santanico pandemonium ( hayek ) do her alluring strip before turning into a vampire . 	it sells sex to its patrons , and has exotic stripper santanico pandemonium ( hayek ) do her alluring strip before turning into a vampire .	1	-2	 it[0] sells[0] sex[0] to[0] its[0] patrons[0] and[0] has[0] exotic[0] stripper[0] santanico[0] pandemonium[-1] hayek[0] do[0] her[0] alluring[0] strip[0] before[0] turning[0] into[0] a[0] vampire[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the brothers and their hostages have to fight their way out of the place , as the vampires keep coming and the killings become the film's staple . 	the brothers and their hostages have to fight their way out of the place , as the vampires keep coming and the killings become the film's staple .	1	-3	 the[0] brothers[0] and[0] their[0] hostages[0] have[0] to[0] fight[-2] their[0] way[0] out[0] of[0] the[0] place[0] as[0] the[0] vampires[0] keep[0] coming[0] and[0] the[0] killings[0] become[0] the[0] film's[0] staple[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this supposedly clever script did nothing but turn me off , though there were a few funny moments in a film that was dripping with special effects and spent most of its script in finding novel ways to showcase its killings . 	this supposedly clever script did nothing but turn me off , though there were a few funny moments in a film that was dripping with special effects and spent most of its script in finding novel ways to showcase its killings .	2	-1	 this[0] supposedly[0] clever[0] script[0] did[0] nothing[0] but[0] turn[0] me[0] off[0] though[0] there[0] were[0] a[0] few[0] funny[1] moments[0] in[0] a[0] film[0] that[0] was[0] dripping[0] with[0] special[1] effects[0] and[0] spent[0] most[0] of[0] its[0] script[0] in[0] finding[0] novel[0] ways[0] to[0] showcase[0] its[0] killings[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'll take a pass on this one , it's just not my style of a film . 	i'll take a pass on this one , it's just not my style of a film .	1	-1	 i'll[0] take[0] a[0] pass[0] on[0] this[0] one[0] it's[0] just[0] not[0] my[0] style[0] of[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters were as empty as the story , and the film was an easy one to forget . 	the characters were as empty as the story , and the film was an easy one to forget .	1	-1	 the[0] characters[0] were[0] as[0] empty[0] as[0] the[0] story[0] and[0] the[0] film[0] was[0] an[0] easy[0] one[0] to[0] forget[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
