 " lake placid " marks yet another entry in the series of " predator pics " that were a screen staple in the late 1970s ( post- " jaws " ) and were revived recently by the godawful " anaconda . " 	Translation	Positive	Negative	EmotionRationale
 ( " lake placid " manages to have it both ways-i'll let you discover how for yourself ) . 	 ( " lake placid " manages to have it both ways-i'll let you discover how for yourself ) .	1	-1	 lake[0] placid[0] manages[0] to[0] have[0] it[0] both[0] ways[0] i'll[0] let[0] you[0] discover[0] how[0] for[0] yourself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the croc itself is mostly computer-generated , of course . 	the croc itself is mostly computer-generated , of course .	1	-1	 the[0] croc[0] itself[0] is[0] mostly[0] computer[0] generated[0] of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like the snake in " anaconda , " the thirty-foot monster crocodile doesn't seem real ; it moves too quickly and in ways that seem unnatural . 	like the snake in " anaconda , " the thirty-foot monster crocodile doesn't seem real ; it moves too quickly and in ways that seem unnatural .	2	-2	 like[1] the[0] snake[0] in[0] anaconda[0] the[0] thirty[0] foot[0] monster[-1] crocodile[0] doesn't[0] seem[0] real[0] it[0] moves[0] too[0] quickly[0] and[0] in[0] ways[0] that[0] seem[0] unnatural[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " lake placid " also offers little explanation for why a giant crocodile is in maine . 	 " lake placid " also offers little explanation for why a giant crocodile is in maine .	1	-1	 lake[0] placid[0] also[0] offers[0] little[0] explanation[0] for[0] why[0] a[0] giant[0] crocodile[0] is[0] in[0] maine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a lot of semi-mystical mumbo jumbo about how " we really don't know much about crocodiles . " 	there is a lot of semi-mystical mumbo jumbo about how " we really don't know much about crocodiles .<br> "	1	-1	 there[0] is[0] a[0] lot[0] of[0] semi[0] mystical[0] mumbo[0] jumbo[0] about[0] how[0] we[0] really[0] don't[0] know[0] much[0] about[0] crocodiles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they would have been better off going with something like the urban myth about alligators in the sewers . 	they would have been better off going with something like the urban myth about alligators in the sewers .	2	-1	 they[0] would[0] have[0] been[0] better[0] off[0] going[0] with[0] something[0] like[1] the[0] urban[0] myth[0] about[0] alligators[0] in[0] the[0] sewers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a movie like this doesn't have to offer much of an explanation ( radioactive mutant ? 	a movie like this doesn't have to offer much of an explanation ( radioactive mutant ?	2	-1	 a[0] movie[0] like[1] this[0] doesn't[0] have[0] to[0] offer[0] much[0] of[0] an[0] explanation[0] radioactive[0] mutant[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
creature from outer space ? ) , but it does have to give the audience something to hang their disbelief on . 	creature from outer space ?<br> ) , but it does have to give the audience something to hang their disbelief on .	1	-2	 creature[0] from[0] outer[0] space[0] [[Sentence=-1,1=word max, 1-5]] but[0] it[0] does[0] have[0] to[0] give[0] the[0] audience[0] something[0] to[0] hang[-1] their[0] disbelief[-1] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pullman and fonda seem to be plodding through the movie on auto-pilot . 	pullman and fonda seem to be plodding through the movie on auto-pilot .	1	-1	 pullman[0] and[0] fonda[0] seem[0] to[0] be[0] plodding[0] through[0] the[0] movie[0] on[0] auto[0] pilot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the time , they're probably thinking about killing their agents or wondering if making this movie marks the end of their careers . 	most of the time , they're probably thinking about killing their agents or wondering if making this movie marks the end of their careers .	1	-2	 most[0] of[0] the[0] time[0] they're[0] probably[0] thinking[0] about[0] killing[-1] their[0] agents[0] or[0] wondering[0] if[0] making[0] this[0] movie[0] marks[0] the[0] end[0] of[0] their[0] careers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
platt and white , on the other hand , seem to be giving their best efforts , and they manage to squeeze a few chuckles out of this sorry script . 	platt and white , on the other hand , seem to be giving their best efforts , and they manage to squeeze a few chuckles out of this sorry script .	3	-2	 platt[0] and[0] white[0] on[0] the[0] other[0] hand[0] seem[0] to[0] be[0] giving[0] their[0] best[1] efforts[0] and[0] they[0] manage[0] to[0] squeeze[0] a[0] few[0] chuckles[2] out[0] of[0] this[0] sorry[-1] script[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
