inspired by the 1958 film house on haunted hill starring vincent price . 	Translation	Positive	Negative	EmotionRationale
house on haunted hill owes its lineage to a b-movie 40 years old and makes no illusion that it's a crappy horror movie . 	house on haunted hill owes its lineage to a b-movie 40 years old and makes no illusion that it's a crappy horror movie .	1	-5	 house[0] on[0] haunted[0] hill[0] owes[0] its[0] lineage[0] to[0] a[0] b[0] movie[0] 40[0] years[0] old[0] and[0] makes[0] no[0] illusion[0] that[0] it's[0] a[0] crappy[-2] horror[-3][-1 MultiplePositiveWords] movie[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
thus , somehow , it proves slightly more successful . 	thus , somehow , it proves slightly more successful .	3	-1	 thus[0] somehow[0] it[0] proves[0] slightly[0] more[0] successful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i can't think of another recent film which has had such an eclectic cast . 	i can't think of another recent film which has had such an eclectic cast .	1	-1	 i[0] can't[0] think[0] of[0] another[0] recent[0] film[0] which[0] has[0] had[0] such[0] an[0] eclectic[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is this cast which lifts this ho-hum thriller into a borderline entertaining exercise in camp horror . 	it is this cast which lifts this ho-hum thriller into a borderline entertaining exercise in camp horror .	2	-4	 it[0] is[0] this[0] cast[0] which[0] lifts[0] this[0] ho[0] hum[0] thriller[1] into[0] a[0] borderline[0] entertaining[0] exercise[0] in[0] camp[0] horror[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
price , the main character , is played by geoffrey rush , the academy-award winning actor of shine . 	price , the main character , is played by geoffrey rush , the academy-award winning actor of shine .	2	-1	 price[0] the[0] main[0] character[0] is[0] played[0] by[0] geoffrey[0] rush[0] the[0] academy[0] award[0] winning[1] actor[0] of[0] shine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rush seems to be making a downward spiral in the movie industry , a spiral reminiscent of ben ( ghandi , schindler's list ) kingsley's ridiculous appearance in the camp sci-fi classic species . 	rush seems to be making a downward spiral in the movie industry , a spiral reminiscent of ben ( ghandi , schindler's list ) kingsley's ridiculous appearance in the camp sci-fi classic species .	1	-3	 rush[0] seems[0] to[0] be[0] making[0] a[0] downward[0] spiral[0] in[0] the[0] movie[0] industry[0] a[0] spiral[0] reminiscent[0] of[0] ben[0] ghandi[0] schindler's[0] list[0] kingsley's[0] ridiculous[-2] appearance[0] in[0] the[0] camp[0] sci[0] fi[0] classic[0] species[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i don't know why , but sometimes it's entertaining to see " quality " actors in bad movies . 	i don't know why , but sometimes it's entertaining to see " quality " actors in bad movies .	1	-2	 i[0] don't[0] know[0] why[0] but[0] sometimes[0] it's[0] entertaining[0] to[0] see[0] quality[0] actors[0] in[0] bad[-1] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
more surprises ? 	more surprises ?	1	-1	 more[0] surprises[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rising star taye diggs plays a stereotypical african american sports figure ( rather lamely too ) , and singer lisa loeb ( ! ) 	rising star taye digs plays a stereotypical african american sports figure ( rather lamely too ) , and singer lisa loeb ( !<br> )	2	-3	 rising[0] star[0] taye[0] diggs/digs[0] plays[1] a[0] stereotypical[0] african[0] american[0] sports[0] figure[0] rather[0] lamely[-2] too[0] and[0] singer[0] lisa[0] loeb[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
appears as a tv news reporter . 	appears as a tv news reporter .	1	-1	 appears[0] as[0] a[0] tv[0] news[0] reporter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the highlight of the cast , however , has to be saturday night live member chris kattan . 	the highlight of the cast , however , has to be saturday night live member chris kattan .	1	-1	 the[0] highlight[0] of[0] the[0] cast[0] however[0] has[0] to[0] be[0] saturday[0] night[0] live[0] member[0] chris[0] kattan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kattan's comic sense provides several good humorous moments as he plays the hysterical proprietor of the former sanitarium . 	kattan's comic sense provides several good humorous moments as he plays the hysterical proprietor of the former sanitarium .	3	-2	 kattan's[0] comic[0] sense[0] provides[0] several[0] good[1] humorous[2] moments[0] as[0] he[0] plays[1] the[0] hysterical[-1] proprietor[0] of[0] the[0] former[0] sanitarium[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
while the first half of the film leaves the audience guessing as to what's exactly going on , the second half dissolves into standard ghost story stuff and loses some of its suspense . 	while the first half of the film leaves the audience guessing as to what's exactly going on , the second half dissolves into standard ghost story stuff and loses some of its suspense .	1	-2	 while[0] the[0] first[0] half[0] of[0] the[0] film[0] leaves[0] the[0] audience[0] guessing[0] as[0] to[0] what's[0] exactly[0] going[0] on[0] the[0] second[0] half[0] dissolves[0] into[0] standard[0] ghost[0] story[0] stuff[0] and[0] loses[-1] some[0] of[0] its[0] suspense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a disappointingly cheesy ending really mars this movie too . 	a disappointingly cheesy ending really mars this movie too .	1	-2	 a[0] disappointingly[-1] cheesy[0] ending[0] really[0] mars[0] this[0] movie[0] too[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
house on haunted hill , i suspect , has just about left the second-run theaters . 	house on haunted hill , i suspect , has just about left the second-run theaters .	1	-2	 house[0] on[0] haunted[0] hill[0] i[0] suspect[-1] has[0] just[0] about[0] left[0] the[0] second[0] run[0] theaters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's worth catching on cable next year , if you get a chance . 	it's worth catching on cable next year , if you get a chance .	1	-1	 it's[0] worth[0] catching[0] on[0] cable[0] next[0] year[0] if[0] you[0] get[0] a[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you have a choice , pick this movie over the haunting , it's the better of two evils , you could say . 	if you have a choice , pick this movie over the haunting , it's the better of two evils , you could say .	1	-3	 if[0] you[0] have[0] a[0] choice[0] pick[0] this[0] movie[0] over[0] the[0] haunting[0] it's[0] the[0] better[0] of[0] two[0] evils[-2] you[0] could[0] say[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
though , more appropriately perhaps , it'd be better to say that it's the better of two turkeys . 	though , more appropriately perhaps , it'd be better to say that it's the better of two turkeys .	1	-1	 though[0] more[0] appropriately[0] perhaps[0] it'd[0] be[0] better[0] to[0] say[0] that[0] it's[0] the[0] better[0] of[0] two[0] turkeys[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
