you always have to be careful with the first official studio release out of the gate each year . 	Translation	Positive	Negative	EmotionRationale
the dialogue is strictly b-movie material , and the plotting relies too heavily on coincidences to be believable . 	the dialogue is strictly b-movie material , and the plotting relies too heavily on coincidences to be believable .	1	-2	 the[0] dialogue[0] is[0] strictly[-1] b[0] movie[0] material[0] and[0] the[0] plotting[0] relies[0] too[0] heavily[0] on[0] coincidences[0] to[0] be[0] believable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
long's co-stars are a mixed bag . 	long's co-stars are a mixed bag .	1	-1	 long's[0] co[0] stars[0] are[0] a[0] mixed[0] bag[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least they're all comfortable in their respective roles . 	at least they're all comfortable in their respective roles .	3	-1	 at[0] least[0] they're[0] all[0] comfortable[1] in[0] their[0] respective[2] roles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
forsythe has the scenery-chewing villain down cold , down cold , and scott glenn is always enjoyable to watch , even when he doesn't seem to be stretching his talents ( as is definitely the case here ) . 	forsythe has the scenery-chewing villain down cold , down cold , and scot glen is always enjoyable to watch , even when he doesn't seem to be stretching his talents ( as is definitely the case here ) .	3	-3	 forsythe[0] has[0] the[0] scenery[0] chewing[0] villain[-2] down[0] cold[-1] down[0] cold[-1] and[0] scott/scot[0] glenn/glen[0] is[0] always[0] enjoyable[2] to[0] watch[0] even[0] when[0] he[0] doesn't[0] seem[0] to[0] be[0] stretching[0] his[0] talents[1] as[0] is[0] definitely[0] the[0] case[0] here[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
suzy amis plays peril pretty well , but isn't given much more to do . 	suzy amis plays peril pretty well , but isn't given much more to do .	3	-2	 suzy[0] amis[0] plays[1] peril[-1] pretty[2] well[0] but[0] isn't[0] given[0] much[0] more[0] to[0] do[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
some of the nature and wildfire shots are interesting , but many are rather bland . 	some of the nature and wildfire shots are interesting , but many are rather bland .	2	-2	 some[0] of[0] the[0] nature[0] and[0] wildfire[0] shots[0] are[0] interesting[1] but[0] many[0] are[0] rather[0] bland[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you'd think that the director , dean semler , a former cinematographer , would at least produce a film with interesting visuals . 	you'd think that the director , dean semler , a former cinematographer , would at least produce a film with interesting visuals .	2	-1	 you'd[0] think[0] that[0] the[0] director[0] dean[0] semler[0] a[0] former[0] cinematographer[0] would[0] at[0] least[0] produce[0] a[0] film[0] with[0] interesting[1] visuals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's not the case . 	that's not the case .	1	-1	 that's[0] not[0] the[0] case[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a lack of originality to nearly all the sequences . . . we've 	there's a lack of originality to nearly all the sequences .<br> .<br> .<br> we've	1	-2	 there's[0] a[0] lack[-1] of[0] originality[0] to[0] nearly[0] all[0] the[0] sequences[0] [[Sentence=-2,1=word max, 1-5]] we've[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
seen this stuff before . 	seen this stuff before .	1	-1	 seen[0] this[0] stuff[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not the most auspicious start to 1998 , but it could have been worse ( just think back to 1996's debut , bio-dome ) . 	it's not the most auspicious start to 1998 , but it could have been worse ( just think back to 1996's debut , bio-dome ) .	1	-3	 it's[0] not[0] the[0] most[0] auspicious[0] start[0] to[0] 1998[0] but[0] it[0] could[0] have[0] been[0] worse[-2] just[0] think[0] back[0] to[0] 1996's[0] debut[0] bio[0] dome[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , after a month of oscar-caliber pictures , a movie like firestorm at least gives you some perspective on how good those movies really were . 	however , after a month of oscar-caliber pictures , a movie like firestorm at least gives you some perspective on how good those movies really were .	2	-1	 however[0] after[0] a[0] month[0] of[0] oscar[0] caliber[0] pictures[0] a[0] movie[0] like[1] firestorm[0] at[0] least[0] gives[0] you[0] some[0] perspective[0] on[0] how[0] good[1] those[0] movies[0] really[0] were[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , there's a good chance that some of them are still playing near you . . . 	in fact , there's a good chance that some of them are still playing near you .<br> .<br> .	2	-1	 in[0] fact[0] there's[0] a[0] good[1] chance[0] that[0] some[0] of[0] them[0] are[0] still[0] playing[1] near[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
