to put it bluntly , ed wood would have been proud of this . 	Translation	Positive	Negative	EmotionRationale
after an overdone special effects thing , they're . . . inside a goddam pyramid . 	after an overdone special effects thing , they're .<br> .<br> .<br> inside a goddam pyramid .	2	-3	 after[0] an[0] overdone[0] special[1] effects[0] thing[0] they're[0] [[Sentence=-1,2=word max, 1-5]] inside[0] a[0] goddam[-2] pyramid[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
so they went to egypt , right ? 	so they went to egypt , right ?	1	-1	 so[0] they[0] went[0] to[0] egypt[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wrong . 	wrong .	1	-2	 wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they're on another planet that was filmed in egypt . 	they're on another planet that was filmed in egypt .	1	-1	 they're[0] on[0] another[0] planet[0] that[0] was[0] filmed[0] in[0] egypt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they discover a cilvilization ruled by ra , the sun god ( the androginous jaye davidson , with a voice modifier to make him sound like barry white with asthma ) , and there are fights , explosions and a kiss between two people . 	they discover a cilvilization ruled by ra , the sun god ( the androginous jaye davidson , with a voice modifier to make him sound like barry white with asthma ) , and there are fights , explosions and a kiss between two people .	3	-3	 they[0] discover[0] a[0] cilvilization[0] ruled[0] by[0] ra[0] the[0] sun[0] god[0] the[0] androginous[0] jaye[0] davidson[0] with[0] a[0] voice[0] modifier[0] to[0] make[0] him[0] sound[0] like[1] barry[0] white[0] with[0] asthma[0] and[0] there[0] are[0] fights[-2] explosions[-1] and[0] a[0] kiss[2] between[0] two[0] people[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
yea . 	yea .	1	-1	 yea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also melodrama , stupidity , hokey scenes and a bizarre language . 	also melodrama , stupidity , hokey scenes and a bizarre language .	1	-2	 also[0] melodrama[0] stupidity[-1] hokey[0] scenes[0] and[0] a[0] bizarre[-1] language[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
an anti-climactic ending ends with stupid lines ( " say hello to king tut , asswhole ! " 	an anti-climactic ending ends with stupid lines ( " say hello to king tut , asswhole !<br> "	1	-2	 an[0] anti[0] climactic[0] ending[0] ends[0] with[0] stupid[-1] lines[0] say[0] hello[0] to[0] king[0] tut[0] asswhole[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
- the quintessential line , lemme tell ya ) and some convenient pesudo-pseudo-pseudo-character development . 	- the quintessential line , lemme tell ya ) and some convenient pesudo-pseudo-pseudo-character development .	1	-1	 the[0] quintessential[0] line[0] lemme[0] tell[0] ya[0] and[0] some[0] convenient[0] pesudo[0] pseudo[0] pseudo[0] character[0] development[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the end , you just wanna go home and watch , i don't know , the " outer limits " or something . 	by the end , you just wanna go home and watch , i don't know , the " outer limits " or something .	1	-1	 by[0] the[0] end[0] you[0] just[0] wanna[0] go[0] home[0] and[0] watch[0] i[0] don't[0] know[0] the[0] outer[0] limits[0] or[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script's terrible . 	the script's terrible .	1	-4	 the[0] script's[0] terrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the special effects are okay , but nothing great . 	the special effects are okay , but nothing great .	3	-1	 the[0] special[1] effects[0] are[0] okay[0] but[0] nothing[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story's so weak that it's almost opaque . 	the story's so weak that it's almost opaque .	1	-2	 the[0] story's[0] so[0] weak[-1] that[0] it's[0] almost[0] opaque[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the whole experience just isn't worth it unless you're so bored that you'd consider watching a " full house " marathon . . . or 	the whole experience just isn't worth it unless you're so bored that you'd consider watching a " full house " marathon .<br> .<br> .<br> or	1	-2	 the[0] whole[0] experience[0] just[0] isn't[0] worth[0] it[0] unless[0] you're[0] so[0] bored[-1] that[0] you'd[0] consider[0] watching[0] a[0] full[0] house[0] marathon[0] [[Sentence=-2,1=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
this . 	this .	1	-1	 this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd pick this , obviously , but still , it's just not fun at all . 	i'd pick this , obviously , but still , it's just not fun at all .	1	-2	 i'd[0] pick[0] this[0] obviously[0] but[0] still[0] it's[0] just[0] not[0] fun[1][NegatedDueToPreviousWord] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and i can't wait for it to premier on mst3k . 	and i can't wait for it to premier on mst3k .	1	-1	 and[0] i[0] can't[0] wait[0] for[0] it[0] to[0] premier[0] on[0] mst3k[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
