depending on your degree of cinematic acumen , last man standing is either a ) a prohibition-era remake of akira kurosawa's 1961 classic yojimbo ; b ) a prohibition-era remake of sergio leone's 1964 classic a fistful of dollars ; c ) a prohibition-era action drama with a completely original story-line . 	Translation	Positive	Negative	EmotionRationale
with john smith's voice chattering on in the background and allowing us into his every thought , he becomes more mundane , just another tough guy trying to stay alive . 	with john smith's voice chattering on in the background and allowing us into his every thought , he becomes more mundane , just another tough guy trying to stay alive .	1	-2	 with[0] john[0] smith's[0] voice[0] chattering[0] on[0] in[0] the[0] background[0] and[0] allowing[0] us[0] into[0] his[0] every[0] thought[0] he[0] becomes[0] more[0] mundane[-1] just[0] another[0] tough[-1] guy[0] trying[0] to[0] stay[0] alive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it feels like a hammett novel , all right , and hill can plead faithfulness to his text for his choice , but it simply doesn't work . 	it feels like a hammett novel , all right , and hill can plead faithfulness to his text for his choice , but it simply doesn't work .	2	-1	 it[0] feels[0] like[1] a[0] hammett[0] novel[0] all[0] right[0] and[0] hill[0] can[0] plead[0] faithfulness[1] to[0] his[0] text[0] for[0] his[0] choice[0] but[0] it[0] simply[0] doesn't[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the narration allows the man with no name to take us into his confidence , and the man with no name takes _no one_ into his confidence . 	the narration allows the man with no name to take us into his confidence , and the man with no name takes _no one_ into his confidence .	2	-1	 the[0] narration[0] allows[0] the[0] man[0] with[0] no[0] name[0] to[0] take[0] us[0] into[0] his[0] confidence[1] and[0] the[0] man[0] with[0] no[0] name[0] takes[0] _no[0] one_[0] into[0] his[0] confidence[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even if you walk into last man standing as a blank slate , i can't imagine it being much more than a heavily armed minor distraction . 	even if you walk into last man standing as a blank slate , i can't imagine it being much more than a heavily armed minor distraction .	1	-2	 even[0] if[0] you[0] walk[0] into[0] last[0] man[0] standing[0] as[0] a[0] blank[0] slate[0] i[0] can't[0] imagine[0] it[0] being[0] much[0] more[0] than[0] a[0] heavily[0] armed[0] minor[0] distraction[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
willis tones down his macho swagger as the taciturn smith , but there is still a level on which he always seems like he is counting on being tougher than everyone else rather than smarter than everyone else . 	willis tones down his macho swagger as the taciturn smith , but there is still a level on which he always seems like he is counting on being tougher than everyone else rather than smarter than everyone else .	2	-2	 willis[0] tones[0] down[0] his[0] macho[0] swagger[0] as[0] the[0] taciturn[0] smith[0] but[0] there[0] is[0] still[0] a[0] level[0] on[0] which[0] he[0] always[0] seems[0] like[1] he[0] is[0] counting[0] on[0] being[0] tougher[-1] than[0] everyone[0] else[0] rather[0] than[0] smarter[1] than[0] everyone[0] else[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
christopher walken plays doyle's brutal henchman as a slight variation on his gallery of soft-spoken psychos , and there isn't another single character whom makes even the slightest impression . 	christopher walken plays doyle's brutal henchman as a slight variation on his gallery of soft-spoken psychos , and there isn't another single character whom makes even the slightest impression .	2	-3	 christopher[0] walken[0] plays[1] doyle's[0] brutal[-2] henchman[0] as[0] a[0] slight[0] variation[0] on[0] his[0] gallery[0] of[0] soft[0] spoken[0] psychos[0] and[0] there[0] isn't[0] another[0] single[0] character[0] whom[0] makes[0] even[0] the[0] slightest[0] impression[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
with no compelling antagonist for smith , there is no build-up towards the expected showdown , and when it does come , that showdown is over so quickly you wonder what all the fuss was about . 	with no compelling antagonist for smith , there is no build-up towards the expected showdown , and when it does come , that showdown is over so quickly you wonder what all the fuss was about .	1	-2	 with[0] no[0] compelling[0] antagonist[-1] for[0] smith[0] there[0] is[0] no[0] build[0] up[0] towards[0] the[0] expected[0] showdown[0] and[0] when[0] it[0] does[0] come[0] that[0] showdown[0] is[0] over[0] so[0] quickly[0] you[0] wonder[0] what[0] all[0] the[0] fuss[-1] was[0] about[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cinematographer lloyd ahern ( who also did the only noteworthy work on hill's 1995 flop wild bill ) creates some nifty sunburned vistas , but his work is only to keep the eye distracted between the spurts of gunfire and the next bit of counter-productive narration . 	cinematographer lloyd ahern ( who also did the only noteworthy work on hill's 1995 flop wild bill ) creates some nifty sunburned vistas , but his work is only to keep the eye distracted between the spurts of gunfire and the next bit of counter-productive narration .	1	-2	 cinematographer[0] lloyd[0] ahern[0] who[0] also[0] did[0] the[0] only[0] noteworthy[0] work[0] on[0] hill's[0] 1995[0] flop[0] wild[0] bill[0] creates[0] some[0] nifty[0] sunburned[0] vistas[0] but[0] his[0] work[0] is[0] only[0] to[0] keep[0] the[0] eye[0] distracted[-1] between[0] the[0] spurts[0] of[0] gunfire[-1] and[0] the[0] next[0] bit[0] of[0] counter[0] productive[0] narration[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sometimes when someone sees a lackluster remake of a revered original , they'll wonder what all the talk was about . 	sometimes when someone sees a lackluster remake of a revered original , they'll wonder what all the talk was about .	1	-1	 sometimes[0] when[0] someone[0] sees[0] a[0] lackluster[0] remake[0] of[0] a[0] revered[0] original[0] they'll[0] wonder[0] what[0] all[0] the[0] talk[0] was[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the case of last man standing , it is those who know the originals who will wonder what all that talking was about . 	in the case of last man standing , it is those who know the originals who will wonder what all that talking was about .	1	-1	 in[0] the[0] case[0] of[0] last[0] man[0] standing[0] it[0] is[0] those[0] who[0] know[0] the[0] originals[0] who[0] will[0] wonder[0] what[0] all[0] that[0] talking[0] was[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
