well , what are you going to expect ? 	Translation	Positive	Negative	EmotionRationale
cale chokes on a deadly wasp ( don't ask me how that happens - i don't know ) and is put out of action , relegated to being the person whom the rest of the film crew must get back to civilization for medical help . 	cale chokes on a deadly wasp ( don't ask me how that happens - i don't know ) and is put out of action , relegated to being the person whom the rest of the film crew must get back to civilization for medical help .	1	-4	 cale[0] chokes[-3] on[0] a[0] deadly[-1] wasp[0] don't[0] ask[0] me[0] how[0] that[0] happens[0] i[0] don't[0] know[0] and[0] is[0] put[0] out[0] of[0] action[0] relegated[0] to[0] being[0] the[0] person[0] whom[0] the[0] rest[0] of[0] the[0] film[0] crew[0] must[0] get[0] back[0] to[0] civilization[0] for[0] medical[0] help[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this minimally helps to add a sense of urgency for the plot , since this goal now comes in direct conflict with sarone's plan to capture the snake . 	this minimally helps to add a sense of urgency for the plot , since this goal now comes in direct conflict with sarone's plan to capture the snake .	1	-2	 this[0] minimally[0] helps[0] to[0] add[0] a[0] sense[0] of[0] urgency[0] for[0] the[0] plot[0] since[0] this[0] goal[0] now[0] comes[0] in[0] direct[0] conflict[-1] with[0] sarone's[0] plan[0] to[0] capture[-1] the[0] snake[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , this is negated by the fact that cale seems to get better by himself about halfway through the film , and in any event still results in zero payoff from the relationship angle . 	however , this is negated by the fact that cale seems to get better by himself about halfway through the film , and in any event still results in zero payoff from the relationship angle .	1	-1	 however[0] this[0] is[0] negated[0] by[0] the[0] fact[0] that[0] cale[0] seems[0] to[0] get[0] better[0] by[0] himself[0] about[0] halfway[0] through[0] the[0] film[0] and[0] in[0] any[0] event[0] still[0] results[0] in[0] zero[0] payoff[0] from[0] the[0] relationship[0] angle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most bad characters are either annoying or stupid . 	most bad characters are either annoying or stupid .	1	-3	 most[0] bad[-1] characters[0] are[0] either[0] annoying[-2] or[0] stupid[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in this movie , they're both . 	in this movie , they're both .	1	-1	 in[0] this[0] movie[0] they're[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since this description applies to all the characters except sarone , it's hard to find someone to root for . 	since this description applies to all the characters except sarone , it's hard to find someone to root for .	1	-1	 since[0] this[0] description[0] applies[0] to[0] all[0] the[0] characters[0] except[0] sarone[0] it's[0] hard[0] to[0] find[0] someone[0] to[0] root[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you're supposed to back the good guys , but you really end up cheering for sarone because he's smarter than everyone else . 	you're supposed to back the good guys , but you really end up cheering for sarone because he's smarter than everyone else .	3	-1	 you're[0] supposed[0] to[0] back[0] the[0] good[1] guys[0] but[0] you[0] really[0] end[0] up[0] cheering[2] for[0] sarone[0] because[0] he's[0] smarter[1] than[0] everyone[0] else[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
or maybe he's just not as dumb as everyone else . 	or maybe he's just not as dumb as everyone else .	2	-1	 or[0] maybe[0] he's[0] just[0] not[0] as[0] dumb[-1][NegatedDueToPreviousWord] as[0] everyone[0] else[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at times , i almost found myself rooting for the snake . 	at times , i almost found myself rooting for the snake .	1	-1	 at[0] times[0] i[0] almost[0] found[0] myself[0] rooting[0] for[0] the[0] snake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are no standout performances here . 	there are no standout performances here .	1	-1	 there[0] are[0] no[0] standout[0] performances[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone seems to be reciting lines written for stock characters . 	everyone seems to be reciting lines written for stock characters .	1	-1	 everyone[0] seems[0] to[0] be[0] reciting[0] lines[0] written[0] for[0] stock[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even voight appears to be doing his best impression of christopher walken for some reason . 	even voight appears to be doing his best impression of christopher walken for some reason .	2	-1	 even[0] voight[0] appears[0] to[0] be[0] doing[0] his[0] best[1] impression[0] of[0] christopher[0] walken[0] for[0] some[0] reason[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no matter , as in most monster movies , the snake is supposed to be the real star anyway . 	no matter , as in most monster movies , the snake is supposed to be the real star anyway .	1	-2	 no[0] matter[0] as[0] in[0] most[0] monster[-1] movies[0] the[0] snake[0] is[0] supposed[0] to[0] be[0] the[0] real[0] star[0] anyway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in most of the scenes , the snake is computer generated , and the effects crew did a decent job of making it look real . 	in most of the scenes , the snake is computer generated , and the effects crew did a decent job of making it look real .	1	-1	 in[0] most[0] of[0] the[0] scenes[0] the[0] snake[0] is[0] computer[0] generated[0] and[0] the[0] effects[0] crew[0] did[0] a[0] decent[0] job[0] of[0] making[0] it[0] look[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the realism is thrown off by some pretty unrealistic occurrences . 	however , the realism is thrown off by some pretty unrealistic occurrences .	2	-1	 however[0] the[0] realism[0] is[0] thrown[0] off[0] by[0] some[0] pretty[2][-1 LastWordBoosterStrength] unrealistic[0] occurrences[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sometimes , for example , the snake just moves too fast . 	sometimes , for example , the snake just moves too fast .	1	-1	 sometimes[0] for[0] example[0] the[0] snake[0] just[0] moves[0] too[0] fast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it catches a guy jumping off of a waterfall , for crying out loud . 	it catches a guy jumping off of a waterfall , for crying out loud .	1	-4	 it[0] catches[0] a[0] guy[0] jumping[0] off[0] of[0] a[0] waterfall[0] for[0] crying[-3] out[0] loud[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
then there's another scene where the snake eats one of the characters , and we see the snake's skin drawn so tightly over its prey that we can see the victim's pained expression from within the snake's belly . 	then there's another scene where the snake eats one of the characters , and we see the snake's skin drawn so tightly over its prey that we can see the victim's pained expression from within the snake's belly .	1	-3	 then[0] there's[0] another[0] scene[0] where[0] the[0] snake[0] eats[0] one[0] of[0] the[0] characters[0] and[0] we[0] see[0] the[0] snake's[0] skin[0] drawn[0] so[0] tightly[0] over[0] its[0] prey[0] that[0] we[0] can[0] see[0] the[0] victim's[-2] pained[-1] expression[0] from[0] within[0] the[0] snake's[0] belly[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
absolutely ridiculous . 	absolutely ridiculous .	1	-4	 absolutely[0] ridiculous[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a testimony to the film's bad direction is the inclusion of a scene early on the in the film , where we get to see just how dangerous the mighty anaconda is . 	a testimony to the film's bad direction is the inclusion of a scene early on the in the film , where we get to see just how dangerous the mighty anaconda is .	1	-2	 a[0] testimony[0] to[0] the[0] film's[0] bad[-1] direction[0] is[0] the[0] inclusion[0] of[0] a[0] scene[0] early[0] on[0] the[0] in[0] the[0] film[0] where[0] we[0] get[0] to[0] see[0] just[0] how[0] dangerous[-1] the[0] mighty[0] anaconda[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a scene totally unrelated to anything else , we are witness to the big snake winning a showdown with a panther . 	in a scene totally unrelated to anything else , we are witness to the big snake winning a showdown with a panther .	2	-1	 in[0] a[0] scene[0] totally[0] unrelated[0] to[0] anything[0] else[0] we[0] are[0] witness[0] to[0] the[0] big[0] snake[0] winning[1] a[0] showdown[0] with[0] a[0] panther[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the anaconda wraps itself around the powerful feline as if it were a stuffed animal and squeezes it so hard , one of the panther's eyeballs pops out . 	the anaconda wraps itself around the powerful feline as if it were a stuffed animal and squeezes it so hard , one of the panther's eyeballs pops out .	1	-1	 the[0] anaconda[0] wraps[0] itself[0] around[0] the[0] powerful[0] feline[0] as[0] if[0] it[0] were[0] a[0] stuffed[0] animal[0] and[0] squeezes[0] it[0] so[0] hard[0] one[0] of[0] the[0] panther's[0] eyeballs[0] pops[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eeeewwwww . 	eew .	1	-1	 eeeewwwww/eew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
above and beyond the sick factor , however , this scene surprised me because it actually showed the face of the snake before a quarter of the movie had even passed . 	above and beyond the sick factor , however , this scene surprised me because it actually showed the face of the snake before a quarter of the movie had even passed .	1	-2	 above[0] and[0] beyond[0] the[0] sick[-1] factor[0] however[0] this[0] scene[0] surprised[0] me[0] because[0] it[0] actually[0] showed[0] the[0] face[0] of[0] the[0] snake[0] before[0] a[0] quarter[0] of[0] the[0] movie[0] had[0] even[0] passed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in films like these , a sense of mystery surrounding the monster must be maintained . 	in films like these , a sense of mystery surrounding the monster must be maintained .	2	-2	 in[0] films[0] like[1] these[0] a[0] sense[0] of[0] mystery[0] surrounding[0] the[0] monster[-1] must[0] be[0] maintained[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if the characters are reacting to something they fear more than see , we as an audience must experience that feeling along with them . 	if the characters are reacting to something they fear more than see , we as an audience must experience that feeling along with them .	1	-4	 if[0] the[0] characters[0] are[0] reacting[0] to[0] something[0] they[0] fear[-3] more[0] than[0] see[0] we[0] as[0] an[0] audience[0] must[0] experience[0] that[0] feeling[0] along[0] with[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to show us the monster early on is to let us in on something the characters don't know about , and therefore allow us to get used to the danger before the pivotal moment when man and beast have their climactic showdown . 	to show us the monster early on is to let us in on something the characters don't know about , and therefore allow us to get used to the danger before the pivotal moment when man and beast have their climactic showdown .	1	-2	 to[0] show[0] us[0] the[0] monster[-1] early[0] on[0] is[0] to[0] let[0] us[0] in[0] on[0] something[0] the[0] characters[0] don't[0] know[0] about[0] and[0] therefore[0] allow[0] us[0] to[0] get[0] used[0] to[0] the[0] danger[-1] before[0] the[0] pivotal[0] moment[0] when[0] man[0] and[0] beast[0] have[0] their[0] climactic[0] showdown[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a case like that , the showdown just ends up being a letdown . 	in a case like that , the showdown just ends up being a letdown .	2	-1	 in[0] a[0] case[0] like[1] that[0] the[0] showdown[0] just[0] ends[0] up[0] being[0] a[0] letdown[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when i saw the snake for the first time , i decided to give the film the benefit of the doubt and assume that the snake i saw wasn't the real danger . 	when i saw the snake for the first time , i decided to give the film the benefit of the doubt and assume that the snake i saw wasn't the real danger .	1	-2	 when[0] i[0] saw[0] the[0] snake[0] for[0] the[0] first[0] time[0] i[0] decided[0] to[0] give[0] the[0] film[0] the[0] benefit[0] of[0] the[0] doubt[-1] and[0] assume[0] that[0] the[0] snake[0] i[0] saw[0] wasn't[0] the[0] real[0] danger[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this one was just a decoy , and there was actually a bigger snake waiting to make its appearance just when everyone thought they were safe . 	this one was just a decoy , and there was actually a bigger snake waiting to make its appearance just when everyone thought they were safe .	2	-1	 this[0] one[0] was[0] just[0] a[0] decoy[0] and[0] there[0] was[0] actually[0] a[0] bigger[0] snake[0] waiting[0] to[0] make[0] its[0] appearance[0] just[0] when[0] everyone[0] thought[0] they[0] were[0] safe[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no such luck . 	no such luck .	3	-1	 no[0] such[0] luck[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
okay , maybe anaconda is actually a decoy , and there's really a better movie waiting to make its debut . 	okay , maybe anaconda is actually a decoy , and there's really a better movie waiting to make its debut .	1	-1	 okay[0] maybe[0] anaconda[0] is[0] actually[0] a[0] decoy[0] and[0] there's[0] really[0] a[0] better[0] movie[0] waiting[0] to[0] make[0] its[0] debut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
