a film that means well , but is too pushy in promoting its belabored point and too sentimental to be compelling as a drama . 	Translation	Positive	Negative	EmotionRationale
the film is done in by its ham-fisted script as the story , adapted from carl friedman's book " the shovel and the loom , " goes from one false note to another until it gets lost in all the goo of its sentimentality . 	the film is done in by its ham-fisted script as the story , adapted from carl friedman's book " the shovel and the loom , " goes from one false note to another until it gets lost in all the goo of its sentimentality .	3	-1	 the[0] film[0] is[0] done[0] in[0] by[0] its[0] ham[0] fisted[0] script[0] as[0] the[0] story[0] adapted[0] from[0] carl[0] friedman's[0] book[0] the[0] shovel[0] and[0] the[0] loom[0] goes[0] from[0] one[0] false[0] note[0] to[0] another[0] until[0] it[0] gets[0] lost[0] in[0] all[0] the[0] goo[0] of[0] its[0] sentimentality[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it starts off telling chaja's story of how she's a lost jewess trying to find her identity , then to her nanny role as she loves a mute child stuck in an insulated environment , and then it makes it a story about the lingering effects of the bitter past that can't be forgotten . 	it starts off telling chaja's story of how she's a lost jewess trying to find her identity , then to her nanny role as she loves a mute child stuck in an insulated environment , and then it makes it a story about the lingering effects of the bitter past that can't be forgotten .	3	-2	 it[0] starts[0] off[0] telling[0] chaja's[0] story[0] of[0] how[0] she's[0] a[0] lost[0] jewess[0] trying[0] to[0] find[0] her[0] identity[0] then[0] to[0] her[0] nanny[0] role[0] as[0] she[0] loves[2] a[0] mute[0] child[0] stuck[0] in[0] an[0] insulated[0] environment[0] and[0] then[0] it[0] makes[0] it[0] a[0] story[0] about[0] the[0] lingering[0] effects[0] of[0] the[0] bitter[-1] past[0] that[0] can't[0] be[0] forgotten[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the effort seemed heavy-handed , as the film kept delivering too many obvious messages that it ponderously kept delivering through the stock characters . 	the effort seemed heavy-handed , as the film kept delivering too many obvious messages that it ponderously kept delivering through the stock characters .	1	-1	 the[0] effort[0] seemed[0] heavy[0] handed[0] as[0] the[0] film[0] kept[0] delivering[0] too[0] many[0] obvious[0] messages[0] that[0] it[0] ponderously[0] kept[0] delivering[0] through[0] the[0] stock[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting cast consists of all wooden characters who give their roles a cartoonish flavoring : chaja's parents are given no human shades , while the janitor villain was a particularly annoying role that was one-dimensional and falsely acted . 	the supporting cast consists of all wooden characters who give their roles a cartoonish flavoring : chaja's parents are given no human shades , while the janitor villain was a particularly annoying role that was one-dimensional and falsely acted .	2	-3	 the[0] supporting[1] cast[0] consists[0] of[0] all[0] wooden[0] characters[0] who[0] give[0] their[0] roles[0] a[0] cartoonish[0] flavoring[0] chaja's[0] parents[0] are[0] given[0] no[0] human[0] shades[0] while[0] the[0] janitor[0] villain[-2] was[0] a[0] particularly[0] annoying[-2] role[0] that[0] was[0] one[0] dimensional[0] and[0] falsely[0] acted[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the only ones who fought through the script and showed some feelings were fraser , whose effervescent face was expressive of both the trying times she was going through and the joys she felt -- but most admirably showing how she could be so mistaken as to think that she could forget her roots ; while rossellini gave a warm performance of a woman suffering in silence , but is strong in accepting her faith . 	the only ones who fought through the script and showed some feelings were fraser , whose effervescent face was expressive of both the trying times she was going through and the joys she felt - but most admirably showing how she could be so mistaken as to think that she could forget her roots ; while rossellini gave a warm performance of a woman suffering in silence , but is strong in accepting her faith .	3	-4	 the[0] only[0] ones[0] who[0] fought[-2] through[0] the[0] script[0] and[0] showed[0] some[0] feelings[0] were[0] fraser[0] whose[0] effervescent[0] face[0] was[0] expressive[0] of[0] both[0] the[0] trying[0] times[0] she[0] was[0] going[0] through[0] and[0] the[0] joys[2] she[0] felt[0] but[0] most[0] admirably[2] showing[0] how[0] she[0] could[0] be[0] so[0] mistaken[-1] as[0] to[0] think[0] that[0] she[0] could[0] forget[0] her[0] roots[0] while[0] rossellini[0] gave[0] a[0] warm[0] performance[0] of[0] a[0] woman[0] suffering[-3] in[0] silence[0] but[0] is[0] strong[0] in[0] accepting[0] her[0] faith[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
topol's reassuring performance as the wise man who says all the right things to fraser , acts as the true voice of the filmmaker in explaining all the sufferings with common sense . 	topol's reassuring performance as the wise man who says all the right things to fraser , acts as the true voice of the filmmaker in explaining all the sufferings with common sense .	2	-1	 topol's[0] reassuring[1] performance[0] as[0] the[0] wise[0] man[0] who[0] says[0] all[0] the[0] right[0] things[0] to[0] fraser[0] acts[0] as[0] the[0] true[1] voice[0] of[0] the[0] filmmaker[0] in[0] explaining[0] all[0] the[0] sufferings[0] with[0] common[0] sense[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film brazenly uses little simcha to get across its agenda of pointing out how the patriarchal world can be cruel when it can't love : it starts out by showing how under chaja's loving care he's taken to the duck pond and soon starts jabbering away , beginning by saying 'quack , quack' and then going on to ask the four questions during a passover seder . 	the film brazenly uses little simcha to get across its agenda of pointing out how the patriarchal world can be cruel when it can't love : it starts out by showing how under chaja's loving care he's taken to the duck pond and soon starts jabbering away , beginning by saying 'quack , quack' and then going on to ask the four questions during a passover seder .	4	-4	 the[0] film[0] brazenly[0] uses[0] little[0] simcha[0] to[0] get[0] across[0] its[0] agenda[0] of[0] pointing[0] out[0] how[0] the[0] patriarchal[0] world[0] can[0] be[0] cruel[-3] when[0] it[0] can't[0] love[2][NegatedDueToPreviousWord] it[0] starts[0] out[0] by[0] showing[0] how[0] under[0] chaja's[0] loving[3] care[1] he's[0] taken[0] to[0] the[0] duck[0] pond[0] and[0] soon[0] starts[0] jabbering[0] away[0] beginning[0] by[0] saying[0] 'quack[0] quack'[0] and[0] then[0] going[0] on[0] to[0] ask[0] the[0] four[0] questions[0] during[0] a[0] passover[0] seder[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
but by showing how the boy is so terrified of his strict father that he wets his pants in his presence , refuses to speak because of his stern dad , and eventually becomes the victim of a tragic accident , the film thereby exploits the boy's sufferings and his story just becomes tiresome and not sincerely done . 	but by showing how the boy is so terrified of his strict father that he wets his pants in his presence , refuses to speak because of his stern dad , and eventually becomes the victim of a tragic accident , the film thereby exploits the boy's sufferings and his story just becomes tiresome and not sincerely done .	1	-4	 but[0] by[0] showing[0] how[0] the[0] boy[0] is[0] so[0] terrified[-3] of[0] his[0] strict[-1] father[0] that[0] he[0] wets[0] his[0] pants[0] in[0] his[0] presence[0] refuses[-1] to[0] speak[0] because[0] of[0] his[0] stern[-1] dad[0] and[0] eventually[0] becomes[0] the[0] victim[-2] of[0] a[0] tragic[-2] accident[-1] the[0] film[0] thereby[0] exploits[0] the[0] boy's[0] sufferings[0] and[0] his[0] story[0] just[0] becomes[0] tiresome[-1] and[0] not[0] sincerely[0] done[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i felt i didn't just see a movie , but i attended a lecture for the whole 100 minutes of this serious but unappetizing story . 	i felt i didn't just see a movie , but i attended a lecture for the whole 100 minutes of this serious but unappetizing story .	1	-2	 i[0] felt[0] i[0] didn't[0] just[0] see[0] a[0] movie[0] but[0] i[0] attended[0] a[0] lecture[0] for[0] the[0] whole[0] 100[0] minutes[0] of[0] this[0] serious[-1] but[0] unappetizing[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was the kind of movie that you hoped would somehow end soon , as it seemed to be in the habit of rehashing its same viewpoint unnecessarily--the message it keeps sending was already received . 	it was the kind of movie that you hoped would somehow end soon , as it seemed to be in the habit of rehashing its same viewpoint unnecessarily-the message it keeps sending was already received .	2	-2	 it[0] was[0] the[0] kind[1] of[0] movie[0] that[0] you[0] hoped[1] would[0] somehow[0] end[0] soon[0] as[0] it[0] seemed[0] to[0] be[0] in[0] the[0] habit[0] of[0] rehashing[0] its[0] same[0] viewpoint[0] unnecessarily[-1] the[0] message[0] it[0] keeps[0] sending[0] was[0] already[0] received[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the last shot where father and daughter are hopelessly digging for the lost luggage , one has the impression that no one in the film learned anything about themselves or the past . 	in the last shot where father and daughter are hopelessly digging for the lost luggage , one has the impression that no one in the film learned anything about themselves or the past .	1	-4	 in[0] the[0] last[0] shot[-1] where[0] father[0] and[0] daughter[0] are[0] hopelessly[-3] digging[0] for[0] the[0] lost[0] luggage[0] one[0] has[0] the[0] impression[0] that[0] no[0] one[0] in[0] the[0] film[0] learned[0] anything[0] about[0] themselves[0] or[0] the[0] past[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that seems strange , since i thought that was what this film was supposed to be about . 	that seems strange , since i thought that was what this film was supposed to be about .	1	-1	 that[0] seems[0] strange[0] since[0] i[0] thought[0] that[0] was[0] what[0] this[0] film[0] was[0] supposed[0] to[0] be[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unless i was mistaken and the film's real aim was to make us cry over simcha . 	unless i was mistaken and the film's real aim was to make us cry over simcha .	1	-4	 unless[0] i[0] was[0] mistaken[-1] and[0] the[0] film's[0] real[0] aim[0] was[0] to[0] make[0] us[0] cry[-3] over[0] simcha[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
