the title is taken from the writings of ralph waldo emerson describing the life of a traveler as 'anywhere but here . ' 	Translation	Positive	Negative	EmotionRationale
daughter pines for small town wisconsin and her friends there . 	daughter pines for small town wisconsin and her friends there .	2	-1	 daughter[0] pines[0] for[0] small[0] town[0] wisconsin[0] and[0] her[0] friends[1] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
during one of many arguments with her free-spirited mom , they go for ice cream and while mother is being ticketed , she runs away , only to be chased down by friendly traffic cop ( michael milhoan ) , who offers her wise counsel . 	during one of many arguments with her free-spirited mom , they go for ice cream and while mother is being ticketed , she runs away , only to be chased down by friendly traffic cop ( michael milhoan ) , who offers her wise counsel .	2	-2	 during[0] one[0] of[0] many[0] arguments[-1] with[0] her[0] free[0] spirited[0] mom[0] they[0] go[0] for[0] ice[0] cream[0] and[0] while[0] mother[0] is[0] being[0] ticketed[0] she[0] runs[0] away[0] only[0] to[0] be[0] chased[-1] down[0] by[0] friendly[1] traffic[0] cop[0] michael[0] milhoan[0] who[0] offers[0] her[0] wise[0] counsel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
with the cop's zen wisdom passed onto the daughter , she will survive living in many different addresses in beverly hills until she reaches 17 and then she plans to get way from mom by using her good grades to go to brown university instead of ucla . 	with the cop's zen wisdom passed onto the daughter , she will survive living in many different addresses in beverly hills until she reaches 17 and then she plans to get way from mom by using her good grades to go to brown university instead of ucla .	2	-1	 with[0] the[0] cop's[0] zen[0] wisdom[0] passed[0] onto[0] the[0] daughter[0] she[0] will[0] survive[0] living[0] in[0] many[0] different[0] addresses[0] in[0] beverly[0] hills[0] until[0] she[0] reaches[0] 17[0] and[0] then[0] she[0] plans[0] to[0] get[0] way[0] from[0] mom[0] by[0] using[0] her[0] good[1] grades[0] to[0] go[0] to[0] brown[0] university[0] instead[0] of[0] ucla[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
during their stay in beverly hills , she grows from feeling awkward in beverly hills high to immediately having many high school girlfriends and even a high school rich boy admirer-- a t . s . 	during their stay in beverly hills , she grows from feeling awkward in beverly hills high to immediately having many high school girlfriends and even a high school rich boy admirer- a t .<br> s .	3	-2	 during[0] their[0] stay[0] in[0] beverly[0] hills[0] she[0] grows[0] from[0] feeling[0] awkward[-1] in[0] beverly[0] hills[0] high[0] to[0] immediately[0] having[0] many[0] high[0] school[0] girlfriends[0] and[0] even[0] a[0] high[0] school[0] rich[0] boy[0] admirer[2] a[0] t[0] [[Sentence=-2,3=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
eliot ( corbin allred ) reader . 	eliot ( corbin allred ) reader .	1	-1	 eliot[0] corbin[0] allred[0] reader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the transition of her life into beverly hills had no feel of reality , as everything seemed staged and unemotional . 	but the transition of her life into beverly hills had no feel of reality , as everything seemed staged and unemotional .	1	-1	 but[0] the[0] transition[0] of[0] her[0] life[0] into[0] beverly[0] hills[0] had[0] no[0] feel[0] of[0] reality[0] as[0] everything[0] seemed[0] staged[0] and[0] unemotional[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when she learns her cousin benny ( shawn hatosy ) , who happens to be her best friend dies in a traffic accident back in wisconsin , she returns for the funeral and in those reunion scenes it wasn't clearly shown why she wants to stay there , and for that matter , it was never made clear why the mother wants to leave so badly . 	when she learns her cousin benny ( shawn hatosy ) , who happens to be her best friend dies in a traffic accident back in wisconsin , she returns for the funeral and in those reunion scenes it wasn't clearly shown why she wants to stay there , and for that matter , it was never made clear why the mother wants to leave so badly .	2	-2	 when[0] she[0] learns[0] her[0] cousin[0] benny[0] shawn[0] hatosy[0] who[0] happens[0] to[0] be[0] her[0] best[1] friend[1] dies[0] in[0] a[0] traffic[0] accident[-1] back[0] in[0] wisconsin[0] she[0] returns[0] for[0] the[0] funeral[0] and[0] in[0] those[0] reunion[0] scenes[0] it[0] wasn't[0] clearly[0] shown[0] why[0] she[0] wants[0] to[0] stay[0] there[0] and[0] for[0] that[0] matter[0] it[0] was[0] never[0] made[0] clear[0] why[0] the[0] mother[0] wants[0] to[0] leave[0] so[0] badly[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film is one big battle of wills between mother and daughter over their dreams . 	the film is one big battle of wills between mother and daughter over their dreams .	1	-2	 the[0] film[0] is[0] one[0] big[0] battle[-1] of[0] wills[0] between[0] mother[0] and[0] daughter[0] over[0] their[0] dreams[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i guess what the filmmaker is trying to say , is that mom is a bad dreamer and the daughter is the observant one , able to recognize mother's faults when not in growing pains and in need of parenting herself . 	i guess what the filmmaker is trying to say , is that mom is a bad dreamer and the daughter is the observant one , able to recognize mother's faults when not in growing pains and in need of parenting herself .	1	-4	 i[0] guess[0] what[0] the[0] filmmaker[0] is[0] trying[0] to[0] say[0] is[0] that[0] mom[0] is[0] a[0] bad[-1] dreamer[0] and[0] the[0] daughter[0] is[0] the[0] observant[0] one[0] able[0] to[0] recognize[0] mother's[0] faults[-1] when[0] not[0] in[0] growing[0] pains[-3] and[0] in[0] need[0] of[0] parenting[0] herself[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
mother has a series of setbacks , like being dumped by her dream-boat dentist ( bochner ) she met on the beach , and witnessing her daughter mimic her whiny optimistic sayings when trying out for an acting part . 	mother has a series of setbacks , like being dumped by her dream-boat dentist ( bochner ) she met on the beach , and witnessing her daughter mimic her whiny optimistic sayings when trying out for an acting part .	2	-2	 mother[0] has[0] a[0] series[0] of[0] setbacks[0] like[1] being[0] dumped[-1] by[0] her[0] dream[0] boat[0] dentist[-1] bochner[0] she[0] met[0] on[0] the[0] beach[0] and[0] witnessing[0] her[0] daughter[0] mimic[0] her[0] whiny[0] optimistic[1] sayings[0] when[0] trying[0] out[0] for[0] an[0] acting[0] part[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but mother learns that her daughter has grown-up and is independent and that she has to stop living her life through her . 	but mother learns that her daughter has grown-up and is independent and that she has to stop living her life through her .	1	-1	 but[0] mother[0] learns[0] that[0] her[0] daughter[0] has[0] grown[0] up[0] and[0] is[0] independent[0] and[0] that[0] she[0] has[0] to[0] stop[0] living[0] her[0] life[0] through[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she learns this when the same wise cop who told ann what to do , is about to ticket her and this time will remind the mother of the right thing to do . 	she learns this when the same wise cop who told an what to do , is about to ticket her and this time will remind the mother of the right thing to do .	1	-1	 she[0] learns[0] this[0] when[0] the[0] same[0] wise[0] cop[0] who[0] told[0] ann/an[0] what[0] to[0] do[0] is[0] about[0] to[0] ticket[0] her[0] and[0] this[0] time[0] will[0] remind[0] the[0] mother[0] of[0] the[0] right[0] thing[0] to[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this of course results in the corny ending , showing that mom's heart was always in the right place , only she went about it in the wrong way . 	this of course results in the corny ending , showing that mom's heart was always in the right place , only she went about it in the wrong way .	1	-2	 this[0] of[0] course[0] results[0] in[0] the[0] corny[0] ending[0] showing[0] that[0] mom's[0] heart[0] was[0] always[0] in[0] the[0] right[0] place[0] only[0] she[0] went[0] about[0] it[0] in[0] the[0] wrong[-1] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this was just one of those films where you want to be anywhere but in the theater where this film is showing . 	this was just one of those films where you want to be anywhere but in the theater where this film is showing .	1	-1	 this[0] was[0] just[0] one[0] of[0] those[0] films[0] where[0] you[0] want[0] to[0] be[0] anywhere[0] but[0] in[0] the[0] theater[0] where[0] this[0] film[0] is[0] showing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
