while the summer movie season approached its long awaited cessation , we had yet another shoddy , subordinate disposable celluloid superhero movie brought on by the inexorable hasten from the major studios to please kids with everything they think kids will go for to disburse their seven bucks . 	Translation	Positive	Negative	EmotionRationale
continually the film kept on depending on special effects , and sadly , this is how pictures are being made . 	continually the film kept on depending on special effects , and sadly , this is how pictures are being made .	2	-2	 continually[0] the[0] film[0] kept[0] on[0] depending[0] on[0] special[1] effects[0] and[0] sadly[-1] this[0] is[0] how[0] pictures[0] are[0] being[0] made[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perhaps no other movie better than spawn illustrates the deterioration of cinema through computer wizardry . 	perhaps no other movie better than spawn illustrates the deterioration of cinema through computer wizardry .	1	-1	 perhaps[0] no[0] other[0] movie[0] better[0] than[0] spawn[0] illustrates[0] the[0] deterioration[0] of[0] cinema[0] through[0] computer[0] wizardry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the filmmakers seem to have forgotten every human element possible . 	the filmmakers seem to have forgotten every human element possible .	1	-1	 the[0] filmmakers[0] seem[0] to[0] have[0] forgotten[0] every[0] human[0] element[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the quality of this film is abysmal and insulting . 	the quality of this film is abysmal and insulting .	1	-3	 the[0] quality[0] of[0] this[0] film[0] is[0] abysmal[0] and[0] insulting[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is perceptible that director mark dippe , attempted to touch the psychological chord that tim burton's batman did touch , the desperation of a man whose life has all but evaporated in one spontaneous act . 	it is perceptible that director mark dippe , attempted to touch the psychological chord that tim burton's batman did touch , the desperation of a man whose life has all but evaporated in one spontaneous act .	1	-3	 it[0] is[0] perceptible[0] that[0] director[0] mark[0] dippe[0] attempted[0] to[0] touch[0] the[0] psychological[0] chord[0] that[0] tim[0] burton's[0] batman[0] did[0] touch[0] the[0] desperation[-2] of[0] a[0] man[0] whose[0] life[0] has[0] all[0] but[0] evaporated[0] in[0] one[0] spontaneous[0] act[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but bruce wayne had human elements to him . 	but bruce wayne had human elements to him .	1	-1	 but[0] bruce[0] wayne[0] had[0] human[0] elements[0] to[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was pensive , resourceful and had relationships , which made our perspective on him equally human . 	he was pensive , resourceful and had relationships , which made our perspective on him equally human .	1	-1	 he[0] was[0] pensive[0] resourceful[0] and[0] had[0] relationships[0] which[0] made[0] our[0] perspective[0] on[0] him[0] equally[0] human[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the character of al simmons seems to be longing for a drastic change , as if he's fatigued about being normal . 	the character of al simmons seems to be longing for a drastic change , as if he's fatigued about being normal .	1	-3	 the[0] character[0] of[0] al[0] simmons[0] seems[0] to[0] be[0] longing[-2] for[0] a[0] drastic[0] change[0] as[0] if[0] he's[0] fatigued[-2] about[0] being[0] normal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and as all superheroes , batman , superman , the phantom , they must possess an element of normal civilians to make us think they are extraordinary . 	and as all superheroes , batman , superman , the phantom , they must possess an element of normal civilians to make us think they are extraordinary .	1	-1	 and[0] as[0] all[0] superheroes[0] batman[0] superman[0] the[0] phantom[0] they[0] must[0] possess[0] an[0] element[0] of[0] normal[0] civilians[0] to[0] make[0] us[0] think[0] they[0] are[0] extraordinary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none of this is present in spawn . 	none of this is present in spawn .	1	-1	 none[0] of[0] this[0] is[0] present[0] in[0] spawn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fighting sequences are weakly executed , the dialogue is penny-dreadful and the art direction an odious duplicate of blade runner's . 	the fighting sequences are weakly executed , the dialogue is penny-dreadful and the art direction an odious duplicate of blade runner's .	1	-4	 the[0] fighting[-2] sequences[0] are[0] weakly[-1] executed[-1] the[0] dialogue[0] is[0] penny[0] dreadful[-3] and[0] the[0] art[0] direction[0] an[0] odious[0] duplicate[0] of[0] blade[0] runner's[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as an example of this film's vastly creative imagination the writers of spawn decided to include a poor orphan boy who is abandoned and beaten , and then rescued by spawn , so our emotions tend to be a little more sympathetic . 	as an example of this film's vastly creative imagination the writers of spawn decided to include a poor orphan boy who is abandoned and beaten , and then rescued by spawn , so our emotions tend to be a little more sympathetic .	1	-2	 as[0] an[0] example[0] of[0] this[0] film's[0] vastly[0] creative[0] imagination[0] the[0] writers[0] of[0] spawn[0] decided[0] to[0] include[0] a[0] poor[-1] orphan[-1] boy[0] who[0] is[0] abandoned[-1] and[0] beaten[0] and[0] then[0] rescued[0] by[0] spawn[0] so[0] our[0] emotions[0] tend[0] to[0] be[0] a[0] little[0] more[0] sympathetic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
admittedly , i did laugh once in the film , and that's when todd mcfarlane showed up in an unexpected cameo as a bum . 	admittedly , i did laugh once in the film , and that's when todd mcfarlane showed up in an unexpected cameo as a bum .	1	-2	 admittedly[0] i[0] did[0] laugh[1][-1 LastWordBoosterStrength] once[0] in[0] the[0] film[0] and[0] that's[0] when[0] todd[0] mcfarlane[0] showed[0] up[0] in[0] an[0] unexpected[0] cameo[0] as[0] a[0] bum[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is no wonder why so american children grow up with no engrossment for art or literature . 	it is no wonder why so american children grow up with no engrossment for art or literature .	1	-1	 it[0] is[0] no[0] wonder[0] why[0] so[0] american[0] children[0] grow[0] up[0] with[0] no[0] engrossment[0] for[0] art[0] or[0] literature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
besides blaming a large portion of it on the laughable school system , i condemn the other part to garbage like spawn . 	besides blaming a large portion of it on the laughable school system , i condemn the other part to garbage like spawn .	2	-3	 besides[0] blaming[-1] a[0] large[0] portion[0] of[0] it[0] on[0] the[0] laughable[-1] school[0] system[0] i[0] condemn[-1] the[0] other[0] part[0] to[0] garbage[-2] like[1] spawn[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
movies that present no admiration , no captivation , no richness and vague interest in what children are being subjected to . 	movies that present no admiration , no captivation , no richness and vague interest in what children are being subjected to .	3	-2	 movies[0] that[0] present[0] no[0] admiration[2] no[0] captivation[0] no[0] richness[1] and[0] vague[-1] interest[1] in[0] what[0] children[0] are[0] being[0] subjected[0] to[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and kids will continue to see films like spawn , simply because they are unable to differentiate what makes an imaginative , wondrous film from an insipid and wasteful one . 	and kids will continue to see films like spawn , simply because they are unable to differentiate what makes an imaginative , wondrous film from an insipid and wasteful one .	2	-2	 and[0] kids[0] will[0] continue[0] to[0] see[0] films[0] like[1] spawn[0] simply[0] because[0] they[0] are[0] unable[0] to[0] differentiate[0] what[0] makes[0] an[0] imaginative[1] wondrous[0] film[0] from[0] an[0] insipid[0] and[0] wasteful[-1] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
children are not muppets . 	children are not muppets .	1	-1	 children[0] are[0] not[0] muppets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and spawn unapologetically targets children . 	and spawn unapologetically targets children .	1	-1	 and[0] spawn[0] unapologetically[0] targets[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
