as the twin surfer dudes , stew and phil deedle , lay bandaged and unconscious in the hospital , phil comes to first and chooses the coolest way to wake his brother . 	Translation	Positive	Negative	EmotionRationale
it will probably be in and out of the theaters like a tornado and is in no danger of becoming a classic anything . 	it will probably be in and out of the theaters like a tornado and is in no danger of becoming a classic anything .	2	-2	 it[0] will[0] probably[0] be[0] in[0] and[0] out[0] of[0] the[0] theaters[0] like[1] a[0] tornado[0] and[0] is[0] in[0] no[0] danger[-1] of[0] becoming[0] a[0] classic[0] anything[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
herzfeld treats us to gratingly abysmal dialog that includes " your geyser's a geezer , " and " i'd like to put a deedle in her haystack . " 	herzfeld treats us to gratingly abysmal dialog that includes " your geyser's a geezer , " and " i'd like to put a deedle in her haystack .<br> "	2	-1	 herzfeld[0] treats[0] us[0] to[0] gratingly[1] abysmal[0] dialog[0] that[0] includes[0] your[0] geyser's[0] a[0] geezer[0] and[0] i'd[0] like[1] to[0] put[0] a[0] deedle[0] in[0] her[0] haystack[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the movie opens , the twins , who at one point describe themselves modestly as " a walking kodak moment , " are celebrating their 18th birthday . 	as the movie opens , the twins , who at one point describe themselves modestly as " a walking kodak moment , " are celebrating their 18th birthday .	2	-1	 as[0] the[0] movie[0] opens[0] the[0] twins[0] who[0] at[0] one[0] point[0] describe[0] themselves[0] modestly[0] as[0] a[0] walking[0] kodak[0] moment[0] are[0] celebrating[1] their[0] 18th[0] birthday[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as they ride a parasail high above the waters of waikiki , a truant officer pursues them on his jet ski . 	as they ride a parasail high above the waters of waikiki , a truant officer pursues them on his jet ski .	1	-2	 as[0] they[0] ride[0] a[0] parasail[0] high[0] above[0] the[0] waters[0] of[0] waikiki[0] a[0] truant[-1] officer[0] pursues[0] them[0] on[0] his[0] jet[0] ski[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as heirs to the fabulous fortune of the deedle empire , the boys are sent by their father to camp broken spirit at yellowstone to transform the two laid-back beach bums into men . 	as heirs to the fabulous fortune of the deedle empire , the boys are sent by their father to camp broken spirit at yellowstone to transform the two laid-back beach bums into men .	3	-2	 as[0] heirs[0] to[0] the[0] fabulous[2] fortune[0] of[0] the[0] deedle[0] empire[0] the[0] boys[0] are[0] sent[0] by[0] their[0] father[0] to[0] camp[0] broken[-1] spirit[0] at[0] yellowstone[0] to[0] transform[0] the[0] two[0] laid[0] back[0] beach[0] bums[0] into[0] men[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as they arrive in their wetsuits in yellowstone , they've got their surfboards , skateboards , and a hawaiian drink machine the size of an armoire . 	as they arrive in their wetsuits in yellowstone , they've got their surfboards , skateboards , and a hawaian drink machine the size of an armoire .	1	-1	 as[0] they[0] arrive[0] in[0] their[0] wetsuits[0] in[0] yellowstone[0] they've[0] got[0] their[0] surfboards[0] skateboards[0] and[0] a[0] hawaiian/hawaian[0] drink[0] machine[0] the[0] size[0] of[0] an[0] armoire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their camp has gone out of business , but they are mistaken for new park rangers . 	their camp has gone out of business , but they are mistaken for new park rangers .	1	-2	 their[0] camp[0] has[0] gone[0] out[0] of[0] business[0] but[0] they[0] are[0] mistaken[-1] for[0] new[0] park[0] rangers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the movie has them fighting the park's overpopulation of prairie dogs as well as a deranged ex-ranger , played by dennis hopper , who is out to stop old faithful before its billionth birthday celebration , scheduled for later in the week . 	the rest of the movie has them fighting the park's overpopulation of prairie dogs as well as a deranged ex-ranger , played by dennis hopper , who is out to stop old faithful before its billionth birthday celebration , scheduled for later in the week .	2	-3	 the[0] rest[0] of[0] the[0] movie[0] has[0] them[0] fighting[-2] the[0] park's[0] overpopulation[0] of[0] prairie[0] dogs[0] as[0] well[0] as[0] a[0] deranged[0] ex[0] ranger[0] played[0] by[0] dennis[0] hopper[0] who[0] is[0] out[0] to[0] stop[0] old[0] faithful[1] before[0] its[0] billionth[0] birthday[0] celebration[1] scheduled[0] for[0] later[0] in[0] the[0] week[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
hopper , who has made some wonderful movies , carried away being a recent favorite , does have a propensity for choosing some truly odoriferous material . 	hopper , who has made some wonderful movies , carried away being a recent favorite , does have a propensity for choosing some truly odoriferous material .	2	-1	 hopper[0] who[0] has[0] made[0] some[0] wonderful[2][-1 LastWordBoosterStrength] movies[0] carried[0] away[0] being[0] a[0] recent[0] favorite[1] does[0] have[0] a[0] propensity[0] for[0] choosing[0] some[0] truly[1][-1 LastWordBoosterStrength] odoriferous[0] material[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this isn't his worst acting , but meet the deedles is arguably the worst movie he's ever been in . 	this isn't his worst acting , but meet the deedles is arguably the worst movie he's ever been in .	3	-3	 this[0] isn't[0] his[0] worst[-2][NegatedDueToPreviousWord] acting[0] but[0] meet[0] the[0] deedles[0] is[0] arguably[-1] the[0] worst[-2] movie[0] he's[0] ever[0] been[0] in[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
steve van wormer and paul walker , as stew and phil , give lifeless performances . 	steve van wormer and paul walker , as stew and phil , give lifeless performances .	1	-2	 steve[0] van[0] wormer[0] and[0] paul[0] walker[0] as[0] stew[0] and[0] phil[0] give[0] lifeless[-1] performances[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only actor in the movie with any demonstrable talent is a cute little prairie dog named petey . 	the only actor in the movie with any demonstrable talent is a cute little prairie dog named petey .	2	-1	 the[0] only[0] actor[0] in[0] the[0] movie[0] with[0] any[0] demonstrable[0] talent[1] is[0] a[0] cute[1] little[0] prairie[0] dog[0] named[0] petey[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even the cinematography by david hennings is so prosaic that it manages to make yellowstone look dull . 	even the cinematography by david hennings is so prosaic that it manages to make yellowstone look dull .	1	-2	 even[0] the[0] cinematography[0] by[0] david[0] hennings[0] is[0] so[0] prosaic[0] that[0] it[0] manages[0] to[0] make[0] yellowstone[0] look[0] dull[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to add insult to injury , hennings is fond of inappropriate close-ups , which only serve to remind us of the inanity of the dialog . 	to add insult to injury , hennings is fond of inappropriate close-ups , which only serve to remind us of the inanity of the dialog .	3	-3	 to[0] add[0] insult[-2] to[0] injury[-1] hennings[0] is[0] fond[2] of[0] inappropriate[0] close[0] ups[0] which[0] only[0] serve[0] to[0] remind[0] us[0] of[0] the[0] inanity[0] of[0] the[0] dialog[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
put a ten-foot pair of lips on the screen , and you naturally pay extra attention to what is said . 	put a ten-foot pair of lips on the screen , and you naturally pay extra attention to what is said .	1	-1	 put[0] a[0] ten[0] foot[0] pair[0] of[0] lips[0] on[0] the[0] screen[0] and[0] you[0] naturally[0] pay[0] extra[0] attention[0] to[0] what[0] is[0] said[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although boyum says in the notes that he is proud that his film is appropriate for families , one wonders how many skateboarders will attempt the movie's stunt of lying on your back on a skateboard while negotiating a busy and twisting mountain road . 	although boyum says in the notes that he is proud that his film is appropriate for families , one wonders how many skateboarders will attempt the movie's stunt of lying on your back on a skateboard while negotiating a busy and twisting mountain road .	2	-4	 although[0] boyum[0] says[0] in[0] the[0] notes[0] that[0] he[0] is[0] proud[1] that[0] his[0] film[0] is[0] appropriate[0] for[0] families[0] one[0] wonders[0] how[0] many[0] skateboarders[0] will[0] attempt[0] the[0] movie's[0] stunt[-1] of[0] lying[-3] on[0] your[0] back[0] on[0] a[0] skateboard[0] while[0] negotiating[0] a[0] busy[0] and[0] twisting[0] mountain[0] road[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
they make it look like so much fun that i'm sure many will try some variation of the stunt . 	they make it look like so much fun that i'm sure many will try some variation of the stunt .	2	-2	 they[0] make[0] it[0] look[0] like[1] so[0] much[0] fun[1] that[0] i'm[0] sure[0] many[0] will[0] try[0] some[0] variation[0] of[0] the[0] stunt[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " how could this possibly be worst , " asks phil . 	 " how could this possibly be worst , " asks phil .	1	-3	 how[0] could[0] this[0] possibly[0] be[0] worst[-2] asks[0] phil[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
just when you suspect it can't , the movie takes a turn further downhill . 	just when you suspect it can't , the movie takes a turn further downhill .	1	-2	 just[0] when[0] you[0] suspect[-1] it[0] can't[0] the[0] movie[0] takes[0] a[0] turn[0] further[0] downhill[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
its low point may have you looking for an airline barf bag . 	its low point may have you looking for an airline barf bag .	1	-2	 its[0] low[-1] point[0] may[0] have[0] you[0] looking[0] for[0] an[0] airline[0] barf[-1] bag[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after phil's girlfriend digs up a big mount of moist soil , they suck in a long worm . 	after phil's girlfriend digs up a big mount of moist soil , they suck in a long worm .	1	-2	 after[0] phil's[0] girlfriend[0] digs[0] up[0] a[0] big[0] mount[0] of[0] moist[0] soil[0] they[0] suck[-1] in[0] a[0] long[0] worm[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like the two dog lovers eating spaghetti in lady and the tramp , their lips finally meet in a kiss . 	like the two dog lovers eating spaghetti in lady and the tramp , their lips finally meet in a kiss .	4	-2	 like[1] the[0] two[0] dog[0] lovers[3] eating[0] spaghetti[0] in[0] lady[0] and[0] the[0] tramp[-1] their[0] lips[0] finally[0] meet[0] in[0] a[0] kiss[2] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as they pull back , their faces are full of the dirt that encased the worm they have just ingested . 	as they pull back , their faces are full of the dirt that encased the worm they have just ingested .	1	-2	 as[0] they[0] pull[0] back[0] their[0] faces[0] are[0] full[0] of[0] the[0] dirt[-1] that[0] encased[0] the[0] worm[0] they[0] have[0] just[0] ingested[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meet the deedles runs about an hour and a half . 	meet the deedles runs about an hour and a half .	1	-1	 meet[0] the[0] deedles[0] runs[0] about[0] an[0] hour[0] and[0] a[0] half[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated pg for a little bathroom humor and would be acceptable for kids around 6 and up . 	it is rated pg for a little bathroom humor and would be acceptable for kids around 6 and up .	3	-1	 it[0] is[0] rated[0] pg[0] for[0] a[0] little[0] bathroom[0] humor[2] and[0] would[0] be[0] acceptable[0] for[0] kids[0] around[0] 6[0] and[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
my son jeffrey and his friend nickolas , both almost 9 , gave the show * * * . 	my son jeffrey and his friend nickolas , both almost 9 , gave the show * * * .	2	-1	 my[0] son[0] jeffrey[0] and[0] his[0] friend[1] nickolas[0] both[0] almost[0] 9[0] gave[0] the[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they both thought the scenes with petey were among their favorites . 	they both thought the scenes with petey were among their favorites .	2	-1	 they[0] both[0] thought[0] the[0] scenes[0] with[0] petey[0] were[0] among[0] their[0] favorites[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nickolas also mentioned the scene in which the circus bear drives a jeep , and jeffrey especially liked the one in which the circus elephant was referred to as dumbo . 	nickolas also mentioned the scene in which the circus bear drives a jeep , and jeffrey especially liked the one in which the circus elephant was referred to as dumbo .	4	-2	 nickolas[0] also[0] mentioned[0] the[0] scene[0] in[0] which[0] the[0] circus[0] bear[0] drives[0] a[0] jeep[0] and[0] jeffrey[0] especially[0] liked[2][1 LastWordBoosterStrength] the[0] one[0] in[0] which[0] the[0] circus[0] elephant[0] was[0] referred[0] to[0] as[0] dumbo[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
