the first image in " final fantasy : the spirits within " is a computer-animated close-up of a human eye . 	Translation	Positive	Negative	EmotionRationale
while the bulk of the survivors focus on military strategies , aki ross ( voiced by ming-na ) and her mentor , dr . sid ( donald sutherland ) , believe in a more organic approach . 	while the bulk of the survivors focus on military strategies , aki ross ( voiced by ming-na ) and her mentor , dr .<br> sid ( donald sutherland ) , believe in a more organic approach .	1	-1	 while[0] the[0] bulk[0] of[0] the[0] survivors[0] focus[0] on[0] military[0] strategies[0] aki[0] ross[0] voiced[0] by[0] ming[0] na[0] and[0] her[0] mentor[0] dr[0] [[Sentence=-1,1=word max, 1-5]] sid[0] donald[0] sutherland[0] believe[0] in[0] a[0] more[0] organic[0] approach[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they operate on the notion ( quoting straight from the press kit ) " that all life forms have signature spirit waves that can be identified and contained . 	they operate on the notion ( quoting straight from the press kit ) " that all life forms have signature spirit waves that can be identified and contained .	1	-1	 they[0] operate[0] on[0] the[0] notion[0] quoting[0] straight[0] from[0] the[0] press[0] kit[0] that[0] all[0] life[0] forms[0] have[0] signature[0] spirit[0] waves[0] that[0] can[0] be[0] identified[0] and[0] contained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aki and dr . sid collect a series of organic specimens whose spirit signatures combined will form a wave of equal and opposite intensity to the spirit wave of the alien force . 	aki and dr .<br> sid collect a series of organic specimens whose spirit signatures combined will form a wave of equal and opposite intensity to the spirit wave of the alien force .	1	-2	 aki[0] and[0] dr[0] [[Sentence=-1,1=word max, 1-5]] sid[0] collect[0] a[0] series[0] of[0] organic[0] specimens[0] whose[0] spirit[0] signatures[0] combined[0] will[0] form[0] a[0] wave[0] of[0] equal[0] and[0] opposite[0] intensity[0] to[0] the[0] spirit[0] wave[0] of[0] the[0] alien[-1] force[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the waves will , in effect , cancel each other out and disarm the foreign contagion . 	the waves will , in effect , cancel each other out and disarm the foreign contagion .	1	-2	 the[0] waves[0] will[0] in[0] effect[0] cancel[-1] each[0] other[0] out[0] and[0] disarm[-1] the[0] foreign[-1] contagion[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they have collected six of the eight key spirits needed to complete their wave . 	they have collected six of the eight key spirits needed to complete their wave .	1	-1	 they[0] have[0] collected[0] six[0] of[0] the[0] eight[0] key[0] spirits[0] needed[0] to[0] complete[0] their[0] wave[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are on a desperate hunt to find the remaining two spirits before their time runs out . " 	they are on a desperate hunt to find the remaining two spirits before their time runs out .<br> "	1	-3	 they[0] are[0] on[0] a[0] desperate[-2] hunt[0] to[0] find[0] the[0] remaining[0] two[0] spirits[0] before[0] their[0] time[0] runs[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
are you still with me ? 	are you still with me ?	1	-1	 are[0] you[0] still[0] with[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's only a little more . 	there's only a little more .	1	-1	 there's[0] only[0] a[0] little[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aki is infected with the alien force . 	aki is infected with the alien force .	1	-2	 aki[0] is[0] infected[-1] with[0] the[0] alien[-1] force[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dr . sid has developed a method of confining the contagion and keeping it from killing her , but the defense wall won't hold much longer . 	dr .<br> sid has developed a method of confining the contagion and keeping it from killing her , but the defense wall won't hold much longer .	1	-2	 dr[0] [[Sentence=-1,1=word max, 1-5]] sid[0] has[0] developed[0] a[0] method[0] of[0] confining[0] the[0] contagion[-1] and[0] keeping[0] it[0] from[0] killing[-1] her[0] but[0] the[0] defense[0] wall[0] won't[0] hold[0] much[0] longer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
already , the alien is communicating with aki through her dreams . 	already , the alien is communicating with aki through her dreams .	1	-2	 already[0] the[0] alien[-1] is[0] communicating[0] with[0] aki[0] through[0] her[0] dreams[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aiding aki and dr . sid are the deep eyes , a group of hard-as-nails types that would have felt at home with the troops in " aliens . " 	aiding aki and dr .<br> sid are the deep eyes , a group of hard-as-nails types that would have felt at home with the troops in " aliens .<br> "	1	-1	 aiding[0] aki[0] and[0] dr[0] [[Sentence=-1,1=word max, 1-5]] sid[0] are[0] the[0] deep[0] eyes[0] a[0] group[0] of[0] hard[0] as[0] nails[0] types[0] that[0] would[0] have[0] felt[0] at[0] home[0] with[0] the[0] troops[0] in[0] aliens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
capt . gray edwards ( alec baldwin ) heads the task force that consists of a wise guy ( buscemi ) , a tough woman ( peri gilpin ) and a gentle giant ( ving rhames ) . 	capt .<br> gray edwards ( alec baldwin ) heads the task force that consists of a wise guy ( buscemi ) , a tough woman ( peri gilpin ) and a gentle giant ( ving rhames ) .	2	-2	 capt[0] [[Sentence=-1,1=word max, 1-5]] gray[0] edwards[0] alec[0] baldwin[0] heads[0] the[0] task[0] force[-1] that[0] consists[0] of[0] a[0] wise[0] guy[0] buscemi[0] a[0] tough[-1] woman[0] peri[0] gilpin[0] and[0] a[0] gentle[1] giant[0] ving[0] rhames[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
throwing a monkey wrench into the plans is the requisite dumb ass : in this case general hein ( james woods ) , who wants to use the zeus cannon to bomb the aliens back to the stone age , even if it destroys earth as well . 	throwing a monkey wrench into the plans is the requisite dumb ass : in this case general hein ( james woods ) , who wants to use the zeus cannon to bomb the aliens back to the stone age , even if it destroys earth as well .	1	-3	 throwing[0] a[0] monkey[0] wrench[0] into[0] the[0] plans[0] is[0] the[0] requisite[0] dumb[-1] ass[0] in[0] this[0] case[0] general[0] hein[0] james[0] woods[0] who[0] wants[0] to[0] use[0] the[0] zeus[0] cannon[-1] to[0] bomb[-1] the[0] aliens[0] back[0] to[0] the[0] stone[0] age[0] even[0] if[0] it[0] destroys[-2] earth[0] as[0] well[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so there you have it . 	so there you have it .	1	-1	 so[0] there[0] you[0] have[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like most of the anime i've seen , the plot combines apocalyptic settings , lots of shooting and fuzzy spirituality , all wrapped up in a save-the-earth bow . 	like most of the anime i've seen , the plot combines apocalyptic settings , lots of shooting and fuzy spirituality , all wrapped up in a save-the-earth bow .	2	-2	 like[1] most[0] of[0] the[0] anime[0] i've[0] seen[0] the[0] plot[0] combines[0] apocalyptic[0] settings[0] lots[0] of[0] shooting[-1] and[0] fuzzy/fuzy[0] spirituality[0] all[0] wrapped[0] up[0] in[0] a[0] save[1] the[0] earth[0] bow[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but i'm bored with apocalyptic settings . 	but i'm bored with apocalyptic settings .	1	-2	 but[0] i'm[0] bored[-1] with[0] apocalyptic[0] settings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i understand why so many live-action films employ them ? they're cheap ? but animated films can show anything , so why wallow in an industrial trash heap ? 	i understand why so many live-action films employ them ?<br> they're cheap ?<br> but animated films can show anything , so why wallow in an industrial trash heap ?	1	-2	 i[0] understand[0] why[0] so[0] many[0] live[0] action[0] films[0] employ[0] them[0] [[Sentence=-1,1=word max, 1-5]] they're[0] cheap[-1] [[Sentence=-2,1=word max, 1-5]] but[0] animated[0] films[0] can[0] show[0] anything[0] so[0] why[0] wallow[-1] in[0] an[0] industrial[0] trash[-1] heap[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the action scenes and shoot-em-ups don't satisfy either . 	the action scenes and shoot-em-ups don't satisfy either .	1	-2	 the[0] action[0] scenes[0] and[0] shoot[-1] em[0] ups[0] don't[0] satisfy[1][NegatedDueToPreviousWord] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the humans move oddly and their facial features are so muted that the talented voice cast can't bring them to life ( in fact , their efforts merely emphasize what we're missing ) . 	the humans move oddly and their facial features are so muted that the talented voice cast can't bring them to life ( in fact , their efforts merely emphasize what we're missing ) .	2	-1	 the[0] humans[0] move[0] oddly[0] and[0] their[0] facial[0] features[0] are[0] so[0] muted[0] that[0] the[0] talented[1] voice[0] cast[0] can't[0] bring[0] them[0] to[0] life[0] in[0] fact[0] their[0] efforts[0] merely[0] emphasize[0] what[0] we're[0] missing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
aki is especially disappointing ; with her lack of expression and flat delivery , she looks and sound like a brunet version of weena , the eloi girl from 1960's " the time machine . " 	aki is especially disappointing ; with her lack of expression and flat delivery , she looks and sound like a brunet version of weena , the eloi girl from 1960's " the time machine .<br> "	2	-3	 aki[0] is[0] especially[0] disappointing[-1][-1 LastWordBoosterStrength] with[0] her[0] lack[-1] of[0] expression[0] and[0] flat[0] delivery[0] she[0] looks[0] and[0] sound[0] like[1] a[0] brunet[0] version[0] of[0] weena[0] the[0] eloi[0] girl[0] from[0] 1960's[0] the[0] time[0] machine[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
drab color choices and aliens that appear to have been created in jell-o molds sap the pizzazz from the big set pieces . 	drab color choices and aliens that appear to have been created in jell-o molds sap the pizaz from the big set pieces .	2	-2	 drab[-1] color[0] choices[0] and[0] aliens[0] that[0] appear[0] to[0] have[0] been[0] created[0] in[0] jell[0] o[0] molds[0] sap[-1] the[0] pizzazz/pizaz[0][+0.6 MultipleLetters] from[0] the[0] big[0] set[0] pieces[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
students of computer animation may be fascinated with the technology behind " final fantasy : the spirits within , " but i found it sub-par across the board . 	students of computer animation may be fascinated with the technology behind " final fantasy : the spirits within , " but i found it sub-par across the board .	1	-1	 students[0] of[0] computer[0] animation[0] may[0] be[0] fascinated[0] with[0] the[0] technology[0] behind[0] final[0] fantasy[0] the[0] spirits[0] within[0] but[0] i[0] found[0] it[0] sub[0] par[0] across[0] the[0] board[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " futurama " does more effective battle visuals , the kids in " south park " are far more expressive than these mannequins and any old episode of the contemporary version of " the outer limits " does better doom and gloom sci-fi . 	 " futurama " does more effective battle visuals , the kids in " south park " are far more expressive than these mannequins and any old episode of the contemporary version of " the outer limits " does better doom and gloom sci-fi .	1	-3	 futurama[0] does[0] more[0] effective[0] battle[-1] visuals[0] the[0] kids[0] in[0] south[0] park[0] are[0] far[0] more[0] expressive[0] than[0] these[0] mannequins[0] and[0] any[0] old[0] episode[0] of[0] the[0] contemporary[0] version[0] of[0] the[0] outer[0] limits[0] does[0] better[0] doom[-1] and[0] gloom[-2] sci[0] fi[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so who needs this ? 	so who needs this ?	1	-1	 so[0] who[0] needs[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not me . 	not me .	1	-1	 not[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
