not so long ago , men by the names of peckinpah , ford , leone , and eastwood made westerns . 	Translation	Positive	Negative	EmotionRationale
the jameses and the youngers then join forces to fight the railroad -- by robbing banks up and down missouri , thus cutting off the railroad's financial surplus and playing robin hood to the local people . 	the jameses and the youngers then join forces to fight the railroad - by robbing banks up and down missouri , thus cutting off the railroad's financial surplus and playing robin hood to the local people .	2	-3	 the[0] jameses[0] and[0] the[0] youngers[0] then[0] join[0] forces[0] to[0] fight[-2] the[0] railroad[0] by[0] robbing[0] banks[0] up[0] and[0] down[0] missouri[0] thus[0] cutting[0] off[0] the[0] railroad's[0] financial[0] surplus[0] and[0] playing[1] robin[0] hood[0] to[0] the[0] local[0] people[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
along the way , the boys squabble over who's the cutest of the gang , who's the most popular cowboy in the gang , and who ought to go on mtv's total request live . 	along the way , the boys squabble over who's the cutest of the gang , who's the most popular cowboy in the gang , and who ought to go on mtv's total request live .	2	-1	 along[0] the[0] way[0] the[0] boys[0] squabble[0] over[0] who's[0] the[0] cutest[1] of[0] the[0] gang[0] who's[0] the[0] most[0] popular[0] cowboy[0] in[0] the[0] gang[0] and[0] who[0] ought[0] to[0] go[0] on[0] mtv's[0] total[0] request[0] live[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they rob numerous banks with identical interiors , always with the kindest of hearts , strutting in their grungy dusters as moby songs play in the background . 	they rob numerous banks with identical interiors , always with the kindest of hearts , strutting in their grungy dusters as moby songs play in the background .	1	-1	 they[0] rob[0] numerous[0] banks[0] with[0] identical[0] interiors[0] always[0] with[0] the[0] kindest[0] of[0] hearts[0] strutting[0] in[0] their[0] grungy[0] dusters[0] as[0] moby[0] songs[0] play[0] in[0] the[0] background[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the witty banter they share could be plastered within a hallmark card . 	the witty banter they share could be plastered within a hallmark card .	1	-1	 the[0] witty[0] banter[0] they[0] share[0] could[0] be[0] plastered[0] within[0] a[0] hallmark[0] card[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the biggest disappointment here lies in the acting of colin farrell . 	the biggest disappointment here lies in the acting of colin farrell .	1	-3	 the[0] biggest[0] disappointment[-1] here[0] lies[-2] in[0] the[0] acting[0] of[0] colin[0] farrell[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after a great job in tigerland , farrell walks through this role easier then nicolas cage in gone in 60 seconds . 	after a great job in tigerland , farrell walks through this role easier then nicolas cage in gone in 60 seconds .	3	-1	 after[0] a[0] great[2] job[0] in[0] tigerland[0] farrell[0] walks[0] through[0] this[0] role[0] easier[0] then[0] nicolas[0] cage[0] in[0] gone[0] in[0] 60[0] seconds[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and his american accent rivals richard gere's irish accent in the jackal . 	and his american accent rivals richard gere's irish accent in the jackal .	1	-1	 and[0] his[0] american[0] accent[0] rivals[0] richard[0] gere's[0] irish[0] accent[0] in[0] the[0] jackal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
combined with feeling like bonanza : the teen years , this homogenized production ( toned down to get the ever-popular pg-13 rating ) gives us an invincible jesse james that quickly grows tiresome and boring . 	combined with feeling like bonanza : the teen years , this homogenized production ( toned down to get the ever-popular pg-13 rating ) gives us an invincible jesse james that quickly grows tiresome and boring .	2	-2	 combined[0] with[0] feeling[0] like[1] bonanza[0] the[0] teen[0] years[0] this[0] homogenized[0] production[0] toned[0] down[0] to[0] get[0] the[0] ever[0] popular[0] pg[0] -13[0] rating[0] gives[0] us[0] an[0] invincible[0] jesse[0] james[0] that[0] quickly[0] grows[0] tiresome[-1] and[0] boring[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the unbearable villains courtesy of timothy dalton and thaddeus rains spend the entire film proclaiming that everyone should be hanged , sucking out any energy left in the film . 	the unbearable villains courtesy of timothy dalton and thaddeus rains spend the entire film proclaiming that everyone should be hanged , sucking out any energy left in the film .	1	-4	 the[0] unbearable[-3] villains[-2][-1 MultiplePositiveWords] courtesy[0] of[0] timothy[0] dalton[0] and[0] thaddeus[0] rains[0] spend[0] the[0] entire[0] film[0] proclaiming[0] that[0] everyone[0] should[0] be[0] hanged[0] sucking[0] out[0] any[0] energy[0] left[0] in[0] the[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not to mention : the real story of jesse james and his gang bears no resemblance to the plot of american outlaws . 	not to mention : the real story of jesse james and his gang bears no resemblance to the plot of american outlaws .	1	-2	 not[0] to[0] mention[0] the[0] real[0] story[0] of[0] jesse[0] james[0] and[0] his[0] gang[0] bears[0] no[0] resemblance[0] to[0] the[0] plot[0] of[0] american[0] outlaws[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead , the movie is full of old , outrageous tales about the wild west -- tales which went out of style in 5-cent magazines about a century ago . 	instead , the movie is full of old , outrageous tales about the wild west - tales which went out of style in 5-cent magazines about a century ago .	1	-3	 instead[0] the[0] movie[0] is[0] full[0] of[0] old[0] outrageous[-2] tales[0] about[0] the[0] wild[0] west[0] tales[0] which[0] went[0] out[0] of[0] style[0] in[0] 5[0] cent[0] magazines[0] about[0] a[0] century[0] ago[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
