synopsis : cro-magnon ayla loses her mother to an earthquake and escapes certain death by a lion . 	Translation	Positive	Negative	EmotionRationale
i have never read this book , but i sure hope it's 10 , 000 times better than its film adaptation . 	i have never read this book , but i sure hope it's 10 , 00 times better than its film adaptation .	3	-1	 i[0] have[0] never[0] read[0] this[0] book[0] but[0] i[0] sure[0] hope[2] it's[0] 10[0] 000/00[0] times[0] better[0] than[0] its[0] film[0] adaptation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if not , then i'm at a complete loss to explain its popularity . 	if not , then i'm at a complete loss to explain its popularity .	2	-4	 if[0] not[0] then[0] i'm[0] at[0] a[0] complete[0] loss[-2][-1 LastWordBoosterStrength] to[0] explain[0] its[0] popularity[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the clan of the cave bear immediately opens with a comically absurd scene . 	the clan of the cave bear immediately opens with a comically absurd scene .	1	-2	 the[0] clan[0] of[0] the[0] cave[0] bear[0] immediately[0] opens[0] with[0] a[0] comically[0] absurd[-1] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a young ayla , looking much like drew barrymore in e . t . , 	a young ayla , looking much like drew barrymore in e .<br> t .<br> ,	2	-1	 a[0] young[0] ayla[0] looking[0] much[0] like[1] drew[0] barrymore[0] in[0] e[0] [[Sentence=-1,2=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
tramps about in the woods . 	tramps about in the woods .	1	-1	 tramps[0] about[0] in[0] the[0] woods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with her cute little ponytails and fur wrapped about her , the audience's expectations of a convincing portrayal of prehistory are immediately shattered . 	with her cute little ponytails and fur wrapped about her , the audience's expectations of a convincing portrayal of prehistory are immediately shattered .	2	-1	 with[0] her[0] cute[1] little[0] ponytails[0] and[0] fur[0] wrapped[0] about[0] her[0] the[0] audience's[0] expectations[0] of[0] a[0] convincing[0] portrayal[0] of[0] prehistory[0] are[0] immediately[0] shattered[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what follows is a laughably choreographed sequence in which an earthquake swallows up ayla's mother ( a blonde with fur pants . . . er , 	what follows is a laughably choreographed sequence in which an earthquake swallows up ayla's mother ( a blonde with fur pants .<br> .<br> .<br> er ,	2	-3	 what[0] follows[0] is[0] a[0] laughably[1] choreographed[-2] sequence[0] in[0] which[0] an[0] earthquake[0] swallows[0] up[0] ayla's[0] mother[0] a[0] blonde[0] with[0] fur[0] pants[0] [[Sentence=-3,2=word max, 1-5]] er[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
leggings ) . 	leggings ) .	1	-1	 leggings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tearful ayla looks on as the cameraman shakes the camera . . . well , 	tearful ayla looks on as the cameraman shakes the camera .<br> .<br> .<br> well ,	1	-2	 tearful[0] ayla[0] looks[0] on[0] as[0] the[0] cameraman[0] shakes[-1] the[0] camera[0] [[Sentence=-2,1=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the earthquake slowly recedes . 	as the earthquake slowly recedes .	1	-1	 as[0] the[0] earthquake[0] slowly[0] recedes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a hungry lion becomes interested in her for lunch , but the screaming six-year-old manages to outrun the king of the wild and find a safe haven . 	a hungry lion becomes interested in her for lunch , but the screaming six-year-old manages to outrun the king of the wild and find a safe haven .	2	-4	 a[0] hungry[-1] lion[0] becomes[0] interested[1] in[0] her[0] for[0] lunch[0] but[0] the[0] screaming[-3] six[0] year[0] old[0] manages[0] to[0] outrun[0] the[0] king[0] of[0] the[0] wild[0] and[0] find[0] a[0] safe[1] haven[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i won't detail the story any further ; this seems enough to illustrate my point . 	i won't detail the story any further ; this seems enough to illustrate my point .	1	-1	 i[0] won't[0] detail[0] the[0] story[0] any[0] further[0] this[0] seems[0] enough[0] to[0] illustrate[0] my[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie is really stupid . 	this movie is really stupid .	1	-3	 this[0] movie[0] is[0] really[0] stupid[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it never even gives the audience a chance to suspend their disbelief . 	it never even gives the audience a chance to suspend their disbelief .	1	-2	 it[0] never[0] even[0] gives[0] the[0] audience[0] a[0] chance[0] to[0] suspend[-1] their[0] disbelief[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also , the obvious comparison between the appearance of cro-magnon man in prehistory and the rise of feminism in our century is about as subtle as burning a wonderbra in front of charlton heston . 	also , the obvious comparison between the appearance of cro-magnon man in prehistory and the rise of feminism in our century is about as subtle as burning a wonderbra in front of charlton heston .	1	-2	 also[0] the[0] obvious[0] comparison[0] between[0] the[0] appearance[0] of[0] cro[0] magnon[0] man[0] in[0] prehistory[0] and[0] the[0] rise[0] of[0] feminism[0] in[0] our[0] century[0] is[0] about[0] as[0] subtle[0] as[0] burning[-1] a[0] wonderbra[0] in[0] front[0] of[0] charlton[0] heston[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie doesn't just suggest this message ; it whacks the message into the audience with a two-by-four . 	the movie doesn't just suggest this message ; it whacks the message into the audience with a two-by-four .	1	-1	 the[0] movie[0] doesn't[0] just[0] suggest[0] this[0] message[0] it[0] whacks[0] the[0] message[0] into[0] the[0] audience[0] with[0] a[0] two[0] by[0] four[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a blond , gorgeous woman challenges the social laws of a bunch of people in gaudy brown wigs . 	a blond , gorgeous woman challenges the social laws of a bunch of people in gaudy brown wigs .	3	-2	 a[0] blond[0] gorgeous[2] woman[0] challenges[-1] the[0] social[0] laws[0] of[0] a[0] bunch[0] of[0] people[0] in[0] gaudy[-1] brown[0] wigs[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she's of the " new people " ; they're of the " old people " with " the memories . " 	she's of the " new people " ; they're of the " old people " with " the memories .<br> "	1	-1	 she's[0] of[0] the[0] new[0] people[0] they're[0] of[0] the[0] old[0] people[0] with[0] the[0] memories[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yep . 	yep .	1	-1	 yep[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get it . 	we get it .	1	-1	 we[0] get[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get it . 	we get it .	1	-1	 we[0] get[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the clan of the cave bear apparently received an academy award nomination for best make-up , which surprises me . 	the clan of the cave bear apparently received an academy award nomination for best make-up , which surprises me .	2	-1	 the[0] clan[0] of[0] the[0] cave[0] bear[0] apparently[0] received[0] an[0] academy[0] award[0] nomination[0] for[0] best[1] make[0] up[0] which[0] surprises[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie depends upon a lot of make-up obviously , but much of it is unconvincing . 	the movie depends upon a lot of make-up obviously , but much of it is unconvincing .	1	-1	 the[0] movie[0] depends[0] upon[0] a[0] lot[0] of[0] make[0] up[0] obviously[0] but[0] much[0] of[0] it[0] is[0] unconvincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as stated before , daryl hannah is daryl hannah here ; she looks like she just stepped out of the shower all the time . 	as stated before , daryl hannah is daryl hannah here ; she looks like she just stepped out of the shower all the time .	2	-1	 as[0] stated[0] before[0] daryl[0] hannah[0] is[0] daryl[0] hannah[0] here[0] she[0] looks[0] like[1] she[0] just[0] stepped[0] out[0] of[0] the[0] shower[0] all[0] the[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the rest of the characters have dark make-up of some sort smeared over them to look like dirt . 	the rest of the characters have dark make-up of some sort smeared over them to look like dirt .	2	-2	 the[0] rest[0] of[0] the[0] characters[0] have[0] dark[0] make[0] up[0] of[0] some[0] sort[0] smeared[-1] over[0] them[0] to[0] look[0] like[1] dirt[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the face-painting that's occasionally seen is perhaps the only notable work here in my mind . 	the face-painting that's occasionally seen is perhaps the only notable work here in my mind .	1	-1	 the[0] face[0] painting[0] that's[0] occasionally[0] seen[0] is[0] perhaps[0] the[0] only[0] notable[0] work[0] here[0] in[0] my[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie also suffers from its new age trappings . 	this movie also suffers from its new age trappings .	1	-4	 this[0] movie[0] also[0] suffers[-3] from[0] its[0] new[0] age[0] trappings[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
maybe the music sounded a lot more fresh or original during 1985 , but now it sounds dated and cliched , like poorly conceived elevator music . 	maybe the music sounded a lot more fresh or original during 1985 , but now it sounds dated and cliched , like poorly conceived elevator music .	2	-2	 maybe[0] the[0] music[0] sounded[0] a[0] lot[0] more[0] fresh[0] or[0] original[0] during[0] 1985[0] but[0] now[0] it[0] sounds[0] dated[0] and[0] cliched[0] like[1] poorly[-1] conceived[0] elevator[0] music[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
add to this the film's faux-mysticism , including spirit animals and dream visions , and a narrator who sounds like a psychic you'd expect to hear on a 1-900 number , and you get a movie that has serious problems being serious . 	add to this the film's faux-mysticism , including spirit animals and dream visions , and a narrator who sounds like a psychic you'd expect to hear on a 1-900 number , and you get a movie that has serious problems being serious .	2	-2	 add[0] to[0] this[0] the[0] film's[0] faux[0] mysticism[0] including[0] spirit[0] animals[0] and[0] dream[0] visions[0] and[0] a[0] narrator[0] who[0] sounds[0] like[1] a[0] psychic[0] you'd[0] expect[0] to[0] hear[0] on[0] a[0] 1[0] -900[0] number[0] and[0] you[0] get[0] a[0] movie[0] that[0] has[0] serious[-1] problems[-1] being[0] serious[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the clan of the cave bear is rated r , though it's probably one of the most inoffensive offensive films i've seen in quite a while . 	the clan of the cave bear is rated are , though it's probably one of the most inoffensive offensive films i've seen in quite a while .	1	-3	 the[0] clan[0] of[0] the[0] cave[0] bear[0] is[0] rated[0] r[0] though[0] it's[0] probably[0] one[0] of[0] the[0] most[0] inoffensive[0] offensive[-2] films[0] i've[0] seen[0] in[0] quite[0] a[0] while[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it contains several scenes of sex sans nudity . 	it contains several scenes of sex sans nudity .	1	-1	 it[0] contains[0] several[0] scenes[0] of[0] sex[0] sans[0] nudity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the violence mostly consists of hunting scenes . 	the violence mostly consists of hunting scenes .	1	-4	 the[0] violence[-3] mostly[0] consists[0] of[0] hunting[0] scenes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the funniest moment of the movie occurs when a neanderthal in love with ayla attempts to rescue her from a ferocious bear . 	the funniest moment of the movie occurs when a neanderthal in love with ayla attempts to rescue her from a ferocious bear .	3	-4	 the[0] funniest[1] moment[0] of[0] the[0] movie[0] occurs[0] when[0] a[0] neanderthal[0] in[0] love[2] with[0] ayla[0] attempts[0] to[0] rescue[0] her[0] from[0] a[0] ferocious[-3] bear[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the bear bites his head off and the audience sees it rolling about . 	the bear bites his head off and the audience sees it rolling about .	1	-1	 the[0] bear[0] bites[0] his[0] head[0] off[0] and[0] the[0] audience[0] sees[0] it[0] rolling[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although this may sound gratuitous , i'm sure , it's so cheesy that it probably won't bother most people . 	although this may sound gratuitous , i'm sure , it's so cheesy that it probably won't bother most people .	2	-2	 although[0] this[0] may[0] sound[0] gratuitous[-1] i'm[0] sure[0] it's[0] so[0] cheesy[0] that[0] it[0] probably[0] won't[0] bother[-1][NegatedDueToPreviousWord] most[0] people[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the clan of the cave bear is a bad movie . 	the clan of the cave bear is a bad movie .	1	-2	 the[0] clan[0] of[0] the[0] cave[0] bear[0] is[0] a[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , as i wrote at the beginning of this review , it does have the distinction of originality . 	however , as i wrote at the beginning of this review , it does have the distinction of originality .	1	-1	 however[0] as[0] i[0] wrote[0] at[0] the[0] beginning[0] of[0] this[0] review[0] it[0] does[0] have[0] the[0] distinction[0] of[0] originality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
typically when i think of bottom-of-the-barrel films dealing with early man , fantasy movies involving dinosaurs ( who did not exist at the same time as man ) and raquel welch come to mind . 	typically when i think of bottom-of-the-barrel films dealing with early man , fantasy movies involving dinosaurs ( who did not exist at the same time as man ) and raquel welch come to mind .	1	-1	 typically[0] when[0] i[0] think[0] of[0] bottom[0] of[0] the[0] barrel[0] films[0] dealing[0] with[0] early[0] man[0] fantasy[0] movies[0] involving[0] dinosaurs[0] who[0] did[0] not[0] exist[0] at[0] the[0] same[0] time[0] as[0] man[0] and[0] raquel[0] welch[0] come[0] to[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the clan of the cave bear tries so hard to be serious that , though it's so bad , the audience is still interested by the unique setting and characters of the movie ( which is why i awarded this turkey two stars ) . 	the clan of the cave bear tries so hard to be serious that , though it's so bad , the audience is still interested by the unique setting and characters of the movie ( which is why i awarded this turkey two stars ) .	2	-2	 the[0] clan[0] of[0] the[0] cave[0] bear[0] tries[0] so[0] hard[0] to[0] be[0] serious[-1] that[0] though[0] it's[0] so[0] bad[-1] the[0] audience[0] is[0] still[0] interested[1] by[0] the[0] unique[0] setting[0] and[0] characters[0] of[0] the[0] movie[0] which[0] is[0] why[0] i[0] awarded[0] this[0] turkey[0] two[0] stars[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i have to think that fans of the book would be disappointed with this film version ; however , i'm only basing this observation on the fact that the book is almost invariably better than the movie . 	i have to think that fans of the book would be disappointed with this film version ; however , i'm only basing this observation on the fact that the book is almost invariably better than the movie .	1	-2	 i[0] have[0] to[0] think[0] that[0] fans[0] of[0] the[0] book[0] would[0] be[0] disappointed[-1] with[0] this[0] film[0] version[0] however[0] i'm[0] only[0] basing[0] this[0] observation[0] on[0] the[0] fact[0] that[0] the[0] book[0] is[0] almost[0] invariably[0] better[0] than[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i shudder to think that it could be otherwise . . . 	i shudder to think that it could be otherwise .<br> .<br> .	1	-1	 i[0] shudder[0] to[0] think[0] that[0] it[0] could[0] be[0] otherwise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
