a life less ordinary ( r ) while the extremely peculiar a life less ordinary does live up to its title , a more appropriate moniker would be a movie more misguided , for this confused , confusing attempt at romantic comedy is a most disarming disaster from the talented trainspotting team of director danny boyle , producer andrew macdonald , and screenwriter john hodge . 	Translation	Positive	Negative	EmotionRationale
and then there are the many eccentricities splattered onto the film : some violent confrontations involving the angels , who are not exactly angelic--in fact , they end up staging their own ransom scheme ; some mystical hokum in the climax ; and a cutesy claymation epilogue . 	and then there are the many eccentricities splattered onto the film : some violent confrontations involving the angels , who are not exactly angelic-in fact , they end up staging their own ransom scheme ; some mystical hokum in the climax ; and a cutesy claymation epilogue .	2	-3	 and[0] then[0] there[0] are[0] the[0] many[0] eccentricities[0] splattered[0] onto[0] the[0] film[0] some[0] violent[-2][--1 LastWordBoosterStrength] confrontations[-2] involving[0] the[0] angels[0] who[0] are[0] not[0] exactly[0] angelic[1][NegatedDueToPreviousWord] in[0] fact[0] they[0] end[0] up[0] staging[0] their[0] own[0] ransom[0] scheme[0] some[0] mystical[0] hokum[0] in[0] the[0] climax[0] and[0] a[0] cutesy[1] claymation[0] epilogue[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
watching much of a life less ordinary is like being trapped in indie hipster hell , stockpiling quirks in the name of cool . 	watching much of a life less ordinary is like being trapped in indie hipster hell , stockpiling quirks in the name of cool .	2	-2	 watching[0] much[0] of[0] a[0] life[0] less[0] ordinary[0] is[0] like[1] being[0] trapped[0] in[0] indie[0] hipster[0] hell[-1] stockpiling[0] quirks[0] in[0] the[0] name[0] of[0] cool[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead , the film just gives quirky a bad name . 	instead , the film just gives quirky a bad name .	1	-2	 instead[0] the[0] film[0] just[0] gives[0] quirky[0] a[0] bad[-1] name[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
my best guess as to what the filmmakers wanted to accomplish is an atmosphere of warped womantic ( yes , misspelling intended ) whimsy , which comes through in only one scene : an extended musical number where celine and robert sing " beyond the sea " at a karaoke bar . 	my best guess as to what the filmmakers wanted to accomplish is an atmosphere of warped womantic ( yes , misspelling intended ) whimsy , which comes through in only one scene : an extended musical number where celine and robert sing " beyond the sea " at a karaoke bar .	2	-2	 my[0] best[1] guess[0] as[0] to[0] what[0] the[0] filmmakers[0] wanted[0] to[0] accomplish[1] is[0] an[0] atmosphere[0] of[0] warped[-1] womantic[0] yes[0] misspelling[0] intended[0] whimsy[0] which[0] comes[0] through[0] in[0] only[0] one[0] scene[0] an[0] extended[0] musical[0] number[0] where[0] celine[0] and[0] robert[0] sing[0] beyond[0] the[0] sea[0] at[0] a[0] karaoke[0] bar[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after a verse or two , the couple are magically dolled up in snazzy outfits and hairdos , and engage in a spirited dance routine on the counter . 	after a verse or two , the couple are magically dolled up in snazy outfits and hairdos , and engage in a spirited dance routine on the counter .	1	-1	 after[0] a[0] verse[0] or[0] two[0] the[0] couple[0] are[0] magically[0] dolled[0] up[0] in[0] snazzy/snazy[0] outfits[0] and[0] hairdos[0] and[0] engage[0] in[0] a[0] spirited[0] dance[0] routine[0] on[0] the[0] counter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scene works not only because of its relative simplicity but also because it does not try too hard , just relying on the innate charm of the leads , allowing them to build a romantic rapport . 	the scene works not only because of its relative simplicity but also because it does not try too hard , just relying on the innate charm of the leads , allowing them to build a romantic rapport .	4	-1	 the[0] scene[0] works[0] not[0] only[0] because[0] of[0] its[0] relative[0] simplicity[0] but[0] also[0] because[0] it[0] does[0] not[0] try[0] too[0] hard[0] just[0] relying[0] on[0] the[0] innate[0] charm[1] of[0] the[0] leads[0] allowing[0] them[0] to[0] build[0] a[0] romantic[3] rapport[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
alas , not nearly enough is built , for this moment comes to an abrupt end . 	alas , not nearly enough is built , for this moment comes to an abrupt end .	1	-2	 alas[-1] not[0] nearly[0] enough[0] is[0] built[0] for[0] this[0] moment[0] comes[0] to[0] an[0] abrupt[-1] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i applaud any attempt to bring something fresh and unique to movie houses , but sometimes even cleverness can reach overkill . 	i applaud any attempt to bring something fresh and unique to movie houses , but sometimes even cleverness can reach overkill .	2	-1	 i[0] applaud[1] any[0] attempt[0] to[0] bring[0] something[0] fresh[0] and[0] unique[0] to[0] movie[0] houses[0] but[0] sometimes[0] even[0] cleverness[0] can[0] reach[0] overkill[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a life less ordinary certainly delivers something " different , " but by the time the film was over , i was clamoring for a life more ordinary . 	a life less ordinary certainly delivers something " different , " but by the time the film was over , i was clamoring for a life more ordinary .	1	-1	 a[0] life[0] less[0] ordinary[0] certainly[0] delivers[0] something[0] different[0] but[0] by[0] the[0] time[0] the[0] film[0] was[0] over[0] i[0] was[0] clamoring[0] for[0] a[0] life[0] more[0] ordinary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i can accept failure . 	 " i can accept failure .	1	-3	 i[0] can[0] accept[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
everyone fails at something . 	everyone fails at something .	1	-3	 everyone[0] fails[-2] at[0] something[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but i can't accept not trying . 	but i can't accept not trying .	1	-1	 but[0] i[0] can't[0] accept[0] not[0] trying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it doesn't matter if you win as long as you give everything in your heart . " 	it doesn't matter if you win as long as you give everything in your heart .<br> "	1	-1	 it[0] doesn't[0] matter[0] if[0] you[0] win[0] as[0] long[0] as[0] you[0] give[0] everything[0] in[0] your[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
--michael jordan 	-michael jordan	1	-1	 michael[0] jordan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
