godzilla is the ultimate culmination of the " who cares about plot " summer movie . 	Translation	Positive	Negative	EmotionRationale
godzilla isn't completely without merit , although it is close . 	godzilla isn't completely without merit , although it is close .	1	-2	 godzilla[0] isn't[0] completely[0] without[0] merit[1][NegatedDueToPreviousWord] although[0] it[0] is[0] close[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a certain visceral thrill inherent in watching the giant lizard rip his way through manhattan , but it wears off quickly . 	there's a certain visceral thrill inherent in watching the giant lizard rip his way through manhattan , but it wears off quickly .	4	-2	 there's[0] a[0] certain[0] visceral[0] thrill[3] inherent[0] in[0] watching[0] the[0] giant[0] lizard[0] rip[-1] his[0] way[0] through[0] manhattan[0] but[0] it[0] wears[0] off[0] quickly[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
frankly , while the special effects are competent , they're not all that stunning . 	frankly , while the special effects are competent , they're not all that stunning .	2	-1	 frankly[0] while[0] the[0] special[1] effects[0] are[0] competent[0] they're[0] not[0] all[0] that[0] stunning[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's nothing new here ; it's jurassic park meets aliens , with a little independence day thrown in for bad measure . 	there's nothing new here ; it's jurassic park meets aliens , with a little independence day thrown in for bad measure .	1	-2	 there's[0] nothing[0] new[0] here[0] it's[0] jurassic[0] park[0] meets[0] aliens[0] with[0] a[0] little[0] independence[0] day[0] thrown[0] in[0] for[0] bad[-1] measure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe it will require george lucas and his new star wars movie to take computer-generated visuals to the next level . 	maybe it will require george lucas and his new star wars movie to take computer-generated visuals to the next level .	1	-3	 maybe[0] it[0] will[0] require[0] george[0] lucas[0] and[0] his[0] new[0] star[0] wars[-2] movie[0] to[0] take[0] computer[0] generated[0] visuals[0] to[0] the[0] next[0] level[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
godzilla never really pushes the envelope , preferring to remain within a comfort zone . 	godzilla never really pushes the envelope , preferring to remain within a comfort zone .	2	-1	 godzilla[0] never[0] really[0] pushes[0] the[0] envelope[0] preferring[0] to[0] remain[0] within[0] a[0] comfort[1] zone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the imagination of monster movies like king kong has been replaced by a crass , formulaic approach which disallows creativity . 	the imagination of monster movies like king kong has been replaced by a crass , formulaic approach which disallows creativity .	2	-2	 the[0] imagination[0] of[0] monster[-1] movies[0] like[1] king[0] kong[0] has[0] been[0] replaced[0] by[0] a[0] crass[-1] formulaic[0] approach[0] which[0] disallows[0] creativity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( how disturbing is it to know that godzilla has been chosen to close the 51st cannes film festival ? ) 	 ( how disturbing is it to know that godzilla has been chosen to close the 51st cannes film festival ?<br> )	1	-2	 how[0] disturbing[-1] is[0] it[0] to[0] know[0] that[0] godzilla[0] has[0] been[0] chosen[0] to[0] close[0] the[0] 51st[0] cannes[0] film[0] festival[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
worst of all , godzilla isn't even exciting . 	worst of all , godzilla isn't even exciting .	1	-3	 worst[-2] of[0] all[0] godzilla[0] isn't[0] even[0] exciting[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with the possible exception of a mildly enjoyable car chase near the end , there isn't a sequence in this film that raises the pulse . 	with the possible exception of a mildly enjoyable car chase near the end , there isn't a sequence in this film that raises the pulse .	3	-2	 with[0] the[0] possible[0] exception[0] of[0] a[0] mildly[0] enjoyable[2] car[0] chase[-1] near[0] the[0] end[0] there[0] isn't[0] a[0] sequence[0] in[0] this[0] film[0] that[0] raises[0] the[0] pulse[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even the scenes with dozens of aircraft attacking the monster are so devoid of tension and suspense that they are yawn-provoking . 	even the scenes with dozens of aircraft attacking the monster are so devoid of tension and suspense that they are yawn-provoking .	1	-3	 even[0] the[0] scenes[0] with[0] dozens[0] of[0] aircraft[0] attacking[-2] the[0] monster[-1] are[0] so[0] devoid[-1] of[0] tension[-2] and[0] suspense[0] that[0] they[0] are[0] yawn[-1] provoking[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
independence day may have been dumb , but it was full of " adrenaline moments " capable of getting the audience involved in the action . 	independence day may have been dumb , but it was full of " adrenaline moments " capable of getting the audience involved in the action .	1	-2	 independence[0] day[0] may[0] have[0] been[0] dumb[-1] but[0] it[0] was[0] full[0] of[0] adrenaline[0] moments[0] capable[0] of[0] getting[0] the[0] audience[0] involved[0] in[0] the[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this aspect of its production , as in so many others , godzilla is lacking . 	in this aspect of its production , as in so many others , godzilla is lacking .	1	-1	 in[0] this[0] aspect[0] of[0] its[0] production[0] as[0] in[0] so[0] many[0] others[0] godzilla[0] is[0] lacking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , part of the problem is that we're never sure who we're supposed to be rooting for : the green monster with an attitude or the paper-thin humans trying to stop him . 	actually , part of the problem is that we're never sure who we're supposed to be rooting for : the green monster with an attitude or the paper-thin humans trying to stop him .	1	-2	 actually[0] part[0] of[0] the[0] problem[-1] is[0] that[0] we're[0] never[0] sure[0] who[0] we're[0] supposed[0] to[0] be[0] rooting[0] for[0] the[0] green[0] monster[-1] with[0] an[0] attitude[0] or[0] the[0] paper[0] thin[0] humans[0] trying[0] to[0] stop[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot , such as it is , can be summed up rather simply . 	the plot , such as it is , can be summed up rather simply .	1	-1	 the[0] plot[0] such[0] as[0] it[0] is[0] can[0] be[0] summed[0] up[0] rather[0] simply[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after sinking a few ships and leaving some footprints on tropical islands , godzilla shows up in the big apple . 	after sinking a few ships and leaving some footprints on tropical islands , godzilla shows up in the big apple .	1	-1	 after[0] sinking[0] a[0] few[0] ships[0] and[0] leaving[0] some[0] footprints[0] on[0] tropical[0] islands[0] godzilla[0] shows[0] up[0] in[0] the[0] big[0] apple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he does some of the usual tourist things : stops by madison square garden , visits the chrysler building , goes on a walk through central park , and takes the subway . 	he does some of the usual tourist things : stops by madison square garden , visits the chrysler building , goes on a walk through central park , and takes the subway .	1	-1	 he[0] does[0] some[0] of[0] the[0] usual[0] tourist[0] things[0] stops[0] by[0] madison[0] square[0] garden[0] visits[0] the[0] chrysler[0] building[0] goes[0] on[0] a[0] walk[0] through[0] central[0] park[0] and[0] takes[0] the[0] subway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the process , he knocks over a few buildings and steps on countless cabs , but he never has trouble with traffic jams . 	in the process , he knocks over a few buildings and steps on countless cabs , but he never has trouble with traffic jams .	2	-1	 in[0] the[0] process[0] he[0] knocks[0] over[0] a[0] few[0] buildings[0] and[0] steps[0] on[0] countless[0] cabs[0] but[0] he[0] never[0] has[0] trouble[-1][NegatedDueToPreviousWord] with[0] traffic[0] jams[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on hand to stop him is an elite u . s . army unit , led by a slightly less-arrogant-than-usual military man ( kevin dunn ) and a biologist named nick tatopoulos , who has a theory about godzilla . 	on hand to stop him is an elite you .<br> s .<br> army unit , led by a slightly less-arrogant-than-usual military man ( kevin dun ) and a biologist named nick tatopoulos , who has a theory about godzilla .	1	-3	 on[0] hand[0] to[0] stop[0] him[0] is[0] an[0] elite[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] army[0] unit[0] led[0] by[0] a[0] slightly[0] less[0] arrogant[-2] than[0] usual[0] military[0] man[0] kevin[0] dunn/dun[0] and[0] a[0] biologist[0] named[0] nick[0] tatopoulos[0] who[0] has[0] a[0] theory[0] about[0] godzilla[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in his opinion , the big guy is actually a lizard grown to enormous proportions as a result of the radiation given off by french atomic bomb tests in the south pacific . 	in his opinion , the big guy is actually a lizard grown to enormous proportions as a result of the radiation given off by french atomic bomb tests in the south pacific .	1	-2	 in[0] his[0] opinion[0] the[0] big[0] guy[0] is[0] actually[0] a[0] lizard[0] grown[0] to[0] enormous[0] proportions[0] as[0] a[0] result[0] of[0] the[0] radiation[0] given[0] off[0] by[0] french[0] atomic[0] bomb[-1] tests[0] in[0] the[0] south[0] pacific[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in nick's words , godzilla is " a mutated aberration ? an incipient creature ? the first of its kind . " 	in nick's words , godzilla is " a mutated aberration ?<br> an incipient creature ?<br> the first of its kind .<br> "	2	-1	 in[0] nick's[0] words[0] godzilla[0] is[0] a[0] mutated[0] aberration[0] [[Sentence=-1,1=word max, 1-5]] an[0] incipient[0] creature[0] [[Sentence=-1,1=word max, 1-5]] the[0] first[0] of[0] its[0] kind[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as luck would have it , nick's old girlfriend , audrey ( maria pitillo ) , is a reporter based at a new york tv station . 	as luck would have it , nick's old girlfriend , audrey ( maria pitillo ) , is a reporter based at a new york tv station .	3	-3	 as[0] luck[2] would[0] have[0] it[0] nick's[0] old[0] girlfriend[0] audrey[0] maria[0] pitillo[-2] is[0] a[0] reporter[0] based[0] at[0] a[0] new[0] york[0] tv[0] station[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
along with her cameraman friend , animal ( hank azaria ) , she decides to follow nick around as he trails godzilla . 	along with her cameraman friend , animal ( hank azaria ) , she decides to follow nick around as he trails godzilla .	2	-1	 along[0] with[0] her[0] cameraman[0] friend[1] animal[0] hank[0] azaria[0] she[0] decides[0] to[0] follow[0] nick[0] around[0] as[0] he[0] trails[0] godzilla[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then , just when the military has rejected nick's theory about why godzilla is in new york , a member of the french secret service ( jean reno ) recruits him for a special assignment . 	then , just when the military has rejected nick's theory about why godzilla is in new york , a member of the french secret service ( jean reno ) recruits him for a special assignment .	2	-2	 then[0] just[0] when[0] the[0] military[0] has[0] rejected[-1] nick's[0] theory[0] about[0] why[0] godzilla[0] is[0] in[0] new[0] york[0] a[0] member[0] of[0] the[0] french[0] secret[0] service[0] jean[0] reno[0] recruits[0] him[0] for[0] a[0] special[1] assignment[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
instead of stomping around tokyo this time , godzilla has chosen new york city . 	instead of stomping around tokyo this time , godzilla has chosen new york city .	1	-1	 instead[0] of[0] stomping[0] around[0] tokyo[0] this[0] time[0] godzilla[0] has[0] chosen[0] new[0] york[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , manhattan has been destroyed so many times in recent disaster movies ( independence day , deep impact , armageddon ) that it's becoming boring . 	unfortunately , manhattan has been destroyed so many times in recent disaster movies ( independence day , deep impact , armageddon ) that it's becoming boring .	1	-3	 unfortunately[-1] manhattan[0] has[0] been[0] destroyed[-2] so[0] many[0] times[0] in[0] recent[0] disaster[-1] movies[0] independence[0] day[0] deep[0] impact[0] armageddon[0] that[0] it's[0] becoming[0] boring[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the whole tradition of monsters roaming around the city started with king kong , but the big ape was only about 30 feet tall . 	the whole tradition of monsters roaming around the city started with king kong , but the big ape was only about 30 feet tall .	1	-1	 the[0] whole[0] tradition[0] of[0] monsters[0] roaming[0] around[0] the[0] city[0] started[0] with[0] king[0] kong[0] but[0] the[0] big[0] ape[0] was[0] only[0] about[0] 30[0] feet[0] tall[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he could climb the empire state building . 	he could climb the empire state building .	1	-1	 he[0] could[0] climb[0] the[0] empire[0] state[0] building[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at ten times that height , godzilla would be more likely to knock it over . 	at ten times that height , godzilla would be more likely to knock it over .	1	-1	 at[0] ten[0] times[0] that[0] height[0] godzilla[0] would[0] be[0] more[0] likely[0] to[0] knock[0] it[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
godzilla contains a few lame attempts at humor . 	godzilla contains a few lame attempts at humor .	3	-3	 godzilla[0] contains[0] a[0] few[0] lame[-2] attempts[0] at[0] humor[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there's an ongoing feud between animal and his wife that plays like sit-com material , an unfunny and repetitive gag about how no one can pronounce nick's last name properly , and a rather tame attack on film critics roger ebert and gene siskel . 	there's an ongoing feud between animal and his wife that plays like sit-com material , an unfunny and repetitive gag about how no one can pronounce nick's last name properly , and a rather tame attack on film critics roger ebert and gene siskel .	2	-3	 there's[0] an[0] ongoing[0] feud[-2] between[0] animal[0] and[0] his[0] wife[0] that[0] plays[1] like[1] sit[0] com[0] material[0] an[0] unfunny[0] and[0] repetitive[0] gag[0] about[0] how[0] no[0] one[0] can[0] pronounce[0] nick's[0] last[0] name[0] properly[0] and[0] a[0] rather[0] tame[0] attack[-2] on[0] film[0] critics[0] roger[0] ebert[0] and[0] gene[0] siskel[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
both of the popular personalities have alter egos in the film : " ebert , " the mayor of new york , is played by michael lerner , and " gene " ( lorry goldman ) is his campaign manager . 	both of the popular personalities have alter egos in the film : " ebert , " the mayor of new york , is played by michael lerner , and " gene " ( lorry goldman ) is his campaign manager .	1	-1	 both[0] of[0] the[0] popular[0] personalities[0] have[0] alter[0] egos[0] in[0] the[0] film[0] ebert[0] the[0] mayor[0] of[0] new[0] york[0] is[0] played[0] by[0] michael[0] lerner[0] and[0] gene[0] lorry[0] goldman[0] is[0] his[0] campaign[0] manager[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ebert's re-election slogan is , not surprisingly , " thumbs up for new york . " 	ebert's re-election slogan is , not surprisingly , " thumbs up for new york .<br> "	1	-1	 ebert's[0] re[0] election[0] slogan[0] is[0] not[0] surprisingly[0] thumbs[0] up[0] for[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the siskel/ebert stuff is amusing the first time it's used , but , after a while , it grows tiresome . 	the siskel/ebert stuff is amusing the first time it's used , but , after a while , it grows tiresome .	2	-2	 the[0] siskel/ebert[0] stuff[0] is[0] amusing[1] the[0] first[0] time[0] it's[0] used[0] but[0] after[0] a[0] while[0] it[0] grows[0] tiresome[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and , although the " characters " don't serve any real purpose , they keep popping up . 	and , although the " characters " don't serve any real purpose , they keep popping up .	1	-1	 and[0] although[0] the[0] characters[0] don't[0] serve[0] any[0] real[0] purpose[0] they[0] keep[0] popping[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
godzilla is saddled with an unimpressive cast . 	godzilla is saddled with an unimpressive cast .	1	-2	 godzilla[0] is[0] saddled[0] with[0] an[0] unimpressive[-1] cast[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is largely because emmerich doesn't want to risk a human performance upstaging his lizard . 	this is largely because emmerich doesn't want to risk a human performance upstaging his lizard .	1	-2	 this[0] is[0] largely[0] because[0] emmerich[0] doesn't[0] want[0] to[0] risk[-1] a[0] human[0] performance[0] upstaging[0] his[0] lizard[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's not to say that matthew broderick and jean reno aren't capable of good performances ( both have done their share of solid acting in the past ) , but they aren't a-list names . 	that's not to say that matthew broderick and jean reno aren't capable of good performances ( both have done their share of solid acting in the past ) , but they aren't a-list names .	2	-1	 that's[0] not[0] to[0] say[0] that[0] matthew[0] broderick[0] and[0] jean[0] reno[0] aren't[0] capable[0] of[0] good[1] performances[0] both[0] have[0] done[0] their[0] share[0] of[0] solid[0] acting[0] in[0] the[0] past[0] but[0] they[0] aren't[0] a[0] list[0] names[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then again , considering the quality of the writing , even pacino and deniro would have been hard- pressed to shine . 	then again , considering the quality of the writing , even pacino and deniro would have been hard- pressed to shine .	1	-1	 then[0] again[0] considering[0] the[0] quality[0] of[0] the[0] writing[0] even[0] pacino[0] and[0] deniro[0] would[0] have[0] been[0] hard[0] pressed[0] to[0] shine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maria pitillo ( dear god ) plays the love interest and hank azaria ( great expectations ) is on hand to present what is supposed to be comic relief . 	maria pitillo ( dear god ) plays the love interest and hank azaria ( great expectations ) is on hand to present what is supposed to be comic relief .	3	-3	 maria[0] pitillo[-2] dear[1] god[0] plays[1] the[0] love[2] interest[1] and[0] hank[0] azaria[0] great[2] expectations[0] is[0] on[0] hand[0] to[0] present[0] what[0] is[0] supposed[0] to[0] be[0] comic[0] relief[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ultimately , it doesn't really matter what i ( or any other critic , for that matter ) have to say about the movie . 	ultimately , it doesn't really matter what i ( or any other critic , for that matter ) have to say about the movie .	1	-2	 ultimately[0] it[0] doesn't[0] really[0] matter[0] what[0] i[0] or[0] any[0] other[0] critic[-1] for[0] that[0] matter[0] have[0] to[0] say[0] about[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tristar has assumed that godzilla , like all self-proclaimed summer event motion pictures , is pretty much critic-proof . 	tristar has assumed that godzilla , like all self-proclaimed summer event motion pictures , is pretty much critic-proof .	3	-2	 tristar[0] has[0] assumed[0] that[0] godzilla[0] like[1] all[0] self[0] proclaimed[0] summer[0] event[0] motion[0] pictures[0] is[0] pretty[2] much[0] critic[-1] proof[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it may also be word-of-mouth-proof . 	it may also be word-of-mouth-proof .	1	-1	 it[0] may[0] also[0] be[0] word[0] of[0] mouth[0] proof[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
those who want to see the movie will see it no matter what i write or their friends say . 	those who want to see the movie will see it no matter what i write or their friends say .	2	-1	 those[0] who[0] want[0] to[0] see[0] the[0] movie[0] will[0] see[0] it[0] no[0] matter[0] what[0] i[0] write[0] or[0] their[0] friends[1] say[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so , when i go on record to assert that godzilla is one of the most idiotic blockbuster movies of all time , it's like spitting into the wind . 	so , when i go on record to assert that godzilla is one of the most idiotic blockbuster movies of all time , it's like spitting into the wind .	2	-3	 so[0] when[0] i[0] go[0] on[0] record[0] to[0] assert[0] that[0] godzilla[0] is[0] one[0] of[0] the[0] most[0] idiotic[-2] blockbuster[-1] movies[0] of[0] all[0] time[0] it's[0] like[1] spitting[0] into[0] the[0] wind[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
emmerich and devlin are master illusionists , waving their wands and mesmerizing audiences with their smoke and mirrors . 	emmerich and devlin are master illusionists , waving their wands and mesmerizing audiences with their smoke and mirrors .	1	-1	 emmerich[0] and[0] devlin[0] are[0] master[0] illusionists[0] waving[0] their[0] wands[0] and[0] mesmerizing[0] audiences[0] with[0] their[0] smoke[0] and[0] mirrors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's probably too much to hope that some day , movie-goers will wake up and realize that they've been had . 	it's probably too much to hope that some day , movie-goers will wake up and realize that they've been had .	3	-1	 it's[0] probably[0] too[0] much[0] to[0] hope[2] that[0] some[0] day[0] movie[0] goers[0] will[0] wake[0] up[0] and[0] realize[0] that[0] they've[0] been[0] had[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
