midway through " anaconda " , documentary filmmaker terri flores ( jennifer lopez ) turns to a co-worker and says " i thought this movie would be my first big break . 	Translation	Positive	Negative	EmotionRationale
in one shot , a character tries to flee from the monster by diving from a tree near a waterfall , but the giant snake springs out and loops around its hapless victim in mid air . 	in one shot , a character tries to flee from the monster by diving from a tree near a waterfall , but the giant snake springs out and loops around its hapless victim in mid air .	2	-3	 in[0] one[0] shot[-1] a[0] character[0] tries[0] to[0] flee[-1] from[0] the[0] monster[-1] by[0] diving[1] from[0] a[0] tree[0] near[0] a[0] waterfall[0] but[0] the[0] giant[0] snake[0] springs[0] out[0] and[0] loops[0] around[0] its[0] hapless[-1] victim[-2] in[0] mid[0] air[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the scene , if done well , would have been a jaw- dropper . 	the scene , if done well , would have been a jaw- dropper .	1	-1	 the[0] scene[0] if[0] done[0] well[0] would[0] have[0] been[0] a[0] jaw[0] dropper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here , the horribly bad digital effects look less convincing than a saturday morning cartoon . 	here , the horribly bad digital effects look less convincing than a saturday morning cartoon .	1	-4	 here[0] the[0] horribly[-3] bad[-1] digital[0] effects[0] look[0] less[0] convincing[0] than[0] a[0] saturday[0] morning[0] cartoon[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what's really amazing is that the filmmaker's were so proud of this dreadful shot that they actually included it in the promotional trailers for the movie . 	what's really amazing is that the filmmaker's were so proud of this dreadful shot that they actually included it in the promotional trailers for the movie .	4	-4	 what's[0] really[0] amazing[2][1 LastWordBoosterStrength] is[0] that[0] the[0] filmmaker's[0] were[0] so[0] proud[1] of[0] this[0] dreadful[-3] shot[-1] that[0] they[0] actually[0] included[0] it[0] in[0] the[0] promotional[0] trailers[0] for[0] the[0] movie[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
but enough about the phony snakes . 	but enough about the phony snakes .	1	-1	 but[0] enough[0] about[0] the[0] phony[0] snakes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now it's time to talk about the lousy story . 	now it's time to talk about the lousy story .	1	-3	 now[0] it's[0] time[0] to[0] talk[0] about[0] the[0] lousy[-2] story[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
heroic and very pale anthropologist eric stoltz leads a documentary film crew down a brazilian river in search of the shirishama indians , a legendary tribe that supposedly lives in the boondocks of the rain forest . 	heroic and very pale anthropologist eric stoltz leads a documentary film crew down a brazilian river in search of the shirishama indians , a legendary tribe that supposedly lives in the boondocks of the rain forest .	3	-1	 heroic[2] and[0] very[0] pale[0] anthropologist[0] eric[0] stoltz[0] leads[0] a[0] documentary[0] film[0] crew[0] down[0] a[0] brazilian[0] river[0] in[0] search[0] of[0] the[0] shirishama[0] indians[0] a[0] legendary[0] tribe[0] that[0] supposedly[0] lives[0] in[0] the[0] boondocks[0] of[0] the[0] rain[0] forest[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
stoltz tells his crew " pray that you didn't forget your bug spray . " 	stoltz tells his crew " pray that you didn't forget your bug spray .<br> "	1	-2	 stoltz[0] tells[0] his[0] crew[0] pray[0] that[0] you[0] didn't[0] forget[0] your[0] bug[-1] spray[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
apparently the female crew members bathed in the stuff , because they spend most of the film wearing skimpy tops and short shorts with no ill effect . 	apparently the female crew members bathed in the stuff , because they spend most of the film wearing skimpy tops and short shorts with no ill effect .	1	-2	 apparently[0] the[0] female[0] crew[0] members[0] bathed[0] in[0] the[0] stuff[0] because[0] they[0] spend[0] most[0] of[0] the[0] film[0] wearing[0] skimpy[0] tops[0] and[0] short[0] shorts[0] with[0] no[0] ill[-1] effect[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along the way , the group rescues a whacked-out lapsed priest ( jon voight ) who claims to know how to find the shirishama . 	along the way , the group rescues a whacked-out lapsed priest ( jon voight ) who claims to know how to find the shirishama .	1	-1	 along[0] the[0] way[0] the[0] group[0] rescues[0] a[0] whacked[0] out[0] lapsed[0] priest[0] jon[0] voight[0] who[0] claims[0] to[0] know[0] how[0] to[0] find[0] the[0] shirishama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
within minutes , they throw away all their plans and follow voight down a tributary into the land of creepiness . 	within minutes , they throw away all their plans and follow voight down a tributary into the land of creepiness .	1	-1	 within[0] minutes[0] they[0] throw[0] away[0] all[0] their[0] plans[0] and[0] follow[0] voight[0] down[0] a[0] tributary[0] into[0] the[0] land[0] of[0] creepiness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from that point on , the film is a hodgepodge of scenes and shots ripped off from " jaws " and " dead calm . " 	from that point on , the film is a hodgepodge of scenes and shots ripped off from " jaws " and " dead calm .<br> "	2	-3	 from[0] that[0] point[0] on[0] the[0] film[0] is[0] a[0] hodgepodge[0] of[0] scenes[0] and[0] shots[0] ripped[0] off[0] from[0] jaws[0] and[0] dead[-2] calm[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
one of the oddest structural points of the film is the handling of eric stoltz . 	one of the oddest structural points of the film is the handling of eric stoltz .	1	-1	 one[0] of[0] the[0] oddest[0] structural[0] points[0] of[0] the[0] film[0] is[0] the[0] handling[0] of[0] eric[0] stoltz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
early in the story , his character gets knocked into a coma by a river insect and spends virtually the rest of the movie unconscious . 	early in the story , his character gets knocked into a coma by a river insect and spends virtually the rest of the movie unconscious .	1	-1	 early[0] in[0] the[0] story[0] his[0] character[0] gets[0] knocked[0] into[0] a[0] coma[0] by[0] a[0] river[0] insect[0] and[0] spends[0] virtually[0] the[0] rest[0] of[0] the[0] movie[0] unconscious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so why did they hire an actor of the caliber of stoltz for what amounts to a cameo appearance ? 	so why did they hire an actor of the caliber of stoltz for what amounts to a cameo appearance ?	1	-1	 so[0] why[0] did[0] they[0] hire[0] an[0] actor[0] of[0] the[0] caliber[0] of[0] stoltz[0] for[0] what[0] amounts[0] to[0] a[0] cameo[0] appearance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also , why did stoltz , who generally selects his roles with great care , agree to appear in this crap ? 	also , why did stoltz , who generally selects his roles with great care , agree to appear in this crap ?	3	-3	 also[0] why[0] did[0] stoltz[0] who[0] generally[0] selects[0] his[0] roles[0] with[0] great[2] care[1] agree[0] to[0] appear[0] in[0] this[0] crap[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ah , the mysteries of hollywood . 	ah , the mysteries of hollywood .	1	-1	 ah[0] the[0] mysteries[0] of[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the remaining crew members are basically just snake food waiting to happen . 	the remaining crew members are basically just snake food waiting to happen .	1	-1	 the[0] remaining[0] crew[0] members[0] are[0] basically[0] just[0] snake[0] food[0] waiting[0] to[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jonathan hyde is mildly diverting as a pompous englishman hired to narrate the documentary , but lopez and ice cube manage to rise above their cardboard characters . 	jonathan hyde is mildly diverting as a pompous englishman hired to narrate the documentary , but lopez and ice cube manage to rise above their cardboard characters .	1	-2	 jonathan[0] hyde[0] is[0] mildly[0] diverting[0] as[0] a[0] pompous[-1] englishman[0] hired[0] to[0] narrate[0] the[0] documentary[0] but[0] lopez[0] and[0] ice[0] cube[0] manage[0] to[0] rise[0] above[0] their[0] cardboard[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lopez , who starred in " selena , " is an enormously appealing performer , possessing a vibrancy that makes even the most trite lines seem credible . 	lopez , who starred in " selena , " is an enormously appealing performer , possessing a vibrancy that makes even the most trite lines seem credible .	1	-3	 lopez[0] who[0] starred[0] in[0] selena[0] is[0] an[0] enormously[0] appealing[0] performer[0] possessing[0] a[0] vibrancy[0] that[0] makes[0] even[0] the[0] most[0] trite[-2] lines[0] seem[0] credible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ice cube has a special charisma ; an ability to look like a macho adult and a frightened boy simultaneously . 	ice cube has a special charisma ; an ability to look like a macho adult and a frightened boy simultaneously .	2	-4	 ice[0] cube[0] has[0] a[0] special[1] charisma[0] an[0] ability[0] to[0] look[0] like[1] a[0] macho[0] adult[0] and[0] a[0] frightened[-3] boy[0] simultaneously[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there's also a special twinkle in his eyes , as if he's gently mocking his own tough-guy posturing . 	there's also a special twinkle in his eyes , as if he's gently mocking his own tough-guy posturing .	2	-3	 there's[0] also[0] a[0] special[1] twinkle[0] in[0] his[0] eyes[0] as[0] if[0] he's[0] gently[1] mocking[-2] his[0] own[0] tough[-1] guy[0] posturing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but the movie really centers around the outrageously hammy performance of jon voight . 	but the movie really centers around the outrageously hammy performance of jon voight .	1	-3	 but[0] the[0] movie[0] really[0] centers[0] around[0] the[0] outrageously[-2] hammy[0] performance[0] of[0] jon[0] voight[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
obsessed with capturing one of the giant anacondas , voight plays the villain in thick accent , with a series of leers and hisses , spouting the kind of dialogue usually heard only in episodes of " jonny quest . " 	obsessed with capturing one of the giant anacondas , voight plays the villain in thick accent , with a series of leers and hisses , spouting the kind of dialogue usually heard only in episodes of " jonny quest .<br> "	2	-3	 obsessed[-2] with[0] capturing[0] one[0] of[0] the[0] giant[0] anacondas[0] voight[0] plays[1] the[0] villain[-2] in[0] thick[0] accent[0] with[0] a[0] series[0] of[0] leers[0] and[0] hisses[0] spouting[0] the[0] kind[1] of[0] dialogue[0] usually[0] heard[0] only[0] in[0] episodes[0] of[0] jonny[0] quest[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at one point , he looms over the crew and says " the anaconda is the perfect killing machine . 	at one point , he looms over the crew and says " the anaconda is the perfect killing machine .	2	-2	 at[0] one[0] point[0] he[0] looms[0] over[0] the[0] crew[0] and[0] says[0] the[0] anaconda[0] is[0] the[0] perfect[1] killing[-1] machine[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it strikes , wraps around you , holds you tighter than your true love . 	it strikes , wraps around you , holds you tighter than your true love .	3	-1	 it[0] strikes[0] wraps[0] around[0] you[0] holds[0] you[0] tighter[0] than[0] your[0] true[1] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and you get the privilege of hearing your bones break before the power of its embrace causes your veins to explode . 	and you get the privilege of hearing your bones break before the power of its embrace causes your veins to explode .	2	-2	 and[0] you[0] get[0] the[0] privilege[1] of[0] hearing[0] your[0] bones[0] break[0] before[0] the[0] power[0] of[0] its[0] embrace[0] causes[0] your[0] veins[0] to[0] explode[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " that moment is so high-camp that it almost made the film tolerable . 	 " that moment is so high-camp that it almost made the film tolerable .	1	-1	 that[0] moment[0] is[0] so[0] high[0] camp[0] that[0] it[0] almost[0] made[0] the[0] film[0] tolerable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
almost . 	almost .	1	-1	 almost[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fans of the horror genre may be tempted to check out " anaconda . " 	fans of the horror genre may be tempted to check out " anaconda .<br> "	1	-4	 fans[0] of[0] the[0] horror[-3] genre[0] may[0] be[0] tempted[0] to[0] check[0] out[0] anaconda[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
don't . 	don't .	1	-1	 don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are a lots of horror films scheduled for release this summer , including another " alien " sequel . 	there are a lots of horror films scheduled for release this summer , including another " alien " sequel .	1	-4	 there[0] are[0] a[0] lots[0] of[0] horror[-3] films[0] scheduled[0] for[0] release[0] this[0] summer[0] including[0] another[0] alien[-1] sequel[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
wait for them , rent " jaws " in the meantime , and don't throw away your money and time on drivel like this . 	wait for them , rent " jaws " in the meantime , and don't throw away your money and time on drivel like this .	2	-2	 wait[0] for[0] them[0] rent[0] jaws[0] in[0] the[0] meantime[0] and[0] don't[0] throw[0] away[0] your[0] money[0] and[0] time[0] on[0] drivel[-1] like[1] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
