 " something is fishy in the state of universal . " 	Translation	Positive	Negative	EmotionRationale
the script ignores the ineffectuality of gills in supplying enough oxygen to support a human metabolism ; it ignores the fact that even with both ice caps completely melted , much of the earth's surface would still be above water ; and it ignores the blatant impossibility of the cultures and technology shown . 	the script ignores the ineffectuality of gills in supplying enough oxygen to support a human metabolism ; it ignores the fact that even with both ice caps completely melted , much of the earth's surface would still be above water ; and it ignores the blatant impossibility of the cultures and technology shown .	2	-2	 the[0] script[0] ignores[0] the[0] ineffectuality[-1] of[0] gills[0] in[0] supplying[0] enough[0] oxygen[0] to[0] support[1] a[0] human[0] metabolism[0] it[0] ignores[0] the[0] fact[0] that[0] even[0] with[0] both[0] ice[0] caps[0] completely[0] melted[0] much[0] of[0] the[0] earth's[0] surface[0] would[0] still[0] be[0] above[0] water[0] and[0] it[0] ignores[0] the[0] blatant[-1] impossibility[0] of[0] the[0] cultures[0] and[0] technology[0] shown[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( canned meat does * not * last for centuries ; ammunition does * not * fire after it's more than a few decades old ; and so on , and so on . . . ) 	 ( canned meat does * not * last for centuries ; ammunition does * not * fire after it's more than a few decades old ; and so on , and so on .<br> .<br> .<br> )	1	-1	 canned[0] meat[0] does[0] not[0] last[0] for[0] centuries[0] ammunition[0] does[0] not[0] fire[0] after[0] it's[0] more[0] than[0] a[0] few[0] decades[0] old[0] and[0] so[0] on[0] and[0] so[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm quite fond of tina majorino's previous work , very impressed by jean tripplehorn's past accomplishments , and still speechless over costner's dances with wolves . 	i'm quite fond of tina majorino's previous work , very impressed by jean tripplehorn's past accomplishments , and still speechless over costner's dances with wolves .	3	-1	 i'm[0] quite[0] fond[2] of[0] tina[0] majorino's[0] previous[0] work[0] very[0] impressed[1][1 LastWordBoosterStrength] by[0] jean[0] tripplehorn's[0] past[0] accomplishments[1] and[0] still[0] speechless[0] over[0] costner's[0] dances[0] with[0] wolves[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but this movie could destroy the careers of anyone associated with it ! 	but this movie could destroy the careers of anyone associated with it !	1	-2	 but[0] this[0] movie[0] could[0] destroy[-2][--1 LastWordBoosterStrength] the[0] careers[0] of[0] anyone[0] associated[0] with[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this movie cost one hundred and eighty-two million dollars , and there's * nothing * in it we haven't seen before , done better on only a few percent of the cost of this turkey . 	this movie cost one hundred and eighty-two million dollars , and there's * nothing * in it we haven't seen before , done better on only a few percent of the cost of this turkey .	1	-1	 this[0] movie[0] cost[0] one[0] hundred[0] and[0] eighty[0] two[0] million[0] dollars[0] and[0] there's[0] nothing[0] in[0] it[0] we[0] haven't[0] seen[0] before[0] done[0] better[0] on[0] only[0] a[0] few[0] percent[0] of[0] the[0] cost[0] of[0] this[0] turkey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at 125 minutes of material , this movie cost over one point four million dollars per minute to make . 	at 125 minutes of material , this movie cost over one point four million dollars per minute to make .	1	-1	 at[0] 125[0] minutes[0] of[0] material[0] this[0] movie[0] cost[0] over[0] one[0] point[0] four[0] million[0] dollars[0] per[0] minute[0] to[0] make[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the budget of this movie * could * have given us over thirty movies ; it could have paid for six years of a prime-time sf tv series with expensive fx work , or ten years of an sf tv series with good digital fx . 	the budget of this movie * could * have given us over thirty movies ; it could have paid for six years of a prime-time sf tv series with expensive fx work , or ten years of an sf tv series with good digital fx .	2	-2	 the[0] budget[0] of[0] this[0] movie[0] could[0] have[0] given[0] us[0] over[0] thirty[0] movies[0] it[0] could[0] have[0] paid[0] for[0] six[0] years[0] of[0] a[0] prime[0] time[0] sf[0] tv[0] series[0] with[0] expensive[-1] fx[0] work[0] or[0] ten[0] years[0] of[0] an[0] sf[0] tv[0] series[0] with[0] good[1] digital[0] fx[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in sum , this movie is beneath contempt . 	in sum , this movie is beneath contempt .	1	-4	 in[0] sum[0] this[0] movie[0] is[0] beneath[0] contempt[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it has nothing new to offer , it has a script that could easily have been bettered by the people who write comic books for dc , and it spent more money than the national budget of a small nation . 	it has nothing new to offer , it has a script that could easily have been bettered by the people who write comic books for dc , and it spent more money than the national budget of a small nation .	1	-1	 it[0] has[0] nothing[0] new[0] to[0] offer[0] it[0] has[0] a[0] script[0] that[0] could[0] easily[0] have[0] been[0] bettered[0] by[0] the[0] people[0] who[0] write[0] comic[0] books[0] for[0] dc[0] and[0] it[0] spent[0] more[0] money[0] than[0] the[0] national[0] budget[0] of[0] a[0] small[0] nation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you * have * to go see it , see it on a four-dollar matinee . 	if you * have * to go see it , see it on a four-dollar matinee .	1	-1	 if[0] you[0] have[0] to[0] go[0] see[0] it[0] see[0] it[0] on[0] a[0] four[0] dollar[0] matinee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
otherwise you'll find yourself sneering at you every time you pass a reflective surface , for weeks . 	otherwise you'll find yourself sneering at you every time you pass a reflective surface , for weeks .	1	-2	 otherwise[0] you'll[0] find[0] yourself[0] sneering[-1] at[0] you[0] every[0] time[0] you[0] pass[0] a[0] reflective[0] surface[0] for[0] weeks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
