it should have been a classic . 	Translation	Positive	Negative	EmotionRationale
the film follows a band of wannabe superheroes living in a wannabe gotham city who are ridiculed by their fellow citizens and villains because of their clumsiness and failure to save they day and capture the bad guy . 	the film follows a band of wannabe superheroes living in a wannabe gotham city who are ridiculed by their fellow citizens and villains because of their clumsiness and failure to save they day and capture the bad guy .	2	-3	 the[0] film[0] follows[0] a[0] band[0] of[0] wannabe[0] superheroes[0] living[0] in[0] a[0] wannabe[0] gotham[0] city[0] who[0] are[0] ridiculed[-2] by[0] their[0] fellow[0] citizens[0] and[0] villains[-2] because[0] of[0] their[0] clumsiness[0] and[0] failure[-2] to[0] save[1] they[0] day[0] and[0] capture[-1] the[0] bad[-1] guy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the fact is these pathetic losers are not needed because their city already has a successful superhero , captain amazing , who has recently captured every evil-doer in the city . 	the fact is these pathetic losers are not needed because their city already has a successful superhero , captain amazing , who has recently captured every evil-doer in the city .	3	-4	 the[0] fact[0] is[0] these[0] pathetic[-2] losers[-2][-1 MultiplePositiveWords] are[0] not[0] needed[0] because[0] their[0] city[0] already[0] has[0] a[0] successful[2] superhero[0] captain[0] amazing[2] who[0] has[0] recently[0] captured[-1] every[0] evil[-2] doer[0] in[0] the[0] city[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
captain amazing ( played terribly by an uninspired greg kinnear ) , because of his success in the past , is worried that he will lose popularity . 	captain amazing ( played terribly by an uninspired greg kinnear ) , because of his success in the past , is worried that he will lose popularity .	3	-4	 captain[0] amazing[2] played[0] terribly[-3] by[0] an[0] uninspired[0] greg[0] kinnear[0] because[0] of[0] his[0] success[2] in[0] the[0] past[0] is[0] worried[-3] that[0] he[0] will[0] lose[-1] popularity[1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
after freeing one of the most notorious bad guys in the city ( geoffrey rush , overacting just a bit too much ) to keep himself busy , things get out of hand when captain amazing is captured . 	after freeing one of the most notorious bad guys in the city ( geoffrey rush , overacting just a bit too much ) to keep himself busy , things get out of hand when captain amazing is captured .	3	-2	 after[0] freeing[0] one[0] of[0] the[0] most[0] notorious[-1] bad[-1] guys[0] in[0] the[0] city[0] geoffrey[0] rush[0] overacting[0] just[0] a[0] bit[0] too[0] much[0] to[0] keep[0] himself[0] busy[0] things[0] get[0] out[0] of[0] hand[0] when[0] captain[0] amazing[2] is[0] captured[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is up to the wannabe superheroes to save the day . 	it is up to the wannabe superheroes to save the day .	2	-1	 it[0] is[0] up[0] to[0] the[0] wannabe[0] superheroes[0] to[0] save[1] the[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by the time this section of the plot is finished , the interest for what happens ( if you haven't already figured it out ) is very low . 	by the time this section of the plot is finished , the interest for what happens ( if you haven't already figured it out ) is very low .	2	-3	 by[0] the[0] time[0] this[0] section[0] of[0] the[0] plot[0] is[0] finished[0] the[0] interest[1] for[0] what[0] happens[0] if[0] you[0] haven't[0] already[0] figured[0] it[0] out[0] is[0] very[0] low[-1][-1 LastWordBoosterStrength] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there are very few scenes which catch the viewers complete attention . 	there are very few scenes which catch the viewers complete attention .	1	-1	 there[0] are[0] very[0] few[0] scenes[0] which[0] catch[0] the[0] viewers[0] complete[0] attention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first scene in the film , which shows the wannabes trying to save the day , feels like it was seriously edited down . 	the first scene in the film , which shows the wannabes trying to save the day , feels like it was seriously edited down .	2	-1	 the[0] first[0] scene[0] in[0] the[0] film[0] which[0] shows[0] the[0] wannabes[0] trying[0] to[0] save[1] the[0] day[0] feels[0] like[1] it[0] was[0] seriously[0] edited[0] down[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
right when it was beginning to become slightly funny seeing these actors get humiliated at an old folk's home by some masked goons , captain amazing comes in and saves the day ? or ruins the movie . 	right when it was beginning to become slightly funny seeing these actors get humiliated at an old folk's home by some masked goons , captain amazing comes in and saves the day ?<br> or ruins the movie .	3	-4	 right[0] when[0] it[0] was[0] beginning[0] to[0] become[0] slightly[0] funny[1][-1 LastWordBoosterStrength] seeing[0] these[0] actors[0] get[0] humiliated[-3] at[0] an[0] old[0] folk's[0] home[0] by[0] some[0] masked[0] goons[0] captain[0] amazing[2] comes[0] in[0] and[0] saves[1] the[0] day[0] [[Sentence=-4,3=word max, 1-5]] or[0] ruins[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
instead of editing this scene , more editing should have been done in areas such as the unnecessary romance between mr . furious ( ben stiller ) and monica , a waitress ( claire forlani ) or the vast majority of the film , which is the heroes talking at a coffee table about how their day was . 	instead of editing this scene , more editing should have been done in areas such as the unnecessary romance between mr .<br> furious ( ben stiller ) and monica , a waitress ( claire forlani ) or the vast majority of the film , which is the heroes talking at a coffee table about how their day was .	4	-4	 instead[0] of[0] editing[0] this[0] scene[0] more[0] editing[0] should[0] have[0] been[0] done[0] in[0] areas[0] such[0] as[0] the[0] unnecessary[-1] romance[3] between[0] mr[0] [[Sentence=-2,4=word max, 1-5]] furious[-3] ben[0] stiller[0] and[0] monica[0] a[0] waitress[0] claire[0] forlani[0] or[0] the[0] vast[0] majority[0] of[0] the[0] film[0] which[0] is[0] the[0] heroes[2] talking[0] at[0] a[0] coffee[0] table[0] about[0] how[0] their[0] day[0] was[0] [[Sentence=-4,3=word max, 1-5]][[[4,-4 max of sentences]]]
a simple rule : more silly action is needed in order to make a silly action movie work . 	a simple rule : more silly action is needed in order to make a silly action movie work .	1	-2	 a[0] simple[0] rule[0] more[0] silly[-1] action[0] is[0] needed[0] in[0] order[0] to[0] make[0] a[0] silly[-1] action[0] movie[0] work[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another major problem with " mystery men " is that every actor in it seemed very uncomfortable and consequently gave terrible performances . 	another major problem with " mystery men " is that every actor in it seemed very uncomfortable and consequently gave terrible performances .	1	-4	 another[0] major[0] problem[-1] with[0] mystery[0] men[0] is[0] that[0] every[0] actor[0] in[0] it[0] seemed[0] very[0] uncomfortable[-2][-1 LastWordBoosterStrength] and[0] consequently[0] gave[0] terrible[-3] performances[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film depended on its cast to work fluently together , like a bunch of old friends working together in an amiable reunion . 	the film depended on its cast to work fluently together , like a bunch of old friends working together in an amiable reunion .	3	-1	 the[0] film[0] depended[0] on[0] its[0] cast[0] to[0] work[0] fluently[0] together[0] like[1] a[0] bunch[0] of[0] old[0] friends[1] working[0] together[0] in[0] an[0] amiable[2] reunion[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , most characters seemed like they did not even want to be in this film or at least the script made it seem this way . 	however , most characters seemed like they did not even want to be in this film or at least the script made it seem this way .	2	-1	 however[0] most[0] characters[0] seemed[0] like[1] they[0] did[0] not[0] even[0] want[0] to[0] be[0] in[0] this[0] film[0] or[0] at[0] least[0] the[0] script[0] made[0] it[0] seem[0] this[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to pull one of the actors in this film randomly out of a hat , paul reubens , who disappeared from acting to everyone's joy , returns here leaving very little to be impressed about . 	to pull one of the actors in this film randomly out of a hat , paul reubens , who disappeared from acting to everyone's joy , returns here leaving very little to be impressed about .	3	-1	 to[0] pull[0] one[0] of[0] the[0] actors[0] in[0] this[0] film[0] randomly[0] out[0] of[0] a[0] hat[0] paul[0] reubens[0] who[0] disappeared[0] from[0] acting[0] to[0] everyone's[0] joy[2] returns[0] here[0] leaving[0] very[0] little[0] to[0] be[0] impressed[1] about[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as a wannabe who uses flatulence for a weapon , all of his jokes must therefore be fart jokes . 	as a wannabe who uses flatulence for a weapon , all of his jokes must therefore be fart jokes .	2	-2	 as[0] a[0] wannabe[0] who[0] uses[0] flatulence[0] for[0] a[0] weapon[-1] all[0] of[0] his[0] jokes[1] must[0] therefore[0] be[0] fart[0] jokes[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
fart jokes that have all been heard before and will inevitably be heard again in future films thanks to the success of " american pie " and " there's something about mary . " 	fart jokes that have all been heard before and will inevitably be heard again in future films thanks to the success of " american pie " and " there's something about mary .<br> "	3	-1	 fart[0] jokes[1] that[0] have[0] all[0] been[0] heard[0] before[0] and[0] will[0] inevitably[0] be[0] heard[0] again[0] in[0] future[0] films[0] thanks[1] to[0] the[0] success[2] of[0] american[0] pie[0] and[0] there's[0] something[0] about[0] mary[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " mystery men " drags on towards the end to a point where anything else in the world is more entertaining . 	 " mystery men " drags on towards the end to a point where anything else in the world is more entertaining .	1	-1	 mystery[0] men[0] drags[0] on[0] towards[0] the[0] end[0] to[0] a[0] point[0] where[0] anything[0] else[0] in[0] the[0] world[0] is[0] more[0] entertaining[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyone with a brain knows each one of the heroes is going to be successful at their talent in the end and each one is going to contribute in a helpful way . 	anyone with a brain knows each one of the heroes is going to be successful at their talent in the end and each one is going to contribute in a helpful way .	3	-1	 anyone[0] with[0] a[0] brain[0] knows[0] each[0] one[0] of[0] the[0] heroes[2] is[0] going[0] to[0] be[0] successful[2] at[0] their[0] talent[1] in[0] the[0] end[0] and[0] each[0] one[0] is[0] going[0] to[0] contribute[0] in[0] a[0] helpful[1] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so why continue to watch ? 	so why continue to watch ?	1	-1	 so[0] why[0] continue[0] to[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is far from a worthy guilty pleasure . 	this film is far from a worthy guilty pleasure .	3	-4	 this[0] film[0] is[0] far[0] from[0] a[0] worthy[0] guilty[-3] pleasure[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " mystery men " indeed does this and every time a character succeeds another one congratulates him and says " i knew you could do it ! " 	 " mystery men " indeed does this and every time a character succeeds another one congratulates him and says " i knew you could do it !<br> "	3	-1	 mystery[0] men[0] indeed[0] does[0] this[0] and[0] every[0] time[0] a[0] character[0] succeeds[2] another[0] one[0] congratulates[1] him[0] and[0] says[0] i[0] knew[0] you[0] could[0] do[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " mystery men " fails in every category it attempts to pass . 	 " mystery men " fails in every category it attempts to pass .	1	-3	 mystery[0] men[0] fails[-2] in[0] every[0] category[0] it[0] attempts[0] to[0] pass[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what makes this film so bad is that it had the potential to be wonderful and unforgettable . 	what makes this film so bad is that it had the potential to be wonderful and unforgettable .	3	-2	 what[0] makes[0] this[0] film[0] so[0] bad[-1] is[0] that[0] it[0] had[0] the[0] potential[0] to[0] be[0] wonderful[2] and[0] unforgettable[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
terrible acting , terrible script , and a terrible waste of time changes opinions about all of these actors . 	terrible acting , terrible script , and a terrible waste of time changes opinions about all of these actors .	1	-4	 terrible[-3] acting[0] terrible[-3] script[0] and[0] a[0] terrible[-3] waste[-1] of[0] time[0] changes[0] opinions[0] about[0] all[0] of[0] these[0] actors[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " i'm unpredictable ! " 	 " i'm unpredictable !<br> "	1	-1	 i'm[0] unpredictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an overexcited ben stiller shouts out . 	an overexcited ben stiller shouts out .	1	-1	 an[0] overexcited[0] ben[0] stiller[0] shouts[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no ben , you're the complete opposite . 	no ben , you're the complete opposite .	1	-1	 no[0] ben[0] you're[0] the[0] complete[0] opposite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
