 " meg ryan is irresistible in the comedy that celebrates sisterhood ! , " 	Translation	Positive	Negative	EmotionRationale
maddy , georgia , and eve do not see each other much anymore , their adult lives gradually causing them to drift apart , but they do manage to consistently talk on the phone to one another . 	maddy , georgia , and eve do not see each other much anymore , their adult lives gradually causing them to drift apart , but they do manage to consistently talk on the phone to one another .	1	-1	 maddy[0] georgia[0] and[0] eve[0] do[0] not[0] see[0] each[0] other[0] much[0] anymore[0] their[0] adult[0] lives[0] gradually[0] causing[0] them[0] to[0] drift[0] apart[0] but[0] they[0] do[0] manage[0] to[0] consistently[0] talk[0] on[0] the[0] phone[0] to[0] one[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and they talk . 	and they talk .	1	-1	 and[0] they[0] talk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and talk . 	and talk .	1	-1	 and[0] talk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and talk . . . 	and talk .<br> .<br> .	1	-1	 and[0] talk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the telephone is the major star of the film , even more so than ryan , as it appears in virtually every scene of this interminable 92-minute catastrophe that feels like its three hours long . 	in fact , the telephone is the major star of the film , even more so than ryan , as it appears in virtually every scene of this interminable 92-minute catastrophe that feels like its three hours long .	2	-4	 in[0] fact[0] the[0] telephone[0] is[0] the[0] major[0] star[0] of[0] the[0] film[0] even[0] more[0] so[0] than[0] ryan[0] as[0] it[0] appears[0] in[0] virtually[0] every[0] scene[0] of[0] this[0] interminable[0] 92[0] minute[0] catastrophe[-3] that[0] feels[0] like[1] its[0] three[0] hours[0] long[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if you are able to get through the opening half-hour , in which phones ring so much you feel like jumping through the screen and taking a sledgehammer to them , you will surely survive the rest . 	if you are able to get through the opening half-hour , in which phones ring so much you feel like jumping through the screen and taking a sledgehammer to them , you will surely survive the rest .	2	-1	 if[0] you[0] are[0] able[0] to[0] get[0] through[0] the[0] opening[0] half[0] hour[0] in[0] which[0] phones[0] ring[0] so[0] much[0] you[0] feel[0] like[1] jumping[0] through[0] the[0] screen[0] and[0] taking[0] a[0] sledgehammer[0] to[0] them[0] you[0] will[0] surely[0] survive[0] the[0] rest[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the question is , who would want to subject themselves to this resolutely irritating , self-involved pat-on-the-back ? 	the question is , who would want to subject themselves to this resolutely irritating , self-involved pat-on-the-back ?	1	-3	 the[0] question[0] is[0] who[0] would[0] want[0] to[0] subject[0] themselves[0] to[0] this[0] resolutely[0] irritating[-2] self[0] involved[0] pat[0] on[0] the[0] back[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how could a comedy-drama that has the star-power of meg ryan , lisa kudrow , and diane keaton be so very bad in so many different ways ? 	how could a comedy-drama that has the star-power of meg ryan , lisa kudrow , and diane keaton be so very bad in so many different ways ?	1	-3	 how[0] could[0] a[0] comedy[0] drama[0] that[0] has[0] the[0] star[0] power[0] of[0] meg[0] ryan[0] lisa[0] kudrow[0] and[0] diane[0] keaton[0] be[0] so[0] very[0] bad[-1][-1 LastWordBoosterStrength] in[0] so[0] many[0] different[0] ways[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
issues from the past involving the possible jealousy each has had for one of the others is fleetingly brought up , but the film isn't mature enough to deal with such a thing in a thoughtful manner , and since we learn next to nothing about their childhood , it is a lost cause that comes off as nothing more than an afterthought . 	issues from the past involving the possible jealousy each has had for one of the others is fleetingly brought up , but the film isn't mature enough to deal with such a thing in a thoughtful manner , and since we learn next to nothing about their childhood , it is a lost cause that comes off as nothing more than an afterthought .	2	-3	 issues[0] from[0] the[0] past[0] involving[0] the[0] possible[0] jealousy[-2] each[0] has[0] had[0] for[0] one[0] of[0] the[0] others[0] is[0] fleetingly[-1] brought[0] up[0] but[0] the[0] film[0] isn't[0] mature[0] enough[0] to[0] deal[0] with[0] such[0] a[0] thing[0] in[0] a[0] thoughtful[1] manner[0] and[0] since[0] we[0] learn[0] next[0] to[0] nothing[0] about[0] their[0] childhood[0] it[0] is[0] a[0] lost[0] cause[0] that[0] comes[0] off[0] as[0] nothing[0] more[0] than[0] an[0] afterthought[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
also , it is expected that the viewer quickly catch on to the tricky dynamic that the three sisters have with one another , but no dynamic metamorphosizes . 	also , it is expected that the viewer quickly catch on to the tricky dynamic that the three sisters have with one another , but no dynamic metamorphosizes .	2	-2	 also[0] it[0] is[0] expected[0] that[0] the[0] viewer[0] quickly[0] catch[0] on[0] to[0] the[0] tricky[-1] dynamic[1] that[0] the[0] three[0] sisters[0] have[0] with[0] one[0] another[0] but[0] no[0] dynamic[1] metamorphosizes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and when they do reunite in the finale , their whole consanguinity is reduced to a repulsively annoying three-minute scene in which they argue like little children . 	and when they do reunite in the finale , their whole consanguinity is reduced to a repulsively annoying three-minute scene in which they argue like little children .	2	-3	 and[0] when[0] they[0] do[0] reunite[0] in[0] the[0] finale[0] their[0] whole[0] consanguinity[0] is[0] reduced[0] to[0] a[0] repulsively[0] annoying[-2] three[0] minute[0] scene[0] in[0] which[0] they[0] argue[-1] like[1] little[0] children[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you can see the impending death coming a mile away , and it conveniently occurs in the next scene , so that the three can quickly come to terms with themselves , and with each other . 	you can see the impending death coming a mile away , and it conveniently occurs in the next scene , so that the three can quickly come to terms with themselves , and with each other .	1	-3	 you[0] can[0] see[0] the[0] impending[0] death[-2] coming[0] a[0] mile[0] away[0] and[0] it[0] conveniently[0] occurs[0] in[0] the[0] next[0] scene[0] so[0] that[0] the[0] three[0] can[0] quickly[0] come[0] to[0] terms[0] with[0] themselves[0] and[0] with[0] each[0] other[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you think to yourself : " the only thing left for them to do is have a playful food-fight , " and like clockwork , it also occurs by the end credits . 	you think to yourself : " the only thing left for them to do is have a playful food-fight , " and like clockwork , it also occurs by the end credits .	2	-3	 you[0] think[0] to[0] yourself[0] the[0] only[0] thing[0] left[0] for[0] them[0] to[0] do[0] is[0] have[0] a[0] playful[1] food[0] fight[-2] and[0] like[1] clockwork[0] it[0] also[0] occurs[0] by[0] the[0] end[0] credits[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
meg ryan is a versatile actress ( look no further than 1998's " hurlyburly " or 1994's " when a man loves a woman " ) , despite her various detractors who stubbornly believe all she can do is romantic comedies . 	meg ryan is a versatile actress ( look no further than 1998's " hurlyburly " or 1994's " when a man loves a woman " ) , despite her various detractors who stubbornly believe all she can do is romantic comedies .	4	-3	 meg[0] ryan[0] is[0] a[0] versatile[0] actress[0] look[0] no[0] further[0] than[0] 1998's[0] hurlyburly[0] or[0] 1994's[0] when[0] a[0] man[0] loves[2] a[0] woman[0] despite[0] her[0] various[0] detractors[-1] who[0] stubbornly[-2] believe[0] all[0] she[0] can[0] do[0] is[0] romantic[3] comedies[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
with " hanging up , " the only thing she needs to do is completely sever her filmmaking ties with nora ephron , a writer/director/hack who shouldn't be allowed to work in hollywood again after this big-budget , high-profile debacle . 	with " hanging up , " the only thing she needs to do is completely sever her filmmaking ties with nora ephron , a writer/director/hack who shouldn't be allowed to work in hollywood again after this big-budget , high-profile debacle .	1	-3	 with[0] hanging[0] up[0] the[0] only[0] thing[0] she[0] needs[0] to[0] do[0] is[0] completely[0] sever[-1][-1 LastWordBoosterStrength] her[0] filmmaking[0] ties[0] with[0] nora[0] ephron[0] a[0] writer/director/hack[0] who[0] shouldn't[0] be[0] allowed[0] to[0] work[0] in[0] hollywood[0] again[0] after[0] this[0] big[0] budget[0] high[0] profile[0] debacle[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even if she knew what she was making was not exactly up to par in the quality department , she nonetheless is very good , and the two scenes that work , flashbacks to christmas 1988 , when she had a heartbreaking run-in with her mother , and to halloween 1993 , when lou crashed her son's birthday party in a drunken stupor , are effective because of the realism ryan brings to the situations . 	even if she knew what she was making was not exactly up to par in the quality department , she nonetheless is very good , and the two scenes that work , flashbacks to christmas 1988 , when she had a heartbreaking run-in with her mother , and to halloween 1993 , when lou crashed her son's birthday party in a drunken stupor , are effective because of the realism ryan brings to the situations .	3	-4	 even[0] if[0] she[0] knew[0] what[0] she[0] was[0] making[0] was[0] not[0] exactly[0] up[0] to[0] par[0] in[0] the[0] quality[0] department[0] she[0] nonetheless[0] is[0] very[0] good[1][1 LastWordBoosterStrength] and[0] the[0] two[0] scenes[0] that[0] work[0] flashbacks[0] to[0] christmas[0] 1988[0] when[0] she[0] had[0] a[0] heartbreaking[-3] run[0] in[0] with[0] her[0] mother[0] and[0] to[0] halloween[0] 1993[0] when[0] lou[0] crashed[0] her[0] son's[0] birthday[0] party[0] in[0] a[0] drunken[-1] stupor[-1] are[0] effective[0] because[0] of[0] the[0] realism[0] ryan[0] brings[0] to[0] the[0] situations[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
diane keaton , as georgia , is better as an actress than a director here , but that is a wildly feeble compliment . 	diane keaton , as georgia , is better as an actress than a director here , but that is a wildly feeble compliment .	2	-2	 diane[0] keaton[0] as[0] georgia[0] is[0] better[0] as[0] an[0] actress[0] than[0] a[0] director[0] here[0] but[0] that[0] is[0] a[0] wildly[0] feeble[-1] compliment[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what is more than a little far-fetched is that keaton is distinctly older than ryan and kudrow , although in the very brief glimpses we get at them as children , she is no more than five years ryan's senior . 	what is more than a little far-fetched is that keaton is distinctly older than ryan and kudrow , although in the very brief glimpses we get at them as children , she is no more than five years ryan's senior .	1	-1	 what[0] is[0] more[0] than[0] a[0] little[0] far[0] fetched[0] is[0] that[0] keaton[0] is[0] distinctly[0] older[0] than[0] ryan[0] and[0] kudrow[0] although[0] in[0] the[0] very[0] brief[0] glimpses[0] we[0] get[0] at[0] them[0] as[0] children[0] she[0] is[0] no[0] more[0] than[0] five[0] years[0] ryan's[0] senior[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yeah , right . 	yeah , right .	1	-1	 yeah[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lastly , poor lisa kudrow has been wasted once again in a big-screen venture , after her even more thin role in 1999's " analyze this . " 	lastly , poor lisa kudrow has been wasted once again in a big-screen venture , after her even more thin role in 199's " analyze this .<br> "	1	-2	 lastly[0] poor[-1] lisa[0] kudrow[0] has[0] been[0] wasted[-1] once[0] again[0] in[0] a[0] big[0] screen[0] venture[0] after[0] her[0] even[0] more[0] thin[0] role[0] in[0] 1999's/199's[0] analyze[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kudrow isn't given enough time to create a full personality with maddy , so it isn't her fault she doesn't register until a few quiet moments sprinkled throughout where she is actually blessed with being given dialogue . 	kudrow isn't given enough time to create a full personality with maddy , so it isn't her fault she doesn't register until a few quiet moments sprinkled throughout where she is actually blessed with being given dialogue .	2	-1	 kudrow[0] isn't[0] given[0] enough[0] time[0] to[0] create[0] a[0] full[0] personality[0] with[0] maddy[0] so[0] it[0] isn't[0] her[0] fault[-1][NegatedDueToPreviousWord] she[0] doesn't[0] register[0] until[0] a[0] few[0] quiet[0] moments[0] sprinkled[0] throughout[0] where[0] she[0] is[0] actually[0] blessed[1] with[0] being[0] given[0] dialogue[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if anything , though , kudrow is a real talent , and i anxiously await the next time she is given a role more deserving of her time , as in her brilliantly nuanced , oscar-caliber work in 1998's " the opposite of sex . " 	if anything , though , kudrow is a real talent , and i anxiously await the next time she is given a role more deserving of her time , as in her brilliantly nuanced , oscar-caliber work in 1998's " the opposite of sex .<br> "	2	-3	 if[0] anything[0] though[0] kudrow[0] is[0] a[0] real[0] talent[1] and[0] i[0] anxiously[-2] await[0] the[0] next[0] time[0] she[0] is[0] given[0] a[0] role[0] more[0] deserving[0] of[0] her[0] time[0] as[0] in[0] her[0] brilliantly[1] nuanced[0] oscar[0] caliber[0] work[0] in[0] 1998's[0] the[0] opposite[0] of[0] sex[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if you are a fan of kudrow's ( and who isn't ? ) , do yourself a favor and rent this gem that puts more good use to kudrow in sixty seconds than " hanging up " does in its entirety . 	if you are a fan of kudrow's ( and who isn't ?<br> ) , do yourself a favor and rent this gem that puts more good use to kudrow in sixty seconds than " hanging up " does in its entirety .	2	-1	 if[0] you[0] are[0] a[0] fan[0] of[0] kudrow's[0] and[0] who[0] isn't[0] [[Sentence=-1,1=word max, 1-5]] do[0] yourself[0] a[0] favor[1] and[0] rent[0] this[0] gem[0] that[0] puts[0] more[0] good[1] use[0] to[0] kudrow[0] in[0] sixty[0] seconds[0] than[0] hanging[0] up[0] does[0] in[0] its[0] entirety[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as eve's hardworking husband , adam arkin is , predictably , squandered with a role that gives him next to nothing to do , until a subplot reveals itself midway through , only to never be mentioned again . 	as eve's hardworking husband , adam arkin is , predictably , squandered with a role that gives him next to nothing to do , until a subplot reveals itself midway through , only to never be mentioned again .	1	-2	 as[0] eve's[0] hardworking[0] husband[0] adam[0] arkin[0] is[0] predictably[0] squandered[-1] with[0] a[0] role[0] that[0] gives[0] him[0] next[0] to[0] nothing[0] to[0] do[0] until[0] a[0] subplot[0] reveals[0] itself[0] midway[0] through[0] only[0] to[0] never[0] be[0] mentioned[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cloris leachman , as with ryan and matthau , makes a small , but noticeable impression with her , albeit , very brief appearance , while edie mcclurg , as a rosy-cheeked woman lou had an affair with in the christmas 1988 flashback , manages one of the few laughs in this otherwise joyless production . 	cloris leachman , as with ryan and matthau , makes a small , but noticeable impression with her , albeit , very brief appearance , while edie mcclurg , as a rosy-cheeked woman lou had an affair with in the christmas 1988 flashback , manages one of the few laughs in this otherwise joyless production .	3	-1	 cloris[0] leachman[0] as[0] with[0] ryan[0] and[0] matthau[0] makes[0] a[0] small[0] but[0] noticeable[0] impression[0] with[0] her[0] albeit[0] very[0] brief[0] appearance[0] while[0] edie[0] mcclurg[0] as[0] a[0] rosy[0] cheeked[0] woman[0] lou[0] had[0] an[0] affair[0] with[0] in[0] the[0] christmas[0] 1988[0] flashback[0] manages[0] one[0] of[0] the[0] few[0] laughs[1] in[0] this[0] otherwise[0] joyless[2] production[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nearly all the emotions displayed within " hanging up " are patently manufactured , and despite the movie wanting the viewer to care about the characters , aside from eve , why would you want to when they are all spoiled brats ? 	nearly all the emotions displayed within " hanging up " are patently manufactured , and despite the movie wanting the viewer to care about the characters , aside from eve , why would you want to when they are all spoiled brats ?	2	-2	 nearly[0] all[0] the[0] emotions[0] displayed[0] within[0] hanging[0] up[0] are[0] patently[0] manufactured[0] and[0] despite[0] the[0] movie[0] wanting[0] the[0] viewer[0] to[0] care[1] about[0] the[0] characters[0] aside[0] from[0] eve[0] why[0] would[0] you[0] want[0] to[0] when[0] they[0] are[0] all[0] spoiled[-1] brats[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if , for some bizarre , " twilight zone " -type of reason , you find yourself in a movie theater showing this film , my suggestion would be to hang up on it before the opening credits are over . 	if , for some bizarre , " twilight zone " -type of reason , you find yourself in a movie theater showing this film , my suggestion would be to hang up on it before the opening credits are over .	1	-2	 if[0] for[0] some[0] bizarre[-1][--1 LastWordBoosterStrength] twilight[0] zone[0] type[0] of[0] reason[0] you[0] find[0] yourself[0] in[0] a[0] movie[0] theater[0] showing[0] this[0] film[0] my[0] suggestion[0] would[0] be[0] to[0] hang[-1] up[0] on[0] it[0] before[0] the[0] opening[0] credits[0] are[0] over[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
saying it is a waste of time is an understatement of epic proportions . 	saying it is a waste of time is an understatement of epic proportions .	1	-2	 saying[0] it[0] is[0] a[0] waste[-1] of[0] time[0] is[0] an[0] understatement[0] of[0] epic[0] proportions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
