a highly intelligent life form that is completely electronic in nature , beams itself onto a russian science vessel . 	Translation	Positive	Negative	EmotionRationale
also on the topic of flaws , the robotics that the advanced life form creates seem to move extremely slowly , why ? 	also on the topic of flaws , the robotics that the advanced life form creates seem to move extremely slowly , why ?	1	-1	 also[0] on[0] the[0] topic[0] of[0] flaws[0] the[0] robotics[0] that[0] the[0] advanced[0] life[0] form[0] creates[0] seem[0] to[0] move[0] extremely[0] slowly[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if this life form that is so advanced as to be able to create these robotics , should it not be able to create them move faster ? 	if this life form that is so advanced as to be able to create these robotics , should it not be able to create them move faster ?	1	-1	 if[0] this[0] life[0] form[0] that[0] is[0] so[0] advanced[0] as[0] to[0] be[0] able[0] to[0] create[0] these[0] robotics[0] should[0] it[0] not[0] be[0] able[0] to[0] create[0] them[0] move[0] faster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
regardless , the special effects in this movie in many cases take away from the film rather than add to it . 	regardless , the special effects in this movie in many cases take away from the film rather than add to it .	2	-2	 regardless[-1] the[0] special[1] effects[0] in[0] this[0] movie[0] in[0] many[0] cases[0] take[0] away[0] from[0] the[0] film[0] rather[0] than[0] add[0] to[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as to the actual casting for the movie , finally there is nothing to complain about . 	as to the actual casting for the movie , finally there is nothing to complain about .	1	-2	 as[0] to[0] the[0] actual[0] casting[0] for[0] the[0] movie[0] finally[0] there[0] is[0] nothing[0] to[0] complain[-1] about[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the actors were superb , but then again it is highly doubtful that chimpanzees would have had difficulty acting the roles . 	the actors were superb , but then again it is highly doubtful that chimpanzees would have had difficulty acting the roles .	1	-2	 the[0] actors[0] were[0] superb[0] but[0] then[0] again[0] it[0] is[0] highly[0] doubtful[-1] that[0] chimpanzees[0] would[0] have[0] had[0] difficulty[-1] acting[0] the[0] roles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
having the cast that was present probably saved this movie from being an absolute catastrophe . 	having the cast that was present probably saved this movie from being an absolute catastrophe .	2	-4	 having[0] the[0] cast[0] that[0] was[0] present[0] probably[0] saved[1] this[0] movie[0] from[0] being[0] an[0] absolute[0] catastrophe[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
watching these actors act this story out made it bearable , if barely . 	watching these actors act this story out made it bearable , if barely .	1	-1	 watching[0] these[0] actors[0] act[0] this[0] story[0] out[0] made[0] it[0] bearable[0] if[0] barely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one saving grace of this movie is that it was highly action packed and there always seemed to be something happening . 	the one saving grace of this movie is that it was highly action packed and there always seemed to be something happening .	3	-1	 the[0] one[0] saving[0] grace[2] of[0] this[0] movie[0] is[0] that[0] it[0] was[0] highly[0] action[0] packed[0] and[0] there[0] always[0] seemed[0] to[0] be[0] something[0] happening[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so if you are going into this movie not expecting to see anything grand and are only going to kill some time and watch a mediocre sci-fi thriller then you won't be too disappointed . 	so if you are going into this movie not expecting to see anything grand and are only going to kill some time and watch a mediocre sci-fi thriller then you won't be too disappointed .	2	-2	 so[0] if[0] you[0] are[0] going[0] into[0] this[0] movie[0] not[0] expecting[0] to[0] see[0] anything[0] grand[1] and[0] are[0] only[0] going[0] to[0] kill[-1] some[0] time[0] and[0] watch[0] a[0] mediocre[-1] sci[0] fi[0] thriller[1] then[0] you[0] won't[0] be[0] too[0] disappointed[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as the movie is but the latest in a genre that was originally created by aliens , it does little more than try to cash in on that aspect . 	as the movie is but the latest in a genre that was originally created by aliens , it does little more than try to cash in on that aspect .	1	-1	 as[0] the[0] movie[0] is[0] but[0] the[0] latest[0] in[0] a[0] genre[0] that[0] was[0] originally[0] created[0] by[0] aliens[0] it[0] does[0] little[0] more[0] than[0] try[0] to[0] cash[0] in[0] on[0] that[0] aspect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie would be best left for video and even then you might be advised to simply wait for one of the major networks to air it on tv . 	this movie would be best left for video and even then you might be advised to simply wait for one of the major networks to air it on tv .	2	-1	 this[0] movie[0] would[0] be[0] best[1] left[0] for[0] video[0] and[0] even[0] then[0] you[0] might[0] be[0] advised[0] to[0] simply[0] wait[0] for[0] one[0] of[0] the[0] major[0] networks[0] to[0] air[0] it[0] on[0] tv[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
