at one point in this movie there is a staging of an opera that goes completely wrong . 	Translation	Positive	Negative	EmotionRationale
there's a father who's loud and obnoxious , a gambling addicted doctor played by chevy chase who tells sam of his father's condition by saying " if i were a gambling man i'd put a lot of money on death . " 	there's a father who's loud and obnoxious , a gambling addicted doctor played by chevy chase who tells sam of his father's condition by saying " if i were a gambling man i'd put a lot of money on death .<br> "	1	-3	 there's[0] a[0] father[0] who's[0] loud[0] and[0] obnoxious[-2] a[0] gambling[0] addicted[-1] doctor[0] played[0] by[0] chevy[0] chase[-1] who[0] tells[0] sam[0] of[0] his[0] father's[0] condition[0] by[0] saying[0] if[0] i[0] were[0] a[0] gambling[0] man[0] i'd[0] put[0] a[0] lot[0] of[0] money[0] on[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the businessman cole who always has his dog spunky , and does who knows what with it . 	the businessman cole who always has his dog spunky , and does who knows what with it .	1	-1	 the[0] businessman[0] cole[0] who[0] always[0] has[0] his[0] dog[0] spunky[0] and[0] does[0] who[0] knows[0] what[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then there's mitch and sam , who , thinking they can get  50000 by destroying a building , ponder how their actions would ruin the lives of the residents . 	and then there's mitch and sam , who , thinking they can get  500 by destroying a building , ponder how their actions would ruin the lives of the residents .	2	-3	 and[0] then[0] there's[0] mitch[0] and[0] sam[0] who[0] thinking[0] they[0] can[0] get[0] 50000/500[0][+0.6 MultipleLetters] by[0] destroying[-2] a[0] building[0] ponder[0] how[0] their[0] actions[0] would[0] ruin[-1][--1 LastWordBoosterStrength] the[0] lives[0] of[0] the[0] residents[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " too bad we have to do it , " mitch says . 	 " too bad we have to do it , " mitch says .	1	-2	 too[0] bad[-1] we[0] have[0] to[0] do[0] it[0] mitch[0] says[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here's a movie where every joke that is executed as it is set up , where you see every punchline coming , where every spot profanity could be used and then is used . 	here's a movie where every joke that is executed as it is set up , where you see every punchline coming , where every spot profanity could be used and then is used .	2	-2	 here's[0] a[0] movie[0] where[0] every[0] joke[1] that[0] is[0] executed[-1] as[0] it[0] is[0] set[0] up[0] where[0] you[0] see[0] every[0] punchline[-1] coming[0] where[0] every[0] spot[0] profanity[0] could[0] be[0] used[0] and[0] then[0] is[0] used[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at least the film is honest , and makes no mistake that it is anything more than idiotic . 	at least the film is honest , and makes no mistake that it is anything more than idiotic .	1	-3	 at[0] least[0] the[0] film[0] is[0] honest[0] and[0] makes[0] no[0] mistake[-1] that[0] it[0] is[0] anything[0] more[0] than[0] idiotic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but at least it isn't dull , and it isn't predictable . 	but at least it isn't dull , and it isn't predictable .	2	-1	 but[0] at[0] least[0] it[0] isn't[0] dull[-1][NegatedDueToPreviousWord] and[0] it[0] isn't[0] predictable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and that's the way it should be . 	and that's the way it should be .	1	-1	 and[0] that's[0] the[0] way[0] it[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's sketch comedy , and if you're a fan of norm macdonald , you'll love it . 	it's sketch comedy , and if you're a fan of norm macdonald , you'll love it .	3	-1	 it's[0] sketch[0] comedy[0] and[0] if[0] you're[0] a[0] fan[0] of[0] norm[0] macdonald[0] you'll[0] love[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the jokes are crude , the characters are mean to the core , the attitude of the movie is that it just doesn't care . 	the jokes are crude , the characters are mean to the core , the attitude of the movie is that it just doesn't care .	2	-2	 the[0] jokes[1] are[0] crude[-1] the[0] characters[0] are[0] mean[0] to[0] the[0] core[0] the[0] attitude[0] of[0] the[0] movie[0] is[0] that[0] it[0] just[0] doesn't[0] care[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you don't like norm macdonald , or stupid movies , then you probably won't like this one . 	if you don't like norm macdonald , or stupid movies , then you probably won't like this one .	1	-2	 if[0] you[0] don't[0] like[1][NegatedDueToPreviousWord] norm[0] macdonald[0] or[0] stupid[-1] movies[0] then[0] you[0] probably[0] won't[0] like[1][NegatedDueToPreviousWord] this[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the jokes are crude , the characters are mean to the core , the attitude of the movie is that it just doesn't care . 	the jokes are crude , the characters are mean to the core , the attitude of the movie is that it just doesn't care .	2	-2	 the[0] jokes[1] are[0] crude[-1] the[0] characters[0] are[0] mean[0] to[0] the[0] core[0] the[0] attitude[0] of[0] the[0] movie[0] is[0] that[0] it[0] just[0] doesn't[0] care[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so before seeing this one , tune your mindset , and prepare for a slew of norm macdonald humor , gay animal sex , prison rape jokes , uncaring characters , and one last performance from chris farley . 	so before seeing this one , tune your mindset , and prepare for a slew of norm macdonald humor , gay animal sex , prison rape jokes , uncaring characters , and one last performance from chris farley .	3	-4	 so[0] before[0] seeing[0] this[0] one[0] tune[0] your[0] mindset[0] and[0] prepare[0] for[0] a[0] slew[0] of[0] norm[0] macdonald[0] humor[2] gay[-1] animal[0] sex[0] prison[-1] rape[-3] jokes[1] uncaring[0] characters[0] and[0] one[0] last[0] performance[0] from[0] chris[0] farley[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the critic in me says ( * ) but i give it an 8 ( * * * ) . 	the critic in me says ( * ) but i give it an 8 ( * * * ) .	1	-2	 the[0] critic[-1] in[0] me[0] says[0] but[0] i[0] give[0] it[0] an[0] 8[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i just couldn't stop laughing . 	i just couldn't stop laughing .	1	-2	 i[0] just[0] couldn't[0] stop[0] laughing[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
