cradle will rock is the latest effort from director/actor tim robbins . 	Translation	Positive	Negative	EmotionRationale
i'll begin with those involved with the play . 	i'll begin with those involved with the play .	1	-1	 i'll[0] begin[0] with[0] those[0] involved[0] with[0] the[0] play[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's orson welles ( angus macfadyen ) who of course is the director of the play , the producer john houseman ( cary elwes ) , marc blitzstein ( hank azaria ) the writer of the play , emily watson , a woman who gets her break by playing the main part in cradle will rock . 	there's orson welles ( angus macfadyen ) who of course is the director of the play , the producer john houseman ( cary elwes ) , marc blitzstein ( hank azaria ) the writer of the play , emily watson , a woman who gets her break by playing the main part in cradle will rock .	2	-1	 there's[0] orson[0] welles[1] angus[0] macfadyen[0] who[0] of[0] course[0] is[0] the[0] director[0] of[0] the[0] play[0] the[0] producer[0] john[0] houseman[0] cary[0] elwes[0] marc[0] blitzstein[0] hank[0] azaria[0] the[0] writer[0] of[0] the[0] play[0] emily[0] watson[0] a[0] woman[0] who[0] gets[0] her[0] break[0] by[0] playing[1] the[0] main[0] part[0] in[0] cradle[0] will[0] rock[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
outside the play there's the : ventriloquist ( bill murray ) who wants a relationship with a federal theater clerk ( joan cusack ) , another subplot involving a painter diego rivera ( ruben blades ) who's unhappy that his painting is too be destroyed by nelson rockefeller because he feels it to be an outrage ( john cusack ) . 	outside the play there's the : ventriloquist ( bill murray ) who wants a relationship with a federal theater clerk ( joan cusack ) , another subplot involving a painter diego rivera ( ruben blades ) who's unhappy that his painting is too be destroyed by nelson rockefeller because he feels it to be an outrage ( john cusack ) .	1	-3	 outside[0] the[0] play[0] there's[0] the[0] ventriloquist[0] bill[0] murray[0] who[0] wants[0] a[0] relationship[0] with[0] a[0] federal[0] theater[0] clerk[0] joan[0] cusack[0] another[0] subplot[0] involving[0] a[0] painter[0] diego[0] rivera[0] ruben[0] blades[0] who's[0] unhappy[-2] that[0] his[0] painting[0] is[0] too[0] be[0] destroyed[-2] by[0] nelson[0] rockefeller[0] because[0] he[0] feels[0] it[0] to[0] be[0] an[0] outrage[-2] john[0] cusack[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's a few other actresses and actors who have their own stories ( susan sarandon , philip baker hall too name a few ) but those that i mentioned , were the most significant to the story . 	there's a few other actresses and actors who have their own stories ( susan sarandon , philip baker hall too name a few ) but those that i mentioned , were the most significant to the story .	1	-1	 there's[0] a[0] few[0] other[0] actresses[0] and[0] actors[0] who[0] have[0] their[0] own[0] stories[0] susan[0] sarandon[0] philip[0] baker[0] hall[0] too[0] name[0] a[0] few[0] but[0] those[0] that[0] i[0] mentioned[0] were[0] the[0] most[0] significant[0] to[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , most of these talented hollywood stars were completely wasted , except for emily watson , who does another great job , and one of my personal favorite actors john cusack , who always delivers through thick and thin . 	anyway , most of these talented hollywood stars were completely wasted , except for emily watson , who does another great job , and one of my personal favorite actors john cusack , who always delivers through thick and thin .	3	-3	 anyway[0] most[0] of[0] these[0] talented[1] hollywood[0] stars[0] were[0] completely[0] wasted[-1][-1 LastWordBoosterStrength] except[0] for[0] emily[0] watson[0] who[0] does[0] another[0] great[2] job[0] and[0] one[0] of[0] my[0] personal[0] favorite[1] actors[0] john[0] cusack[0] who[0] always[0] delivers[0] through[0] thick[0] and[0] thin[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
now although most of the film was weak to say the least , there were some nice moments and some involving subjects , but all this is overblown . 	now although most of the film was weak to say the least , there were some nice moments and some involving subjects , but all this is overblown .	1	-2	 now[0] although[0] most[0] of[0] the[0] film[0] was[0] weak[-1] to[0] say[0] the[0] least[0] there[0] were[0] some[0] nice[1][-1 LastWordBoosterStrength] moments[0] and[0] some[0] involving[0] subjects[0] but[0] all[0] this[0] is[0] overblown[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sure the free speech segment was a nice feature , but not when it becomes repetitive . 	sure the free speech segment was a nice feature , but not when it becomes repetitive .	2	-1	 sure[0] the[0] free[0] speech[0] segment[0] was[0] a[0] nice[1] feature[0] but[0] not[0] when[0] it[0] becomes[0] repetitive[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the whole film is like this , and it's basically nothing but a headache . 	the whole film is like this , and it's basically nothing but a headache .	2	-2	 the[0] whole[0] film[0] is[0] like[1] this[0] and[0] it's[0] basically[0] nothing[0] but[0] a[0] headache[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on the brighter side , tim robbin's direction was masterful . 	on the brighter side , tim robbin's direction was masterful .	1	-1	 on[0] the[0] brighter[0] side[0] tim[0] robbin's[0] direction[0] was[0] masterful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his camera direction seemed reminiscent to the works of paul thomas anderson's latest magnolia , only smoother in my opinion , but even that can't make a movie that much better . 	his camera direction seemed reminiscent to the works of paul thomas anderson's latest magnolia , only smoother in my opinion , but even that can't make a movie that much better .	1	-1	 his[0] camera[0] direction[0] seemed[0] reminiscent[0] to[0] the[0] works[0] of[0] paul[0] thomas[0] anderson's[0] latest[0] magnolia[0] only[0] smoother[0] in[0] my[0] opinion[0] but[0] even[0] that[0] can't[0] make[0] a[0] movie[0] that[0] much[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although it has it's moments ( not many of them , but they're there ) , cradle will rock stays true to it's title , because the cradle rocked too far and tipped over . 	although it has it's moments ( not many of them , but they're there ) , cradle will rock stays true to it's title , because the cradle rocked too far and tipped over .	2	-1	 although[0] it[0] has[0] it's[0] moments[0] not[0] many[0] of[0] them[0] but[0] they're[0] there[0] cradle[0] will[0] rock[1] stays[0] true[1] to[0] it's[0] title[0] because[0] the[0] cradle[0] rocked[0] too[0] far[0] and[0] tipped[0] over[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
