it used to be that not just anyone could become a vampire . 	Translation	Positive	Negative	EmotionRationale
blade , which is based on a marvel comic book character , is , like a comic book , all visual . 	blade , which is based on a marvel comic book character , is , like a comic book , all visual .	2	-1	 blade[0] which[0] is[0] based[0] on[0] a[0] marvel[0] comic[0] book[0] character[0] is[0] like[1] a[0] comic[0] book[0] all[0] visual[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot is basically blade repetitiously slashing his way through the vampire army seeking their leader , deacon frost . 	the plot is basically blade repetitiously slashing his way through the vampire army seeking their leader , deacon frost .	1	-2	 the[0] plot[0] is[0] basically[0] blade[0] repetitiously[0] slashing[-1] his[0] way[0] through[0] the[0] vampire[0] army[0] seeking[0] their[0] leader[0] deacon[0] frost[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's all hokum and nonsense , of course . 	it's all hokum and nonsense , of course .	1	-2	 it's[0] all[0] hokum[0] and[0] nonsense[-1] of[0] course[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the filmmakers play it straight . 	but the filmmakers play it straight .	1	-1	 but[0] the[0] filmmakers[0] play[0] it[0] straight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , at least at the advance screening i attended , the audience didn't see it that way and laughed through much of the proceedings . 	unfortunately , at least at the advance screening i attended , the audience didn't see it that way and laughed through much of the proceedings .	2	-2	 unfortunately[-1] at[0] least[0] at[0] the[0] advance[0] screening[0] i[0] attended[0] the[0] audience[0] didn't[0] see[0] it[0] that[0] way[0] and[0] laughed[1] through[0] much[0] of[0] the[0] proceedings[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you know a movie is in trouble when the scenes of blood and gore that should elicit screams of fright instead evoke peels of laughter . 	you know a movie is in trouble when the scenes of blood and gore that should elicit screams of fright instead evoke peels of laughter .	2	-4	 you[0] know[0] a[0] movie[0] is[0] in[0] trouble[-1] when[0] the[0] scenes[0] of[0] blood[0] and[0] gore[0] that[0] should[0] elicit[0] screams[-3] of[0] fright[-3] instead[0] evoke[0] peels[0] of[0] laughter[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
another tell-tale sign is when the audience seems to be admiring the hero's costume more than the hero . 	another tell-tale sign is when the audience seems to be admiring the hero's costume more than the hero .	3	-1	 another[0] tell[0] tale[0] sign[0] is[0] when[0] the[0] audience[0] seems[0] to[0] be[0] admiring[2] the[0] hero's[2] costume[0] more[0] than[0] the[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also it seems it's not enough for today's vampire merely to have fangs . 	also it seems it's not enough for today's vampire merely to have fangs .	1	-1	 also[0] it[0] seems[0] it's[0] not[0] enough[0] for[0] today's[0] vampire[0] merely[0] to[0] have[0] fangs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he must also be proficient in the martial arts . 	he must also be proficient in the martial arts .	1	-1	 he[0] must[0] also[0] be[0] proficient[0] in[0] the[0] martial[0] arts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why a supernatural being , one of the undead , needs such skills is beyond me . 	why a supernatural being , one of the undead , needs such skills is beyond me .	1	-1	 why[0] a[0] supernatural[0] being[0] one[0] of[0] the[0] undead[0] needs[0] such[0] skills[0] is[0] beyond[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( of course , this concept dates to the 1974 hammer films-run run shaw production of legend of the seven golden vampires , in which dracula is defeated by seven karate-chopping siblings . ) 	 ( of course , this concept dates to the 1974 hammer films-run run shaw production of legend of the seven golden vampires , in which dracula is defeated by seven karate-chopping siblings .<br> )	1	-1	 of[0] course[0] this[0] concept[0] dates[0] to[0] the[0] 1974[0] hammer[0] films[0] run[0] run[0] shaw[0] production[0] of[0] legend[0] of[0] the[0] seven[0] golden[0] vampires[0] in[0] which[0] dracula[0] is[0] defeated[0] by[0] seven[0] karate[0] chopping[0] siblings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wesley snipes is buff as blade . 	wesley snipes is buff as blade .	1	-1	 wesley[0] snipes[0] is[0] buff[0] as[0] blade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he growls his lines -the few he has - and spends most of the time glowering - as if he was suffering from indigestion or having second thoughts about starring in and co-producing this turkey . 	he growls his lines -the few he has - and spends most of the time glowering - as if he was suffering from indigestion or having second thoughts about starring in and co-producing this turkey .	1	-4	 he[0] growls[0] his[0] lines[0] the[0] few[0] he[0] has[0] and[0] spends[0] most[0] of[0] the[0] time[0] glowering[0] as[0] if[0] he[0] was[0] suffering[-3] from[0] indigestion[0] or[0] having[0] second[0] thoughts[0] about[0] starring[0] in[0] and[0] co[0] producing[0] this[0] turkey[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
blade is just another example of how the vampire film , a once honorable member of the horror family , has gone downhill . 	blade is just another example of how the vampire film , a once honorable member of the horror family , has gone downhill .	2	-4	 blade[0] is[0] just[0] another[0] example[0] of[0] how[0] the[0] vampire[0] film[0] a[0] once[0] honorable[1] member[0] of[0] the[0] horror[-3] family[0] has[0] gone[0] downhill[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this dud mostly makes you yearn for those quaint old days when christopher lee could be stopped just by dangling a crucifix in his face . 	this dud mostly makes you yearn for those quaint old days when christopher lee could be stopped just by dangling a crucifix in his face .	1	-2	 this[0] dud[0] mostly[0] makes[0] you[0] yearn[-1] for[0] those[0] quaint[0] old[0] days[0] when[0] christopher[0] lee[0] could[0] be[0] stopped[0] just[0] by[0] dangling[0] a[0] crucifix[0] in[0] his[0] face[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
today's vampires lack the panache , the style of a bela lugosi or a christopher lee . 	today's vampires lack the panache , the style of a bela lugosi or a christopher lee .	1	-2	 today's[0] vampires[0] lack[-1] the[0] panache[0] the[0] style[0] of[0] a[0] bela[0] lugosi[0] or[0] a[0] christopher[0] lee[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are not even worthy enough to carry those great bloodsuckers' capes . 	they are not even worthy enough to carry those great bloodsuckers' capes .	3	-1	 they[0] are[0] not[0] even[0] worthy[0] enough[0] to[0] carry[0] those[0] great[2] bloodsuckers'[0] capes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they are more farcical than frightful . 	they are more farcical than frightful .	1	-4	 they[0] are[0] more[0] farcical[0] than[0] frightful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this whole enterprise is one dull blade that could have used lots of sharpening . 	this whole enterprise is one dull blade that could have used lots of sharpening .	1	-2	 this[0] whole[0] enterprise[0] is[0] one[0] dull[-1] blade[0] that[0] could[0] have[0] used[0] lots[0] of[0] sharpening[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
