when i originally saw the trailer for " analyze this " a few months ago , i must admit , i thought it looked kind of lame . 	Translation	Positive	Negative	EmotionRationale
as it is , though , he plays the character completely serious at some moments , and for laughs at others . 	as it is , though , he plays the character completely serious at some moments , and for laughs at others .	2	-3	 as[0] it[0] is[0] though[0] he[0] plays[1] the[0] character[0] completely[0] serious[-1][-1 LastWordBoosterStrength] at[0] some[0] moments[0] and[0] for[0] laughs[1] at[0] others[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this doesn't work . 	this doesn't work .	1	-1	 this[0] doesn't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it creates an uneven character that never breaks out of the deniro mold ; you always know it's him . 	it creates an uneven character that never breaks out of the deniro mold ; you always know it's him .	1	-2	 it[0] creates[0] an[0] uneven[-1] character[0] that[0] never[0] breaks[0] out[0] of[0] the[0] deniro[0] mold[0] you[0] always[0] know[0] it's[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the movie is badly paced , too . 	and the movie is badly paced , too .	1	-2	 and[0] the[0] movie[0] is[0] badly[-1] paced[0] too[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it never takes off . 	it never takes off .	1	-1	 it[0] never[0] takes[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it just crawls from one scene to another without any forward momentum . 	it just crawls from one scene to another without any forward momentum .	1	-1	 it[0] just[0] crawls[0] from[0] one[0] scene[0] to[0] another[0] without[0] any[0] forward[0] momentum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think the blame for this should be placed on the script . 	i think the blame for this should be placed on the script .	1	-2	 i[0] think[0] the[0] blame[-1] for[0] this[0] should[0] be[0] placed[0] on[0] the[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's obvious the writer had a good idea for a movie , mob boss faces breakdown and needs the services of a psychiatrist , but once this is established , the movie doesn't really go anywhere . 	it's obvious the writer had a good idea for a movie , mob boss faces breakdown and needs the services of a psychiatrist , but once this is established , the movie doesn't really go anywhere .	2	-2	 it's[0] obvious[0] the[0] writer[0] had[0] a[0] good[1] idea[0] for[0] a[0] movie[0] mob[0] boss[0] faces[0] breakdown[-1] and[0] needs[0] the[0] services[0] of[0] a[0] psychiatrist[0] but[0] once[0] this[0] is[0] established[0] the[0] movie[0] doesn't[0] really[0] go[0] anywhere[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the formula of the film seems to be this : billy crystal says no to deniro , deniro forces him , and much wackiness ensues . 	the formula of the film seems to be this : billy crystal says no to deniro , deniro forces him , and much wackiness ensues .	1	-1	 the[0] formula[0] of[0] the[0] film[0] seems[0] to[0] be[0] this[0] billy[0] crystal[0] says[0] no[0] to[0] deniro[0] deniro[0] forces[0] him[0] and[0] much[0] wackiness[0] ensues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this formula of sorts is repeated several times throughout the movie . 	this formula of sorts is repeated several times throughout the movie .	1	-1	 this[0] formula[0] of[0] sorts[0] is[0] repeated[0] several[0] times[0] throughout[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i've said it before and i'll say it again : the only thing that matters to me in a comedy is whether or not it's funny . 	i've said it before and i'll say it again : the only thing that matters to me in a comedy is whether or not it's funny .	1	-2	 i've[0] said[0] it[0] before[0] and[0] i'll[0] say[0] it[0] again[0] the[0] only[0] thing[0] that[0] matters[0] to[0] me[0] in[0] a[0] comedy[0] is[0] whether[0] or[0] not[0] it's[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if " analyze this " had been funny , the pacing and bad acting wouldn't have bothered me . 	if " analyze this " had been funny , the pacing and bad acting wouldn't have bothered me .	2	-2	 if[0] analyze[0] this[0] had[0] been[0] funny[1] the[0] pacing[0] and[0] bad[-1] acting[0] wouldn't[0] have[0] bothered[-1][NegatedDueToPreviousWord] me[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i would have been too busy laughing to notice . 	i would have been too busy laughing to notice .	2	-1	 i[0] would[0] have[0] been[0] too[0] busy[0] laughing[1] to[0] notice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but as it is , i only chuckled a few times . 	but as it is , i only chuckled a few times .	3	-1	 but[0] as[0] it[0] is[0] i[0] only[0] chuckled[2] a[0] few[0] times[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the only really funny scene is a dead-on parody of " the godfather " . 	the only really funny scene is a dead-on parody of " the godfather " .	3	-3	 the[0] only[0] really[0] funny[1][1 LastWordBoosterStrength] scene[0] is[0] a[0] dead[-2] on[0] parody[0] of[0] the[0] godfather[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
sadly , though , i don't think anyone in the audience i saw it with realized it was a parody , because i was the only one laughing . 	sadly , though , i don't think anyone in the audience i saw it with realized it was a parody , because i was the only one laughing .	2	-2	 sadly[-1] though[0] i[0] don't[0] think[0] anyone[0] in[0] the[0] audience[0] i[0] saw[0] it[0] with[0] realized[0] it[0] was[0] a[0] parody[0] because[0] i[0] was[0] the[0] only[0] one[0] laughing[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but my sense of humour , i have come to realize , is vastly different from the general population . 	but my sense of humour , i have come to realize , is vastly different from the general population .	3	-1	 but[0] my[0] sense[0] of[0] humour[2] i[0] have[0] come[0] to[0] realize[0] is[0] vastly[0] different[0] from[0] the[0] general[0] population[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i loathed " there's something about mary " , yet loved " baseketball " . 	i loathed " there's something about mary " , yet loved " baseketball " .	4	-1	 i[0] loathed[0] there's[0] something[0] about[0] mary[0] yet[0] loved[3] baseketball[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
now , if you want a movie that * i * think is funny , go out and see " office space " . 	now , if you want a movie that * i * think is funny , go out and see " office space " .	2	-1	 now[0] if[0] you[0] want[0] a[0] movie[0] that[0] i[0] think[0] is[0] funny[1] go[0] out[0] and[0] see[0] office[0] space[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's full of genuine laughs and won't leave you glancing at your watch every 10 minutes , as " analyze this " did . 	it's full of genuine laughs and won't leave you glancing at your watch every 10 minutes , as " analyze this " did .	2	-1	 it's[0] full[0] of[0] genuine[0] laughs[1] and[0] won't[0] leave[0] you[0] glancing[0] at[0] your[0] watch[0] every[0] 10[0] minutes[0] as[0] analyze[0] this[0] did[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
