paul verhoeven , the dutch auteur who dragged his violent , sexually aggressive aesthetic into american film , has never been what i'd consider a thoughtful director ( though some of his films , notably starship troopers , have been lauded as artistic achievements ) , but he is the kind of hollywood film maker who's managed to , no matter what the budget , make his films distinctive and even sometimes smuggle stimulating themes into the lavish high concepts on which he toils . 	Translation	Positive	Negative	EmotionRationale
but why ? 	but why ?	1	-1	 but[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his character is introduced as a smug genius , the kind who's always impeccably dressed and races a sports car while generic rock tunes blare from his stereo for the world to hear , sort of like a scheming uber villain from dallas or melrose place , though once the character becomes invisible , this film has him pull a 180 shift into a psychotic movie monster . 	his character is introduced as a smug genius , the kind who's always impeccably dressed and races a sports car while generic rock tunes blare from his stereo for the world to hear , sort of like a scheming uber villain from dallas or melrose place , though once the character becomes invisible , this film has him pull a 180 shift into a psychotic movie monster .	2	-3	 his[0] character[0] is[0] introduced[0] as[0] a[0] smug[-1] genius[0] the[0] kind[1] who's[0] always[0] impeccably[0] dressed[0] and[0] races[0] a[0] sports[0] car[0] while[0] generic[0] rock[1] tunes[0] blare[0] from[0] his[0] stereo[0] for[0] the[0] world[0] to[0] hear[0] sort[0] of[0] like[1] a[0] scheming[0] uber[0] villain[-2] from[0] dallas[0] or[0] melrose[0] place[0] though[0] once[0] the[0] character[0] becomes[0] invisible[-1] this[0] film[0] has[0] him[0] pull[0] a[0] 180[0] shift[0] into[0] a[0] psychotic[0] movie[0] monster[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the kind who just won't die . 	the kind who just won't die .	2	-1	 the[0] kind[1] who[0] just[0] won't[0] die[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hollow man's protagonists are the completely bland but beautiful scientist linda ( elizabeth shue , acting as if she were rebecca of sunnybrook farm ) and her lover , a hunk of beef scientist played by josh brolin who's saddled with the film's worst lines ( " i've lost cohesion again ! " ) . 	hollow man's protagonists are the completely bland but beautiful scientist linda ( elizabeth shue , acting as if she were rebecca of sunnybrook farm ) and her lover , a hunk of beef scientist played by josh brolin who's saddled with the film's worst lines ( " i've lost cohesion again !<br> " ) .	4	-3	 hollow[-1] man's[0] protagonists[0] are[0] the[0] completely[0] bland[-1][-1 LastWordBoosterStrength] but[0] beautiful[2] scientist[0] linda[0] elizabeth[0] shue[0] acting[0] as[0] if[0] she[0] were[0] rebecca[0] of[0] sunnybrook[0] farm[0] and[0] her[0] lover[3] a[0] hunk[0] of[0] beef[0] scientist[0] played[0] by[0] josh[0] brolin[0] who's[0] saddled[0] with[0] the[0] film's[0] worst[-2] lines[0] i've[0] lost[0] cohesion[0] again[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
they're a typical aaron spelling couple , good-looking but as vacant as george w . bush's republican national convention speech ( i . e . 	they're a typical aron spelling couple , good-looking but as vacant as george w .<br> bush's republican national convention speech ( i .<br> e .	2	-1	 they're[0] a[0] typical[0] aaron/aron[0] spelling[0] couple[0] good[1] looking[0] but[0] as[0] vacant[0] as[0] george[0] w[0] [[Sentence=-1,2=word max, 1-5]] bush's[0] republican[0] national[0] convention[0] speech[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
bush referring to clinton ; " ? ? ? so much promise ? ? ? but to what end ? 	bush referring to clinton ; " ?<br> ?<br> ?<br> so much promise ?<br> ?<br> ?<br> but to what end ?	2	-1	 bush[0] referring[0] to[0] clinton[0] [[Sentence=-1,1=word max, 1-5]] so[0] much[0] promise[1] [[Sentence=-1,2=word max, 1-5]] but[0] to[0] what[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
to what end ? " -- 	to what end ?<br> " -	1	-1	 to[0] what[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this actually got applause ! 	this actually got applause !	2	-1	 this[0] actually[0] got[0] applause[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
suddenly warren beatty doesn't look so absurd ) . 	suddenly warren beatty doesn't look so absurd ) .	1	-2	 suddenly[0] warren[0] beatty[0] doesn't[0] look[0] so[0] absurd[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the rest of the film's characters are all well past thirty , though act like annoying high school party animals insulting one and other with a series of strained one-liners ; is it just me or have labored insults become big budget hollywood's new character developing technique ? 	the rest of the film's characters are all well past thirty , though act like annoying high school party animals insulting one and other with a series of strained one-liners ; is it just me or have labored insults become big budget hollywood's new character developing technique ?	2	-3	 the[0] rest[0] of[0] the[0] film's[0] characters[0] are[0] all[0] well[0] past[0] thirty[0] though[0] act[0] like[1] annoying[-2] high[0] school[0] party[0] animals[0] insulting[-2] one[0] and[0] other[0] with[0] a[0] series[0] of[0] strained[-1] one[0] liners[0] is[0] it[0] just[0] me[0] or[0] have[0] labored[0] insults[-2] become[0] big[0] budget[0] hollywood's[0] new[0] character[0] developing[0] technique[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ahh , what a cynical time we live in ? ? ? 	ah , what a cynical time we live in ?<br> ?<br> ?	1	-2	 ahh/ah[0] what[0] a[0] cynical[-1] time[0] we[0] live[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the picture opens we meet cain ( kevin bacon ) , an egocentric scientist working with the crew of aforementioned irritating scientists on a top secret ( so top secret the government has only provided them with a dilapidated warehouse in which to perform their extensive experimentation's ) project with the goal to make invisibility a possibility ( for what purpose is never hinted at ) . 	as the picture opens we meet cain ( kevin bacon ) , an egocentric scientist working with the crew of aforementioned irritating scientists on a top secret ( so top secret the government has only provided them with a dilapidated warehouse in which to perform their extensive experimentation's ) project with the goal to make invisibility a possibility ( for what purpose is never hinted at ) .	1	-3	 as[0] the[0] picture[0] opens[0] we[0] meet[0] cain[0] kevin[0] bacon[0] an[0] egocentric[0] scientist[0] working[0] with[0] the[0] crew[0] of[0] aforementioned[0] irritating[-2] scientists[0] on[0] a[0] top[0] secret[0] so[0] top[0] secret[0] the[0] government[0] has[0] only[0] provided[0] them[0] with[0] a[0] dilapidated[0] warehouse[0] in[0] which[0] to[0] perform[0] their[0] extensive[0] experimentation's[0] project[0] with[0] the[0] goal[0] to[0] make[0] invisibility[0] a[0] possibility[0] for[0] what[0] purpose[0] is[0] never[0] hinted[0] at[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they've performed several experiments on animals and have nearly solved the quandary causing caine , in a twist worthy of the film's 1950's late show origins , to impulsively experiment on himself . 	they've performed several experiments on animals and have nearly solved the quandary causing caine , in a twist worthy of the film's 1950's late show origins , to impulsively experiment on himself .	1	-2	 they've[0] performed[0] several[0] experiments[0] on[0] animals[0] and[0] have[0] nearly[0] solved[0] the[0] quandary[-1] causing[0] caine[0] in[0] a[0] twist[0] worthy[0] of[0] the[0] film's[0] 1950's[0] late[0] show[0] origins[0] to[0] impulsively[0] experiment[0] on[0] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
caine neglects to let the pentagon in on his plans and somehow gets two of his co-workers to lie for him so the rest of the crew will think the pentagon gave the go ahead . 	caine neglects to let the pentagon in on his plans and somehow gets two of his co-workers to lie for him so the rest of the crew will think the pentagon gave the go ahead .	1	-1	 caine[0] neglects[0] to[0] let[0] the[0] pentagon[0] in[0] on[0] his[0] plans[0] and[0] somehow[0] gets[0] two[0] of[0] his[0] co[0] workers[0] to[0] lie[0] for[0] him[0] so[0] the[0] rest[0] of[0] the[0] crew[0] will[0] think[0] the[0] pentagon[0] gave[0] the[0] go[0] ahead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
our mad scientist is turned invisible ( after several fx-heavy complications ) , then he inexplicably ( it's hinted that the process of invisibility has made the animals into more savage creatures , but this is never explored , and if that was the case why the hell would anyone be stupid enough to test this out on a human ? ) 	our mad scientist is turned invisible ( after several fx-heavy complications ) , then he inexplicably ( it's hinted that the process of invisibility has made the animals into more savage creatures , but this is never explored , and if that was the case why the hell would anyone be stupid enough to test this out on a human ?<br> )	1	-3	 our[0] mad[-1] scientist[0] is[0] turned[0] invisible[-1] after[0] several[0] fx[0] heavy[0] complications[-1] then[0] he[0] inexplicably[0] it's[0] hinted[0] that[0] the[0] process[0] of[0] invisibility[0] has[0] made[0] the[0] animals[0] into[0] more[0] savage[-2] creatures[0] but[0] this[0] is[0] never[0] explored[0] and[0] if[0] that[0] was[0] the[0] case[0] why[0] the[0] hell[-1] would[0] anyone[0] be[0] stupid[-1] enough[0] to[0] test[0] this[0] out[0] on[0] a[0] human[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
begins raping , assaulting and murdering anyone he pleases , always with a lame wisecrack ready a la freddy krueger . 	begins raping , assaulting and murdering anyone he pleases , always with a lame wisecrack ready a la freddy krueger .	2	-4	 begins[0] raping[-3] assaulting[-2][-1 MultiplePositiveWords] and[0] murdering[-3] anyone[0] he[0] pleases[1] always[0] with[0] a[0] lame[-2] wisecrack[0] ready[0] a[0] la[0] freddy[0] krueger[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it grows abundantly clear with each new release that it's verhoeven's films that have become hollow . 	it grows abundantly clear with each new release that it's verhoeven's films that have become hollow .	1	-2	 it[0] grows[0] abundantly[0] clear[0] with[0] each[0] new[0] release[0] that[0] it's[0] verhoeven's[0] films[0] that[0] have[0] become[0] hollow[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like the rest , this one is cold , heartless , and full of contempt for humanity , but in addition to all that it lacks any trace of wit , insight and makes no statement other than " audiences will pay for anything these days " . 	like the rest , this one is cold , heartless , and full of contempt for humanity , but in addition to all that it lacks any trace of wit , insight and makes no statement other than " audiences will pay for anything these days " .	2	-4	 like[1] the[0] rest[0] this[0] one[0] is[0] cold[-1] heartless[-2] and[0] full[0] of[0] contempt[-3] for[0] humanity[0] but[0] in[0] addition[0] to[0] all[0] that[0] it[0] lacks[0] any[0] trace[0] of[0] wit[0] insight[0] and[0] makes[0] no[0] statement[0] other[0] than[0] audiences[0] will[0] pay[0] for[0] anything[0] these[0] days[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's an affront to anyone looking for something stimulating on an intellectual level , or even those hoping to spend a saturday night with a fun , thrill-a-minute ride . 	it's an affront to anyone looking for something stimulating on an intellectual level , or even those hoping to spend a saturday night with a fun , thrill-a-minute ride .	4	-1	 it's[0] an[0] affront[0] to[0] anyone[0] looking[0] for[0] something[0] stimulating[0] on[0] an[0] intellectual[0] level[0] or[0] even[0] those[0] hoping[1] to[0] spend[0] a[0] saturday[0] night[0] with[0] a[0] fun[1] thrill[3] a[0] minute[0] ride[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
verhoeven has instead served up an utterly routine mad slasher flick with nobody to root for and no reason to care . 	verhoeven has instead served up an utterly routine mad slasher flick with nobody to root for and no reason to care .	2	-2	 verhoeven[0] has[0] instead[0] served[0] up[0] an[0] utterly[0] routine[0] mad[-1] slasher[-1] flick[0] with[0] nobody[0] to[0] root[0] for[0] and[0] no[0] reason[0] to[0] care[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the previews make hollow man look like an irresistible flick . 	the previews make hollow man look like an irresistible flick .	2	-2	 the[0] previews[0] make[0] hollow[-1] man[0] look[0] like[1] an[0] irresistible[0] flick[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
how can one not have a good time at a film that utilizes state of the art fx to illustrate an invisible man getting down and dirty with his bad self ? 	how can one not have a good time at a film that utilizes state of the art fx to illustrate an invisible man getting down and dirty with his bad self ?	2	-2	 how[0] can[0] one[0] not[0] have[0] a[0] good[1] time[0] at[0] a[0] film[0] that[0] utilizes[0] state[0] of[0] the[0] art[0] fx[0] to[0] illustrate[0] an[0] invisible[-1] man[0] getting[0] down[0] and[0] dirty[-1] with[0] his[0] bad[-1] self[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a couple weeks ago , after seeing the trailer , a bunch of friends and i got into a long discussion of how invisible man flicks never go so far as to have the invisible individual indulging in their newfound ability . 	a couple weeks ago , after seeing the trailer , a bunch of friends and i got into a long discussion of how invisible man flicks never go so far as to have the invisible individual indulging in their newfound ability .	2	-2	 a[0] couple[0] weeks[0] ago[0] after[0] seeing[0] the[0] trailer[0] a[0] bunch[0] of[0] friends[1] and[0] i[0] got[0] into[0] a[0] long[0] discussion[0] of[0] how[0] invisible[-1] man[0] flicks[0] never[0] go[0] so[0] far[0] as[0] to[0] have[0] the[0] invisible[-1] individual[0] indulging[0] in[0] their[0] newfound[0] ability[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hollow man looked like the first film to do so and whoa , in a serious manner to boot . 	hollow man looked like the first film to do so and whoa , in a serious manner to boot .	2	-2	 hollow[-1] man[0] looked[0] like[1] the[0] first[0] film[0] to[0] do[0] so[0] and[0] whoa[0] in[0] a[0] serious[-1] manner[0] to[0] boot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but oh yeah , it is directed by paul verhoven not atom egoyan or peter greenway . 	but oh yeah , it is directed by paul verhoven not atom egoyan or peter greenway .	1	-1	 but[0] oh[0] yeah[0] it[0] is[0] directed[0] by[0] paul[0] verhoven[0] not[0] atom[0] egoyan[0] or[0] peter[0] greenway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
verhoeven delivers the sleazy " goods " , but not in a watchable or thrillingly disturbing manner , here it just feels icky and uncomfortable . 	verhoeven delivers the sleazy " goods " , but not in a watchable or thrillingly disturbing manner , here it just feels icky and uncomfortable .	4	-3	 verhoeven[0] delivers[0] the[0] sleazy[-2] goods[0] but[0] not[0] in[0] a[0] watchable[0] or[0] thrillingly[3] disturbing[-1] manner[0] here[0] it[0] just[0] feels[0] icky[0] and[0] uncomfortable[-2] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the director keeps his camera trained at his nubile actresses , caressing their breasts with his lens all while faux-psycho music strains in the background . 	the director keeps his camera trained at his nubile actresses , caressing their breasts with his lens all while faux-psycho music strains in the background .	1	-2	 the[0] director[0] keeps[0] his[0] camera[0] trained[0] at[0] his[0] nubile[0] actresses[0] caressing[0] their[0] breasts[0] with[0] his[0] lens[0] all[0] while[0] faux[0] psycho[0] music[0] strains[-1] in[0] the[0] background[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's plainly obvious that verhoeven isn't exploring voyeurism ( like in the classic peeping tom ) but exploiting it and not even doing that very well . 	it's plainly obvious that verhoeven isn't exploring voyeurism ( like in the classic peeping tom ) but exploiting it and not even doing that very well .	2	-1	 it's[0] plainly[0] obvious[0] that[0] verhoeven[0] isn't[0] exploring[0] voyeurism[0] like[1] in[0] the[0] classic[0] peeping[0] tom[0] but[0] exploiting[0] it[0] and[0] not[0] even[0] doing[0] that[0] very[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's funny that with all the technology  90 million can get you verhoven is stuck at trying to figure out how to show a woman's naked breast manipulated by an invisible hand . 	it's funny that with all the technology  90 million can get you verhoven is stuck at trying to figure out how to show a woman's naked breast manipulated by an invisible hand .	2	-2	 it's[0] funny[1] that[0] with[0] all[0] the[0] technology[0] 90[0] million[0] can[0] get[0] you[0] verhoven[0] is[0] stuck[0] at[0] trying[0] to[0] figure[0] out[0] how[0] to[0] show[0] a[0] woman's[0] naked[0] breast[0] manipulated[-1] by[0] an[0] invisible[-1] hand[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
most vexing is that the invisibility aspect is used simply as gimmick in yet another slasher movie wherein characters do stupid things just so the villain can pop up for more attacks . 	most vexing is that the invisibility aspect is used simply as gimmick in yet another slasher movie wherein characters do stupid things just so the villain can pop up for more attacks .	1	-3	 most[0] vexing[-2] is[0] that[0] the[0] invisibility[0] aspect[0] is[0] used[0] simply[0] as[0] gimmick[0] in[0] yet[0] another[0] slasher[-1] movie[0] wherein[0] characters[0] do[0] stupid[-1] things[0] just[0] so[0] the[0] villain[-2] can[0] pop[0] up[0] for[0] more[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact it's largely irrelevant that bacon is invisible since , by the end , most of his potential victims don infer-red glasses that track his body heat . 	in fact it's largely irrelevant that bacon is invisible since , by the end , most of his potential victims don infer-red glasses that track his body heat .	1	-3	 in[0] fact[0] it's[0] largely[0] irrelevant[0] that[0] bacon[0] is[0] invisible[-1] since[0] by[0] the[0] end[0] most[0] of[0] his[0] potential[0] victims[-2] don[0] infer[0] red[0] glasses[0] that[0] track[0] his[0] body[0] heat[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as in every mad slasher film we get the killers pov ( a scene where he spies on his neighbor while she undresses triggered unpleasant memories of slumber party massacre ) , and lots of scenes where people are unknowingly stalked . 	as in every mad slasher film we get the killers pov ( a scene where he spies on his neighbor while she undresses triggered unpleasant memories of slumber party massacre ) , and lots of scenes where people are unknowingly stalked .	1	-3	 as[0] in[0] every[0] mad[-1] slasher[-1] film[0] we[0] get[0] the[0] killers[0] pov[0] a[0] scene[0] where[0] he[0] spies[0] on[0] his[0] neighbor[0] while[0] she[0] undresses[0] triggered[0] unpleasant[-2] memories[0] of[0] slumber[0] party[0] massacre[-1] and[0] lots[0] of[0] scenes[0] where[0] people[0] are[0] unknowingly[0] stalked[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film only provides one moment that i found genuinely creepy . 	the film only provides one moment that i found genuinely creepy .	1	-1	 the[0] film[0] only[0] provides[0] one[0] moment[0] that[0] i[0] found[0] genuinely[0] creepy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it happens when a lab assistant ( kim dickens , who looks like she stepped out of playboy ) in the middle of a chit chat with an invisible bacon , suddenly pauses . 	it happens when a lab assistant ( kim dickens , who looks like she stepped out of playboy ) in the middle of a chit chat with an invisible bacon , suddenly pauses .	2	-2	 it[0] happens[0] when[0] a[0] lab[0] assistant[0] kim[0] dickens[0] who[0] looks[0] like[1] she[0] stepped[0] out[0] of[0] playboy[0] in[0] the[0] middle[0] of[0] a[0] chit[0] chat[0] with[0] an[0] invisible[-1] bacon[0] suddenly[0] pauses[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " are you looking at me ? " , she queries , obviously haunted . 	 " are you looking at me ?<br> " , she queries , obviously haunted .	1	-1	 are[0] you[0] looking[0] at[0] me[0] [[Sentence=-1,1=word max, 1-5]] she[0] queries[0] obviously[0] haunted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a little moment in a big film with nothing to offer but ground breaking special effects set to a plot that should have run its course by 1982 ( the apex of the mad slasher craze ) . 	it's a little moment in a big film with nothing to offer but ground breaking special effects set to a plot that should have run its course by 1982 ( the apex of the mad slasher craze ) .	2	-2	 it's[0] a[0] little[0] moment[0] in[0] a[0] big[0] film[0] with[0] nothing[0] to[0] offer[0] but[0] ground[0] breaking[0] special[1] effects[0] set[0] to[0] a[0] plot[0] that[0] should[0] have[0] run[0] its[0] course[0] by[0] 1982[0] the[0] apex[0] of[0] the[0] mad[-1] slasher[-1] craze[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
those special effects are so stunning they alone keep this from being as bad as urban legend or i still know what you did last summer . 	those special effects are so stunning they alone keep this from being as bad as urban legend or i still know what you did last summer .	2	-2	 those[0] special[1] effects[0] are[0] so[0] stunning[0] they[0] alone[0] keep[0] this[0] from[0] being[0] as[0] bad[-1] as[0] urban[0] legend[0] or[0] i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and they're the only reason to check out hollow man , preferably as a mid-week bargain rental . 	and they're the only reason to check out hollow man , preferably as a mid-week bargain rental .	1	-2	 and[0] they're[0] the[0] only[0] reason[0] to[0] check[0] out[0] hollow[-1] man[0] preferably[0] as[0] a[0] mid[0] week[0] bargain[0] rental[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you've been warned . 	you've been warned .	1	-1	 you've[0] been[0] warned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but you probably won't listen , will you ? 	but you probably won't listen , will you ?	1	-1	 but[0] you[0] probably[0] won't[0] listen[0] will[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tis' a pity ? ? ? 	tis' a pity ?<br> ?<br> ?	1	-2	 tis'[0] a[0] pity[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
