bats is this year's camp flick . 	Translation	Positive	Negative	EmotionRationale
so the batologist , her wisecracking sidekick and the town sheriff ( lou diamond phillips ) have to kill all the bats and save the world . 	so the batologist , her wisecracking sidekick and the town sheriff ( lou diamond phillips ) have to kill all the bats and save the world .	2	-2	 so[0] the[0] batologist[0] her[0] wisecracking[0] sidekick[0] and[0] the[0] town[0] sheriff[0] lou[0] diamond[0] phillips[0] have[0] to[0] kill[-1] all[0] the[0] bats[0] and[0] save[1] the[0] world[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , that can't happen before they wallow in some guamo ( bat shit , for the uninitiated ) , get up close and personal with some truly repulsive flying mammals and survive some of the dumbest situations ever seen in a professionally produced motion picture . 	of course , that can't happen before they wallow in some guamo ( bat shit , for the uninitiated ) , get up close and personal with some truly repulsive flying mammals and survive some of the dumbest situations ever seen in a professionally produced motion picture .	1	-4	 of[0] course[0] that[0] can't[0] happen[0] before[0] they[0] wallow[-1] in[0] some[0] guamo[0] bat[0] shit[-1] for[0] the[0] uninitiated[0] get[0] up[0] close[0] and[0] personal[0] with[0] some[0] truly[1][-1 LastWordBoosterStrength] repulsive[-3] flying[0] mammals[0] and[0] survive[0] some[0] of[0] the[0] dumbest[-1] situations[0] ever[0] seen[0] in[0] a[0] professionally[0] produced[0] motion[0] picture[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
consider , for example , a scene where two people are in a bat cave . 	consider , for example , a scene where two people are in a bat cave .	1	-1	 consider[0] for[0] example[0] a[0] scene[0] where[0] two[0] people[0] are[0] in[0] a[0] bat[0] cave[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bats are all sleeping , but the humans are afraid they might wake up before they can get out . 	the bats are all sleeping , but the humans are afraid they might wake up before they can get out .	1	-4	 the[0] bats[0] are[0] all[0] sleeping[0] but[0] the[0] humans[0] are[0] afraid[-3] they[0] might[0] wake[0] up[0] before[0] they[0] can[0] get[0] out[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what do they do ? 	what do they do ?	1	-1	 what[0] do[0] they[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do they get the hell out of there as fast as they can ? 	do they get the hell out of there as fast as they can ?	1	-2	 do[0] they[0] get[0] the[0] hell[-1] out[0] of[0] there[0] as[0] fast[0] as[0] they[0] can[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nope . 	nope .	1	-1	 nope[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they stand there for a while , transfixed by the thousands of bats opening their eyes . 	they stand there for a while , transfixed by the thousands of bats opening their eyes .	1	-1	 they[0] stand[0] there[0] for[0] a[0] while[0] transfixed[0] by[0] the[0] thousands[0] of[0] bats[0] opening[0] their[0] eyes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what keeps bats from being scary or creepy is the hyperactive editing in most of the attack scenes . 	what keeps bats from being scary or creepy is the hyperactive editing in most of the attack scenes .	1	-4	 what[0] keeps[0] bats[0] from[0] being[0] scary[-3] or[0] creepy[0] is[0] the[0] hyperactive[0] editing[0] in[0] most[0] of[0] the[0] attack[-2] scenes[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we don't even get to see what's going on ; the screen becomes a mush because the cuts are so quick . 	we don't even get to see what's going on ; the screen becomes a mush because the cuts are so quick .	1	-1	 we[0] don't[0] even[0] get[0] to[0] see[0] what's[0] going[0] on[0] the[0] screen[0] becomes[0] a[0] mush[0] because[0] the[0] cuts[0] are[0] so[0] quick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all we know is that bats are attacking . 	all we know is that bats are attacking .	1	-3	 all[0] we[0] know[0] is[0] that[0] bats[0] are[0] attacking[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how they are attacking and what exactly is happening remains a mystery . 	how they are attacking and what exactly is happening remains a mystery .	1	-3	 how[0] they[0] are[0] attacking[-2] and[0] what[0] exactly[0] is[0] happening[0] remains[0] a[0] mystery[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a little technical proficiency does wonders for horror movies , and bats sure could use some . 	a little technical proficiency does wonders for horror movies , and bats sure could use some .	1	-4	 a[0] little[0] technical[0] proficiency[0] does[0] wonders[0] for[0] horror[-3] movies[0] and[0] bats[0] sure[0] could[0] use[0] some[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
of course , director louis morneau tries to liven things up with some intentional humor , but it is so conventional it doesn't really go anywhere . 	of course , director louis morneau tries to liven things up with some intentional humor , but it is so conventional it doesn't really go anywhere .	3	-1	 of[0] course[0] director[0] louis[0] morneau[0] tries[0] to[0] liven[0] things[0] up[0] with[0] some[0] intentional[0] humor[2] but[0] it[0] is[0] so[0] conventional[0] it[0] doesn't[0] really[0] go[0] anywhere[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
most of the ocmic relief comes courtesy of the batologist's wisecracking sidekick ( leon ) , who takes every opportunity to sputter ingenious lines like " i hate bats ! " 	most of the ocmic relief comes courtesy of the batologist's wisecracking sidekick ( leon ) , who takes every opportunity to sputter ingenious lines like " i hate bats !<br> "	2	-4	 most[0] of[0] the[0] ocmic[0] relief[1] comes[0] courtesy[0] of[0] the[0] batologist's[0] wisecracking[0] sidekick[0] leon[0] who[0] takes[0] every[0] opportunity[0] to[0] sputter[-1] ingenious[0] lines[0] like[1] i[0] hate[-3] bats[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
some of these are so bad that they take on a double quality : they may inspire a smirk by their very nature and a roaring laugh because they are so inept . 	some of these are so bad that they take on a double quality : they may inspire a smirk by their very nature and a roaring laugh because they are so inept .	2	-2	 some[0] of[0] these[0] are[0] so[0] bad[-1] that[0] they[0] take[0] on[0] a[0] double[0] quality[0] they[0] may[0] inspire[2][-1 LastWordBoosterStrength] a[0] smirk[0] by[0] their[0] very[0] nature[0] and[0] a[0] roaring[0] laugh[1] because[0] they[0] are[0] so[0] inept[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i hate characters who exist for the sole purpose of spouting lame one-liners . 	i hate characters who exist for the sole purpose of spouting lame one-liners .	1	-4	 i[0] hate[-3] characters[0] who[0] exist[0] for[0] the[0] sole[0] purpose[0] of[0] spouting[0] lame[-2] one[0] liners[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
playing such characters does not help actors' careers . 	playing such characters does not help actors' careers .	2	-1	 playing[1] such[0] characters[0] does[0] not[0] help[0] actors'[0] careers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
still , i suppose that if you're looking for a movie that is " so bad it's good , " you could do worse than bats . 	still , i suppose that if you're looking for a movie that is " so bad it's good , " you could do worse than bats .	2	-3	 still[0] i[0] suppose[0] that[0] if[0] you're[0] looking[0] for[0] a[0] movie[0] that[0] is[0] so[0] bad[-1] it's[0] good[1] you[0] could[0] do[0] worse[-2] than[0] bats[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it does have a tremendous amount of camp value . 	it does have a tremendous amount of camp value .	2	-1	 it[0] does[0] have[0] a[0] tremendous[0] amount[0] of[0] camp[0] value[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm not " recommending " the movie because , quite frankly , it sucks , and i know that this might convince some people to go out and see it . 	i'm not " recommending " the movie because , quite frankly , it sucks , and i know that this might convince some people to go out and see it .	1	-2	 i'm[0] not[0] recommending[0] the[0] movie[0] because[0] quite[0] frankly[0] it[0] sucks[-1] and[0] i[0] know[0] that[0] this[0] might[0] convince[0] some[0] people[0] to[0] go[0] out[0] and[0] see[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
more power to them . 	more power to them .	1	-1	 more[0] power[0] to[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
