my friend here in film school just made a two minute-long film for one of his classes that includes a staged anal rape scene , done by two guys and shot on the shadow of the incident , with a banana being used as the instrument of penetration . 	Translation	Positive	Negative	EmotionRationale
the film opens on the wrong note , of course , with a quote from mark appearing before any image graces the screen , using the over-used passage " what shall it profit a man if he should gain the whole world an dlose his own soul , " depite the fact that the opening scene of the film is of the emporer before he was an emporer , fucking around with his own sister in a field ( i suppose if one has to lose their soul , one has to have a soul in the first place ) . 	the film opens on the wrong note , of course , with a quote from mark appearing before any image graces the screen , using the over-used passage " what shall it profit a man if he should gain the whole world an dlose his own soul , " depite the fact that the opening scene of the film is of the emporer before he was an emporer , fucking around with his own sister in a field ( i suppose if one has to lose their soul , one has to have a soul in the first place ) .	2	-2	 the[0] film[0] opens[0] on[0] the[0] wrong[-1] note[0] of[0] course[0] with[0] a[0] quote[0] from[0] mark[0] appearing[0] before[0] any[0] image[0] graces[1] the[0] screen[0] using[0] the[0] over[0] used[0] passage[0] what[0] shall[0] it[0] profit[1] a[0] man[0] if[0] he[0] should[0] gain[0] the[0] whole[0] world[0] an[0] dlose[0] his[0] own[0] soul[0] depite[0] the[0] fact[0] that[0] the[0] opening[0] scene[0] of[0] the[0] film[0] is[0] of[0] the[0] emporer[0] before[0] he[0] was[0] an[0] emporer[0] fucking[0] around[0] with[0] his[0] own[0] sister[0] in[0] a[0] field[0] i[0] suppose[0] if[0] one[0] has[0] to[0] lose[-1] their[0] soul[0] one[0] has[0] to[0] have[0] a[0] soul[0] in[0] the[0] first[0] place[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot is so incomprehensibly done that all i or anyone else can make out of it is that caligula ( disastrously played by the great malcom mcdowell , a performance that does the opposite that his performance in " a clockwork orange " did ) is next in line for the throne but can't wait for the current emporer , tiberius ( peter o' toole - ditto , only for his performance in " lawrence of arabia " ) , his grandfather , to die . . . so he kills him and ascends to the throne . 	the plot is so incomprehensibly done that all i or anyone else can make out of it is that caligula ( disastrously played by the great malcom mcdowell , a performance that does the opposite that his performance in " a clockwork orange " did ) is next in line for the throne but can't wait for the current emporer , tiberius ( peter o' toole - ditto , only for his performance in " lawrence of arabia " ) , his grandfather , to die .<br> .<br> .<br> so he kills him and ascends to the throne .	3	-4	 the[0] plot[0] is[0] so[0] incomprehensibly[0] done[0] that[0] all[0] i[0] or[0] anyone[0] else[0] can[0] make[0] out[0] of[0] it[0] is[0] that[0] caligula[0] disastrously[-3] played[0] by[0] the[0] great[2] malcom[0] mcdowell[0] a[0] performance[0] that[0] does[0] the[0] opposite[0] that[0] his[0] performance[0] in[0] a[0] clockwork[0] orange[0] did[0] is[0] next[0] in[0] line[0] for[0] the[0] throne[0] but[0] can't[0] wait[0] for[0] the[0] current[0] emporer[0] tiberius[0] peter[0] o'[0] toole[0] ditto[0] only[0] for[0] his[0] performance[0] in[0] lawrence[0] of[0] arabia[0] his[0] grandfather[0] to[0] die[0] [[Sentence=-4,3=word max, 1-5]] so[0] he[0] kills[0] him[0] and[0] ascends[0] to[0] the[0] throne[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
then he abuses his position , marries a woman ( helen mirren , who retains her dignity as an actor by not exactly acting ) so he doesn't just have to sleep with his sister ( a dreadful teresa ann savoy , there to be pretty , naked , and willing to hop in the sack with mac or anyone he asks her to hop in with ) , abuses his position a little more , a little more , and a little more , and then , i believe , invades england , then is killed off . 	then he abuses his position , marries a woman ( helen mirren , who retains her dignity as an actor by not exactly acting ) so he doesn't just have to sleep with his sister ( a dreadful teresa an savoy , there to be pretty , naked , and willing to hop in the sack with mac or anyone he asks her to hop in with ) , abuses his position a little more , a little more , and a little more , and then , i believe , invades england , then is killed off .	3	-4	 then[0] he[0] abuses[-3] his[0] position[0] marries[0] a[0] woman[0] helen[0] mirren[0] who[0] retains[0] her[0] dignity[1] as[0] an[0] actor[0] by[0] not[0] exactly[0] acting[0] so[0] he[0] doesn't[0] just[0] have[0] to[0] sleep[0] with[0] his[0] sister[0] a[0] dreadful[-3] teresa[0] ann/an[0] savoy[0] there[0] to[0] be[0] pretty[2] naked[0] and[0] willing[0] to[0] hop[0] in[0] the[0] sack[0] with[0] mac[0] or[0] anyone[0] he[0] asks[0] her[0] to[0] hop[0] in[0] with[0] abuses[-3] his[0] position[0] a[0] little[0] more[0] a[0] little[0] more[0] and[0] a[0] little[0] more[0] and[0] then[0] i[0] believe[0] invades[-1] england[0] then[0] is[0] killed[-3] off[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the filler , instead of recounting his life , is supposed to be , as guccione claims , the ultimate portrait of decadent pagan rome , complete with orgies , vicious deaths , and lots of nudity . 	the filler , instead of recounting his life , is supposed to be , as guccione claims , the ultimate portrait of decadent pagan rome , complete with orgies , vicious deaths , and lots of nudity .	1	-4	 the[0] filler[0] instead[0] of[0] recounting[0] his[0] life[0] is[0] supposed[0] to[0] be[0] as[0] guccione[0] claims[0] the[0] ultimate[0] portrait[0] of[0] decadent[-1] pagan[0] rome[0] complete[0] with[0] orgies[0] vicious[-3] deaths[-2][-1 MultiplePositiveWords] and[0] lots[0] of[0] nudity[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but instead of being the historical accurate film it really really wants to be , it instead becomes guccione's twisted masturbatory image of what it could be like . 	but instead of being the historical accurate film it really really wants to be , it instead becomes guccione's twisted masturbatory image of what it could be like .	2	-1	 but[0] instead[0] of[0] being[0] the[0] historical[0] accurate[0] film[0] it[0] really[0] really[0] wants[0] to[0] be[0] it[0] instead[0] becomes[0] guccione's[0] twisted[0] masturbatory[0] image[0] of[0] what[0] it[0] could[0] be[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oh , isn't it great that they just loved having sex ? 	oh , isn't it great that they just loved having sex ?	3	-3	 oh[0] isn't[0] it[0] great[2][NegatedDueToPreviousWord] that[0] they[0] just[0] loved[3][-1 LastWordBoosterStrength] having[0] sex[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and that they killed people so disgustingly ? 	and that they killed people so disgustingly ?	1	-4	 and[0] that[0] they[0] killed[-3] people[0] so[0] disgustingly[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and wouldn't it be great if i could make a couple bucks by selling this shit off as accuracy even though it's so blatantly real bad porn that i've completely convinced myself that it's not . 	and wouldn't it be great if i could make a couple bucks by selling this shit off as accuracy even though it's so blatantly real bad porn that i've completely convinced myself that it's not .	3	-2	 and[0] wouldn't[0] it[0] be[0] great[2] if[0] i[0] could[0] make[0] a[0] couple[0] bucks[0] by[0] selling[0] this[0] shit[-1] off[0] as[0] accuracy[0] even[0] though[0] it's[0] so[0] blatantly[-1] real[0] bad[-1] porn[0] that[0] i've[0] completely[0] convinced[0] myself[0] that[0] it's[0] not[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i mean , why not just show a roman orgy when i can spend a good ten minutes examining every single facet that makes it up . 	i mean , why not just show a roman orgy when i can spend a good ten minutes examining every single facet that makes it up .	2	-1	 i[0] mean[0] why[0] not[0] just[0] show[0] a[0] roman[0] orgy[0] when[0] i[0] can[0] spend[0] a[0] good[1] ten[0] minutes[0] examining[0] every[0] single[0] facet[0] that[0] makes[0] it[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and it's not just that it's disgusting or vile or whatever adjective you want to use to describe this film - it's that in a film where the entire feel it's going for isn't felt , it's also the sloppiest expensive movie of all time . 	and it's not just that it's disgusting or vile or whatever adjective you want to use to describe this film - it's that in a film where the entire feel it's going for isn't felt , it's also the sloppiest expensive movie of all time .	1	-4	 and[0] it's[0] not[0] just[0] that[0] it's[0] disgusting[-3] or[0] vile[-3] or[0] whatever[0] adjective[0] you[0] want[0] to[0] use[0] to[0] describe[0] this[0] film[0] it's[0] that[0] in[0] a[0] film[0] where[0] the[0] entire[0] feel[0] it's[0] going[0] for[0] isn't[0] felt[0] it's[0] also[0] the[0] sloppiest[0] expensive[-1] movie[0] of[0] all[0] time[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the sets are lavish , but so blatantly innacurate that i wonder if no historian wanting to have his name on this film explains this . 	the sets are lavish , but so blatantly innacurate that i wonder if no historian wanting to have his name on this film explains this .	1	-2	 the[0] sets[0] are[0] lavish[0] but[0] so[0] blatantly[-1] innacurate[0] that[0] i[0] wonder[0] if[0] no[0] historian[0] wanting[0] to[0] have[0] his[0] name[0] on[0] this[0] film[0] explains[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but that doesn't matter since the cinematography is so dark that you wonder if a light meter was used at all , making this not only dark and ugly , but just plain dark . 	but that doesn't matter since the cinematography is so dark that you wonder if a light meter was used at all , making this not only dark and ugly , but just plain dark .	1	-3	 but[0] that[0] doesn't[0] matter[0] since[0] the[0] cinematography[0] is[0] so[0] dark[0] that[0] you[0] wonder[0] if[0] a[0] light[0] meter[0] was[0] used[0] at[0] all[0] making[0] this[0] not[0] only[0] dark[0] and[0] ugly[-2] but[0] just[0] plain[0] dark[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the camera operation is also the worst i've ever seen in my entire life . 	the camera operation is also the worst i've ever seen in my entire life .	1	-3	 the[0] camera[0] operation[0] is[0] also[0] the[0] worst[-2] i've[0] ever[0] seen[0] in[0] my[0] entire[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not only does this film hold the record for the most unnecessary zooms in one single shot ever , but often the camera will lose its subjects and pan around till they find them , then have them out of focus . 	not only does this film hold the record for the most unnecessary zooms in one single shot ever , but often the camera will lose its subjects and pan around till they find them , then have them out of focus .	1	-2	 not[0] only[0] does[0] this[0] film[0] hold[0] the[0] record[0] for[0] the[0] most[0] unnecessary[-1] zooms[0] in[0] one[0] single[0] shot[-1] ever[0] but[0] often[0] the[0] camera[0] will[0] lose[-1] its[0] subjects[0] and[0] pan[0] around[0] till[0] they[0] find[0] them[0] then[0] have[0] them[0] out[0] of[0] focus[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the editing is so sloppy that some scenes are absolutely impossible to follow . 	the editing is so sloppy that some scenes are absolutely impossible to follow .	1	-2	 the[0] editing[0] is[0] so[0] sloppy[-1] that[0] some[0] scenes[0] are[0] absolutely[0] impossible[0] to[0] follow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is no writer to speak of ( what the hell does it mean that it's " adapted from an original screenplay by gore vidal ? " ) , but nevertheless , the dialogue is shit , so laughably bad that i can't in good faith believe that anyone with an iq over 5 could say them with a straight face ( my favorite being the line when caligula inquires the doctor about the health of the dying tiberius : " he could go at any moment , but with care , he could last a year or so . " ) 	there is no writer to speak of ( what the hell does it mean that it's " adapted from an original screenplay by gore vidal ?<br> " ) , but nevertheless , the dialogue is shit , so laughably bad that i can't in good faith believe that anyone with an iq over 5 could say them with a straight face ( my favorite being the line when caligula inquires the doctor about the health of the dying tiberius : " he could go at any moment , but with care , he could last a year or so .<br> " )	2	-2	 there[0] is[0] no[0] writer[0] to[0] speak[0] of[0] what[0] the[0] hell[-1] does[0] it[0] mean[0] that[0] it's[0] adapted[0] from[0] an[0] original[0] screenplay[0] by[0] gore[0] vidal[0] [[Sentence=-2,1=word max, 1-5]] but[0] nevertheless[0] the[0] dialogue[0] is[0] shit[-1] so[0] laughably[1] bad[-1] that[0] i[0] can't[0] in[0] good[1][NegatedDueToPreviousWord] faith[1] believe[0] that[0] anyone[0] with[0] an[0] iq[0] over[0] 5[0] could[0] say[0] them[0] with[0] a[0] straight[0] face[0] my[0] favorite[1] being[0] the[0] line[0] when[0] caligula[0] inquires[0] the[0] doctor[0] about[0] the[0] health[0] of[0] the[0] dying[-1] tiberius[0] he[0] could[0] go[0] at[0] any[0] moment[0] but[0] with[0] care[1] he[0] could[0] last[0] a[0] year[0] or[0] so[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the music in this film is mostly prokofiev and khachaturian ( they use his gorgeous " adagio of spartacus and phrygia , " ad nauseum ) , used in an attempt to give the film some emotion , but instead feels as if it was shipped in from elsewhere . 	the music in this film is mostly prokofiev and khachaturian ( they use his gorgeous " adagio of spartacus and phrygia , " ad nauseum ) , used in an attempt to give the film some emotion , but instead feels as if it was shipped in from elsewhere .	3	-1	 the[0] music[0] in[0] this[0] film[0] is[0] mostly[0] prokofiev[0] and[0] khachaturian[0] they[0] use[0] his[0] gorgeous[2] adagio[0] of[0] spartacus[0] and[0] phrygia[0] ad[0] nauseum[0] used[0] in[0] an[0] attempt[0] to[0] give[0] the[0] film[0] some[0] emotion[0] but[0] instead[0] feels[0] as[0] if[0] it[0] was[0] shipped[0] in[0] from[0] elsewhere[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the orgy scenes ( and one infamous lesbo scene between penthouse pets lori wagner and aneeka dilorenzo ) are the result of reshoots by guccione himself , which are so obviously removed from everything else in this film that it only adds to the embrassment ( every five seconds or so , the film cuts to random nudity , as if it was afraid its audience would forget this film is rated " x " ) . 	the orgy scenes ( and one infamous lesbo scene between penthouse pets lori wagner and aneeka dilorenzo ) are the result of reshoots by guccione himself , which are so obviously removed from everything else in this film that it only adds to the embrassment ( every five seconds or so , the film cuts to random nudity , as if it was afraid its audience would forget this film is rated " x " ) .	2	-4	 the[0] orgy[0] scenes[0] and[0] one[0] infamous[-1] lesbo[0] scene[0] between[0] penthouse[0] pets[0] lori[0] wagner[0] and[0] aneeka[0] dilorenzo[0] are[0] the[0] result[0] of[0] reshoots[0] by[0] guccione[0] himself[0] which[0] are[0] so[0] obviously[0] removed[0] from[0] everything[0] else[0] in[0] this[0] film[0] that[0] it[0] only[0] adds[0] to[0] the[0] embrassment[0] every[0] five[0] seconds[0] or[0] so[0] the[0] film[0] cuts[0] to[0] random[0] nudity[0] as[0] if[0] it[0] was[0] afraid[-3] its[0] audience[0] would[0] forget[0] this[0] film[0] is[0] rated[0] x[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
john gielgud represents the only voice of sanity , walking around in his brief role as if he was constantly the mantra , " i'm going to kill my agent , i'm going to kill my agent . . . " 	john gielgud represents the only voice of sanity , walking around in his brief role as if he was constantly the mantra , " i'm going to kill my agent , i'm going to kill my agent .<br> .<br> .<br> "	1	-2	 john[0] gielgud[0] represents[0] the[0] only[0] voice[0] of[0] sanity[0] walking[0] around[0] in[0] his[0] brief[0] role[0] as[0] if[0] he[0] was[0] constantly[0] the[0] mantra[0] i'm[0] going[0] to[0] kill[-1] my[0] agent[0] i'm[0] going[0] to[0] kill[-1] my[0] agent[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and so on and so on , for over 2 1/2 hours , making " caligula " about as exciting and enriching as a three hour college lecture class and twice as deliriously annoying . 	and so on and so on , for over 2 1/2 hours , making " caligula " about as exciting and enriching as a three hour college lecture class and twice as deliriously annoying .	3	-3	 and[0] so[0] on[0] and[0] so[0] on[0] for[0] over[0] 2[0] 1/2[0] hours[0] making[0] caligula[0] about[0] as[0] exciting[2] and[0] enriching[0] as[0] a[0] three[0] hour[0] college[0] lecture[0] class[0] and[0] twice[0] as[0] deliriously[0] annoying[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
guccione , in his pursuit of historical accuracy has instead made a film that is such a painstaking , arduous task to watch in its entirety that i doubt anyone can sit through an hour of it without irreversible psychological damage . 	guccione , in his pursuit of historical accuracy has instead made a film that is such a painstaking , arduous task to watch in its entirety that i doubt anyone can sit through an hour of it without irreversible psychological damage .	1	-2	 guccione[0] in[0] his[0] pursuit[0] of[0] historical[0] accuracy[0] has[0] instead[0] made[0] a[0] film[0] that[0] is[0] such[0] a[0] painstaking[0] arduous[-1] task[0] to[0] watch[0] in[0] its[0] entirety[0] that[0] i[0] doubt[-1] anyone[0] can[0] sit[0] through[0] an[0] hour[0] of[0] it[0] without[0] irreversible[0] psychological[0] damage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
throughout the entire film , the presence of guccione is easily felt , as if he were standing there at the edge of the screen , pretentiously looking down upon us saying " look what i can get away with ! 	throughout the entire film , the presence of guccione is easily felt , as if he were standing there at the edge of the screen , pretentiously looking down upon us saying " look what i can get away with !	1	-2	 throughout[0] the[0] entire[0] film[0] the[0] presence[0] of[0] guccione[0] is[0] easily[0] felt[0] as[0] if[0] he[0] were[0] standing[0] there[0] at[0] the[0] edge[0] of[0] the[0] screen[0] pretentiously[-1] looking[0] down[0] upon[0] us[0] saying[0] look[0] what[0] i[0] can[0] get[0] away[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and if you don't like this , then you're a prig , and worse than that , you know nothing about history ! " 	and if you don't like this , then you're a prig , and worse than that , you know nothing about history !<br> "	1	-3	 and[0] if[0] you[0] don't[0] like[1][NegatedDueToPreviousWord] this[0] then[0] you're[0] a[0] prig[0] and[0] worse[-2] than[0] that[0] you[0] know[0] nothing[0] about[0] history[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
uh huh . 	uh huh .	1	-1	 uh[0] huh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a clear difference between historical accuracy and doing something that's artistically good . 	there's a clear difference between historical accuracy and doing something that's artistically good .	2	-1	 there's[0] a[0] clear[0] difference[0] between[0] historical[0] accuracy[0] and[0] doing[0] something[0] that's[0] artistically[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a film which showed roman decadence as something that was perhaps liberating for some but could not last - that would probably make for a good film . 	a film which showed roman decadence as something that was perhaps liberating for some but could not last - that would probably make for a good film .	2	-2	 a[0] film[0] which[0] showed[0] roman[0] decadence[-1] as[0] something[0] that[0] was[0] perhaps[0] liberating[0] for[0] some[0] but[0] could[0] not[0] last[0] that[0] would[0] probably[0] make[0] for[0] a[0] good[1] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but using historical accuracy as a licence to get away with any kind of disgusting-for-disgustingness'-sake acts is total , total bullshit , and all i can say is that guccione and the makers of this film have lost any kind of touch with either entertainment or eroticism , and have developed a pathetic and sadistic taste for both , judging from this film . 	but using historical accuracy as a licence to get away with any kind of disgusting-for-disgustingness'-sake acts is total , total bullshit , and all i can say is that guccione and the makers of this film have lost any kind of touch with either entertainment or eroticism , and have developed a pathetic and sadistic taste for both , judging from this film .	2	-4	 but[0] using[0] historical[0] accuracy[0] as[0] a[0] licence[0] to[0] get[0] away[0] with[0] any[0] kind[1] of[0] disgusting[-3] for[0] disgustingness'[-3] sake[0] acts[0] is[0] total[0] total[0] bullshit[-2][-1 LastWordBoosterStrength] and[0] all[0] i[0] can[0] say[0] is[0] that[0] guccione[0] and[0] the[0] makers[0] of[0] this[0] film[0] have[0] lost[0] any[0] kind[1] of[0] touch[0] with[0] either[0] entertainment[0] or[0] eroticism[0] and[0] have[0] developed[0] a[0] pathetic[-2] and[0] sadistic[0] taste[0] for[0] both[0] judging[0] from[0] this[0] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there's a film that came out in 1989 called " the cook , the thief , his wife , and her lover , " a magnifcent film by legendary cult director peter greenaway ( also starring helen mirren ) , which deals with graphic sex , heartstopping violence and gore , and even a little cannibalism for good measure . 	there's a film that came out in 1989 called " the cook , the thief , his wife , and her lover , " a magnifcent film by legendary cult director peter greenaway ( also starring helen mirren ) , which deals with graphic sex , heartstopping violence and gore , and even a little cannibalism for good measure .	4	-4	 there's[0] a[0] film[0] that[0] came[0] out[0] in[0] 1989[0] called[0] the[0] cook[0] the[0] thief[-1] his[0] wife[0] and[0] her[0] lover[3] a[0] magnifcent[0] film[0] by[0] legendary[0] cult[0] director[0] peter[0] greenaway[0] also[0] starring[0] helen[0] mirren[0] which[0] deals[0] with[0] graphic[0] sex[0] heartstopping[0] violence[-3] and[0] gore[0] and[0] even[0] a[0] little[0] cannibalism[-1] for[0] good[1] measure[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
