this is an adaptation of h . g . wells' acclaimed novel 'the invisible man' . 	Translation	Positive	Negative	EmotionRationale
while his ex-girlfriend linda ( elisabeth shue ) desperately tries to find something to return him to normal , he learns that invisibility is more of a prison than a superpower . 	while his ex-girlfriend linda ( elisabeth shue ) desperately tries to find something to return him to normal , he learns that invisibility is more of a prison than a superpower .	1	-3	 while[0] his[0] ex[0] girlfriend[0] linda[0] elisabeth[0] shue[0] desperately[-2] tries[0] to[0] find[0] something[0] to[0] return[0] him[0] to[0] normal[0] he[0] learns[0] that[0] invisibility[0] is[0] more[0] of[0] a[0] prison[-1] than[0] a[0] superpower[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but that's not the bad thing -- an unexpected side-effect of the drug sends him careening into paranoid megalomania . 	but that's not the bad thing - an unexpected side-effect of the drug sends him careening into paranoid megalomania .	2	-3	 but[0] that's[0] not[0] the[0] bad[-1][NegatedDueToPreviousWord] thing[0] an[0] unexpected[0] side[0] effect[0] of[0] the[0] drug[0] sends[0] him[0] careening[0] into[0] paranoid[-2] megalomania[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he is naturally given a couple of modest superpowers , just enough for him to survive immolation from a flame thrower and an explosion of about a quart of nitroglycerine . 	he is naturally given a couple of modest superpowers , just enough for him to survive immolation from a flame thrower and an explosion of about a quart of nitroglycerine .	1	-3	 he[0] is[0] naturally[0] given[0] a[0] couple[0] of[0] modest[0] superpowers[0] just[0] enough[0] for[0] him[0] to[0] survive[0] immolation[0] from[0] a[0] flame[-2] thrower[0] and[0] an[0] explosion[-1] of[0] about[0] a[0] quart[0] of[0] nitroglycerine[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
soon every sense of decency is forgotten . 	soon every sense of decency is forgotten .	1	-1	 soon[0] every[0] sense[0] of[0] decency[0] is[0] forgotten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the little intelligence that was left disappears as verhoven looses control and the film turns into an alien-rip-off , where caine is walking like a half finished terminator , spooking , scaring and killing everybody . 	the little intelligence that was left disappears as verhoven looses control and the film turns into an alien-rip-off , where caine is walking like a half finished terminator , spooking , scaring and killing everybody .	2	-4	 the[0] little[0] intelligence[0] that[0] was[0] left[0] disappears[0] as[0] verhoven[0] looses[0] control[0] and[0] the[0] film[0] turns[0] into[0] an[0] alien[-1] rip[-1] off[0] where[0] caine[0] is[0] walking[0] like[1] a[0] half[0] finished[0] terminator[0] spooking[0] scaring[-3] and[0] killing[-1] everybody[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
though it's based on a novel called 'the invisible man' , the title has been ironically changed to 'hollow man' that sums up the film very nicely . 	though it's based on a novel called 'the invisible man' , the title has been ironically changed to 'hollow man' that sums up the film very nicely .	3	-2	 though[0] it's[0] based[0] on[0] a[0] novel[0] called[0] 'the[0] invisible[-1] man'[0] the[0] title[0] has[0] been[0] ironically[-1] changed[0] to[0] 'hollow[0] man'[0] that[0] sums[0] up[0] the[0] film[0] very[0] nicely[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this is a very silly production . 	this is a very silly production .	1	-3	 this[0] is[0] a[0] very[0] silly[-1][-1 LastWordBoosterStrength] production[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
laughable , actually . 	laughable , actually .	1	-2	 laughable[-1] actually[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
apparently verhoven's imagination doesn't stretch too far . 	apparently verhoven's imagination doesn't stretch too far .	1	-1	 apparently[0] verhoven's[0] imagination[0] doesn't[0] stretch[0] too[0] far[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for him the only worthwhile reason to become invisible is so you can case the girls' locker room undetected . 	for him the only worthwhile reason to become invisible is so you can case the girls' locker room undetected .	2	-2	 for[0] him[0] the[0] only[0] worthwhile[1] reason[0] to[0] become[0] invisible[-1] is[0] so[0] you[0] can[0] case[0] the[0] girls'[0] locker[0] room[0] undetected[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is this primitive schoolboy mentality that eventually kills the movie . 	it is this primitive schoolboy mentality that eventually kills the movie .	1	-1	 it[0] is[0] this[0] primitive[0] schoolboy[0] mentality[0] that[0] eventually[0] kills[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
being invisible , gives you the opportunity to be who you are , to do what you want without being influenced by society . 	being invisible , gives you the opportunity to be who you are , to do what you want without being influenced by society .	1	-2	 being[0] invisible[-1] gives[0] you[0] the[0] opportunity[0] to[0] be[0] who[0] you[0] are[0] to[0] do[0] what[0] you[0] want[0] without[0] being[0] influenced[0] by[0] society[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in many ways it gives you an illusion of having a life without consequences . 	in many ways it gives you an illusion of having a life without consequences .	1	-1	 in[0] many[0] ways[0] it[0] gives[0] you[0] an[0] illusion[0] of[0] having[0] a[0] life[0] without[0] consequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the nature of man and his place in society is what the novel is truly about . 	the nature of man and his place in society is what the novel is truly about .	2	-1	 the[0] nature[0] of[0] man[0] and[0] his[0] place[0] in[0] society[0] is[0] what[0] the[0] novel[0] is[0] truly[1] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all that , the depth and true horror of the book is gone and only special effects make you remain in your seat . 	all that , the depth and true horror of the book is gone and only special effects make you remain in your seat .	2	-4	 all[0] that[0] the[0] depth[0] and[0] true[1] horror[-3] of[0] the[0] book[0] is[0] gone[0] and[0] only[0] special[1] effects[0] make[0] you[0] remain[0] in[0] your[0] seat[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
caine does use his power voyeuristically in hollow man . 	caine does use his power voyeuristically in hollow man .	1	-2	 caine[0] does[0] use[0] his[0] power[0] voyeuristically[0] in[0] hollow[-1] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but since this is a modernization , in other words a dehumanization , he doesn't stop there . 	but since this is a modernization , in other words a dehumanization , he doesn't stop there .	1	-1	 but[0] since[0] this[0] is[0] a[0] modernization[0] in[0] other[0] words[0] a[0] dehumanization[0] he[0] doesn't[0] stop[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he becomes a rapist . 	he becomes a rapist .	1	-4	 he[0] becomes[0] a[0] rapist[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and then , of course , a murderer . 	and then , of course , a murderer .	1	-4	 and[0] then[0] of[0] course[0] a[0] murderer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
you'll start wondering why such actors as beacon and shue found themselves in such film in the first place . 	you'll start wondering why such actors as beacon and shue found themselves in such film in the first place .	1	-1	 you'll[0] start[0] wondering[0] why[0] such[0] actors[0] as[0] beacon[0] and[0] shue[0] found[0] themselves[0] in[0] such[0] film[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shue's talent is barely seen , josh brolin is underused and the rest of the cast suffer mostly for the lack of talent . 	shue's talent is barely seen , josh brolin is underused and the rest of the cast suffer mostly for the lack of talent .	2	-4	 shue's[0] talent[1] is[0] barely[0] seen[0] josh[0] brolin[0] is[0] underused[0] and[0] the[0] rest[0] of[0] the[0] cast[0] suffer[-3] mostly[0] for[0] the[0] lack[-1] of[0] talent[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
kevin beacon is the only one that performs gracefully . 	kevin beacon is the only one that performs gracefully .	3	-1	 kevin[0] beacon[0] is[0] the[0] only[0] one[0] that[0] performs[0] gracefully[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his face is not seen for the most part of the film , and the only way he exists is as a disembodied voice . 	his face is not seen for the most part of the film , and the only way he exists is as a disembodied voice .	1	-1	 his[0] face[0] is[0] not[0] seen[0] for[0] the[0] most[0] part[0] of[0] the[0] film[0] and[0] the[0] only[0] way[0] he[0] exists[0] is[0] as[0] a[0] disembodied[0] voice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are times when his presence actually saves the film from being completely embarrassing . 	there are times when his presence actually saves the film from being completely embarrassing .	2	-4	 there[0] are[0] times[0] when[0] his[0] presence[0] actually[0] saves[1] the[0] film[0] from[0] being[0] completely[0] embarrassing[-2][-1 LastWordBoosterStrength] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in the end the effects are the only reason to see this film in the first place . 	in the end the effects are the only reason to see this film in the first place .	1	-1	 in[0] the[0] end[0] the[0] effects[0] are[0] the[0] only[0] reason[0] to[0] see[0] this[0] film[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
being probably the best technical achievement since " jurassic park " , they are absolutely amazing . 	being probably the best technical achievement since " jurassic park " , they are absolutely amazing .	4	-1	 being[0] probably[0] the[0] best[1] technical[0] achievement[0] since[0] jurassic[0] park[0] they[0] are[0] absolutely[0] amazing[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
we observe the layers of skin , muscle , tissue , and bone being peeled away as a body is slowly rendered invisible . 	we observe the layers of skin , muscle , tissue , and bone being peeled away as a body is slowly rendered invisible .	1	-2	 we[0] observe[0] the[0] layers[0] of[0] skin[0] muscle[0] tissue[0] and[0] bone[0] being[0] peeled[0] away[0] as[0] a[0] body[0] is[0] slowly[0] rendered[0] invisible[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we see a beating heart , inflating lungs , and veins pulsing with newly-pumped blood . 	we see a beating heart , inflating lungs , and veins pulsing with newly-pumped blood .	1	-1	 we[0] see[0] a[0] beating[0] heart[0] inflating[0] lungs[0] and[0] veins[0] pulsing[0] with[0] newly[0] pumped[0] blood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are a couple of inventive shots with smoke , fire , air and water , but are a few scenes like that worth attending a movie for ? 	there are a couple of inventive shots with smoke , fire , air and water , but are a few scenes like that worth attending a movie for ?	2	-1	 there[0] are[0] a[0] couple[0] of[0] inventive[0] shots[0] with[0] smoke[0] fire[0] air[0] and[0] water[0] but[0] are[0] a[0] few[0] scenes[0] like[1] that[0] worth[0] attending[0] a[0] movie[0] for[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what is truly disturbing is that with a great book , talented actors and a grand budget , this could have been so much more . 	what is truly disturbing is that with a great book , talented actors and a grand budget , this could have been so much more .	3	-2	 what[0] is[0] truly[1] disturbing[-1] is[0] that[0] with[0] a[0] great[2] book[0] talented[1] actors[0] and[0] a[0] grand[1] budget[0] this[0] could[0] have[0] been[0] so[0] much[0] more[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
pretty much like jan de bont ( " twister " , " haunting " ) , paul verhoven has never made anything extraordinary . 	pretty much like jan de bont ( " twister " , " haunting " ) , paul verhoven has never made anything extraordinary .	3	-1	 pretty[2] much[0] like[1] jan[0] de[0] bont[0] twister[0] haunting[0] paul[0] verhoven[0] has[0] never[0] made[0] anything[0] extraordinary[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he was responsible for several good films ( " basic instinct " and " starship troopers ) " and some incredibly bad films ( " showgirls " , " total recall " ) , but he has never made anything that was great . 	he was responsible for several good films ( " basic instinct " and " starship troopers ) " and some incredibly bad films ( " showgirls " , " total recall " ) , but he has never made anything that was great .	3	-4	 he[0] was[0] responsible[0] for[0] several[0] good[1] films[0] basic[0] instinct[0] and[0] starship[0] troopers[0] and[0] some[0] incredibly[0] bad[-1][-2 LastWordBoosterStrength] films[0] showgirls[0] total[0] recall[0] but[0] he[0] has[0] never[0] made[0] anything[0] that[0] was[0] great[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in a way " hollow man " fits perfectly in this collection . 	in a way " hollow man " fits perfectly in this collection .	2	-2	 in[0] a[0] way[0] hollow[-1] man[0] fits[0] perfectly[1] in[0] this[0] collection[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not better or worse than verhoven's average film . 	it's not better or worse than verhoven's average film .	1	-3	 it's[0] not[0] better[0] or[0] worse[-2] than[0] verhoven's[0] average[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he proves once again that he is incapable of handling more complex issues . 	he proves once again that he is incapable of handling more complex issues .	1	-2	 he[0] proves[0] once[0] again[0] that[0] he[0] is[0] incapable[-1] of[0] handling[0] more[0] complex[0] issues[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and so , instead of depth and chills , verhoven inserts some of his trademarks : stupid dialogue , and lot's of dull action with blood and naked bodies . 	and so , instead of depth and chills , verhoven inserts some of his trademarks : stupid dialogue , and lot's of dull action with blood and naked bodies .	1	-2	 and[0] so[0] instead[0] of[0] depth[0] and[0] chills[0] verhoven[0] inserts[0] some[0] of[0] his[0] trademarks[0] stupid[-1] dialogue[0] and[0] lot's[0] of[0] dull[-1] action[0] with[0] blood[0] and[0] naked[0] bodies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he even throws in some of the worst of film clich ? s - the slowly advancing fireball , the villain who comes back from the dead , etc , etc . - and tops the whole thing off with one of the most ridiculous endings of the year ( you'll be screaming " nooooo ! " 	he even throws in some of the worst of film clich ?<br> s - the slowly advancing fireball , the villain who comes back from the dead , etc , etc .<br> - and tops the whole thing off with one of the most ridiculous endings of the year ( you'll be screaming " no !<br> "	2	-4	 he[0] even[0] throws[0] in[0] some[0] of[0] the[0] worst[-2] of[0] film[0] clich[0] [[Sentence=-3,1=word max, 1-5]] s[0] the[0] slowly[0] advancing[0] fireball[0] the[0] villain[-2] who[0] comes[0] back[0] from[0] the[0] dead[-2] etc[0] etc[0] [[Sentence=-3,1=word max, 1-5]] and[0] tops[0] the[0] whole[0] thing[0] off[0] with[0] one[0] of[0] the[0] most[0] ridiculous[-2] endings[0] of[0] the[0] year[0] you'll[0] be[0] screaming[-3] nooooo/no[0][+0.6 MultipleLetters] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and attempt to run towards the exit in slow motion ) . 	and attempt to run towards the exit in slow motion ) .	1	-2	 and[0] attempt[0] to[0] run[0] towards[0] the[0] exit[-1] in[0] slow[0] motion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and all we can ask is why ? 	and all we can ask is why ?	1	-1	 and[0] all[0] we[0] can[0] ask[0] is[0] why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the answer is simple . 	the answer is simple .	1	-1	 the[0] answer[0] is[0] simple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though hollywood is a movie producing machine , the business of moviemaking has to be about something more than money . 	though hollywood is a movie producing machine , the business of moviemaking has to be about something more than money .	1	-1	 though[0] hollywood[0] is[0] a[0] movie[0] producing[0] machine[0] the[0] business[0] of[0] moviemaking[0] has[0] to[0] be[0] about[0] something[0] more[0] than[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has to be about telling stories , not marketing them . 	it has to be about telling stories , not marketing them .	1	-1	 it[0] has[0] to[0] be[0] about[0] telling[0] stories[0] not[0] marketing[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it has to be about transporting us to a different place , to dazzle us with magic and cleverness . 	it has to be about transporting us to a different place , to dazle us with magic and cleverness .	1	-1	 it[0] has[0] to[0] be[0] about[0] transporting[0] us[0] to[0] a[0] different[0] place[0] to[0] dazzle/dazle[0] us[0] with[0] magic[0] and[0] cleverness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to make us care , to make us think and feel . 	to make us care , to make us think and feel .	2	-1	 to[0] make[0] us[0] care[1] to[0] make[0] us[0] think[0] and[0] feel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
verhoven has obviously missed that point and this film is a proof of that . 	verhoven has obviously missed that point and this film is a proof of that .	1	-2	 verhoven[0] has[0] obviously[0] missed[-1] that[0] point[0] and[0] this[0] film[0] is[0] a[0] proof[0] of[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's all flesh and bones , but no soul . 	it's all flesh and bones , but no soul .	1	-1	 it's[0] all[0] flesh[0] and[0] bones[0] but[0] no[0] soul[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a void where its imagination should be . 	a void where its imagination should be .	1	-2	 a[0] void[-1] where[0] its[0] imagination[0] should[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
