the kids in the hall are an acquired taste . 	Translation	Positive	Negative	EmotionRationale
the ensuing distribution of the new happy pill throughout the populace drives the rest of the film . 	the ensuing distribution of the new happy pill throughout the populace drives the rest of the film .	2	-1	 the[0] ensuing[0] distribution[0] of[0] the[0] new[0] happy[1] pill[0] throughout[0] the[0] populace[0] drives[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at about 90 minutes , brain candy still seems long . 	at about 90 minutes , brain candy still seems long .	1	-1	 at[0] about[0] 90[0] minutes[0] brain[0] candy[0] still[0] seems[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best thing about sketch comedy--and the kids are no exception--is the ability to quickly deliver the laughs , then go on to another quick skit . 	the best thing about sketch comedy-and the kids are no exception-is the ability to quickly deliver the laughs , then go on to another quick skit .	2	-1	 the[0] best[1] thing[0] about[0] sketch[0] comedy[0] and[0] the[0] kids[0] are[0] no[0] exception[0] is[0] the[0] ability[0] to[0] quickly[0] deliver[0] the[0] laughs[1] then[0] go[0] on[0] to[0] another[0] quick[0] skit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but with the additional set-up necessary in telling a longer , coherent story , the laughs just dont come fast enough . 	but with the additional set-up necessary in telling a longer , coherent story , the laughs just dont come fast enough .	2	-1	 but[0] with[0] the[0] additional[0] set[0] up[0] necessary[0] in[0] telling[0] a[0] longer[0] coherent[0] story[0] the[0] laughs[1] just[0] dont[0] come[0] fast[0] enough[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
strangely , the show is even more tame than it was when on cable tv . 	strangely , the show is even more tame than it was when on cable tv .	1	-1	 strangely[0] the[0] show[0] is[0] even[0] more[0] tame[0] than[0] it[0] was[0] when[0] on[0] cable[0] tv[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie makes several attempts at risqueness--mostly by pointing up the gayness of one of scott thompsons characters--but they seem almost forced ; as if they have to live up to a pg rating . 	the movie makes several attempts at risqueness-mostly by pointing up the gayness of one of scot thompsons characters-but they seem almost forced ; as if they have to live up to a pg rating .	1	-1	 the[0] movie[0] makes[0] several[0] attempts[0] at[0] risqueness[0] mostly[0] by[0] pointing[0] up[0] the[0] gayness[0] of[0] one[0] of[0] scott/scot[0] thompsons[0] characters[0] but[0] they[0] seem[0] almost[0] forced[0] as[0] if[0] they[0] have[0] to[0] live[0] up[0] to[0] a[0] pg[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the best bits , though , does make use of thompsons naked buttocks ; we see him charging into battle--going to have sex with some guys taking a shower . 	one of the best bits , though , does make use of thompsons naked buttocks ; we see him charging into battle-going to have sex with some guys taking a shower .	2	-2	 one[0] of[0] the[0] best[1] bits[0] though[0] does[0] make[0] use[0] of[0] thompsons[0] naked[0] buttocks[0] we[0] see[0] him[0] charging[0] into[0] battle[-1] going[0] to[0] have[0] sex[0] with[0] some[0] guys[0] taking[0] a[0] shower[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in the classic of this genre , monty python pulled off this delicate balancing act between plot advancement and punchline delivery for most of the holy grail . 	in the classic of this genre , monty python pulled off this delicate balancing act between plot advancement and punchline delivery for most of the holy grail .	1	-2	 in[0] the[0] classic[0] of[0] this[0] genre[0] monty[0] python[0] pulled[0] off[0] this[0] delicate[0] balancing[0] act[0] between[0] plot[0] advancement[0] and[0] punchline[-1] delivery[0] for[0] most[0] of[0] the[0] holy[0] grail[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the kids , unfortunately , are not up to the task . 	the kids , unfortunately , are not up to the task .	1	-2	 the[0] kids[0] unfortunately[-1] are[0] not[0] up[0] to[0] the[0] task[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are some amusing moments , to be sure , but not enough to make the experience an enjoyable one . 	there are some amusing moments , to be sure , but not enough to make the experience an enjoyable one .	3	-1	 there[0] are[0] some[0] amusing[1][-1 LastWordBoosterStrength] moments[0] to[0] be[0] sure[0] but[0] not[0] enough[0] to[0] make[0] the[0] experience[0] an[0] enjoyable[2] one[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
