i can't recall a previous film experience where the fairly good time i was having turned as sour as quickly as it did during feeling minnesota . 	Translation	Positive	Negative	EmotionRationale
the wedding sequence includes a number of nice moments , most notably the aforementioned bathroom scene in which a simple question is given a very funny spin . 	the wedding sequence includes a number of nice moments , most notably the aforementioned bathroom scene in which a simple question is given a very funny spin .	3	-1	 the[0] wedding[0] sequence[0] includes[0] a[0] number[0] of[0] nice[1] moments[0] most[0] notably[0] the[0] aforementioned[0] bathroom[0] scene[0] in[0] which[0] a[0] simple[0] question[0] is[0] given[0] a[0] very[0] funny[1][1 LastWordBoosterStrength] spin[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
most important , baigelman begins to establish the connection between freddie and jjaks with humor and economy , as in a scene where they both spontaneously begin singing along to the replacements' " i will dare " on the car radio . 	most important , baigelman begins to establish the connection between freddie and jaks with humor and economy , as in a scene where they both spontaneously begin singing along to the replacements' " i will dare " on the car radio .	3	-1	 most[0] important[0] baigelman[0] begins[0] to[0] establish[0] the[0] connection[0] between[0] freddie[0] and[0] jjaks/jaks[0] with[0] humor[2] and[0] economy[0] as[0] in[0] a[0] scene[0] where[0] they[0] both[0] spontaneously[0] begin[0] singing[0] along[0] to[0] the[0] replacements'[0] i[0] will[0] dare[0] on[0] the[0] car[0] radio[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you would have every reason to expect that relationships -- both familial and romantic -- would be the focal point of feeling minnesota . 	you would have every reason to expect that relationships - both familial and romantic - would be the focal point of feeling minnesota .	4	-1	 you[0] would[0] have[0] every[0] reason[0] to[0] expect[0] that[0] relationships[0] both[0] familial[0] and[0] romantic[3] would[0] be[0] the[0] focal[0] point[0] of[0] feeling[0] minnesota[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
unfortunately , you would be dead wrong . 	unfortunately , you would be dead wrong .	1	-3	 unfortunately[-1] you[0] would[0] be[0] dead[-2] wrong[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i suppose i should have expected daisies and valentines after an early scene in which red threatens freddie as she tries to avoid the wedding , but i certainly didn't expect what i got . 	i suppose i should have expected daisies and valentines after an early scene in which red threatens freddie as she tries to avoid the wedding , but i certainly didn't expect what i got .	1	-3	 i[0] suppose[0] i[0] should[0] have[0] expected[0] daisies[0] and[0] valentines[0] after[0] an[0] early[0] scene[0] in[0] which[0] red[0] threatens[-2] freddie[0] as[0] she[0] tries[0] to[0] avoid[-1] the[0] wedding[0] but[0] i[0] certainly[0] didn't[0] expect[0] what[0] i[0] got[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what i got was yet another in a long line of recent films trying to ride the tarantino wave by mixing gags and brutality , or rather creating gags about brutality . 	what i got was yet another in a long line of recent films trying to ride the tarantino wave by mixing gags and brutality , or rather creating gags about brutality .	1	-3	 what[0] i[0] got[0] was[0] yet[0] another[0] in[0] a[0] long[0] line[0] of[0] recent[0] films[0] trying[0] to[0] ride[0] the[0] tarantino[0] wave[0] by[0] mixing[0] gags[0] and[0] brutality[-2] or[0] rather[0] creating[0] gags[0] about[0] brutality[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
suddenly , the story of romantic entanglements and family conflict becomes a story about a corpse , and everything which had come before degenerates so completely that virtually nothing is recognizable . 	suddenly , the story of romantic entanglements and family conflict becomes a story about a corpse , and everything which had come before degenerates so completely that virtually nothing is recognizable .	4	-2	 suddenly[0] the[0] story[0] of[0] romantic[3] entanglements[-1] and[0] family[0] conflict[-1] becomes[0] a[0] story[0] about[0] a[0] corpse[0] and[0] everything[0] which[0] had[0] come[0] before[0] degenerates[-1] so[0] completely[0] that[0] virtually[0] nothing[0] is[0] recognizable[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the sibling rivalry not only becomes little more than an excuse for one round of beatings after another , but there is no consistency to the characterizations . 	the sibling rivalry not only becomes little more than an excuse for one round of beatings after another , but there is no consistency to the characterizations .	1	-3	 the[0] sibling[0] rivalry[-1] not[0] only[0] becomes[0] little[0] more[0] than[0] an[0] excuse[0] for[0] one[0] round[0] of[0] beatings[-2] after[0] another[0] but[0] there[0] is[0] no[0] consistency[0] to[0] the[0] characterizations[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
vincent d'onofrio turns in a manic performance as sam , whose jealousy , competitiveness and apparent sense of inferiority seem far more in keeping with what we know about jjaks , while reeves turns into a framed hero too reminiscent of chain reaction , and both of them spend most of the second half of the film screaming and covered in blood . 	vincent d'onofrio turns in a manic performance as sam , whose jealousy , competitiveness and apparent sense of inferiority seem far more in keeping with what we know about jaks , while reeves turns into a framed hero too reminiscent of chain reaction , and both of them spend most of the second half of the film screaming and covered in blood .	3	-4	 vincent[0] d'onofrio[0] turns[0] in[0] a[0] manic[0] performance[0] as[0] sam[0] whose[0] jealousy[-2] competitiveness[0] and[0] apparent[0] sense[0] of[0] inferiority[-1] seem[0] far[0] more[0] in[0] keeping[0] with[0] what[0] we[0] know[0] about[0] jjaks/jaks[0] while[0] reeves[0] turns[0] into[0] a[0] framed[0] hero[2] too[0] reminiscent[0] of[0] chain[0] reaction[0] and[0] both[0] of[0] them[0] spend[0] most[0] of[0] the[0] second[0] half[0] of[0] the[0] film[0] screaming[-3] and[0] covered[0] in[0] blood[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there are films which have managed to employ a radical shift in tone successfully ( jonathan demme's something wild and neil jordan's the crying game come to mind ) , but they didn't try to draw an audience with the promise of relatively innocuous entertainment . 	there are films which have managed to employ a radical shift in tone successfully ( jonathan demme's something wild and neil jordan's the crying game come to mind ) , but they didn't try to draw an audience with the promise of relatively innocuous entertainment .	3	-4	 there[0] are[0] films[0] which[0] have[0] managed[0] to[0] employ[0] a[0] radical[-1] shift[0] in[0] tone[0] successfully[2] jonathan[0] demme's[0] something[0] wild[0] and[0] neil[0] jordan's[0] the[0] crying[-3] game[0] come[0] to[0] mind[0] but[0] they[0] didn't[0] try[0] to[0] draw[0] an[0] audience[0] with[0] the[0] promise[1] of[0] relatively[0] innocuous[0] entertainment[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i don't want to dismiss baigelman's successes out of hand -- he gets a fun performance out of dan aykroyd as a crooked cop , and some well-crafted comic moments -- and it is not his fault that fine line has chosen to promote feeling minnesota as a light-hearted caper . 	i don't want to dismiss baigelman's successes out of hand - he gets a fun performance out of dan aykroyd as a crooked cop , and some well-crafted comic moments - and it is not his fault that fine line has chosen to promote feeling minnesota as a light-hearted caper .	3	-2	 i[0] don't[0] want[0] to[0] dismiss[-1] baigelman's[0] successes[2] out[0] of[0] hand[0] he[0] gets[0] a[0] fun[1] performance[0] out[0] of[0] dan[0] aykroyd[0] as[0] a[0] crooked[-1] cop[0] and[0] some[0] well[0] crafted[0] comic[0] moments[0] and[0] it[0] is[0] not[0] his[0] fault[-1][NegatedDueToPreviousWord] that[0] fine[2] line[0] has[0] chosen[0] to[0] promote[0] feeling[0] minnesota[0] as[0] a[0] light[0] hearted[0] caper[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it _is_ his fault that he violates his own characters for the sake of shock value , and that he can't make his two halves into a whole . 	it _is_ his fault that he violates his own characters for the sake of shock value , and that he can't make his two halves into a whole .	2	-3	 it[0] _is_[0] his[0] fault[-1] that[0] he[0] violates[-2] his[0] own[0] characters[0] for[0] the[0] sake[0] of[0] shock[-2] value[1] and[0] that[0] he[0] can't[0] make[0] his[0] two[0] halves[0] into[0] a[0] whole[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
feeling minnesota left me feeling used , and there's not much funny about that . 	feeling minnesota left me feeling used , and there's not much funny about that .	1	-2	 feeling[0] minnesota[0] left[0] me[0] feeling[0] used[0] and[0] there's[0] not[0] much[0] funny[1][NegatedDueToPreviousWord] about[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
