the great actor james woods once said ( and i'm paraphrasing ) , " if sex isn't messy , then you're not doing it right " . 	Translation	Positive	Negative	EmotionRationale
allow me to present you with the real fault of the mad slasher film : the lack of enthusiastic exploitation . 	allow me to present you with the real fault of the mad slasher film : the lack of enthusiastic exploitation .	3	-2	 allow[0] me[0] to[0] present[0] you[0] with[0] the[0] real[0] fault[-1] of[0] the[0] mad[-1] slasher[-1] film[0] the[0] lack[-1] of[0] enthusiastic[2] exploitation[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
these flicks aren't harnessed with any lofty aspirations , so why not break free and give your audience a bloody good time ? 	these flicks aren't harnessed with any lofty aspirations , so why not break free and give your audience a bloody good time ?	2	-2	 these[0] flicks[0] aren't[0] harnessed[0] with[0] any[0] lofty[0] aspirations[0] so[0] why[0] not[0] break[0] free[0] and[0] give[0] your[0] audience[0] a[0] bloody[-1] good[1] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sadly out of the literally hundreds made , i would estimate that maybe three are at all worth while . 	sadly out of the literally hundreds made , i would estimate that maybe three are at all worth while .	1	-2	 sadly[-1] out[0] of[0] the[0] literally[0] hundreds[0] made[0] i[0] would[0] estimate[0] that[0] maybe[0] three[0] are[0] at[0] all[0] worth[0] while[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and urban legend would certainly not be included amongst those three . 	and urban legend would certainly not be included amongst those three .	1	-1	 and[0] urban[0] legend[0] would[0] certainly[0] not[0] be[0] included[0] amongst[0] those[0] three[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite its considerable production value and the absence of any boom mics slipping into frame , it is just as awful as any no budget entry in the slasher sweepstakes . 	despite its considerable production value and the absence of any boom mics slipping into frame , it is just as awful as any no budget entry in the slasher sweepstakes .	2	-4	 despite[0] its[0] considerable[0] production[0] value[1] and[0] the[0] absence[-1] of[0] any[0] boom[0] mics[0] slipping[0] into[0] frame[0] it[0] is[0] just[0] as[0] awful[-3] as[0] any[0] no[0] budget[0] entry[0] in[0] the[0] slasher[-1] sweepstakes[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as far as the possibility of some good natured exploitation urban legend's setting alone offers a myriad of promising possibilities : it takes place on a college campus , which is always an appropriate playground for the crazed killer . 	as far as the possibility of some good natured exploitation urban legend's setting alone offers a myriad of promising possibilities : it takes place on a college campus , which is always an appropriate playground for the crazed killer .	2	-2	 as[0] far[0] as[0] the[0] possibility[0] of[0] some[0] good[1][-1 LastWordBoosterStrength] natured[0] exploitation[0] urban[0] legend's[0] setting[0] alone[0] offers[0] a[0] myriad[0] of[0] promising[1] possibilities[0] it[0] takes[0] place[0] on[0] a[0] college[0] campus[0] which[0] is[0] always[0] an[0] appropriate[0] playground[0] for[0] the[0] crazed[0] killer[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you see , the campus is a community made up almost entirely of young people all in the midst of strange hormonal surges percolating beneath the surface . 	you see , the campus is a community made up almost entirely of young people all in the midst of strange hormonal surges percolating beneath the surface .	1	-1	 you[0] see[0] the[0] campus[0] is[0] a[0] community[0] made[0] up[0] almost[0] entirely[0] of[0] young[0] people[0] all[0] in[0] the[0] midst[0] of[0] strange[0] hormonal[0] surges[0] percolating[0] beneath[0] the[0] surface[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all those young people are growing up together , going through all kinds of inexplicable emotional highs and lows , so naturally some weirdness is expected . 	all those young people are growing up together , going through all kinds of inexplicable emotional highs and lows , so naturally some weirdness is expected .	1	-2	 all[0] those[0] young[0] people[0] are[0] growing[0] up[0] together[0] going[0] through[0] all[0] kinds[0] of[0] inexplicable[-1] emotional[-1] highs[0] and[0] lows[-1] so[0] naturally[0] some[0] weirdness[-1][--1 LastWordBoosterStrength] is[0] expected[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all the better for that elusive crazed killer . 	all the better for that elusive crazed killer .	1	-2	 all[0] the[0] better[0] for[0] that[0] elusive[0] crazed[0] killer[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
coupled with the copious amounts of scantily clad coeds running around , and the introduction of a little exploitation into the proceedings should be a relatively easy task . 	coupled with the copious amounts of scantily clad coeds running around , and the introduction of a little exploitation into the proceedings should be a relatively easy task .	1	-1	 coupled[0] with[0] the[0] copious[0] amounts[0] of[0] scantily[0] clad[0] coeds[0] running[0] around[0] and[0] the[0] introduction[0] of[0] a[0] little[0] exploitation[0] into[0] the[0] proceedings[0] should[0] be[0] a[0] relatively[0] easy[0] task[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but alas , urban legend is not only idiotic and clich ? ? full ; it's way too clean , a slasher flick for the whole family with no nudity , little gore , and much stupidity . 	but alas , urban legend is not only idiotic and clich ?<br> ?<br> full ; it's way too clean , a slasher flick for the whole family with no nudity , little gore , and much stupidity .	3	-2	 but[0] alas[-1] urban[0] legend[0] is[0] not[0] only[0] idiotic[-2][NegatedDueToPreviousWord] and[0] clich[0] [[Sentence=-2,3=word max, 1-5]] full[0] it's[0] way[0] too[0] clean[0] a[0] slasher[-1] flick[0] for[0] the[0] whole[0] family[0] with[0] no[0] nudity[0] little[0] gore[0] and[0] much[0] stupidity[-1] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
this is the kind of movie where the killer drags dead victims from the scene of the crime for no reason other than , i dunno , exercise . 	this is the kind of movie where the killer drags dead victims from the scene of the crime for no reason other than , i dunno , exercise .	2	-4	 this[0] is[0] the[0] kind[1] of[0] movie[0] where[0] the[0] killer[-1] drags[0] dead[-2] victims[-2][-1 MultiplePositiveWords] from[0] the[0] scene[0] of[0] the[0] crime[-1] for[0] no[0] reason[0] other[0] than[0] i[0] dunno[0] exercise[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's the kind of movie where the villain calmly purses a running-like-the-wind-prey , yet still manages to catch that prey through some really awful editing techniques . 	it's the kind of movie where the villain calmly purses a running-like-the-wind-prey , yet still manages to catch that prey through some really awful editing techniques .	2	-5	 it's[0] the[0] kind[1] of[0] movie[0] where[0] the[0] villain[-2] calmly[1] purses[0] a[0] running[0] like[1] the[0] wind[0] prey[0] yet[0] still[0] manages[0] to[0] catch[0] that[0] prey[0] through[0] some[0] really[0] awful[-3][-1 LastWordBoosterStrength] editing[0] techniques[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
it's the kind of movie where characters run into each other just as a loud clash reverberates on the soundtrack . 	it's the kind of movie where characters run into each other just as a loud clash reverberates on the soundtrack .	2	-2	 it's[0] the[0] kind[1] of[0] movie[0] where[0] characters[0] run[0] into[0] each[0] other[0] just[0] as[0] a[0] loud[0] clash[-1] reverberates[0] on[0] the[0] soundtrack[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i really wish filmmakers would just retire that whole loud-noise-jump-scare thing . 	i really wish filmmakers would just retire that whole loud-noise-jump-scare thing .	1	-4	 i[0] really[0] wish[0] filmmakers[0] would[0] just[0] retire[-1][--1 LastWordBoosterStrength] that[0] whole[0] loud[0] noise[0] jump[0] scare[-3] thing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
yes the audience jumps , momentarily frightened , but wouldn't anyone if a loud sonic boom suddenly infiltrated a quiet room . 	yes the audience jumps , momentarily frightened , but wouldn't anyone if a loud sonic boom suddenly infiltrated a quiet room .	1	-4	 yes[0] the[0] audience[0] jumps[0] momentarily[0] frightened[-3] but[0] wouldn't[0] anyone[0] if[0] a[0] loud[0] sonic[0] boom[0] suddenly[0] infiltrated[-1] a[0] quiet[0] room[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i lost all hope for the possibility of any genuine scares in urban legend about ten minutes in when i caught a glimpse of the killer . 	i lost all hope for the possibility of any genuine scares in urban legend about ten minutes in when i caught a glimpse of the killer .	3	-4	 i[0] lost[0] all[0] hope[2] for[0] the[0] possibility[0] of[0] any[0] genuine[0] scares[-3] in[0] urban[0] legend[0] about[0] ten[0] minutes[0] in[0] when[0] i[0] caught[0] a[0] glimpse[0] of[0] the[0] killer[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
apparently filmmakers are running out of creative ways to disguise their mad slashers . 	apparently filmmakers are running out of creative ways to disguise their mad slashers .	1	-2	 apparently[0] filmmakers[0] are[0] running[0] out[0] of[0] creative[0] ways[0] to[0] disguise[-1] their[0] mad[-1] slashers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in scream it was a ghost mask ( scary enough ) , in i know what you did last summer it was a fisher man's rain slicker ( in the middle of summer no less ) , and in urban legend the disguise sinks to the level of mel brooks parody : the villain wears an oversized parka with a fury hood ( ooh ? ? ? scary ) intended to conceal his/her identity . 	in scream it was a ghost mask ( scary enough ) , in i know what you did last summer it was a fisher man's rain slicker ( in the middle of summer no less ) , and in urban legend the disguise sinks to the level of mel brooks parody : the villain wears an oversized parka with a fury hood ( ooh ?<br> ?<br> ?<br> scary ) intended to conceal his/her identity .	1	-4	 in[0] scream[-3] it[0] was[0] a[0] ghost[0] mask[0] scary[-3] enough[0] in[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] it[0] was[0] a[0] fisher[0] man's[0] rain[0] slicker[0] in[0] the[0] middle[0] of[0] summer[0] no[0] less[0] and[0] in[0] urban[0] legend[0] the[0] disguise[-1] sinks[0] to[0] the[0] level[0] of[0] mel[0] brooks[0] parody[0] the[0] villain[-2] wears[0] an[0] oversized[0] parka[0] with[0] a[0] fury[-3] hood[0] ooh[0] [[Sentence=-4,1=word max, 1-5]] scary[-3] intended[0] to[0] conceal[-1] his/her[0] identity[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for urban legend 2 i humbly suggest a donald duck costume . 	for urban legend 2 i humbly suggest a donald duck costume .	1	-1	 for[0] urban[0] legend[0] 2[0] i[0] humbly[0] suggest[0] a[0] donald[0] duck[0] costume[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though i must admit , urban legend does have a winning premise for what could have been a somewhat entertaining exploitation film . 	though i must admit , urban legend does have a winning premise for what could have been a somewhat entertaining exploitation film .	2	-1	 though[0] i[0] must[0] admit[0] urban[0] legend[0] does[0] have[0] a[0] winning[1] premise[0] for[0] what[0] could[0] have[0] been[0] a[0] somewhat[0] entertaining[0] exploitation[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film's killer slices and dices comely college students to the tune of famous urban legends ( you know , like the babysitter gets threatening phone calls only to find that they're coming from inside the house ) . 	the film's killer slices and dices comely college students to the tune of famous urban legends ( you know , like the babysitter gets threatening phone calls only to find that they're coming from inside the house ) .	2	-3	 the[0] film's[0] killer[-1] slices[0] and[0] dices[0] comely[0] college[0] students[0] to[0] the[0] tune[0] of[0] famous[0] urban[0] legends[0] you[0] know[0] like[1] the[0] babysitter[0] gets[0] threatening[-2] phone[0] calls[0] only[0] to[0] find[0] that[0] they're[0] coming[0] from[0] inside[0] the[0] house[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i won't spoil the surprise as to what urban legends are used , after all the film does offer fine 2 : 00 am cable viewing if you happen to be intoxicated enough . 	i won't spoil the surprise as to what urban legends are used , after all the film does offer fine 2 : 00 am cable viewing if you happen to be intoxicated enough .	3	-2	 i[0] won't[0] spoil[-1][NegatedDueToPreviousWord] the[0] surprise[0] as[0] to[0] what[0] urban[0] legends[0] are[0] used[0] after[0] all[0] the[0] film[0] does[0] offer[0] fine[2] 2[0] 00[0] am[0] cable[0] viewing[0] if[0] you[0] happen[0] to[0] be[0] intoxicated[-1] enough[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sad to say , it doesn't include my favorite urban legend : a fairly graphic antidote concerning richard gere and a very unhappy gerbil . 	sad to say , it doesn't include my favorite urban legend : a fairly graphic antidote concerning richard gere and a very unhappy gerbil .	2	-4	 sad[-3] to[0] say[0] it[0] doesn't[0] include[0] my[0] favorite[1] urban[0] legend[0] a[0] fairly[0] graphic[0] antidote[0] concerning[-1] richard[0] gere[0] and[0] a[0] very[0] unhappy[-2][-1 LastWordBoosterStrength] gerbil[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
now that would be scary . 	now that would be scary .	1	-4	 now[0] that[0] would[0] be[0] scary[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
before i leave you , i would like to bring to your attention the third most irritating thing about the film ( the first being the lack of craft , the second the lack of exploitation ) -- its characters , all of whom are just about the most annoying group of people i've ever spent an evening with . 	before i leave you , i would like to bring to your attention the third most irritating thing about the film ( the first being the lack of craft , the second the lack of exploitation ) - its characters , all of whom are just about the most annoying group of people i've ever spent an evening with .	1	-3	 before[0] i[0] leave[0] you[0] i[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] bring[0] to[0] your[0] attention[0] the[0] third[0] most[0] irritating[-2] thing[0] about[0] the[0] film[0] the[0] first[0] being[0] the[0] lack[-1] of[0] craft[0] the[0] second[0] the[0] lack[-1] of[0] exploitation[0] its[0] characters[0] all[0] of[0] whom[0] are[0] just[0] about[0] the[0] most[0] annoying[-2] group[0] of[0] people[0] i've[0] ever[0] spent[0] an[0] evening[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
only jared leto ( looking like a carbon copy of rob lowe from back in the day ) and alicia witt , as the resilient heroine , avoid vexatiousness . 	only jared leto ( looking like a carbon copy of rob lowe from back in the day ) and alicia wit , as the resilient heroine , avoid vexatiousness .	3	-3	 only[0] jared[0] leto[0] looking[0] like[1] a[0] carbon[0] copy[0] of[0] rob[0] lowe[-1] from[0] back[0] in[0] the[0] day[0] and[0] alicia[0] witt/wit[0] as[0] the[0] resilient[0] heroine[2] avoid[-1] vexatiousness[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the most annoying of the bunch is a tie between noxima girl rebecca gayheart and sitcom star michael rosenbaum , as a supremely irritating lout ( so irritating i actually cheered his painful death , and i am not a cruel person ) . 	the most annoying of the bunch is a tie between noxima girl rebecca gayheart and sitcom star michael rosenbaum , as a supremely irritating lout ( so irritating i actually cheered his painful death , and i am not a cruel person ) .	4	-4	 the[0] most[0] annoying[-2] of[0] the[0] bunch[0] is[0] a[0] tie[0] between[0] noxima[0] girl[0] rebecca[0] gayheart[0] and[0] sitcom[0] star[0] michael[0] rosenbaum[0] as[0] a[0] supremely[2] irritating[-2] lout[0] so[0] irritating[-2] i[0] actually[0] cheered[1] his[0] painful[-3] death[-2][-1 MultiplePositiveWords] and[0] i[0] am[0] not[0] a[0] cruel[-3][NegatedDueToPreviousWord] person[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
ironically those aggravating sacks of human waste provide the only entertainment in the film ; if viewed as a vicarious fantasy urban legend can be mildly entertaining . 	ironically those aggravating sacks of human waste provide the only entertainment in the film ; if viewed as a vicarious fantasy urban legend can be mildly entertaining .	1	-3	 ironically[-1] those[0] aggravating[-2] sacks[0] of[0] human[0] waste[-1] provide[0] the[0] only[0] entertainment[0] in[0] the[0] film[0] if[0] viewed[0] as[0] a[0] vicarious[0] fantasy[0] urban[0] legend[0] can[0] be[0] mildly[0] entertaining[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after all this is a movie that features the kind of faux hipsters i can't stand getting slaughtered , which is at least better than watching an entire film about people i can't stand not getting slaughtered . 	after all this is a movie that features the kind of faux hipsters i can't stand getting slaughtered , which is at least better than watching an entire film about people i can't stand not getting slaughtered .	2	-2	 after[0] all[0] this[0] is[0] a[0] movie[0] that[0] features[0] the[0] kind[1] of[0] faux[0] hipsters[0] i[0] can't[0] stand[0] getting[0] slaughtered[-1] which[0] is[0] at[0] least[0] better[0] than[0] watching[0] an[0] entire[0] film[0] about[0] people[0] i[0] can't[0] stand[0] not[0] getting[0] slaughtered[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
