delicatessen ( directors : marc caro/jean-pierre jeunet ; screenwriters : gilles adrien/marc caro ; cinematographer : darius khondji ; editor : herve schneid ; cast : dominique pinon ( louison ) , marie-laure dougnac ( julie clapet ) , jean-claude dreyfus ( clapet-the butcher ) , karin viard ( mademoiselle plusse ) , ticky holgado ( marcel tapioca ) , anne-marie pisani ( madame tapioca ) , jacques mathou ( roger ) , rufus ( robert kube ) , howard vernon ( frog man ) , edith ker ( granny ) , boban janevski ( young rascal ) , mikael todde ( young rascal ) , chick ortega ( postman ) , silvie laguna ( aurore interligator ) , howard vernon ( frog man ) ; runtime : 96 ; miramax/constellation/ugc/hatchette premiere ; 1991-france ) 	Translation	Positive	Negative	EmotionRationale
the entire film takes place in the shabby tenement , and the tenants are an odd lot of bizarre malcontents , who do not trust each other . 	the entire film takes place in the shabby tenement , and the tenants are an odd lot of bizarre malcontents , who do not trust each other .	1	-2	 the[0] entire[0] film[0] takes[0] place[0] in[0] the[0] shabby[-1] tenement[0] and[0] the[0] tenants[0] are[0] an[0] odd[0] lot[0] of[0] bizarre[-1] malcontents[0] who[0] do[0] not[0] trust[1][NegatedDueToPreviousWord] each[0] other[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are two youngsters ( boban janevski & mikael todde ) who do any kind of mischief they can . 	there are two youngsters ( boban janevski & mikael todde ) who do any kind of mischief they can .	2	-2	 there[0] are[0] two[0] youngsters[0] boban[0] janevski[0] &[0] mikael[0] todde[0] who[0] do[0] any[0] kind[1] of[0] mischief[-1] they[0] can[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a frog man ( howard vernon ) who lives with water on the floor so he can raise his frogs and snails that he eats . 	a frog man ( howard vernon ) who lives with water on the floor so he can raise his frogs and snails that he eats .	1	-1	 a[0] frog[0] man[0] howard[0] vernon[0] who[0] lives[0] with[0] water[0] on[0] the[0] floor[0] so[0] he[0] can[0] raise[0] his[0] frogs[0] and[0] snails[0] that[0] he[0] eats[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
two brothers ( mathou & kube ) who create little cow-moo novelty toys . 	two brothers ( mathou & kube ) who create little cow-moo novelty toys .	1	-1	 two[0] brothers[0] mathou[0] &[0] kube[0] who[0] create[0] little[0] cow[0] moo[0] novelty[0] toys[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a man ( holgado ) who sells a bullshit detector to the butcher for his piece of meat . 	a man ( holgado ) who sells a bullshit detector to the butcher for his piece of meat .	1	-3	 a[0] man[0] holgado[0] who[0] sells[0] a[0] bullshit[-2] detector[0] to[0] the[0] butcher[0] for[0] his[0] piece[0] of[0] meat[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a slutty woman ( karin viard ) , who lives with the butcher and only wants his meat . 	a slutty woman ( karin viard ) , who lives with the butcher and only wants his meat .	1	-3	 a[0] slutty[-2] woman[0] karin[0] viard[0] who[0] lives[0] with[0] the[0] butcher[0] and[0] only[0] wants[0] his[0] meat[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the aristocratic woman ( silvie laguna ) who tries numerous times to commit suicide but is too inept to do it right . 	the aristocratic woman ( silvie laguna ) who tries numerous times to commit suicide but is too inept to do it right .	1	-4	 the[0] aristocratic[0] woman[0] silvie[0] laguna[0] who[0] tries[0] numerous[0] times[0] to[0] commit[0] suicide[-3] but[0] is[0] too[0] inept[0] to[0] do[0] it[0] right[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the tenants are too afraid to come out at night because they know what the butcher is up to , so they are forced to communicate with each other through a pipe that runs through the building ( in one scene they are all in musical harmony to the lovemaking of the butcher and his gal , as their bedsprings squeak ) . 	the tenants are too afraid to come out at night because they know what the butcher is up to , so they are forced to communicate with each other through a pipe that runs through the building ( in one scene they are all in musical harmony to the lovemaking of the butcher and his get a life� , as their bedsprings squeak ) .	4	-4	 the[0] tenants[0] are[0] too[0] afraid[-3] to[0] come[0] out[0] at[0] night[0] because[0] they[0] know[0] what[0] the[0] butcher[0] is[0] up[0] to[0] so[0] they[0] are[0] forced[0] to[0] communicate[0] with[0] each[0] other[0] through[0] a[0] pipe[0] that[0] runs[0] through[0] the[0] building[0] in[0] one[0] scene[0] they[0] are[0] all[0] in[0] musical[0] harmony[1] to[0] the[0] lovemaking[3] of[0] the[0] butcher[0] and[0] his[0] gal[0] as[0] their[0] bedsprings[0] squeak[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
there is also a sex-crazed postman ( chick ortega ) , who lusts for the butcher's daughter and carries a gun while delivering the mail . 	there is also a sex-crazed postman ( chick ortega ) , who lusts for the butcher's daughter and carries a gun while delivering the mail .	1	-2	 there[0] is[0] also[0] a[0] sex[0] crazed[0] postman[0] chick[0] ortega[0] who[0] lusts[0] for[0] the[0] butcher's[0] daughter[0] and[0] carries[0] a[0] gun[-1] while[0] delivering[0] the[0] mail[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is also an underdeveloped subplot about a band of incompetent underground veggie fanatics , called trogolodistes , who have been summoned to rescue the clown and steal some grain . 	there is also an underdeveloped subplot about a band of incompetent underground veggie fanatics , called trogolodistes , who have been summoned to rescue the clown and steal some grain .	1	-3	 there[0] is[0] also[0] an[0] underdeveloped[0] subplot[0] about[0] a[0] band[0] of[0] incompetent[-2] underground[0] veggie[0] fanatics[-1] called[0] trogolodistes[0] who[0] have[0] been[0] summoned[0] to[0] rescue[0] the[0] clown[0] and[0] steal[-2] some[0] grain[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the directors overloaded the film with too many eccentrics , as the comedy seemed forced while the surreal look of the film added no dramatic intensity . 	the directors overloaded the film with too many eccentrics , as the comedy seemed forced while the surreal look of the film added no dramatic intensity .	1	-1	 the[0] directors[0] overloaded[0] the[0] film[0] with[0] too[0] many[0] eccentrics[0] as[0] the[0] comedy[0] seemed[0] forced[0] while[0] the[0] surreal[0] look[0] of[0] the[0] film[0] added[0] no[0] dramatic[0] intensity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
delicatessen could have some appeal to the cult film crowd who like their meat sliced thin , monty python fans , and those who liked terry gilliam's brazil , a film similar in spirit . 	delicatessen could have some appeal to the cult film crowd who like their meat sliced thin , monty python fans , and those who liked terry gilliam's brazil , a film similar in spirit .	3	-1	 delicatessen[0] could[0] have[0] some[0] appeal[0] to[0] the[0] cult[0] film[0] crowd[0] who[0] like[1] their[0] meat[0] sliced[0] thin[0] monty[0] python[0] fans[0] and[0] those[0] who[0] liked[2] terry[0] gilliam's[0] brazil[0] a[0] film[0] similar[0] in[0] spirit[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
