warner brothers ; rated pg-13 ( mild violence , sexual situations ) ; 132 minutes 	Translation	Positive	Negative	EmotionRationale
the letter , written to a mystery woman named catherine , instantly captivates her . 	the letter , written to a mystery woman named catherine , instantly captivates her .	1	-1	 the[0] letter[0] written[0] to[0] a[0] mystery[0] woman[0] named[0] catherine[0] instantly[0] captivates[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
upon her return , theresa shares it with her best friend lina ( illeana douglas ) , her boss charlie ( robbie coltrane ) , and the entire city of chicago ( the newspaper publishes an article about it ) . 	upon her return , theresa shares it with her best friend lina ( illeana douglas ) , her boss charlie ( robbie coltrane ) , and the entire city of chicago ( the newspaper publishes an article about it ) .	2	-1	 upon[0] her[0] return[0] theresa[0] shares[0] it[0] with[0] her[0] best[1] friend[1] lina[0] illeana[0] douglas[0] her[0] boss[0] charlie[0] robbie[0] coltrane[0] and[0] the[0] entire[0] city[0] of[0] chicago[0] the[0] newspaper[0] publishes[0] an[0] article[0] about[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it turns out that the message was written by grieving widower garret blake ( kevin costner ) and so theresa travels to north carolina and tracks him down . 	it turns out that the message was written by grieving widower garret blake ( kevin costner ) and so theresa travels to north carolina and tracks him down .	1	-4	 it[0] turns[0] out[0] that[0] the[0] message[0] was[0] written[0] by[0] grieving[-3] widower[0] garret[0] blake[0] kevin[0] costner[0] and[0] so[0] theresa[0] travels[0] to[0] north[0] carolina[0] and[0] tracks[0] him[0] down[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he turns out to have a colorful father ( paul newman ) but is otherwise perfectly dull and overly obsessed with sailing . 	he turns out to have a colorful father ( paul newman ) but is otherwise perfectly dull and overly obsessed with sailing .	2	-3	 he[0] turns[0] out[0] to[0] have[0] a[0] colorful[0] father[0] paul[0] newman[0] but[0] is[0] otherwise[0] perfectly[1] dull[-1] and[0] overly[0] obsessed[-2] with[0] sailing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is somehow attractive to theresa and the two begin their awkward courtship . 	this is somehow attractive to theresa and the two begin their awkward courtship .	2	-2	 this[0] is[0] somehow[0] attractive[1] to[0] theresa[0] and[0] the[0] two[0] begin[0] their[0] awkward[-1] courtship[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course she doesn't tell him that she found his letter , she wants to but the rules of this type of film require him to find out later ( preferably right after they first make love ) . 	of course she doesn't tell him that she found his letter , she wants to but the rules of this type of film require him to find out later ( preferably right after they first make love ) .	3	-1	 of[0] course[0] she[0] doesn't[0] tell[0] him[0] that[0] she[0] found[0] his[0] letter[0] she[0] wants[0] to[0] but[0] the[0] rules[0] of[0] this[0] type[0] of[0] film[0] require[0] him[0] to[0] find[0] out[0] later[0] preferably[0] right[0] after[0] they[0] first[0] make[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this way garret can get very angry and the relationship can be threatened . 	this way garret can get very angry and the relationship can be threatened .	1	-5	 this[0] way[0] garret[0] can[0] get[0] very[0] angry[-3][-1 LastWordBoosterStrength] and[0] the[0] relationship[0] can[0] be[0] threatened[-2] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the discovery of the message and garret's discovery that theresa discovered the message are really the only two noteworthy events that happen during the nearly two and a quarter hour running time of this film . 	the discovery of the message and garret's discovery that theresa discovered the message are really the only two noteworthy events that happen during the nearly two and a quarter hour running time of this film .	1	-1	 the[0] discovery[0] of[0] the[0] message[0] and[0] garret's[0] discovery[0] that[0] theresa[0] discovered[0] the[0] message[0] are[0] really[0] the[0] only[0] two[0] noteworthy[0] events[0] that[0] happen[0] during[0] the[0] nearly[0] two[0] and[0] a[0] quarter[0] hour[0] running[0] time[0] of[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a truly lame subplot about garret's relationship with his dead wife's family ( he gets into a bar fight with her brother , played by john savage ) and then the necessary tear-jerking ending . 	there's a truly lame subplot about garret's relationship with his dead wife's family ( he gets into a bar fight with her brother , played by john savage ) and then the necessary tear-jerking ending .	2	-3	 there's[0] a[0] truly[1] lame[-2] subplot[0] about[0] garret's[0] relationship[0] with[0] his[0] dead[-2] wife's[0] family[0] he[0] gets[0] into[0] a[0] bar[0] fight[-2] with[0] her[0] brother[0] played[0] by[0] john[0] savage[-2] and[0] then[0] the[0] necessary[0] tear[-1] jerking[0] ending[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a fun way to pass the time is to take bets on exactly who will die , although it becomes pretty clear by the second reel . 	a fun way to pass the time is to take bets on exactly who will die , although it becomes pretty clear by the second reel .	3	-1	 a[0] fun[1] way[0] to[0] pass[0] the[0] time[0] is[0] to[0] take[0] bets[0] on[0] exactly[0] who[0] will[0] die[0] although[0] it[0] becomes[0] pretty[2] clear[0] by[0] the[0] second[0] reel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the actual death sequence is one of the most ridiculously forced , and unintentionally humorous , sequences filmed since . . . 	the actual death sequence is one of the most ridiculously forced , and unintentionally humorous , sequences filmed since .<br> .<br> .	3	-3	 the[0] actual[0] death[-2] sequence[0] is[0] one[0] of[0] the[0] most[0] ridiculously[-2] forced[0] and[0] unintentionally[0] humorous[2] sequences[0] filmed[0] since[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
well , since costner's the postman ( 1997 ) . 	well , since costner's the postman ( 1997 ) .	1	-1	 well[0] since[0] costner's[0] the[0] postman[0] 1997[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
message in a bottle is one slow moving film . 	message in a bottle is one slow moving film .	1	-1	 message[0] in[0] a[0] bottle[0] is[0] one[0] slow[0] moving[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
last year audiences were offered endurance tests such as the horse whisperer and meet joe black but both of those films resemble jerry bruckheimer productions next to this . 	last year audiences were offered endurance tests such as the horse whisperer and meet joe black but both of those films resemble jerry bruckheimer productions next to this .	1	-1	 last[0] year[0] audiences[0] were[0] offered[0] endurance[0] tests[0] such[0] as[0] the[0] horse[0] whisperer[0] and[0] meet[0] joe[0] black[0] but[0] both[0] of[0] those[0] films[0] resemble[0] jerry[0] bruckheimer[0] productions[0] next[0] to[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they also had redeeming qualities in the form of quality performances and some stand out technical work . 	they also had redeeming qualities in the form of quality performances and some stand out technical work .	1	-1	 they[0] also[0] had[0] redeeming[0] qualities[0] in[0] the[0] form[0] of[0] quality[0] performances[0] and[0] some[0] stand[0] out[0] technical[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
message in a bottle has a decent enough cast but they're fighting the material all the way , and losing badly . 	message in a bottle has a decent enough cast but they're fighting the material all the way , and losing badly .	1	-3	 message[0] in[0] a[0] bottle[0] has[0] a[0] decent[0] enough[0] cast[0] but[0] they're[0] fighting[-2] the[0] material[0] all[0] the[0] way[0] and[0] losing[-2] badly[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
costner and , especially , wright-penn are both likable and attractive enough to cheer for but their characters are simply too boring . 	costner and , especially , wright-pen are both likable and attractive enough to cheer for but their characters are simply too boring .	2	-2	 costner[0] and[0] especially[0] wright[0] penn/pen[0] are[0] both[0] likable[0] and[0] attractive[1] enough[0] to[0] cheer[1] for[0] but[0] their[0] characters[0] are[0] simply[0] too[0] boring[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they also fail to generate any kind of real romantic chemistry . 	they also fail to generate any kind of real romantic chemistry .	4	-3	 they[0] also[0] fail[-2] to[0] generate[0] any[0] kind[1] of[0] real[0] romantic[3] chemistry[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the supporting players are given very little to do . 	the supporting players are given very little to do .	2	-1	 the[0] supporting[1] players[0] are[0] given[0] very[0] little[0] to[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the reliable douglas is particularly wasted . 	the reliable douglas is particularly wasted .	1	-2	 the[0] reliable[0] douglas[0] is[0] particularly[0] wasted[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
old pro newman gives his all and occasionally threatens to kick some life into this dead horse of a film . 	old pro newman gives his all and occasionally threatens to kick some life into this dead horse of a film .	1	-3	 old[0] pro[0] newman[0] gives[0] his[0] all[0] and[0] occasionally[0] threatens[-2] to[0] kick[-1] some[0] life[0] into[0] this[0] dead[-2] horse[0] of[0] a[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a confrontational scene he has with costner near the end is especially well played . 	a confrontational scene he has with costner near the end is especially well played .	1	-3	 a[0] confrontational[-2] scene[0] he[0] has[0] with[0] costner[0] near[0] the[0] end[0] is[0] especially[0] well[0] played[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , too frequently he just reminds us how unexciting our lead characters are . 	however , too frequently he just reminds us how unexciting our lead characters are .	1	-1	 however[0] too[0] frequently[0] he[0] just[0] reminds[0] us[0] how[0] unexciting[0] our[0] lead[0] characters[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is very polished on the technical side to be sure but it only works to undercut the story . 	the film is very polished on the technical side to be sure but it only works to undercut the story .	1	-1	 the[0] film[0] is[0] very[0] polished[0] on[0] the[0] technical[0] side[0] to[0] be[0] sure[0] but[0] it[0] only[0] works[0] to[0] undercut[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gabriel yared , who previously set the romantic moods of the english patient ( 1996 ) and city of angels ( 1998 ) with his scores , overdoes it a bit here . 	gabriel yared , who previously set the romantic moods of the english patient ( 1996 ) and city of angels ( 1998 ) with his scores , overdoes it a bit here .	4	-1	 gabriel[0] yared[0] who[0] previously[0] set[0] the[0] romantic[3] moods[0] of[0] the[0] english[0] patient[0] 1996[0] and[0] city[0] of[0] angels[0] 1998[0] with[0] his[0] scores[0] overdoes[0] it[0] a[0] bit[0] here[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
caleb deschanel's camera makes everything look a little too beautiful . 	caleb deschanel's camera makes everything look a little too beautiful .	3	-1	 caleb[0] deschanel's[0] camera[0] makes[0] everything[0] look[0] a[0] little[0] too[0] beautiful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
do the offices of the chicago tribune really need to look heavenly ? 	do the offices of the chicago tribune really need to look heavenly ?	2	-1	 do[0] the[0] offices[0] of[0] the[0] chicago[0] tribune[0] really[0] need[0] to[0] look[0] heavenly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the editing by steven weisberg is troubling not only considering all that could have been cut out but is also simply messy at times . 	the editing by steven weisberg is troubling not only considering all that could have been cut out but is also simply messy at times .	1	-2	 the[0] editing[0] by[0] steven[0] weisberg[0] is[0] troubling[-1] not[0] only[0] considering[0] all[0] that[0] could[0] have[0] been[0] cut[0] out[0] but[0] is[0] also[0] simply[0] messy[0] at[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the real offender here is screenwriter gerald di pego . 	the real offender here is screenwriter gerald di pego .	1	-2	 the[0] real[0] offender[-1] here[0] is[0] screenwriter[0] gerald[0] di[0] pego[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
working from a best- selling novel by nicholas sparks ( which i have not read but have been told is on the same literary level as the bridges of madison county ) , di pego creates one of the most uninspired scripts of recent times . 	working from a best- selling novel by nicholas sparks ( which i have not read but have been told is on the same literary level as the bridges of madison county ) , di pego creates one of the most uninspired scripts of recent times .	2	-1	 working[0] from[0] a[0] best[1] selling[0] novel[0] by[0] nicholas[0] sparks[0] which[0] i[0] have[0] not[0] read[0] but[0] have[0] been[0] told[0] is[0] on[0] the[0] same[0] literary[0] level[0] as[0] the[0] bridges[0] of[0] madison[0] county[0] di[0] pego[0] creates[0] one[0] of[0] the[0] most[0] uninspired[0] scripts[0] of[0] recent[0] times[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
its strict adherence to clich ? s brings to mind such disasters as i still know what you did last summer ( 1998 ) . 	its strict adherence to clich ?<br> s brings to mind such disasters as i still know what you did last summer ( 1998 ) .	1	-2	 its[0] strict[-1] adherence[0] to[0] clich[0] [[Sentence=-2,1=word max, 1-5]] s[0] brings[0] to[0] mind[0] such[0] disasters[-1] as[0] i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] 1998[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there simply isn't an original scene in this film . 	there simply isn't an original scene in this film .	1	-1	 there[0] simply[0] isn't[0] an[0] original[0] scene[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dialogue is rarely better than laughable and this is only accentuated by the excessively long pauses every character takes while speaking . 	the dialogue is rarely better than laughable and this is only accentuated by the excessively long pauses every character takes while speaking .	1	-2	 the[0] dialogue[0] is[0] rarely[0] better[0] than[0] laughable[-1] and[0] this[0] is[0] only[0] accentuated[0] by[0] the[0] excessively[-1] long[0] pauses[0] every[0] character[0] takes[0] while[0] speaking[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is director mandoki's first film since when a man loves a woman ( 1994 ) , the solid meg ryan/andy garcia romance . 	this is director mandoki's first film since when a man loves a woman ( 1994 ) , the solid meg ryan/andy garcia romance .	4	-1	 this[0] is[0] director[0] mandoki's[0] first[0] film[0] since[0] when[0] a[0] man[0] loves[2] a[0] woman[0] 1994[0] the[0] solid[0] meg[0] ryan/andy[0] garcia[0] romance[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he's simply going through the motions with this . 	he's simply going through the motions with this .	1	-1	 he's[0] simply[0] going[0] through[0] the[0] motions[0] with[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
message in a bottle is easily the worst of the several romantic offerings available in theaters at the moment and vies with what dreams may come ( 1998 ) as one of the most misguided romances of the decade . 	message in a bottle is easily the worst of the several romantic offerings available in theaters at the moment and vies with what dreams may come ( 1998 ) as one of the most misguided romances of the decade .	4	-3	 message[0] in[0] a[0] bottle[0] is[0] easily[0] the[0] worst[-2] of[0] the[0] several[0] romantic[3] offerings[0] available[0] in[0] theaters[0] at[0] the[0] moment[0] and[0] vies[0] with[0] what[0] dreams[0] may[0] come[0] 1998[0] as[0] one[0] of[0] the[0] most[0] misguided[0] romances[3] of[0] the[0] decade[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
