everyone knows that old rule , 'never work with children and animals . ' 	Translation	Positive	Negative	EmotionRationale
if it is , then the director and writers have made the wrong move , because this is perfectly suited to be an all out action fest . 	if it is , then the director and writers have made the wrong move , because this is perfectly suited to be an all out action fest .	2	-2	 if[0] it[0] is[0] then[0] the[0] director[0] and[0] writers[0] have[0] made[0] the[0] wrong[-1] move[0] because[0] this[0] is[0] perfectly[1] suited[0] to[0] be[0] an[0] all[0] out[0] action[0] fest[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the director , who bought us cronos , a far superior film , directs the film in a calm , and frankly dull movie . 	the director , who bought us cronos , a far superior film , directs the film in a calm , and frankly dull movie .	3	-2	 the[0] director[0] who[0] bought[0] us[0] cronos[0] a[0] far[0] superior[2] film[0] directs[0] the[0] film[0] in[0] a[0] calm[1] and[0] frankly[0] dull[-1] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are few exciting sequences , instead just a lot of people talking . 	there are few exciting sequences , instead just a lot of people talking .	3	-1	 there[0] are[0] few[0] exciting[2] sequences[0] instead[0] just[0] a[0] lot[0] of[0] people[0] talking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if the dialogue was intelligent , then it would be all right , but it's sadly babbling nonsense . 	if the dialogue was intelligent , then it would be all right , but it's sadly babbling nonsense .	2	-2	 if[0] the[0] dialogue[0] was[0] intelligent[1] then[0] it[0] would[0] be[0] all[0] right[0] but[0] it's[0] sadly[-1] babbling[0] nonsense[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , the script is embarrsingly weak , and the characterizations not much better . sorvino and company are as 2d as characters come , with the script not bothering to develop them . 	in fact , the script is embarrsingly weak , and the characterizations not much better .<br> sorvino and company are as 2d as characters come , with the script not bothering to develop them .	2	-2	 in[0] fact[0] the[0] script[0] is[0] embarrsingly[0] weak[-1] and[0] the[0] characterizations[0] not[0] much[0] better[0] [[Sentence=-2,1=word max, 1-5]] sorvino[0] and[0] company[0] are[0] as[0] 2d[0] as[0] characters[0] come[0] with[0] the[0] script[0] not[0] bothering[-1][NegatedDueToPreviousWord] to[0] develop[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is some action in this film , but it's directed in such an annoying way , it's just infuriating to watch . 	there is some action in this film , but it's directed in such an annoying way , it's just infuriating to watch .	1	-3	 there[0] is[0] some[0] action[0] in[0] this[0] film[0] but[0] it's[0] directed[0] in[0] such[0] an[0] annoying[-2] way[0] it's[0] just[0] infuriating[0] to[0] watch[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the camera cuts all over the place , disoreitating the audience , and instead of involving the audience in the action , it merely alienates them . 	the camera cuts all over the place , disoreitating the audience , and instead of involving the audience in the action , it merely alienates them .	1	-2	 the[0] camera[0] cuts[0] all[0] over[0] the[0] place[0] disoreitating[0] the[0] audience[0] and[0] instead[0] of[0] involving[0] the[0] audience[0] in[0] the[0] action[0] it[0] merely[0] alienates[-1] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the peformances are o . k , if slightly below average . 	the peformances are o .<br> k , if slightly below average .	1	-1	 the[0] peformances[0] are[0] o[0] [[Sentence=-1,1=word max, 1-5]] k[0] if[0] slightly[0] below[0] average[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sorvino is o . k , although she's not very good at conveying terror , or anything emotion really . 	sorvino is o .<br> k , although she's not very good at conveying terror , or anything emotion really .	1	-3	 sorvino[0] is[0] o[0] [[Sentence=-1,1=word max, 1-5]] k[0] although[0] she's[0] not[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] at[0] conveying[0] terror[-1] or[0] anything[0] emotion[0] really[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the supporting cast are all sterotypes , with characters such as a big black security guard with a foul mouth , a geeky scientist with spectacles , and what could be the most stereotypical mexican 'old timer' ever . 	the supporting cast are all sterotypes , with characters such as a big black security guard with a foul mouth , a geeky scientist with spectacles , and what could be the most stereotypical mexican 'old timer' ever .	2	-1	 the[0] supporting[1] cast[0] are[0] all[0] sterotypes[0] with[0] characters[0] such[0] as[0] a[0] big[0] black[0] security[1] guard[0] with[0] a[0] foul[0] mouth[0] a[0] geeky[0] scientist[0] with[0] spectacles[0] and[0] what[0] could[0] be[0] the[0] most[0] stereotypical[0] mexican[0] 'old[0] timer'[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their reasonable good fun , however . 	their reasonable good fun , however .	2	-1	 their[0] reasonable[0] good[1] fun[1] however[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mimic , then , may fail with it's story , pacing and characters , but the film does look good . 	mimic , then , may fail with it's story , pacing and characters , but the film does look good .	2	-2	 mimic[0] then[0] may[0] fail[-2][--1 LastWordBoosterStrength] with[0] it's[0] story[0] pacing[0] and[0] characters[0] but[0] the[0] film[0] does[0] look[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like dark city , mimic is a definite case of style of content . 	like dark city , mimic is a definite case of style of content .	2	-1	 like[1] dark[0] city[0] mimic[0] is[0] a[0] definite[0] case[0] of[0] style[0] of[0] content[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it may be a bit too gloomy for it's own good , but the sets look nice , and parts of the film are directed well . 	it may be a bit too gloomy for it's own good , but the sets look nice , and parts of the film are directed well .	2	-3	 it[0] may[0] be[0] a[0] bit[0] too[0] gloomy[-2] for[0] it's[0] own[0] good[1] but[0] the[0] sets[0] look[0] nice[1] and[0] parts[0] of[0] the[0] film[0] are[0] directed[0] well[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but looks aren't good enough to save mimic from the depths of mediocre , somewhere where it shouldn't really belong . 	but looks aren't good enough to save mimic from the depths of mediocre , somewhere where it shouldn't really belong .	2	-2	 but[0] looks[0] aren't[0] good[1][NegatedDueToPreviousWord] enough[0] to[0] save[1] mimic[0] from[0] the[0] depths[0] of[0] mediocre[-1] somewhere[0] where[0] it[0] shouldn't[0] really[0] belong[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a good opportunity , then , wasted . 	a good opportunity , then , wasted .	2	-2	 a[0] good[1] opportunity[0] then[0] wasted[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a shame . 	a shame .	1	-3	 a[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
overall rating  review by david wilcock ? 1998 	overall rating  review by david wilcock ?<br> 1998	1	-1	 overall[0] rating[0] review[0] by[0] david[0] wilcock[0] [[Sentence=-1,1=word max, 1-5]] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
