 " be gentle , " urges natasha henstridge to matthew perry in " the whole nine yards . " 	Translation	Positive	Negative	EmotionRationale
that might sound like a funny sight gag , but the problem is these films have long since lost sight of the fact that taking a human life isn't all that funny to begin with . 	that might sound like a funny sight gag , but the problem is these films have long since lost sight of the fact that taking a human life isn't all that funny to begin with .	2	-2	 that[0] might[0] sound[0] like[1] a[0] funny[1] sight[0] gag[0] but[0] the[0] problem[-1] is[0] these[0] films[0] have[0] long[0] since[0] lost[0] sight[0] of[0] the[0] fact[0] that[0] taking[0] a[0] human[0] life[0] isn't[0] all[0] that[0] funny[1] to[0] begin[0] with[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when the corpse is placed in a car , doused with gasoline , set ablaze and referred to as " barbecue , " it makes you wonder when all this playing killing for laughs is going to end . 	when the corpse is placed in a car , doused with gasoline , set ablaze and referred to as " barbecue , " it makes you wonder when all this playing killing for laughs is going to end .	2	-2	 when[0] the[0] corpse[0] is[0] placed[0] in[0] a[0] car[0] doused[0] with[0] gasoline[0] set[0] ablaze[0] and[0] referred[0] to[0] as[0] barbecue[0] it[0] makes[0] you[0] wonder[0] when[0] all[0] this[0] playing[1] killing[-1] for[0] laughs[1] is[0] going[0] to[0] end[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " the whole nine yards " is also offensive in so much as its three central female characters are portrayed as nothing more than sex objects . 	 " the whole nine yards " is also offensive in so much as its three central female characters are portrayed as nothing more than sex objects .	1	-3	 the[0] whole[0] nine[0] yards[0] is[0] also[0] offensive[-2] in[0] so[0] much[0] as[0] its[0] three[0] central[0] female[0] characters[0] are[0] portrayed[0] as[0] nothing[0] more[0] than[0] sex[0] objects[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rosanna arquette plays a slutty , chain-smoking french canadian who's married to matthew perry's none-too-successful dentist . 	rosanna arquette plays a slutty , chain-smoking french canadian who's married to matthew perry's none-too-successful dentist .	3	-3	 rosanna[0] arquette[0] plays[1] a[0] slutty[-2] chain[0] smoking[0] french[0] canadian[0] who's[0] married[0] to[0] matthew[0] perry's[0] none[0] too[0] successful[2] dentist[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's an unflattering role made all the more so by the unflattering outfits--and unflattering situations--into which arquette is thrust . 	it's an unflattering role made all the more so by the unflattering outfits-and unflattering situations-into which arquette is thrust .	1	-1	 it's[0] an[0] unflattering[0] role[0] made[0] all[0] the[0] more[0] so[0] by[0] the[0] unflattering[0] outfits[0] and[0] unflattering[0] situations[0] into[0] which[0] arquette[0] is[0] thrust[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there's natasha henstridge ( " species " i and ii ) who plays the well-to-do wife of contract killer bruce willis . 	then there's natasha henstridge ( " species " i and i ) who plays the well-to-do wife of contract killer bruce willis .	2	-2	 then[0] there's[0] natasha[0] henstridge[0] species[0] i[0] and[0] ii/i[0] who[0] plays[1] the[0] well[0] to[0] do[0] wife[0] of[0] contract[0] killer[-1] bruce[0] willis[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she gets involved with perry's character when he comes to chicago hoping to negotiate a finder's fee with mob boss yanni gogolack ( kevin pollack , transposing his vs with his ws ) after willis' jimmy the tulip tudeski moves in next door . 	she gets involved with perry's character when he comes to chicago hoping to negotiate a finder's fee with mob boss yanni gogolack ( kevin pollack , transposing his vs with his ws ) after willis' jimmy the tulip tudeski moves in next door .	2	-1	 she[0] gets[0] involved[0] with[0] perry's[0] character[0] when[0] he[0] comes[0] to[0] chicago[0] hoping[1] to[0] negotiate[0] a[0] finder's[0] fee[0] with[0] mob[0] boss[0] yanni[0] gogolack[0] kevin[0] pollack[0] transposing[0] his[0] vs[0] with[0] his[0] ws[0] after[0] willis'[0] jimmy[0] the[0] tulip[0] tudeski[0] moves[0] in[0] next[0] door[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
henstridge and perry's characters hitting it off is about as likely as bruce and demi getting back together . 	henstridge and perry's characters hitting it off is about as likely as bruce and demi getting back together .	1	-1	 henstridge[0] and[0] perry's[0] characters[0] hitting[0] it[0] off[0] is[0] about[0] as[0] likely[0] as[0] bruce[0] and[0] demi[0] getting[0] back[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perry might have the charm but he doesn't have the physical attributes of a traditional leading man , especially in close-up . 	perry might have the charm but he doesn't have the physical attributes of a traditional leading man , especially in close-up .	2	-1	 perry[0] might[0] have[0] the[0] charm[1] but[0] he[0] doesn't[0] have[0] the[0] physical[0] attributes[0] of[0] a[0] traditional[0] leading[0] man[0] especially[0] in[0] close[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most objectified of the bunch is amanda peet , who turns in a sexually-ripe performance as perry's dental assistant with , it transpires , questionable career goals . 	most objectified of the bunch is amanda pet , who turns in a sexually-ripe performance as perry's dental assistant with , it transpires , questionable career goals .	1	-2	 most[0] objectified[0] of[0] the[0] bunch[0] is[0] amanda[0] peet/pet[0] who[0] turns[0] in[0] a[0] sexually[0] ripe[0] performance[0] as[0] perry's[0] dental[-1] assistant[0] with[0] it[0] transpires[0] questionable[-1] career[0] goals[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
peet's gratuitous nude scene proves how low this movie will stoop to keep its audience from dropping off . 	peet's gratuitous nude scene proves how low this movie will stoop to keep its audience from dropping off .	1	-2	 peet's[0] gratuitous[-1] nude[0] scene[0] proves[0] how[0] low[-1] this[0] movie[0] will[0] stoop[0] to[0] keep[0] its[0] audience[0] from[0] dropping[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when " my cousin vinny " is the highpoint of a directorial career including such forgettable films as " clue , " " greedy , " and " sgt . 	when " my cousin vinny " is the highpoint of a directorial career including such forgettable films as " clue , " " greedy , " and " sgt .	1	-3	 when[0] my[0] cousin[0] vinny[0] is[0] the[0] highpoint[0] of[0] a[0] directorial[0] career[0] including[0] such[0] forgettable[0] films[0] as[0] clue[0] greedy[-2] and[0] sgt[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bilko , " you have to wonder if lynn chose the wrong career path . 	bilko , " you have to wonder if lyn chose the wrong career path .	1	-2	 bilko[0] you[0] have[0] to[0] wonder[0] if[0] lynn/lyn[0] chose[0] the[0] wrong[-1] career[0] path[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perry's pratfalling goofiness coupled with willis' likable hardness could have had some potential but with no script to work with , and a director who seems to be watching from the wings , their characters run out of gas quickly . 	perry's pratfalling goofiness coupled with willis' likable hardness could have had some potential but with no script to work with , and a director who seems to be watching from the wings , their characters run out of gas quickly .	1	-1	 perry's[0] pratfalling[0] goofiness[0] coupled[0] with[0] willis'[0] likable[0] hardness[0] could[0] have[0] had[0] some[0] potential[0] but[0] with[0] no[0] script[0] to[0] work[0] with[0] and[0] a[0] director[0] who[0] seems[0] to[0] be[0] watching[0] from[0] the[0] wings[0] their[0] characters[0] run[0] out[0] of[0] gas[0] quickly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
