1990s would remembered as the era of binary movie events in hollywood - two movies dealing with the same subject , or , to be precise , same " high concept " . 	Translation	Positive	Negative	EmotionRationale
screenplay by john bateer and john rice , barely touches the complicated issues of northern ireland , using the tragedy only as the cheap backstory for even cheaper drama . 	screenplay by john bateer and john rice , barely touches the complicated issues of northern ireland , using the tragedy only as the cheap backstory for even cheaper drama .	1	-3	 screenplay[0] by[0] john[0] bateer[0] and[0] john[0] rice[0] barely[0] touches[0] the[0] complicated[-1] issues[0] of[0] northern[0] ireland[0] using[0] the[0] tragedy[-2] only[0] as[0] the[0] cheap[-1] backstory[0] for[0] even[0] cheaper[-1] drama[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot is , of course , full of implausibilities . 	the plot is , of course , full of implausibilities .	1	-1	 the[0] plot[0] is[0] of[0] course[0] full[0] of[0] implausibilities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main one is the fact that movie fails to explain how the single individual , no matter how brilliant he is , can produce thousands of deadly devices and hold entire city at bay . 	the main one is the fact that movie fails to explain how the single individual , no matter how brilliant he is , can produce thousands of deadly devices and hold entire city at bay .	2	-3	 the[0] main[0] one[0] is[0] the[0] fact[0] that[0] movie[0] fails[-2] to[0] explain[0] how[0] the[0] single[0] individual[0] no[0] matter[0] how[0] brilliant[1] he[0] is[0] can[0] produce[0] thousands[0] of[0] deadly[-1] devices[0] and[0] hold[0] entire[0] city[0] at[0] bay[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
those questions , same as in the case of speed , could be forgotten while the action goes on , but the pauses between action scenes are filled with cliched and predictable situation that should provide some background to the characters . 	those questions , same as in the case of speed , could be forgotten while the action goes on , but the pauses between action scenes are filled with cliched and predictable situation that should provide some background to the characters .	1	-1	 those[0] questions[0] same[0] as[0] in[0] the[0] case[0] of[0] speed[0] could[0] be[0] forgotten[0] while[0] the[0] action[0] goes[0] on[0] but[0] the[0] pauses[0] between[0] action[0] scenes[0] are[0] filled[0] with[0] cliched[0] and[0] predictable[0] situation[0] that[0] should[0] provide[0] some[0] background[0] to[0] the[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because of them , movie seems a little bit too long , and boring at times . 	because of them , movie seems a little bit too long , and boring at times .	1	-2	 because[0] of[0] them[0] movie[0] seems[0] a[0] little[0] bit[0] too[0] long[0] and[0] boring[-1] at[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most annoying element of the film , however , is tommy lee jones in the role of mad bomber . 	the most annoying element of the film , however , is tommy lee jones in the role of mad bomber .	1	-3	 the[0] most[0] annoying[-2] element[0] of[0] the[0] film[0] however[0] is[0] tommy[0] lee[0] jones[0] in[0] the[0] role[0] of[0] mad[-1] bomber[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his acting is so over-the-top that potentially fascinating villain turns into pathetic caricature of himself . 	his acting is so over-the-top that potentially fascinating villain turns into pathetic caricature of himself .	1	-3	 his[0] acting[0] is[0] so[0] over[0] the[0] top[0] that[0] potentially[0] fascinating[0] villain[-2] turns[0] into[0] pathetic[-2] caricature[0] of[0] himself[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this role is in painful contrast with the strong performance given by that same actor in fugitive . 	this role is in painful contrast with the strong performance given by that same actor in fugitive .	1	-4	 this[0] role[0] is[0] in[0] painful[-3] contrast[0] with[0] the[0] strong[0] performance[0] given[0] by[0] that[0] same[0] actor[0] in[0] fugitive[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film have few bright points , though . 	the film have few bright points , though .	1	-1	 the[0] film[0] have[0] few[0] bright[0] points[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the action scenes are fine , which should be credited to director stephen hopkins ( predator ii , judgement night ) . 	some of the action scenes are fine , which should be credited to director stephen hopkins ( predator i , judgement night ) .	3	-1	 some[0] of[0] the[0] action[0] scenes[0] are[0] fine[2] which[0] should[0] be[0] credited[0] to[0] director[0] stephen[0] hopkins[0] predator[0] ii/i[0] judgement[0] night[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and forrest whitaker really shines in minor role of dove's colleague . 	and forest whitaker really shines in minor role of dove's colleague .	1	-1	 and[0] forrest/forest[0] whitaker[0] really[0] shines[0] in[0] minor[0] role[0] of[0] dove's[0] colleague[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , all in all , blown away is a film that was justifiably shadowed by its more famous , yet hardly unforgettable competitor . 	but , all in all , blown away is a film that was justifiably shadowed by its more famous , yet hardly unforgettable competitor .	1	-1	 but[0] all[0] in[0] all[0] blown[0] away[0] is[0] a[0] film[0] that[0] was[0] justifiably[0] shadowed[0] by[0] its[0] more[0] famous[0] yet[0] hardly[0] unforgettable[0] competitor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
