based on the novel set in 1914 by joseph conrad , victory spins a tale of a pair of lovers , heyst ( william dafoe ) and alma ( irene jacob ) , who seek refuge on heyst's isolated island . 	Translation	Positive	Negative	EmotionRationale
sewell , with his cockney accent and large expressive green eyes , becomes the true terror of the unholy trinity , masterminding deceitful plans behind jones' back . 	sewell , with his cockney accent and large expressive green eyes , becomes the true terror of the unholy trinity , masterminding deceitful plans behind jones' back .	2	-3	 sewell[0] with[0] his[0] cockney[0] accent[0] and[0] large[0] expressive[0] green[0] eyes[0] becomes[0] the[0] true[1] terror[-1] of[0] the[0] unholy[0] trinity[0] masterminding[0] deceitful[-2] plans[0] behind[0] jones'[0] back[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at the same time , we are entertained by the foolhardiness of his plans . 	at the same time , we are entertained by the foolhardiness of his plans .	1	-2	 at[0] the[0] same[0] time[0] we[0] are[0] entertained[0] by[0] the[0] foolhardiness[-1] of[0] his[0] plans[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite the authentic setting and marvellous cinematography by bruno de keyzer , very few images are left behind for us to savour after the film has ended . 	despite the authentic setting and marvellous cinematography by bruno de keyzer , very few images are left behind for us to savour after the film has ended .	1	-1	 despite[0] the[0] authentic[0] setting[0] and[0] marvellous[0] cinematography[0] by[0] bruno[0] de[0] keyzer[0] very[0] few[0] images[0] are[0] left[0] behind[0] for[0] us[0] to[0] savour[0] after[0] the[0] film[0] has[0] ended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sourabaya and its surrounding islands and volcanoes may have their charm , but mean nothing once the film fails to capture the essence of an epic , which is what victory deserves to be . 	sourabaya and its surrounding islands and volcanoes may have their charm , but mean nothing once the film fails to capture the essence of an epic , which is what victory deserves to be .	2	-3	 sourabaya[-1] and[0] its[0] surrounding[0] islands[0] and[0] volcanoes[0] may[0] have[0] their[0] charm[1] but[0] mean[0] nothing[0] once[0] the[0] film[0] fails[-2] to[0] capture[-1] the[0] essence[0] of[0] an[0] epic[0] which[0] is[0] what[0] victory[0] deserves[0] to[0] be[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the delicately inter-woven complexities in the love story are lost to an inadequate production . 	the delicately inter-woven complexities in the love story are lost to an inadequate production .	3	-2	 the[0] delicately[0] inter[0] woven[0] complexities[0] in[0] the[0] love[2] story[0] are[0] lost[0] to[0] an[0] inadequate[-1] production[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at the end of the film , we are told that perhaps alma's victory was in teaching heyst how to love . 	at the end of the film , we are told that perhaps alma's victory was in teaching heyst how to love .	3	-1	 at[0] the[0] end[0] of[0] the[0] film[0] we[0] are[0] told[0] that[0] perhaps[0] alma's[0] victory[0] was[0] in[0] teaching[0] heyst[0] how[0] to[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a hollow victory indeed . 	a hollow victory indeed .	1	-2	 a[0] hollow[-1] victory[0] indeed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the flying inkpot's rating system : * wait for the video . 	the flying inkpot's rating system : * wait for the video .	1	-1	 the[0] flying[0] inkpot's[0] rating[0] system[0] wait[0] for[0] the[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
