the king and i , a warner brothers animated , musical feature , recycles the classic story of a woman who challenges the heart of a king , with obvious results . 	Translation	Positive	Negative	EmotionRationale
another one of his teeth fell out ! 	another one of his teeth fell out !	1	-1	 another[0] one[0] of[0] his[0] teeth[0] fell[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hardy-har-har ! 	hardy-har-har !	1	-1	 hardy[0] har[0] har[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is supposed to bring laughs for the kidlets , but even at age five i would have cringed while watching him . 	he is supposed to bring laughs for the kidlets , but even at age five i would have cringed while watching him .	2	-1	 he[0] is[0] supposed[0] to[0] bring[0] laughs[1] for[0] the[0] kidlets[0] but[0] even[0] at[0] age[0] five[0] i[0] would[0] have[0] cringed[0] while[0] watching[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by the way this review is going , you may think the reasoning for my hate for this film is due to not liking animated films- hence why i hate this movie , because the king and i is a disgrace to animation . 	by the way this review is going , you may think the reasoning for my hate for this film is due to not liking animated films- hence why i hate this movie , because the king and i is a disgrace to animation .	1	-4	 by[0] the[0] way[0] this[0] review[0] is[0] going[0] you[0] may[0] think[0] the[0] reasoning[0] for[0] my[0] hate[-3] for[0] this[0] film[0] is[0] due[0] to[0] not[0] liking[2][NegatedDueToPreviousWord] animated[0] films[0] hence[0] why[0] i[0] hate[-3] this[0] movie[0] because[0] the[0] king[0] and[0] i[0] is[0] a[0] disgrace[-3] to[0] animation[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
animated films , such as 1994's the lion king and 1998's the prince of egypt , are among my favorite movies of all time . 	animated films , such as 1994's the lion king and 1998's the prince of egypt , are among my favorite movies of all time .	2	-1	 animated[0] films[0] such[0] as[0] 1994's[0] the[0] lion[0] king[0] and[0] 1998's[0] the[0] prince[0] of[0] egypt[0] are[0] among[0] my[0] favorite[1] movies[0] of[0] all[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the animation team does design their share of well animated settings , so this makes it easier to take my mind off of the annoying king , until i realize that day and night switch back in fourth within seconds . 	the animation team does design their share of well animated settings , so this makes it easier to take my mind off of the annoying king , until i realize that day and night switch back in fourth within seconds .	1	-3	 the[0] animation[0] team[0] does[0] design[0] their[0] share[0] of[0] well[0] animated[0] settings[0] so[0] this[0] makes[0] it[0] easier[0] to[0] take[0] my[0] mind[0] off[0] of[0] the[0] annoying[-2] king[0] until[0] i[0] realize[0] that[0] day[0] and[0] night[0] switch[0] back[0] in[0] fourth[0] within[0] seconds[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i have not read the play , or seen the oscar winning , 1956 film adaption , but from what i can tell , the screenplay for the 1999 version completely butchers the play , for the king and i is never magical , nor interesting . 	i have not read the play , or seen the oscar winning , 1956 film adaption , but from what i can tell , the screenplay for the 199 version completely butchers the play , for the king and i is never magical , nor interesting .	2	-1	 i[0] have[0] not[0] read[0] the[0] play[0] or[0] seen[0] the[0] oscar[0] winning[1] 1956[0] film[0] adaption[0] but[0] from[0] what[0] i[0] can[0] tell[0] the[0] screenplay[0] for[0] the[0] 1999/199[0] version[0] completely[0] butchers[0] the[0] play[0] for[0] the[0] king[0] and[0] i[0] is[0] never[0] magical[0] nor[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if it wasn't for miranda richardson , who voices anna with feeling , the king and i could earn the title , " worst movie of the decade . " 	if it wasn't for miranda richardson , who voices anna with feeling , the king and i could earn the title , " worst movie of the decade .<br> "	1	-3	 if[0] it[0] wasn't[0] for[0] miranda[0] richardson[0] who[0] voices[0] anna[0] with[0] feeling[0] the[0] king[0] and[0] i[0] could[0] earn[0] the[0] title[0] worst[-2] movie[0] of[0] the[0] decade[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead , the king and i will just go down as among the year's worst . 	instead , the king and i will just go down as among the year's worst .	1	-3	 instead[0] the[0] king[0] and[0] i[0] will[0] just[0] go[0] down[0] as[0] among[0] the[0] year's[0] worst[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the bottom line- avoid this movie at all costs . 	the bottom line- avoid this movie at all costs .	1	-2	 the[0] bottom[0] line[0] avoid[-1] this[0] movie[0] at[0] all[0] costs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not even young children , the target audience in this film , will enjoy it . 	not even young children , the target audience in this film , will enjoy it .	3	-1	 not[0] even[0] young[0] children[0] the[0] target[0] audience[0] in[0] this[0] film[0] will[0] enjoy[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not the slightest bit . 	not the slightest bit .	1	-1	 not[0] the[0] slightest[0] bit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
