edward burns tackles his third picture with no looking back , and like his previous two , it is a working-class relationship picture . 	Translation	Positive	Negative	EmotionRationale
should she stay with stable michael , and never escape her hometown . . . or 	should she stay with stable michael , and never escape her hometown .<br> .<br> .<br> or	1	-2	 should[0] she[0] stay[0] with[0] stable[-1] michael[0] and[0] never[0] escape[0] her[0] hometown[0] [[Sentence=-2,1=word max, 1-5]] or[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
should she ignore her instincts and fall for charlie again . 	should she ignore her instincts and fall for charlie again .	1	-1	 should[0] she[0] ignore[0] her[0] instincts[0] and[0] fall[0] for[0] charlie[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
part of the answer lies in the character of her mother ( blythe danner ) , who fell for the wrong man . . . and has spent her life pining for claudia's father to return . 	part of the answer lies in the character of her mother ( blythe danner ) , who fell for the wrong man .<br> .<br> .<br> and has spent her life pining for claudia's father to return .	1	-3	 part[0] of[0] the[0] answer[0] lies[-2] in[0] the[0] character[0] of[0] her[0] mother[0] blythe[0] danner[0] who[0] fell[0] for[0] the[0] wrong[-1] man[0] [[Sentence=-3,1=word max, 1-5]] and[0] has[0] spent[0] her[0] life[0] pining[0] for[0] claudia's[0] father[0] to[0] return[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
now it seems that claudia is about to make the same mistakes . 	now it seems that claudia is about to make the same mistakes .	1	-2	 now[0] it[0] seems[0] that[0] claudia[0] is[0] about[0] to[0] make[0] the[0] same[0] mistakes[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at only a little past ninety minutes , no looking back is rather short for its genre . 	at only a little past ninety minutes , no looking back is rather short for its genre .	1	-1	 at[0] only[0] a[0] little[0] past[0] ninety[0] minutes[0] no[0] looking[0] back[0] is[0] rather[0] short[0] for[0] its[0] genre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , it seems much much longer . 	unfortunately , it seems much much longer .	1	-2	 unfortunately[-1] it[0] seems[0] much[0] much[0] longer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the storyline is simple and uninspired , and there's a lack of energy to the whole proceedings , which makes the entire drama rather tedious . 	the storyline is simple and uninspired , and there's a lack of energy to the whole proceedings , which makes the entire drama rather tedious .	1	-3	 the[0] storyline[0] is[0] simple[0] and[0] uninspired[0] and[0] there's[0] a[0] lack[-1] of[0] energy[0] to[0] the[0] whole[0] proceedings[0] which[0] makes[0] the[0] entire[0] drama[0] rather[0] tedious[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
edward burns makes a misstep by casting himself in the crucial role as the egomaniacal old flame . 	edward burns makes a misstep by casting himself in the crucial role as the egomaniacal old flame .	1	-3	 edward[0] burns[-1] makes[0] a[0] misstep[0] by[0] casting[0] himself[0] in[0] the[0] crucial[0] role[0] as[0] the[0] egomaniacal[0] old[0] flame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's no one to restrain his ego , which reigns unchecked . 	there's no one to restrain his ego , which reigns unchecked .	1	-1	 there's[0] no[0] one[0] to[0] restrain[0] his[0] ego[0] which[0] reigns[0] unchecked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he walks into the room and lauren holly swoons . . . yeah , 	he walks into the room and lauren holly swoons .<br> .<br> .<br> yeah ,	1	-1	 he[0] walks[0] into[0] the[0] room[0] and[0] lauren[0] holly[0] swoons[0] [[Sentence=-1,1=word max, 1-5]] yeah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right . 	right .	1	-1	 right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lauren holly does what she can with her central character . 	lauren holly does what she can with her central character .	1	-1	 lauren[0] holly[0] does[0] what[0] she[0] can[0] with[0] her[0] central[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but we never understand why her character makes such pathetically bad decisions . . . and 	but we never understand why her character makes such pathetically bad decisions .<br> .<br> .<br> and	1	-3	 but[0] we[0] never[0] understand[0] why[0] her[0] character[0] makes[0] such[0] pathetically[-2] bad[-1] decisions[0] [[Sentence=-3,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
we never really care . 	we never really care .	1	-3	 we[0] never[0] really[0] care[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bon jovi is the only sympathetic character in the whole movie . 	bon jovi is the only sympathetic character in the whole movie .	1	-1	 bon[0] jovi[0] is[0] the[0] only[0] sympathetic[0] character[0] in[0] the[0] whole[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his acting talents are much greater than they might seem , but he is given a mostly bland and ineffective role to work with . 	his acting talents are much greater than they might seem , but he is given a mostly bland and ineffective role to work with .	3	-2	 his[0] acting[0] talents[1] are[0] much[0] greater[2] than[0] they[0] might[0] seem[0] but[0] he[0] is[0] given[0] a[0] mostly[0] bland[-1] and[0] ineffective[-1] role[0] to[0] work[0] with[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there's not much to recommend in no looking back . 	there's not much to recommend in no looking back .	1	-1	 there's[0] not[0] much[0] to[0] recommend[0] in[0] no[0] looking[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not that the film is bad . . . it's 	it's not that the film is bad .<br> .<br> .<br> it's	1	-2	 it's[0] not[0] that[0] the[0] film[0] is[0] bad[-1] [[Sentence=-2,1=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
simply boring . 	simply boring .	1	-2	 simply[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's no zest in any aspect of the film , and no reason to spend ninety minutes watching it . 	there's no zest in any aspect of the film , and no reason to spend ninety minutes watching it .	2	-1	 there's[0] no[0] zest[1] in[0] any[0] aspect[0] of[0] the[0] film[0] and[0] no[0] reason[0] to[0] spend[0] ninety[0] minutes[0] watching[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
