did i do something bad ? 	Translation	Positive	Negative	EmotionRationale
why do sales skyrocket the first time g is on camera ? 	why do sales skyrocket the first time grin� is on camera ?	1	-1	 why[0] do[0] sales[0] skyrocket[0] the[0] first[0] time[0] g[0] is[0] on[0] camera[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
far from trying to sell the product , g instead blathers on about how you don't even need the thing . 	far from trying to sell the product , grin� instead blathers on about how you don't even need the thing .	1	-2	 far[0] from[0] trying[0] to[0] sell[0] the[0] product[0] g[0] instead[0] blathers[-1] on[0] about[0] how[0] you[0] don't[0] even[0] need[0] the[0] thing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
someone please tell me how this is supposed to move merchandise in the first place . 	someone please tell me how this is supposed to move merchandise in the first place .	2	-1	 someone[0] please[1] tell[0] me[0] how[0] this[0] is[0] supposed[0] to[0] move[0] merchandise[0] in[0] the[0] first[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you might say that people feel good about what they've bought , so they come back and by more , but due to the simple fact that the first round of sales in inexplicable , i'm not convinced this is what the filmmakers had in mind . 	you might say that people feel good about what they've bought , so they come back and by more , but due to the simple fact that the first round of sales in inexplicable , i'm not convinced this is what the filmmakers had in mind .	2	-2	 you[0] might[0] say[0] that[0] people[0] feel[0] good[1] about[0] what[0] they've[0] bought[0] so[0] they[0] come[0] back[0] and[0] by[0] more[0] but[0] due[0] to[0] the[0] simple[0] fact[0] that[0] the[0] first[0] round[0] of[0] sales[0] in[0] inexplicable[-1] i'm[0] not[0] convinced[0] this[0] is[0] what[0] the[0] filmmakers[0] had[0] in[0] mind[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the whole movie is therefore seriously undermined because the key point in the plot is never credible . 	the whole movie is therefore seriously undermined because the key point in the plot is never credible .	1	-2	 the[0] whole[0] movie[0] is[0] therefore[0] seriously[0] undermined[-1] because[0] the[0] key[0] point[0] in[0] the[0] plot[0] is[0] never[0] credible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
another problem is in the humor . 	another problem is in the humor .	3	-2	 another[0] problem[-1] is[0] in[0] the[0] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you know , if you see that eddie murphy is in a movie , i think it is not unreasonable for you to expect that the film is a comedy . 	you know , if you see that eddie murphy is in a movie , i think it is not unreasonable for you to expect that the film is a comedy .	3	-1	 you[0] know[0] if[0] you[0] see[0] that[0] eddie[0] murphy[0] is[0] in[0] a[0] movie[0] i[0] think[0] it[0] is[0] not[0] unreasonable[-2][NegatedDueToPreviousWord] for[0] you[0] to[0] expect[0] that[0] the[0] film[0] is[0] a[0] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
whoa , partner , are you in for a surprise . 	whoa , partner , are you in for a surprise .	1	-1	 whoa[0] partner[0] are[0] you[0] in[0] for[0] a[0] surprise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
holy man is not funny . 	holy man is not funny .	1	-2	 holy[0] man[0] is[0] not[0] funny[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
murphy , the one asset you'd think this movie has ( remember how they brought him in at the last minute to save best defense ? 	murphy , the one asset you'd think this movie has ( remember how they brought him in at the last minute to save best defense ?	2	-1	 murphy[0] the[0] one[0] asset[0] you'd[0] think[0] this[0] movie[0] has[0] remember[0] how[0] they[0] brought[0] him[0] in[0] at[0] the[0] last[0] minute[0] to[0] save[1] best[1] defense[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
- then again , maybe you don't ) is seriously reigned in . 	- then again , maybe you don't ) is seriously reigned in .	1	-1	 then[0] again[0] maybe[0] you[0] don't[0] is[0] seriously[0] reigned[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script gives him almost nothing to work with , and it seems as though director stephen herek kept him toned down so that the other actors in the film wouldn't be left as window dressing . 	the script gives him almost nothing to work with , and it seems as though director stephen herek kept him toned down so that the other actors in the film wouldn't be left as window dressing .	1	-1	 the[0] script[0] gives[0] him[0] almost[0] nothing[0] to[0] work[0] with[0] and[0] it[0] seems[0] as[0] though[0] director[0] stephen[0] herek[0] kept[0] him[0] toned[0] down[0] so[0] that[0] the[0] other[0] actors[0] in[0] the[0] film[0] wouldn't[0] be[0] left[0] as[0] window[0] dressing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's only one moment in the film where murphy is allowed to let loose , and it lasts for three shouted words , which seem totally out of place as a result . 	there's only one moment in the film where murphy is allowed to let loose , and it lasts for three shouted words , which seem totally out of place as a result .	1	-1	 there's[0] only[0] one[0] moment[0] in[0] the[0] film[0] where[0] murphy[0] is[0] allowed[0] to[0] let[0] loose[0] and[0] it[0] lasts[0] for[0] three[0] shouted[0] words[0] which[0] seem[0] totally[0] out[0] of[0] place[0] as[0] a[0] result[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pathetic . 	pathetic .	1	-3	 pathetic[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in all , there are about three jokes that work in the entire picture , and they're not even that great . 	in all , there are about three jokes that work in the entire picture , and they're not even that great .	3	-1	 in[0] all[0] there[0] are[0] about[0] three[0] jokes[1] that[0] work[0] in[0] the[0] entire[0] picture[0] and[0] they're[0] not[0] even[0] that[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as a side note , there are some cameo appearances such as dan marino pitching a contraption which allows you to cook off of your car engine , and james brown introducing a medic-alert device that shouts " help me ! " 	as a side note , there are some cameo appearances such as dan marino pitching a contraption which allows you to cook off of your car engine , and james brown introducing a medic-alert device that shouts " help me !<br> "	1	-1	 as[0] a[0] side[0] note[0] there[0] are[0] some[0] cameo[0] appearances[0] such[0] as[0] dan[0] marino[0] pitching[0] a[0] contraption[0] which[0] allows[0] you[0] to[0] cook[0] off[0] of[0] your[0] car[0] engine[0] and[0] james[0] brown[0] introducing[0] a[0] medic[0] alert[0] device[0] that[0] shouts[0] help[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just like the hardest working man in show business at the push of a button , but these never cause your personal laugh-o-meter to rise above the level of mild bemusement . 	just like the hardest working man in show business at the push of a button , but these never cause your personal laugh-o-meter to rise above the level of mild bemusement .	2	-1	 just[0] like[1][-1 LastWordBoosterStrength] the[0] hardest[0] working[0] man[0] in[0] show[0] business[0] at[0] the[0] push[0] of[0] a[0] button[0] but[0] these[0] never[0] cause[0] your[0] personal[0] laugh[1] o[0] meter[0] to[0] rise[0] above[0] the[0] level[0] of[0] mild[0] bemusement[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " well , " you ask , " surely there must be some convincing performances to make up for the lack of humor . " 	 " well , " you ask , " surely there must be some convincing performances to make up for the lack of humor .<br> "	3	-2	 well[0] you[0] ask[0] surely[0] there[0] must[0] be[0] some[0] convincing[0] performances[0] to[0] make[0] up[0] for[0] the[0] lack[-1] of[0] humor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
think again , buckwheat . 	think again , buckwheat .	1	-1	 think[0] again[0] buckwheat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jeff goldblum disappoints . 	jeff goldblum disappoints .	1	-2	 jeff[0] goldblum[0] disappoints[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kelly preston is flat ( but not like that ) . 	kelly preston is flat ( but not like that ) .	1	-2	 kelly[0] preston[0] is[0] flat[0] but[0] not[0] like[1][NegatedDueToPreviousWord] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
robert loggia , in the kind of role for which he has been virtually typecast , can't do anything with it . 	robert loggia , in the kind of role for which he has been virtually typecast , can't do anything with it .	2	-1	 robert[0] loggia[0] in[0] the[0] kind[1] of[0] role[0] for[0] which[0] he[0] has[0] been[0] virtually[0] typecast[0] can't[0] do[0] anything[0] with[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script is part of the problem , but these actors don't even look like they believe in the move they're making . 	the script is part of the problem , but these actors don't even look like they believe in the move they're making .	2	-2	 the[0] script[0] is[0] part[0] of[0] the[0] problem[-1] but[0] these[0] actors[0] don't[0] even[0] look[0] like[1] they[0] believe[0] in[0] the[0] move[0] they're[0] making[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they look a lot like they're bored . 	they look a lot like they're bored .	2	-2	 they[0] look[0] a[0] lot[0] like[1] they're[0] bored[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
just like the audience . 	just like the audience .	1	-1	 just[0] like[1][-1 LastWordBoosterStrength] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so what do you have when the humor is absent from your comedy , and the acting is like the siberian steppes ? 	so what do you have when the humor is absent from your comedy , and the acting is like the siberian steppes ?	3	-2	 so[0] what[0] do[0] you[0] have[0] when[0] the[0] humor[2] is[0] absent[-1] from[0] your[0] comedy[0] and[0] the[0] acting[0] is[0] like[1] the[0] siberian[0] steppes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a film that drags more than a dropped anchor . 	a film that drags more than a dropped anchor .	1	-1	 a[0] film[0] that[0] drags[0] more[0] than[0] a[0] dropped[0] anchor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but wait ! 	but wait !	1	-1	 but[0] wait[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as if these problems don't make the film slow enough , the screenplay's pacing makes the movie even slower ! 	as if these problems don't make the film slow enough , the screenplay's pacing makes the movie even slower !	1	-2	 as[0] if[0] these[0] problems[-1] don't[0] make[0] the[0] film[0] slow[0] enough[0] the[0] screenplay's[0] pacing[0] makes[0] the[0] movie[0] even[0] slower[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it takes the entire first half hour to establish the movie's premise , then more time as the film wades through a tortuous ( and seemingly mandatory ) romance between ricky and kate , and a sub-plot involving a conniving pr man ( eric mccormack ) who wants to discredit g and take over ricky's job as producer . 	it takes the entire first half hour to establish the movie's premise , then more time as the film wades through a tortuous ( and seemingly mandatory ) romance between ricky and kate , and a sub-plot involving a conniving pr man ( eric mccormack ) who wants to discredit grin� and take over ricky's job as producer .	4	-2	 it[0] takes[0] the[0] entire[0] first[0] half[0] hour[0] to[0] establish[0] the[0] movie's[0] premise[0] then[0] more[0] time[0] as[0] the[0] film[0] wades[0] through[0] a[0] tortuous[0] and[0] seemingly[0] mandatory[0] romance[3] between[0] ricky[0] and[0] kate[0] and[0] a[0] sub[0] plot[0] involving[0] a[0] conniving[0] pr[0] man[0] eric[0] mccormack[0] who[0] wants[0] to[0] discredit[-1] g[0] and[0] take[0] over[0] ricky's[0] job[0] as[0] producer[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
when the pr guy's plan is foiled , the film is climaxes , we're treated to that little epilogue , and then we can all go home , right ? 	when the pr guy's plan is foiled , the film is climaxes , we're treated to that little epilogue , and then we can all go home , right ?	1	-1	 when[0] the[0] pr[0] guy's[0] plan[0] is[0] foiled[0] the[0] film[0] is[0] climaxes[0] we're[0] treated[0] to[0] that[0] little[0] epilogue[0] and[0] then[0] we[0] can[0] all[0] go[0] home[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wrong . 	wrong .	1	-2	 wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie goes on for another half hour ! 	the movie goes on for another half hour !	1	-1	 the[0] movie[0] goes[0] on[0] for[0] another[0] half[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
continental drift is the indy 500 compared to the pace of holy man ! 	continental drift is the indy 500 compared to the pace of holy man !	1	-1	 continental[0] drift[0] is[0] the[0] indy[0] 500[0] compared[0] to[0] the[0] pace[0] of[0] holy[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only thing holy about holy man will surely be the number of people exclaiming " holy ! @#% that movie was awful ! " 	the only thing holy about holy man will surely be the number of people exclaiming " holy !<br> @#% that movie was awful !<br> "	1	-4	 the[0] only[0] thing[0] holy[0] about[0] holy[0] man[0] will[0] surely[0] be[0] the[0] number[0] of[0] people[0] exclaiming[0] holy[0] [[Sentence=-1,1=word max, 1-5]] @#%[0] that[0] movie[0] was[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this one is for the truly pious . 	this one is for the truly pious .	2	-1	 this[0] one[0] is[0] for[0] the[0] truly[1] pious[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
