the ads for " batman and robin " scream " the event of the summer is here " and that's the problem . 	Translation	Positive	Negative	EmotionRationale
 " batman and robin " has far more in common with the campy 60's batman tv show than with tim burton's tale of darkness . 	 " batman and robin " has far more in common with the campy 60's batman tv show than with tim burton's tale of darkness .	1	-1	 batman[0] and[0] robin[0] has[0] far[0] more[0] in[0] common[0] with[0] the[0] campy[0] 60's[0] batman[0] tv[0] show[0] than[0] with[0] tim[0] burton's[0] tale[0] of[0] darkness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the blame lies with director joel schumacher . 	the blame lies with director joel schumacher .	1	-3	 the[0] blame[-1] lies[-2] with[0] director[0] joel[0] schumacher[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a former window-dresser , schumacher is adept at decorating sets and dressing people in exotic costumes . 	a former window-dresser , schumacher is adept at decorating sets and dressing people in exotic costumes .	1	-1	 a[0] former[0] window[0] dresser[0] schumacher[0] is[0] adept[0] at[0] decorating[0] sets[0] and[0] dressing[0] people[0] in[0] exotic[0] costumes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , when it comes time to have those people walk and talk , he hasn't the faintest notion of what to do . 	unfortunately , when it comes time to have those people walk and talk , he hasn't the faintest notion of what to do .	1	-2	 unfortunately[-1] when[0] it[0] comes[0] time[0] to[0] have[0] those[0] people[0] walk[0] and[0] talk[0] he[0] hasn't[0] the[0] faintest[0] notion[0] of[0] what[0] to[0] do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " batman and robin " is overstuffed with intricately choreographed fight scenes so poorly edited that it's often difficult to tell who's whacking who . 	 " batman and robin " is overstuffed with intricately choreographed fight scenes so poorly edited that it's often difficult to tell who's whacking who .	1	-4	 batman[0] and[0] robin[0] is[0] overstuffed[0] with[0] intricately[0] choreographed[-2] fight[-2][-1 MultiplePositiveWords] scenes[0] so[0] poorly[-1] edited[0] that[0] it's[0] often[0] difficult[-1] to[0] tell[0] who's[0] whacking[0] who[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while the characters flail at each other , one-liners and bad puns are tossed about like confetti . 	while the characters flail at each other , one-liners and bad puns are tossed about like confetti .	2	-2	 while[0] the[0] characters[0] flail[0] at[0] each[0] other[0] one[0] liners[0] and[0] bad[-1] puns[0] are[0] tossed[0] about[0] like[1] confetti[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a few carefully placed jokes can set an action movie sailing , but too many wisecracks can undermine the momentum of a film . 	a few carefully placed jokes can set an action movie sailing , but too many wisecracks can undermine the momentum of a film .	2	-2	 a[0] few[0] carefully[0] placed[0] jokes[1] can[0] set[0] an[0] action[0] movie[0] sailing[0] but[0] too[0] many[0] wisecracks[0] can[0] undermine[-1] the[0] momentum[0] of[0] a[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " batman and robin " doesn't merely lose momentum , it stalls out completely on several occasions . 	 " batman and robin " doesn't merely lose momentum , it stalls out completely on several occasions .	1	-2	 batman[0] and[0] robin[0] doesn't[0] merely[0] lose[-1] momentum[0] it[0] stalls[0] out[0] completely[0] on[0] several[0] occasions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's rare to see an action flick as sluggish as this one . 	it's rare to see an action flick as sluggish as this one .	1	-2	 it's[0] rare[0] to[0] see[0] an[0] action[0] flick[0] as[0] sluggish[-1] as[0] this[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ironically , the parts of " batman and robin " that work are the ones showing the characters in street clothing , and most of those succeed because of george clooney as bruce wayne . 	ironically , the parts of " batman and robin " that work are the ones showing the characters in street clothing , and most of those succeed because of george clooney as bruce wayne .	3	-2	 ironically[-1] the[0] parts[0] of[0] batman[0] and[0] robin[0] that[0] work[0] are[0] the[0] ones[0] showing[0] the[0] characters[0] in[0] street[0] clothing[0] and[0] most[0] of[0] those[0] succeed[2] because[0] of[0] george[0] clooney[0] as[0] bruce[0] wayne[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
easily the best batman yet , clooney's expressive eyes and weary smile gives the character a sense of depth that the script doesn't even hint at . 	easily the best batman yet , clooney's expressive eyes and weary smile gives the character a sense of depth that the script doesn't even hint at .	3	-1	 easily[0] the[0] best[1] batman[0] yet[0] clooney's[0] expressive[0] eyes[0] and[0] weary[0] smile[2] gives[0] the[0] character[0] a[0] sense[0] of[0] depth[0] that[0] the[0] script[0] doesn't[0] even[0] hint[0] at[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film's most effective scene is a tender , quiet exchange between clooney and alfred ( michael gough ) , bruce wayne's butler and surrogate father . 	the film's most effective scene is a tender , quiet exchange between clooney and alfred ( michael gough ) , bruce wayne's butler and surrogate father .	3	-1	 the[0] film's[0] most[0] effective[0] scene[0] is[0] a[0] tender[2] quiet[0] exchange[0] between[0] clooney[0] and[0] alfred[0] michael[0] gough[0] bruce[0] wayne's[0] butler[0] and[0] surrogate[0] father[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for the other heroes , chris o'donnell's robin is enthusiastic , perky and horny as hell , while pudgy alicia silverstone is hard to accept as an athlete in her debut as batgirl . 	as for the other heroes , chris o'donnell's robin is enthusiastic , perky and horny as hell , while pudgy alicia silverstone is hard to accept as an athlete in her debut as batgirl .	3	-2	 as[0] for[0] the[0] other[0] heroes[2] chris[0] o'donnell's[0] robin[0] is[0] enthusiastic[2] perky[0] and[0] horny[0] as[0] hell[-1] while[0] pudgy[0] alicia[0] silverstone[0] is[0] hard[0] to[0] accept[0] as[0] an[0] athlete[0] in[0] her[0] debut[0] as[0] batgirl[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in a movie filled to the brim with major characters , the decision to add the entirely unnecessary batgirl and elle macpherson as bruce wayne's girlfriend is puzzling . 	in a movie filled to the brim with major characters , the decision to add the entirely unnecessary batgirl and elle macpherson as bruce wayne's girlfriend is puzling .	1	-2	 in[0] a[0] movie[0] filled[0] to[0] the[0] brim[0] with[0] major[0] characters[0] the[0] decision[0] to[0] add[0] the[0] entirely[0] unnecessary[-1] batgirl[0] and[0] elle[0] macpherson[0] as[0] bruce[0] wayne's[0] girlfriend[0] is[0] puzzling/puzling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suspect the producers inserted the women in an attempt to convince audiences that two guys who run around in rubber suits with built-in nipples , shapely buttocks and huge codpieces are actually straight . 	i suspect the producers inserted the women in an attempt to convince audiences that two guys who run around in rubber suits with built-in nipples , shapely buttocks and huge codpieces are actually straight .	1	-2	 i[0] suspect[-1] the[0] producers[0] inserted[0] the[0] women[0] in[0] an[0] attempt[0] to[0] convince[0] audiences[0] that[0] two[0] guys[0] who[0] run[0] around[0] in[0] rubber[0] suits[0] with[0] built[0] in[0] nipples[0] shapely[0] buttocks[0] and[0] huge[0] codpieces[0] are[0] actually[0] straight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , the real stars of a batman film are the villains and that's where " batman and robin " really suffers . 	of course , the real stars of a batman film are the villains and that's where " batman and robin " really suffers .	1	-5	 of[0] course[0] the[0] real[0] stars[0] of[0] a[0] batman[0] film[0] are[0] the[0] villains[-2] and[0] that's[0] where[0] batman[0] and[0] robin[0] really[0] suffers[-3][-1 LastWordBoosterStrength] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
as mr . freeze , arnold schwarzenegger gives his worst performance in years , spitting out a stream of lame catch phrases in wooden fashion . 	as mr .<br> freeze , arnold schwarzenegger gives his worst performance in years , spitting out a stream of lame catch phrases in wooden fashion .	1	-3	 as[0] mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] arnold[0] schwarzenegger[0] gives[0] his[0] worst[-2] performance[0] in[0] years[0] spitting[0] out[0] a[0] stream[0] of[0] lame[-2] catch[0] phrases[0] in[0] wooden[0] fashion[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
laboring under a ton of appliances , schwarzenegger looks as if he's having trouble even moving in his suit , let alone trying to act . 	laboring under a ton of appliances , schwarzenegger looks as if he's having trouble even moving in his suit , let alone trying to act .	1	-2	 laboring[0] under[0] a[0] ton[0] of[0] appliances[0] schwarzenegger[0] looks[0] as[0] if[0] he's[0] having[0] trouble[-1] even[0] moving[0] in[0] his[0] suit[0] let[0] alone[0] trying[0] to[0] act[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
uma thurman fares somewhat better as poison ivy . 	uma thurman fares somewhat better as poison ivy .	1	-3	 uma[0] thurman[0] fares[0] somewhat[0] better[0] as[0] poison[-2] ivy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she overacts terribly in the early establishing scenes of her character ( it's apparently a rule in the batman series that before a person becomes a villain , s/he must be a cartoonish , bumbling nerd ) . 	she overacts terribly in the early establishing scenes of her character ( it's apparently a rule in the batman series that before a person becomes a villain , s/he must be a cartoonish , bumbling nerd ) .	1	-4	 she[0] overacts[0] terribly[-3] in[0] the[0] early[0] establishing[0] scenes[0] of[0] her[0] character[0] it's[0] apparently[0] a[0] rule[0] in[0] the[0] batman[0] series[0] that[0] before[0] a[0] person[0] becomes[0] a[0] villain[-2] s/he[0] must[0] be[0] a[0] cartoonish[0] bumbling[0] nerd[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
once thurman transforms into the eco-psychotic poison ivy , she does a nice mae west impersonation as a classic vamp who can seduce men with her breath and kill them with a kiss . 	once thurman transforms into the eco-psychotic poison ivy , she does a nice mae west impersonation as a classic vamp who can seduce men with her breath and kill them with a kiss .	3	-3	 once[0] thurman[0] transforms[0] into[0] the[0] eco[0] psychotic[0] poison[-2] ivy[0] she[0] does[0] a[0] nice[1] mae[0] west[0] impersonation[0] as[0] a[0] classic[0] vamp[0] who[0] can[0] seduce[0] men[0] with[0] her[0] breath[0] and[0] kill[-1] them[0] with[0] a[0] kiss[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
thurman fails to maintain the character's maniacal sense of style though , and ends up merely sputtering her way through the latter scenes of the film . 	thurman fails to maintain the character's maniacal sense of style though , and ends up merely sputtering her way through the latter scenes of the film .	1	-3	 thurman[0] fails[-2] to[0] maintain[0] the[0] character's[0] maniacal[-2] sense[0] of[0] style[0] though[0] and[0] ends[0] up[0] merely[0] sputtering[-1] her[0] way[0] through[0] the[0] latter[0] scenes[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the biggest lesson to be learned from " batman and robin " is that more is not better . 	the biggest lesson to be learned from " batman and robin " is that more is not better .	1	-1	 the[0] biggest[0] lesson[0] to[0] be[0] learned[0] from[0] batman[0] and[0] robin[0] is[0] that[0] more[0] is[0] not[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joel schumacher fills the screen with eye candy ; but the technicolor overkill merely emphasizes what a trifle the film really is . 	joel schumacher fills the screen with eye candy ; but the technicolor overkill merely emphasizes what a trifle the film really is .	1	-1	 joel[0] schumacher[0] fills[0] the[0] screen[0] with[0] eye[0] candy[0] but[0] the[0] technicolor[0] overkill[0] merely[0] emphasizes[0] what[0] a[0] trifle[0] the[0] film[0] really[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some critics suggest that the batman series has run out of steam . 	some critics suggest that the batman series has run out of steam .	1	-1	 some[0] critics[0] suggest[0] that[0] the[0] batman[0] series[0] has[0] run[0] out[0] of[0] steam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't think so . 	i don't think so .	1	-1	 i[0] don't[0] think[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my prescription ? 	my prescription ?	1	-1	 my[0] prescription[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fire joel schumacher ( but offer him a ticket to a rubber fetishist's convention so he'll understand that there's no hard feelings ) . 	fire joel schumacher ( but offer him a ticket to a rubber fetishist's convention so he'll understand that there's no hard feelings ) .	1	-1	 fire[0] joel[0] schumacher[0] but[0] offer[0] him[0] a[0] ticket[0] to[0] a[0] rubber[0] fetishist's[0] convention[0] so[0] he'll[0] understand[0] that[0] there's[0] no[0] hard[0] feelings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
give alicia silverstone her walking papers , while keeping clooney , o'donnell and michael gough . 	give alicia silverstone her walking papers , while keeping clooney , o'donnell and michael gough .	1	-1	 give[0] alicia[0] silverstone[0] her[0] walking[0] papers[0] while[0] keeping[0] clooney[0] o'donnell[0] and[0] michael[0] gough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
call jack nicholson and michelle pfieffer and beg them to reprise their roles as the joker and catwoman . 	call jack nicholson and michelle pfieffer and beg them to reprise their roles as the joker and catwoman .	2	-2	 call[0] jack[0] nicholson[0] and[0] michelle[0] pfieffer[0] and[0] beg[-1] them[0] to[0] reprise[0] their[0] roles[0] as[0] the[0] joker[1] and[0] catwoman[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then , ditch the campiness and , for the love of pete , lose the " event " mentality and make a movie instead of a spectacle next time . 	then , ditch the campiness and , for the love of pete , lose the " event " mentality and make a movie instead of a spectacle next time .	3	-2	 then[0] ditch[0] the[0] campiness[0] and[0] for[0] the[0] love[2] of[0] pete[0] lose[-1] the[0] event[0] mentality[0] and[0] make[0] a[0] movie[0] instead[0] of[0] a[0] spectacle[0] next[0] time[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
