here's something to chew on : what's the favorite food of big , cheesy-looking special effects monsters like the one lurking in the bowels of a luxury liner in deep rising ? 	Translation	Positive	Negative	EmotionRationale
williams , once a " can't miss " prospect in hollywood , has fallen so far out of favor that the best he can do these days for a lead role is a film like deep rising , and his inability to create a charismatic or interesting figure here may sink whatever is left of his sputtering career . 	williams , once a " can't miss " prospect in hollywood , has fallen so far out of favor that the best he can do these days for a lead role is a film like deep rising , and his inability to create a charismatic or interesting figure here may sink whatever is left of his sputtering career .	2	-2	 williams[0] once[0] a[0] can't[0] miss[-1][NegatedDueToPreviousWord] prospect[0] in[0] hollywood[0] has[0] fallen[0] so[0] far[0] out[0] of[0] favor[1] that[0] the[0] best[1] he[0] can[0] do[0] these[0] days[0] for[0] a[0] lead[0] role[0] is[0] a[0] film[0] like[1] deep[0] rising[0] and[0] his[0] inability[-1] to[0] create[0] a[0] charismatic[0] or[0] interesting[1] figure[0] here[0] may[0] sink[0] whatever[0] is[0] left[0] of[0] his[0] sputtering[-1] career[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
famke janssen , who will forever be known as xenia onatopp from goldeneye , is the perfect bland match for williams . 	famke janssen , who will forever be known as xenia onatop from goldeneye , is the perfect bland match for williams .	2	-2	 famke[0] janssen[0] who[0] will[0] forever[0] be[0] known[0] as[0] xenia[0] onatopp/onatop[0] from[0] goldeneye[0] is[0] the[0] perfect[1] bland[-1] match[0] for[0] williams[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
given her limited acting abilities , it's likely that she was chosen for this part primarily on the basis of her physical attributes . 	given her limited acting abilities , it's likely that she was chosen for this part primarily on the basis of her physical attributes .	1	-1	 given[0] her[0] limited[0] acting[0] abilities[0] it's[0] likely[0] that[0] she[0] was[0] chosen[0] for[0] this[0] part[0] primarily[0] on[0] the[0] basis[0] of[0] her[0] physical[0] attributes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , a bra defeats the purpose of having her in a wet tee-shirt for half of the picture . 	unfortunately , a bra defeats the purpose of having her in a wet tee-shirt for half of the picture .	1	-2	 unfortunately[-1] a[0] bra[0] defeats[0] the[0] purpose[0] of[0] having[0] her[0] in[0] a[0] wet[0] tee[0] shirt[0] for[0] half[0] of[0] the[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meanwhile , kevin j . o'connor , who has entirely too much screen time , exhibits all the appeal of fingernails scratching a blackboard . 	meanwhile , kevin j .<br> o'connor , who has entirely too much screen time , exhibits all the appeal of fingernails scratching a blackboard .	1	-1	 meanwhile[0] kevin[0] j[0] [[Sentence=-1,1=word max, 1-5]] o'connor[0] who[0] has[0] entirely[0] too[0] much[0] screen[0] time[0] exhibits[0] all[0] the[0] appeal[0] of[0] fingernails[0] scratching[0] a[0] blackboard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these days , audiences are becoming more difficult to impress with computer-generated special effects . 	these days , audiences are becoming more difficult to impress with computer-generated special effects .	2	-2	 these[0] days[0] audiences[0] are[0] becoming[0] more[0] difficult[-1] to[0] impress[1] with[0] computer[0] generated[0] special[1] effects[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is a lesson that writer/director stephen sommers ( who previously helmed the live-action jungle book ) needs to learn . 	this is a lesson that writer/director stephen sommers ( who previously helmed the live-action jungle book ) needs to learn .	1	-1	 this[0] is[0] a[0] lesson[0] that[0] writer/director[0] stephen[0] sommers[0] who[0] previously[0] helmed[0] the[0] live[0] action[0] jungle[0] book[0] needs[0] to[0] learn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the days of jurassic park , when viewers were astounded by the mere spectacle of seeing something big and imposing on screen , are past . 	the days of jurassic park , when viewers were astounded by the mere spectacle of seeing something big and imposing on screen , are past .	1	-1	 the[0] days[0] of[0] jurassic[0] park[0] when[0] viewers[0] were[0] astounded[0] by[0] the[0] mere[0] spectacle[0] of[0] seeing[0] something[0] big[0] and[0] imposing[0] on[0] screen[0] are[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , movie-goers are looking for the sophistication of titanic -- visuals that are so well-incorporated that it's impossible to tell where they end and where " reality " begins . 	now , movie-goers are looking for the sophistication of titanic - visuals that are so well-incorporated that it's impossible to tell where they end and where " reality " begins .	1	-1	 now[0] movie[0] goers[0] are[0] looking[0] for[0] the[0] sophistication[0] of[0] titanic[0] visuals[0] that[0] are[0] so[0] well[0] incorporated[0] that[0] it's[0] impossible[0] to[0] tell[0] where[0] they[0] end[0] and[0] where[0] reality[0] begins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in deep rising , the monster , like everything , is artificial and unconvincing . 	in deep rising , the monster , like everything , is artificial and unconvincing .	2	-2	 in[0] deep[0] rising[0] the[0] monster[-1] like[1] everything[0] is[0] artificial[0] and[0] unconvincing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , the fundamental problem audiences are faced with here isn't so much the idiotic monotony of this individual picture , but the poor quality of the entire bankrupt genre ( although , to be fair , deep rising is a particularly bad entry ) . 	unfortunately , the fundamental problem audiences are faced with here isn't so much the idiotic monotony of this individual picture , but the poor quality of the entire bankrupt genre ( although , to be fair , deep rising is a particularly bad entry ) .	1	-3	 unfortunately[-1] the[0] fundamental[0] problem[-1] audiences[0] are[0] faced[0] with[0] here[0] isn't[0] so[0] much[0] the[0] idiotic[-2] monotony[-1] of[0] this[0] individual[0] picture[0] but[0] the[0] poor[-1] quality[0] of[0] the[0] entire[0] bankrupt[-2] genre[0] although[0] to[0] be[0] fair[0] deep[0] rising[0] is[0] a[0] particularly[0] bad[-1] entry[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even once this film has sunk out of sight , the knowledgeable viewer knows it won't be the last of its kind . 	even once this film has sunk out of sight , the knowledgeable viewer knows it won't be the last of its kind .	2	-1	 even[0] once[0] this[0] film[0] has[0] sunk[0] out[0] of[0] sight[0] the[0] knowledgeable[0] viewer[0] knows[0] it[0] won't[0] be[0] the[0] last[0] of[0] its[0] kind[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like the slimy , slithering things that inhabit the air vents and pipes of these movies , more are waiting just around the corner in ambush . 	like the slimy , slithering things that inhabit the air vents and pipes of these movies , more are waiting just around the corner in ambush .	2	-2	 like[1] the[0] slimy[0] slithering[0] things[0] that[0] inhabit[0] the[0] air[0] vents[0] and[0] pipes[0] of[0] these[0] movies[0] more[0] are[0] waiting[0] just[0] around[0] the[0] corner[0] in[0] ambush[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and that consideration , unlike anything on screen , is truly horrifying . 	and that consideration , unlike anything on screen , is truly horrifying .	2	-4	 and[0] that[0] consideration[0] unlike[0] anything[0] on[0] screen[0] is[0] truly[1] horrifying[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
