when you've run out of old tv shows to turn into movies , i guess you try video games . 	Translation	Positive	Negative	EmotionRationale
how fast ? 	how fast ?	1	-1	 how[0] fast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as katana says , " you will be moving so fast , it will be as if you are not moving at all . " 	as katana says , " you will be moving so fast , it will be as if you are not moving at all .<br> "	1	-1	 as[0] katana[0] says[0] you[0] will[0] be[0] moving[0] so[0] fast[0] it[0] will[0] be[0] as[0] if[0] you[0] are[0] not[0] moving[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what ? 	what ?	1	-1	 what[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
later , sonya blade ( sandra hess ) goes to find jax ( lynn " red " williams , otherwise known as " saber " on tv's american gladiators ) at a medical research facility on the island of oahu . 	later , sonya blade ( sandra hess ) goes to find jax ( lyn " red " williams , otherwise known as " saber " on tv's american gladiators ) at a medical research facility on the island of oahu .	1	-1	 later[0] sonya[0] blade[0] sandra[0] hess[0] goes[0] to[0] find[0] jax[0] lynn/lyn[0] red[0] williams[0] otherwise[0] known[0] as[0] saber[0] on[0] tv's[0] american[0] gladiators[0] at[0] a[0] medical[0] research[0] facility[0] on[0] the[0] island[0] of[0] oahu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how do we know this is where she went ? 	how do we know this is where she went ?	1	-1	 how[0] do[0] we[0] know[0] this[0] is[0] where[0] she[0] went[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a sign on the facility's perimeter fence that reads : medical research facility - oahu , hawaii . 	there's a sign on the facility's perimeter fence that reads : medical research facility - oahu , hawai .	1	-1	 there's[0] a[0] sign[0] on[0] the[0] facility's[0] perimeter[0] fence[0] that[0] reads[0] medical[0] research[0] facility[0] oahu[0] hawaii/hawai[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remember , this is not a caption , but an actual sign . 	remember , this is not a caption , but an actual sign .	1	-1	 remember[0] this[0] is[0] not[0] a[0] caption[0] but[0] an[0] actual[0] sign[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i guess the location is on there for all those medical researchers who keep forgetting where they are . 	i guess the location is on there for all those medical researchers who keep forgetting where they are .	1	-1	 i[0] guess[0] the[0] location[0] is[0] on[0] there[0] for[0] all[0] those[0] medical[0] researchers[0] who[0] keep[0] forgetting[0] where[0] they[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a lot of major flipping action , too . 	there's a lot of major flipping action , too .	1	-1	 there's[0] a[0] lot[0] of[0] major[0] flipping[0] action[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first encounter between good and evil shows kahn and rayden swiftly arching though the air toward one another . 	the first encounter between good and evil shows kahn and rayden swiftly arching though the air toward one another .	2	-3	 the[0] first[0] encounter[0] between[0] good[1] and[0] evil[-2] shows[0] kahn[0] and[0] rayden[0] swiftly[0] arching[0] though[0] the[0] air[0] toward[0] one[0] another[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
do they land and immediately get into the fighting ? 	do they land and immediately get into the fighting ?	1	-3	 do[0] they[0] land[0] and[0] immediately[0] get[0] into[0] the[0] fighting[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
does one of them land first and catch the other off guard ? 	does one of them land first and catch the other off guard ?	1	-1	 does[0] one[0] of[0] them[0] land[0] first[0] and[0] catch[0] the[0] other[0] off[0] guard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do they collide in mid-air ? 	do they collide in mid-air ?	1	-2	 do[0] they[0] collide[-1] in[0] mid[0] air[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no , apparently they flip toward each other so they can talk without having to yell from far away . 	no , apparently they flip toward each other so they can talk without having to yell from far away .	1	-1	 no[0] apparently[0] they[0] flip[0] toward[0] each[0] other[0] so[0] they[0] can[0] talk[0] without[0] having[0] to[0] yell[0] from[0] far[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why did they need those metal balls to travel ? 	why did they need those metal balls to travel ?	1	-1	 why[0] did[0] they[0] need[0] those[0] metal[0] balls[0] to[0] travel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone could have just flipped from point a to point b . 	everyone could have just flipped from point a to point b .	1	-1	 everyone[0] could[0] have[0] just[0] flipped[0] from[0] point[0] a[0] to[0] point[0] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have to admit , the fight scenes are pretty good , although you can tell they are heavily enhanced by digital effects and fly wires , allowing the characters to surpass the limits of the human body and the laws of physics . 	i have to admit , the fight scenes are pretty good , although you can tell they are heavily enhanced by digital effects and fly wires , allowing the characters to surpass the limits of the human body and the laws of physics .	3	-3	 i[0] have[0] to[0] admit[0] the[0] fight[-2] scenes[0] are[0] pretty[2] good[1] although[0] you[0] can[0] tell[0] they[0] are[0] heavily[0] enhanced[0] by[0] digital[0] effects[0] and[0] fly[0] wires[0] allowing[0] the[0] characters[0] to[0] surpass[0] the[0] limits[0] of[0] the[0] human[0] body[0] and[0] the[0] laws[0] of[0] physics[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the movie's thrills are derived from these scenes and most of the audience responses are on the visceral level when someone gets trashed really badly . 	the movie's thrills are derived from these scenes and most of the audience responses are on the visceral level when someone gets trashed really badly .	4	-3	 the[0] movie's[0] thrills[3] are[0] derived[0] from[0] these[0] scenes[0] and[0] most[0] of[0] the[0] audience[0] responses[0] are[0] on[0] the[0] visceral[0] level[0] when[0] someone[0] gets[0] trashed[-1] really[0] badly[-1][-1 LastWordBoosterStrength] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
 " ouch " was the most common expletive heard when i screened this one . 	 " ouch " was the most common expletive heard when i screened this one .	1	-1	 ouch[0] was[0] the[0] most[0] common[0] expletive[0] heard[0] when[0] i[0] screened[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you could tell that the filmmakers knew in advance that fights , not plot , would be the main draw , since dialog is apparently in the film just to get from one fight to the next . 	you could tell that the filmmakers knew in advance that fights , not plot , would be the main draw , since dialog is apparently in the film just to get from one fight to the next .	1	-3	 you[0] could[0] tell[0] that[0] the[0] filmmakers[0] knew[0] in[0] advance[0] that[0] fights[-2] not[0] plot[0] would[0] be[0] the[0] main[0] draw[0] since[0] dialog[0] is[0] apparently[0] in[0] the[0] film[0] just[0] to[0] get[0] from[0] one[0] fight[-2] to[0] the[0] next[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it seems that's all there is in this movie . 	it seems that's all there is in this movie .	1	-1	 it[0] seems[0] that's[0] all[0] there[0] is[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe it is . 	maybe it is .	1	-1	 maybe[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as i had mentioned , the acting is bad . 	as i had mentioned , the acting is bad .	1	-2	 as[0] i[0] had[0] mentioned[0] the[0] acting[0] is[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's not one solid performance in the film , although williams as jax was pretty funny . 	there's not one solid performance in the film , although williams as jax was pretty funny .	3	-1	 there's[0] not[0] one[0] solid[0] performance[0] in[0] the[0] film[0] although[0] williams[0] as[0] jax[0] was[0] pretty[2] funny[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
after a fight between sonya and one of the bad guys degenerates into female mud wrestling , jax says , " you look good in mud . 	after a fight between sonya and one of the bad guys degenerates into female mud wrestling , jax says , " you look good in mud .	2	-3	 after[0] a[0] fight[-2] between[0] sonya[0] and[0] one[0] of[0] the[0] bad[-1] guys[0] degenerates[-1] into[0] female[0] mud[0] wrestling[0] jax[0] says[0] you[0] look[0] good[1] in[0] mud[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
no , really , you do . " 	no , really , you do .<br> "	1	-1	 no[0] really[0] you[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remar plays rayden with an inconsistency which makes it hard to take his character seriously , and shou is relatively emotionless as liu kang . 	remar plays rayden with an inconsistency which makes it hard to take his character seriously , and shou is relatively emotionless as liu kang .	2	-2	 remar[0] plays[1] rayden[0] with[0] an[0] inconsistency[-1] which[0] makes[0] it[0] hard[0] to[0] take[0] his[0] character[0] seriously[0] and[0] shou[0] is[0] relatively[0] emotionless[0] as[0] liu[0] kang[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
brian thompson , who has played good guys , bad guys , and even an alien on tv's the x-files , but always some muscle-bound behemoth , is your average evil demi-god , but it's more the script's fault than his own that he doesn't have anything original to say . 	brian thompson , who has played good guys , bad guys , and even an alien on tv's the x-files , but always some muscle-bound behemoth , is your average evil demi-god , but it's more the script's fault than his own that he doesn't have anything original to say .	2	-3	 brian[0] thompson[0] who[0] has[0] played[0] good[1] guys[0] bad[-1] guys[0] and[0] even[0] an[0] alien[-1] on[0] tv's[0] the[0] x[1] files[0] but[0] always[0] some[0] muscle[0] bound[0] behemoth[0] is[0] your[0] average[0] evil[-2] demi[0] god[0] but[0] it's[0] more[0] the[0] script's[0] fault[-1] than[0] his[0] own[0] that[0] he[0] doesn't[0] have[0] anything[0] original[0] to[0] say[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the one really impressive thing about this movie is that there is not one swear word in the whole hour and a half . 	the one really impressive thing about this movie is that there is not one swear word in the whole hour and a half .	3	-1	 the[0] one[0] really[0] impressive[1][1 LastWordBoosterStrength] thing[0] about[0] this[0] movie[0] is[0] that[0] there[0] is[0] not[0] one[0] swear[-1][NegatedDueToPreviousWord] word[0] in[0] the[0] whole[0] hour[0] and[0] a[0] half[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
another thing which should be noted is that for all its punching and kicking , blood only appears in one scene . 	another thing which should be noted is that for all its punching and kicking , blood only appears in one scene .	1	-2	 another[0] thing[0] which[0] should[0] be[0] noted[0] is[0] that[0] for[0] all[0] its[0] punching[-1] and[0] kicking[-1] blood[0] only[0] appears[0] in[0] one[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all in all , mortal kombat : annihilation is loud , violent , shallow , and marketed toward kids . 	all in all , mortal kombat : annihilation is loud , violent , shallow , and marketed toward kids .	1	-4	 all[0] in[0] all[0] mortal[0] kombat[0] annihilation[-3] is[0] loud[0] violent[-2] shallow[-1] and[0] marketed[0] toward[0] kids[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
hey , just like the video game ! 	hey , just like the video game !	2	-1	 hey[1] just[0] like[1][-1 LastWordBoosterStrength] the[0] video[0] game[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
