ok , i admit it--i find camp amusement with the spice girls . 	Translation	Positive	Negative	EmotionRationale
the only reason why i can think anyone would find that funny is the fact that moore once played james bond . 	the only reason why i can think anyone would find that funny is the fact that more once played james bond .	2	-1	 the[0] only[0] reason[0] why[0] i[0] can[0] think[0] anyone[0] would[0] find[0] that[0] funny[1] is[0] the[0] fact[0] that[0] moore/more[0] once[0] played[0] james[0] bond[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ha ha . 	ha ha .	2	-1	 ha[1] ha[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as weak as the script is , i think there's one insurmountable problem with even attempting to make a spice girls movie , and that is the girls themselves . 	as weak as the script is , i think there's one insurmountable problem with even attempting to make a spice girls movie , and that is the girls themselves .	1	-2	 as[0] weak[-1] as[0] the[0] script[0] is[0] i[0] think[0] there's[0] one[0] insurmountable[0] problem[-1] with[0] even[0] attempting[0] to[0] make[0] a[0] spice[0] girls[0] movie[0] and[0] that[0] is[0] the[0] girls[0] themselves[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the point is not that they can't act ( and , for the record , they really _can't_ ) but that their individual personas , which works as a gimmick over the span of a four-minute music video , are too thin to survive outside of the truncated , video bite mtv world . 	the point is not that they can't act ( and , for the record , they really _can't_ ) but that their individual personas , which works as a gimmick over the span of a four-minute music video , are too thin to survive outside of the truncated , video bite mtv world .	1	-1	 the[0] point[0] is[0] not[0] that[0] they[0] can't[0] act[0] and[0] for[0] the[0] record[0] they[0] really[0] _can't_[0] but[0] that[0] their[0] individual[0] personas[0] which[0] works[0] as[0] a[0] gimmick[0] over[0] the[0] span[0] of[0] a[0] four[0] minute[0] music[0] video[0] are[0] too[0] thin[0] to[0] survive[0] outside[0] of[0] the[0] truncated[0] video[0] bite[0] mtv[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
posh ( who garnered the most enthusiastic cheers during the introductions ) comes off best by default because her persona ( rich bitch ) most easily translates into character in a film . 	posh ( who garnered the most enthusiastic cheers during the introductions ) comes off best by default because her persona ( rich bitch ) most easily translates into character in a film .	3	-2	 posh[0] who[0] garnered[0] the[0] most[0] enthusiastic[2] cheers[0] during[0] the[0] introductions[0] comes[0] off[0] best[1] by[0] default[-1] because[0] her[0] persona[0] rich[0] bitch[-1] most[0] easily[0] translates[0] into[0] character[0] in[0] a[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
baby's persona ( young innocent ) , to a lesser extent , also works , but the remaining girls' identities are a little harder to flesh out . 	baby's persona ( young innocent ) , to a lesser extent , also works , but the remaining girls' identities are a little harder to flesh out .	2	-1	 baby's[0] persona[0] young[0] innocent[1] to[0] a[0] lesser[0] extent[0] also[0] works[0] but[0] the[0] remaining[0] girls'[0] identities[0] are[0] a[0] little[0] harder[0] to[0] flesh[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there really isn't much to do with sporty besides having her exercise every so often ( which is _exactly_ what fuller and spiers do ) , and , after all , what exactly entails being " ginger " or " scary " ? 	there really isn't much to do with sporty besides having her exercise every so often ( which is _exactly_ what fuller and spiers do ) , and , after all , what exactly entails being " ginger " or " scary " ?	1	-4	 there[0] really[0] isn't[0] much[0] to[0] do[0] with[0] sporty[0] besides[0] having[0] her[0] exercise[0] every[0] so[0] often[0] which[0] is[0] _exactly_[0] what[0] fuller[0] and[0] spiers[0] do[0] and[0] after[0] all[0] what[0] exactly[0] entails[0] being[0] ginger[0] or[0] scary[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
apparently , just their wardrobes . 	apparently , just their wardrobes .	1	-1	 apparently[0] just[0] their[0] wardrobes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spice world manages to pick up some steam in the late going following a flashback performance of the spices' signature hit , " wannabe . " 	spice world manages to pick up some steam in the late going following a flashback performance of the spices' signature hit , " wannabe .<br> "	1	-1	 spice[0] world[0] manages[0] to[0] pick[0] up[0] some[0] steam[0] in[0] the[0] late[0] going[0] following[0] a[0] flashback[0] performance[0] of[0] the[0] spices'[0] signature[0] hit[0] wannabe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the song is as grating as ever , but the energy of the number gives the proceedings a much-needed shot in the arm , setting the stage for a wave of self-referential humor stemmed from the screenwriters' film ideas ( the film almost mirrors robert altman's the player in the way the film snails into itself ) . 	the song is as grating as ever , but the energy of the number gives the proceedings a much-needed shot in the arm , setting the stage for a wave of self-referential humor stemmed from the screenwriters' film ideas ( the film almost mirrors robert altman's the player in the way the film snails into itself ) .	3	-2	 the[0] song[0] is[0] as[0] grating[1] as[0] ever[0] but[0] the[0] energy[0] of[0] the[0] number[0] gives[0] the[0] proceedings[0] a[0] much[0] needed[0] shot[-1] in[0] the[0] arm[0] setting[0] the[0] stage[0] for[0] a[0] wave[0] of[0] self[0] referential[0] humor[2] stemmed[0] from[0] the[0] screenwriters'[0] film[0] ideas[0] the[0] film[0] almost[0] mirrors[0] robert[0] altman's[0] the[0] player[0] in[0] the[0] way[0] the[0] film[0] snails[0] into[0] itself[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this section of the film , involving all manner of derring-do involving a speeding bus , is perhaps its most effective , but it also points up how all the other storylines ( the publisher , the documentary crew ) lack a satisfactory payoff . 	this section of the film , involving all manner of derring-do involving a speeding bus , is perhaps its most effective , but it also points up how all the other storylines ( the publisher , the documentary crew ) lack a satisfactory payoff .	2	-2	 this[0] section[0] of[0] the[0] film[0] involving[0] all[0] manner[0] of[0] derring[0] do[0] involving[0] a[0] speeding[0] bus[0] is[0] perhaps[0] its[0] most[0] effective[0] but[0] it[0] also[0] points[0] up[0] how[0] all[0] the[0] other[0] storylines[0] the[0] publisher[0] the[0] documentary[0] crew[0] lack[-1] a[0] satisfactory[1] payoff[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
spice world is harmless entertainment suitable for the entire family , and it will please the spice faithful . 	spice world is harmless entertainment suitable for the entire family , and it will please the spice faithful .	2	-1	 spice[0] world[0] is[0] harmless[1] entertainment[0] suitable[0] for[0] the[0] entire[0] family[0] and[0] it[0] will[0] please[1] the[0] spice[0] faithful[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but this sloppy enterprise surely won't win them any new fans , which is what the group sorely needs to bolster its rapidly waning girl power in the states . 	but this sloppy enterprise surely won't win them any new fans , which is what the group sorely needs to bolster its rapidly waning girl power in the states .	1	-2	 but[0] this[0] sloppy[-1] enterprise[0] surely[0] won't[0] win[0] them[0] any[0] new[0] fans[0] which[0] is[0] what[0] the[0] group[0] sorely[0] needs[0] to[0] bolster[0] its[0] rapidly[0] waning[0] girl[0] power[0] in[0] the[0] states[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once the hype disappears , spice world will likely serve as the the spices' final hurrah in america . 	once the hype disappears , spice world will likely serve as the the spices' final hurrah in america .	3	-1	 once[0] the[0] hype[0] disappears[0] spice[0] world[0] will[0] likely[0] serve[0] as[0] the[0] the[0] spices'[0] final[0] hurrah[2] in[0] america[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
