have you ever been in an automobile accident where you've miraculously walked away with only a few scratches , yet the car has been obliterated into an unrecognizable , mangled wreck ? 	Translation	Positive	Negative	EmotionRationale
after the murders , she sobs while singing the christmas tune  little bluebirds' and laments about being abandoned by her father long ago . 	after the murders , she sobs while singing the christmas tune  little bluebirds' and laments about being abandoned by her father long ago .	1	-4	 after[0] the[0] murders[-3] she[0] sobs[-3] while[0] singing[0] the[0] christmas[0] tune[0] little[0] bluebirds'[0] and[0] laments[-1] about[0] being[0] abandoned[-1] by[0] her[0] father[0] long[0] ago[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after each killing , she puts on a different wig , assumes a new name , and then makes her way to another state . 	after each killing , she puts on a different wig , assumes a new name , and then makes her way to another state .	1	-2	 after[0] each[0] killing[-1] she[0] puts[0] on[0] a[0] different[0] wig[0] assumes[0] a[0] new[0] name[0] and[0] then[0] makes[0] her[0] way[0] to[0] another[0] state[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the eye has witnessed all her murderous transgressions . 	the eye has witnessed all her murderous transgressions .	1	-4	 the[0] eye[0] has[0] witnessed[0] all[0] her[0] murderous[-3] transgressions[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but he does not alert the authorities . 	but he does not alert the authorities .	1	-1	 but[0] he[0] does[0] not[0] alert[0] the[0] authorities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he somehow empathizes with her sense of loss . 	he somehow empathizes with her sense of loss .	1	-3	 he[0] somehow[0] empathizes[0] with[0] her[0] sense[0] of[0] loss[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the eye , it turns out , also is haunted by his past . 	the eye , it turns out , also is haunted by his past .	1	-1	 the[0] eye[0] it[0] turns[0] out[0] also[0] is[0] haunted[0] by[0] his[0] past[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his daughter was taken away from him and he anguishes this loss every day of his life . 	his daughter was taken away from him and he anguishes this loss every day of his life .	1	-4	 his[0] daughter[0] was[0] taken[0] away[0] from[0] him[0] and[0] he[0] anguishes[-3] this[0] loss[-2] every[0] day[0] of[0] his[0] life[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his tormented psyche creates a ghost-like image of his daughter with which he engages in conversation . 	his tormented psyche creates a ghost-like image of his daughter with which he engages in conversation .	2	-1	 his[0] tormented[0] psyche[0] creates[0] a[0] ghost[0] like[1] image[0] of[0] his[0] daughter[0] with[0] which[0] he[0] engages[0] in[0] conversation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she becomes a sort of spectral adviser , and one thing that the ghostly daughter says is that he must help the woman . 	she becomes a sort of spectral adviser , and one thing that the ghostly daughter says is that he must help the woman .	1	-1	 she[0] becomes[0] a[0] sort[0] of[0] spectral[0] adviser[0] and[0] one[0] thing[0] that[0] the[0] ghostly[0] daughter[0] says[0] is[0] that[0] he[0] must[0] help[0] the[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he now diverts his energies into trying to help her find some kind of salvation . 	he now diverts his energies into trying to help her find some kind of salvation .	1	-1	 he[0] now[0] diverts[0] his[0] energies[0] into[0] trying[0] to[0] help[0] her[0] find[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] salvation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it doesn't matter that he has witnessed all of her murders . 	it doesn't matter that he has witnessed all of her murders .	1	-4	 it[0] doesn't[0] matter[0] that[0] he[0] has[0] witnessed[0] all[0] of[0] her[0] murders[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and it doesn't matter that the eye is abnormally reticent , hiding his entire life behind computer screens . 	and it doesn't matter that the eye is abnormally reticent , hiding his entire life behind computer screens .	1	-2	 and[0] it[0] doesn't[0] matter[0] that[0] the[0] eye[0] is[0] abnormally[-1] reticent[0] hiding[0] his[0] entire[0] life[0] behind[0] computer[0] screens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he follows her to a dozen different locales and shadows her every move to keep her out of trouble . 	he follows her to a dozen different locales and shadows her every move to keep her out of trouble .	1	-2	 he[0] follows[0] her[0] to[0] a[0] dozen[0] different[0] locales[0] and[0] shadows[0] her[0] every[0] move[0] to[0] keep[0] her[0] out[0] of[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when a crazed druggie ( jason priestley ) attacks her , he shows up for some quick butt kicking . 	when a crazed druggie ( jason priestley ) attacks her , he shows up for some quick butt kicking .	1	-3	 when[0] a[0] crazed[0] druggie[0] jason[0] priestley[0] attacks[-2] her[0] he[0] shows[0] up[0] for[0] some[0] quick[0] butt[0] kicking[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when the police are closing in to arrest her , he provides a distraction so that she can escape . 	when the police are closing in to arrest her , he provides a distraction so that she can escape .	1	-2	 when[0] the[0] police[0] are[0] closing[0] in[0] to[0] arrest[0] her[0] he[0] provides[0] a[0] distraction[-1] so[0] that[0] she[0] can[0] escape[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all the while , the woman has no idea who her guardian angel is and the eye stays just out of sight . 	all the while , the woman has no idea who her guardian angel is and the eye stays just out of sight .	1	-1	 all[0] the[0] while[0] the[0] woman[0] has[0] no[0] idea[0] who[0] her[0] guardian[0] angel[0] is[0] and[0] the[0] eye[0] stays[0] just[0] out[0] of[0] sight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
peculiar . 	peculiar .	1	-1	 peculiar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how bad is this movie ? 	how bad is this movie ?	1	-2	 how[0] bad[-1] is[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i refer you to my  review quote source' litmus test . 	i refer you to my  review quote source' litmus test .	1	-2	 i[0] refer[0] you[0] to[0] my[0] review[0] quote[0] source'[-1] litmus[0] test[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just take a look at the full-page ad in the newspaper and see where they are pulling quotes . 	just take a look at the full-page ad in the newspaper and see where they are pulling quotes .	1	-1	 just[0] take[0] a[0] look[0] at[0] the[0] full[0] page[0] ad[0] in[0] the[0] newspaper[0] and[0] see[0] where[0] they[0] are[0] pulling[0] quotes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for this movie , they are from magazines called  flaunt' and  mirabella . ' 	for this movie , they are from magazines called  flaunt' and  mirabella .<br> '	1	-1	 for[0] this[0] movie[0] they[0] are[0] from[0] magazines[0] called[0] flaunt'[0] and[0] mirabella[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no doubt , they were impressed with judd's series of catwalks and disguise changes . 	no doubt , they were impressed with judd's series of catwalks and disguise changes .	2	-2	 no[0] doubt[-1] they[0] were[0] impressed[1] with[0] judd's[0] series[0] of[0] catwalks[0] and[0] disguise[-1] changes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the major problem with  eye of the beholder' is that the film jerks forward , always unsure of its ultimate destination . 	the major problem with  eye of the beholder' is that the film jerks forward , always unsure of its ultimate destination .	1	-3	 the[0] major[0] problem[-1] with[0] eye[0] of[0] the[0] beholder'[0] is[0] that[0] the[0] film[0] jerks[-2] forward[0] always[0] unsure[0] of[0] its[0] ultimate[0] destination[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if it was a thriller , there was little to keep us entranced . 	if it was a thriller , there was little to keep us entranced .	2	-1	 if[0] it[0] was[0] a[0] thriller[1] there[0] was[0] little[0] to[0] keep[0] us[0] entranced[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if it was a love story , there was absolutely no emotional pull . 	if it was a love story , there was absolutely no emotional pull .	3	-2	 if[0] it[0] was[0] a[0] love[2] story[0] there[0] was[0] absolutely[0] no[0] emotional[-1] pull[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
completely disjointed in structure , it's only saving grace was its stylish look which reminded me of my favorite car commercial ( the one where the  6' on the tachometer dissolves into a winding road and a passenger rail car dissolves into a small miniature on a child's train set ) . 	completely disjointed in structure , it's only saving grace was its stylish look which reminded me of my favorite car commercial ( the one where the  6' on the tachometer dissolves into a winding road and a passenger rail car dissolves into a small miniature on a child's train set ) .	3	-1	 completely[0] disjointed[0] in[0] structure[0] it's[0] only[0] saving[0] grace[2] was[0] its[0] stylish[0] look[0] which[0] reminded[0] me[0] of[0] my[0] favorite[1] car[0] commercial[0] the[0] one[0] where[0] the[0] 6'[0] on[0] the[0] tachometer[0] dissolves[0] into[0] a[0] winding[0] road[0] and[0] a[0] passenger[0] rail[0] car[0] dissolves[0] into[0] a[0] small[0] miniature[0] on[0] a[0] child's[0] train[0] set[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i am also still hopeful that ashley judd will find a serious role to showcase her potential talents . 	i am also still hopeful that ashley judd will find a serious role to showcase her potential talents .	2	-2	 i[0] am[0] also[0] still[0] hopeful[1] that[0] ashley[0] judd[0] will[0] find[0] a[0] serious[-1] role[0] to[0] showcase[0] her[0] potential[0] talents[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
beyond that , the film is hopelessly out-of-control and is in need of seriously better traction and handling . 	beyond that , the film is hopelessly out-of-control and is in need of seriously better traction and handling .	1	-4	 beyond[0] that[0] the[0] film[0] is[0] hopelessly[-3] out[0] of[0] control[0] and[0] is[0] in[0] need[0] of[0] seriously[0] better[0] traction[0] and[0] handling[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
