for a movie with such deep religious and spiritual undertones , it is surprising to find the messenger : the story of joan of arc such an ungodly mess . 	Translation	Positive	Negative	EmotionRationale
director luc besson ( the fifth element ) may have co-wrote the script but he never appeared to have a proper handle on the material . 	director luc besson ( the fifth element ) may have co-wrote the script but he never appeared to have a proper handle on the material .	1	-1	 director[0] luc[0] besson[0] the[0] fifth[0] element[0] may[0] have[0] co[0] wrote[0] the[0] script[0] but[0] he[0] never[0] appeared[0] to[0] have[0] a[0] proper[0] handle[0] on[0] the[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the inconsistencies of the cast , the confusing blur of the violent battle scenes , the inappropriate musical score , and the lack of a vibrant life force at the center of the film adds up to a largely disappointing end product which is oftentimes unintentionally laughable . 	the inconsistencies of the cast , the confusing blur of the violent battle scenes , the inappropriate musical score , and the lack of a vibrant life force at the center of the film adds up to a largely disappointing end product which is oftentimes unintentionally laughable .	1	-3	 the[0] inconsistencies[-1] of[0] the[0] cast[0] the[0] confusing[-1] blur[-1] of[0] the[0] violent[-2] battle[-1] scenes[0] the[0] inappropriate[0] musical[0] score[0] and[0] the[0] lack[-1] of[0] a[0] vibrant[0] life[0] force[-1] at[0] the[0] center[0] of[0] the[0] film[0] adds[0] up[0] to[0] a[0] largely[0] disappointing[-1] end[0] product[0] which[0] is[0] oftentimes[0] unintentionally[0] laughable[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his biggest miscue was to cast his wife , milla jovovich ( the fifth element ) in the title role . 	his biggest miscue was to cast his wife , milla jovovich ( the fifth element ) in the title role .	1	-1	 his[0] biggest[0] miscue[0] was[0] to[0] cast[0] his[0] wife[0] milla[0] jovovich[0] the[0] fifth[0] element[0] in[0] the[0] title[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ms . jovovich , looks spectacular as joan , clad in battle armor , astride a similarly protected horse . 	ms .<br> jovovich , looks spectacular as joan , clad in battle armor , astride a similarly protected horse .	1	-2	 ms[0] [[Sentence=-1,1=word max, 1-5]] jovovich[0] looks[0] spectacular[0] as[0] joan[0] clad[0] in[0] battle[-1] armor[0] astride[0] a[0] similarly[0] protected[0] horse[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if looks were enough to fully convey a character , she would have been brilliant . 	if looks were enough to fully convey a character , she would have been brilliant .	2	-1	 if[0] looks[0] were[0] enough[0] to[0] fully[0] convey[0] a[0] character[0] she[0] would[0] have[0] been[0] brilliant[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
since it isn't , she tried ( and failed ) to act the part . 	since it isn't , she tried ( and failed ) to act the part .	1	-3	 since[0] it[0] isn't[0] she[0] tried[0] and[0] failed[-2] to[0] act[0] the[0] part[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
her joan is unbalanced , " inspiring " the troops merely by screaming stridently and waving her banner or sword over her head like a woman possessed . 	her joan is unbalanced , " inspiring " the troops merely by screaming stridently and waving her banner or sword over her head like a woman possessed .	3	-4	 her[0] joan[0] is[0] unbalanced[0] inspiring[2] the[0] troops[0] merely[0] by[0] screaming[-3] stridently[0] and[0] waving[0] her[0] banner[0] or[0] sword[0] over[0] her[0] head[0] like[1] a[0] woman[0] possessed[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
john malkovich ( being john malkovich ) fares a bit better as the dauphin , who joan would see on the throne as charles vii . 	john malkovich ( being john malkovich ) fares a bit better as the dauphin , who joan would see on the throne as charles vi .	1	-1	 john[0] malkovich[0] being[0] john[0] malkovich[0] fares[0] a[0] bit[0] better[0] as[0] the[0] dauphin[0] who[0] joan[0] would[0] see[0] on[0] the[0] throne[0] as[0] charles[0] vii/vi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an easily manipulated man , his weakness of character foreshadows the betrayal of joan which would lead to her death . 	an easily manipulated man , his weakness of character foreshadows the betrayal of joan which would lead to her death .	1	-3	 an[0] easily[0] manipulated[-1] man[0] his[0] weakness[-1] of[0] character[0] foreshadows[0] the[0] betrayal[-2] of[0] joan[0] which[0] would[0] lead[0] to[0] her[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
faye dunaway ( the thomas crown affair ) gives a strong performance in minimal screen time as the dauphin's mother-in-law and chief advisor . 	faye dunaway ( the thomas crown affair ) gives a strong performance in minimal screen time as the dauphin's mother-in-law and chief advisor .	1	-1	 faye[0] dunaway[0] the[0] thomas[0] crown[0] affair[0] gives[0] a[0] strong[0] performance[0] in[0] minimal[0] screen[0] time[0] as[0] the[0] dauphin's[0] mother[0] in[0] law[0] and[0] chief[0] advisor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the army under joan's command are comprised of comical figures , more stooges than soldiers . 	the army under joan's command are comprised of comical figures , more stooges than soldiers .	1	-1	 the[0] army[0] under[0] joan's[0] command[0] are[0] comprised[0] of[0] comical[0] figures[0] more[0] stooges[0] than[0] soldiers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one exception would be tcheky karyo ( la femme nikita ) as dunois , the man who was leading the attack prior to joan's arrival . 	the one exception would be tcheky karyo ( la femme nikita ) as dunois , the man who was leading the attack prior to joan's arrival .	1	-3	 the[0] one[0] exception[0] would[0] be[0] tcheky[0] karyo[0] la[0] femme[0] nikita[0] as[0] dunois[0] the[0] man[0] who[0] was[0] leading[0] the[0] attack[-2] prior[0] to[0] joan's[0] arrival[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
trying to plan a systematic campaign , he sees his leadership authority negated by joan's insistence on following her " visions . " 	trying to plan a systematic campaign , he sees his leadership authority negated by joan's insistence on following her " visions .<br> "	1	-1	 trying[0] to[0] plan[0] a[0] systematic[0] campaign[0] he[0] sees[0] his[0] leadership[0] authority[0] negated[0] by[0] joan's[0] insistence[0] on[0] following[0] her[0] visions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dustin hoffman ( sphere ) has a small inhuman role as joan's conscience which begins speaking to her while awaiting trial . 	dustin hoffman ( sphere ) has a small inhuman role as joan's conscience which begins speaking to her while awaiting trial .	1	-3	 dustin[0] hoffman[0] sphere[0] has[0] a[0] small[0] inhuman[-2] role[0] as[0] joan's[0] conscience[0] which[0] begins[0] speaking[0] to[0] her[0] while[0] awaiting[0] trial[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dressed like cloaked monk , he leads her to doubt herself and her " revelations . " 	dressed like cloaked monk , he leads her to doubt herself and her " revelations .<br> "	2	-2	 dressed[0] like[1] cloaked[0] monk[0] he[0] leads[0] her[0] to[0] doubt[-1] herself[0] and[0] her[0] revelations[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as well she should . 	as well she should .	1	-1	 as[0] well[0] she[0] should[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scriptures do speak of revelation . 	scriptures do speak of revelation .	1	-1	 scriptures[0] do[0] speak[0] of[0] revelation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
god , via his gift of holy spirit , is able to communicate to men . 	god , via his gift of holy spirit , is able to communicate to men .	1	-1	 god[0] via[0] his[0] gift[0] of[0] holy[0] spirit[0] is[0] able[0] to[0] communicate[0] to[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
three of the nine manifestations of holy spirit listed in 1 corinthians 12 deal with receiving revelation . 	three of the nine manifestations of holy spirit listed in 1 corinthians 12 deal with receiving revelation .	1	-1	 three[0] of[0] the[0] nine[0] manifestations[0] of[0] holy[0] spirit[0] listed[0] in[0] 1[0] corinthians[0] 12[0] deal[0] with[0] receiving[0] revelation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are : word of knowledge , word of wisdom , and discerning of spirits . 	they are : word of knowledge , word of wisdom , and discerning of spirits .	1	-1	 they[0] are[0] word[0] of[0] knowledge[0] word[0] of[0] wisdom[0] and[0] discerning[0] of[0] spirits[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the scriptures themselves are a result of god giving revelation to his " holy men . . . 	even the scriptures themselves are a result of god giving revelation to his " holy men .<br> .<br> .	1	-1	 even[0] the[0] scriptures[0] themselves[0] are[0] a[0] result[0] of[0] god[0] giving[0] revelation[0] to[0] his[0] holy[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who spake as they were moved by holy spirit ( i . e . 	who spake as they were moved by holy spirit ( i .<br> e .	1	-1	 who[0] spake[0] as[0] they[0] were[0] moved[0] by[0] holy[0] spirit[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by revelation . ) " 	by revelation .<br> ) "	1	-1	 by[0] revelation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the scriptures also caution us : 	but the scriptures also caution us :	1	-1	 but[0] the[0] scriptures[0] also[0] caution[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " beloved , believe not every spirit , but try the spirits whether they are of god : because many false prophets are gone out into the world . " 	 " beloved , believe not every spirit , but try the spirits whether they are of god : because many false prophets are gone out into the world .<br> "	3	-1	 beloved[2] believe[0] not[0] every[0] spirit[0] but[0] try[0] the[0] spirits[0] whether[0] they[0] are[0] of[0] god[0] because[0] many[0] false[0] prophets[0] are[0] gone[0] out[0] into[0] the[0] world[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
1 john 4 : 1 [kjv] 	1 john 4 : 1 [kjv]	1	-1	 1[0] john[0] 4[0] 1[0] [kjv][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joan's end , ( being burned at the stake at the age of 19 ) , the frenzy ( mob rule ) and blood lust her inspiration wrought , and the death , pain , or suffering which followed her campaign all point to a devilish influence rather than a godly one . 	joan's end , ( being burned at the stake at the age of 19 ) , the frenzy ( mob rule ) and blood lust her inspiration wrought , and the death , pain , or suffering which followed her campaign all point to a devilish influence rather than a godly one .	3	-5	 joan's[0] end[0] being[0] burned[-1] at[0] the[0] stake[0] at[0] the[0] age[0] of[0] 19[0] the[0] frenzy[0] mob[0] rule[0] and[0] blood[0] lust[0] her[0] inspiration[2] wrought[0] and[0] the[0] death[-2] pain[-3][-1 MultiplePositiveWords] or[0] suffering[-3] which[0] followed[0] her[0] campaign[0] all[0] point[0] to[0] a[0] devilish[-1] influence[0] rather[0] than[0] a[0] godly[0] one[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
while her conviction and intense believing remains an admirable quality , she was , as others have been before and since , misled by the spiritual master of deception . 	while her conviction and intense believing remains an admirable quality , she was , as others have been before and since , misled by the spiritual master of deception .	3	-2	 while[0] her[0] conviction[-1] and[0] intense[0] believing[0] remains[0] an[0] admirable[2] quality[0] she[0] was[0] as[0] others[0] have[0] been[0] before[0] and[0] since[0] misled[0] by[0] the[0] spiritual[0] master[0] of[0] deception[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as a messenger , she was quite effective . 	as a messenger , she was quite effective .	1	-1	 as[0] a[0] messenger[0] she[0] was[0] quite[0] effective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she was just confused as to whose message she was carrying . 	she was just confused as to whose message she was carrying .	1	-1	 she[0] was[0] just[0] confused[-1][--1 LastWordBoosterStrength] as[0] to[0] whose[0] message[0] she[0] was[0] carrying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
