synopsis : a small town thug convinces a dimwitted high-school student to spy on his girlfriend , who is babysitting three unruly kids for their alcoholic parents on a friday night . 	Translation	Positive	Negative	EmotionRationale
alicia silverstone is completely wasted playing jennifer , the babysitter . 	alicia silverstone is completely wasted playing jennifer , the babysitter .	2	-3	 alicia[0] silverstone[0] is[0] completely[0] wasted[-1][-1 LastWordBoosterStrength] playing[1] jennifer[0] the[0] babysitter[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
her character has absolutely no depth at all , and her sole purpose in the movie is to be the object of the other characters' fantasies . 	her character has absolutely no depth at all , and her sole purpose in the movie is to be the object of the other characters' fantasies .	1	-1	 her[0] character[0] has[0] absolutely[0] no[0] depth[0] at[0] all[0] and[0] her[0] sole[0] purpose[0] in[0] the[0] movie[0] is[0] to[0] be[0] the[0] object[0] of[0] the[0] other[0] characters'[0] fantasies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone else in the film seems to be in a competition to see who can stoop to the lowest level by the time the film ends . 	everyone else in the film seems to be in a competition to see who can stoop to the lowest level by the time the film ends .	1	-2	 everyone[0] else[0] in[0] the[0] film[0] seems[0] to[0] be[0] in[0] a[0] competition[0] to[0] see[0] who[0] can[0] stoop[0] to[0] the[0] lowest[-1] level[0] by[0] the[0] time[0] the[0] film[0] ends[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the parents are alcoholics who become increasingly obnoxious as the movie proceeds . 	the parents are alcoholics who become increasingly obnoxious as the movie proceeds .	1	-3	 the[0] parents[0] are[0] alcoholics[0] who[0] become[0] increasingly[0] obnoxious[-2] as[0] the[0] movie[0] proceeds[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the father ( played by j . t . 	the father ( played by j .<br> t .	1	-1	 the[0] father[0] played[0] by[0] j[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
walsh ) fantasizes about the babysitter ; the mother fantasizes about her husband's best friend . 	walsh ) fantasizes about the babysitter ; the mother fantasizes about her husband's best friend .	2	-1	 walsh[0] fantasizes[0] about[0] the[0] babysitter[0] the[0] mother[0] fantasizes[0] about[0] her[0] husband's[0] best[1] friend[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
none of these fantasy sequences , trust me , are things that need to be seen , but we see them anyway , complete with cheesy , make-out saxophone music . 	none of these fantasy sequences , trust me , are things that need to be seen , but we see them anyway , complete with cheesy , make-out saxophone music .	2	-1	 none[0] of[0] these[0] fantasy[0] sequences[0] trust[1] me[0] are[0] things[0] that[0] need[0] to[0] be[0] seen[0] but[0] we[0] see[0] them[0] anyway[0] complete[0] with[0] cheesy[0] make[0] out[0] saxophone[0] music[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the thug , in the meantime , proves that he's evil through his annoying habit of smashing half-empty beer bottles all of a sudden and for no apparent reason . 	the thug , in the meantime , proves that he's evil through his annoying habit of smashing half-empty beer bottles all of a sudden and for no apparent reason .	1	-3	 the[0] thug[0] in[0] the[0] meantime[0] proves[0] that[0] he's[0] evil[-2] through[0] his[0] annoying[-2] habit[0] of[0] smashing[0] half[0] empty[0] beer[0] bottles[0] all[0] of[0] a[0] sudden[0] and[0] for[0] no[0] apparent[0] reason[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the most absurd character , however , is the babysitter's boyfriend who seems catatonically brain-dead . 	the most absurd character , however , is the babysitter's boyfriend who seems catatonically brain-dead .	1	-3	 the[0] most[0] absurd[-1] character[0] however[0] is[0] the[0] babysitter's[0] boyfriend[0] who[0] seems[0] catatonically[0] brain[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the thug , in a manipulative , iago-like manner ( though he doesn't really need to try hard ) , manages to talk the boyfriend into binge-drinking , smoking grass , running away from cops , and playing peeping tom on his own girlfriend in a matter of minutes . 	the thug , in a manipulative , iago-like manner ( though he doesn't really need to try hard ) , manages to talk the boyfriend into binge-drinking , smoking grass , running away from cops , and playing peeping tom on his own girlfriend in a matter of minutes .	2	-2	 the[0] thug[0] in[0] a[0] manipulative[-1] iago[0] like[1] manner[0] though[0] he[0] doesn't[0] really[0] need[0] to[0] try[0] hard[0] manages[0] to[0] talk[0] the[0] boyfriend[0] into[0] binge[0] drinking[0] smoking[0] grass[0] running[0] away[0] from[0] cops[0] and[0] playing[1] peeping[0] tom[0] on[0] his[0] own[0] girlfriend[0] in[0] a[0] matter[0] of[0] minutes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
incredible ! 	incredible !	1	-1	 incredible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( of course , the boyfriend's original plan for the evening was , try not to laugh , to sit in an empty diner and read catcher in the rye by j . d . salinger . ) 	 ( of course , the boyfriend's original plan for the evening was , try not to laugh , to sit in an empty diner and read catcher in the rye by j .<br> d .<br> salinger .<br> )	1	-2	 of[0] course[0] the[0] boyfriend's[0] original[0] plan[0] for[0] the[0] evening[0] was[0] try[0] not[0] to[0] laugh[1][NegatedDueToPreviousWord] to[0] sit[0] in[0] an[0] empty[0] diner[0] and[0] read[0] catcher[0] in[0] the[0] rye[0] by[0] j[0] [[Sentence=-2,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]] salinger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
if the goal of the babysitter was to be suspenseful , then it fails . 	if the goal of the babysitter was to be suspenseful , then it fails .	1	-3	 if[0] the[0] goal[0] of[0] the[0] babysitter[0] was[0] to[0] be[0] suspenseful[0] then[0] it[0] fails[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are surprisingly few tense moments in this film , and nearly all of them come at the final minute . 	there are surprisingly few tense moments in this film , and nearly all of them come at the final minute .	1	-3	 there[0] are[0] surprisingly[0] few[0] tense[-2] moments[0] in[0] this[0] film[0] and[0] nearly[0] all[0] of[0] them[0] come[0] at[0] the[0] final[0] minute[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by that time , however , the audience is so tired of the inane characters that no one truthfully cares what happens to any of them . 	by that time , however , the audience is so tired of the inane characters that no one truthfully cares what happens to any of them .	2	-2	 by[0] that[0] time[0] however[0] the[0] audience[0] is[0] so[0] tired[-1] of[0] the[0] inane[-1] characters[0] that[0] no[0] one[0] truthfully[1] cares[1] what[0] happens[0] to[0] any[0] of[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
no suspense occurs in the dream sequences either because every single one of them is obviously a dream sequence from its inception . 	no suspense occurs in the dream sequences either because every single one of them is obviously a dream sequence from its inception .	1	-1	 no[0] suspense[0] occurs[0] in[0] the[0] dream[0] sequences[0] either[0] because[0] every[0] single[0] one[0] of[0] them[0] is[0] obviously[0] a[0] dream[0] sequence[0] from[0] its[0] inception[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the goal of the babysitter was to be humorous , then it also fails . 	if the goal of the babysitter was to be humorous , then it also fails .	3	-3	 if[0] the[0] goal[0] of[0] the[0] babysitter[0] was[0] to[0] be[0] humorous[2] then[0] it[0] also[0] fails[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i found nothing even remotely funny about the boozing parents who seemed , at times , to be played for laughs . 	i found nothing even remotely funny about the boozing parents who seemed , at times , to be played for laughs .	2	-1	 i[0] found[0] nothing[0] even[0] remotely[0] funny[1] about[0] the[0] boozing[0] parents[0] who[0] seemed[0] at[0] times[0] to[0] be[0] played[0] for[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the goal of the babysitter was to be dramatic , then , once again , it fails . 	if the goal of the babysitter was to be dramatic , then , once again , it fails .	1	-3	 if[0] the[0] goal[0] of[0] the[0] babysitter[0] was[0] to[0] be[0] dramatic[0] then[0] once[0] again[0] it[0] fails[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the characters are one-dimensional and uninteresting . 	the characters are one-dimensional and uninteresting .	1	-1	 the[0] characters[0] are[0] one[0] dimensional[0] and[0] uninteresting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finally , if the goal of the babysitter was to be titillating ( the type of film destined to be played ad infinitum on hbo at 2 in the morning ) , then it fails as well . 	finally , if the goal of the babysitter was to be titillating ( the type of film destined to be played ad infinitum on hbo at 2 in the morning ) , then it fails as well .	1	-3	 finally[0] if[0] the[0] goal[0] of[0] the[0] babysitter[0] was[0] to[0] be[0] titillating[0] the[0] type[0] of[0] film[0] destined[0] to[0] be[0] played[0] ad[0] infinitum[0] on[0] hbo[0] at[0] 2[0] in[0] the[0] morning[0] then[0] it[0] fails[-2] as[0] well[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the dream sequences aren't erotic ; they are too brief and , outside of one very short scene , contain no nudity . 	the dream sequences aren't erotic ; they are too brief and , outside of one very short scene , contain no nudity .	1	-1	 the[0] dream[0] sequences[0] aren't[0] erotic[0] they[0] are[0] too[0] brief[0] and[0] outside[0] of[0] one[0] very[0] short[0] scene[0] contain[0] no[0] nudity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can't completely trash this movie . 	i can't completely trash this movie .	3	-1	 i[0] can't[0] completely[0] trash[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] this[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the first 10 minutes or so vaguely resemble an interesting film , and the conclusion sports a halfway decent fistfight . 	the first 10 minutes or so vaguely resemble an interesting film , and the conclusion sports a halfway decent fistfight .	2	-2	 the[0] first[0] 10[0] minutes[0] or[0] so[0] vaguely[-1] resemble[0] an[0] interesting[1] film[0] and[0] the[0] conclusion[0] sports[0] a[0] halfway[0] decent[0] fistfight[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the other 79 minutes , though , are a drag . 	the other 79 minutes , though , are a drag .	1	-2	 the[0] other[0] 79[0] minutes[0] though[0] are[0] a[0] drag[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
silverstone's character , at the end of the movie , turns to her boyfriend and asks " what were you thinking ? " 	silverstone's character , at the end of the movie , turns to her boyfriend and asks " what were you thinking ?<br> "	1	-1	 silverstone's[0] character[0] at[0] the[0] end[0] of[0] the[0] movie[0] turns[0] to[0] her[0] boyfriend[0] and[0] asks[0] what[0] were[0] you[0] thinking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i asked myself the same question , having spent 99 cents renting this turkey . 	i asked myself the same question , having spent 99 cents renting this turkey .	1	-1	 i[0] asked[0] myself[0] the[0] same[0] question[0] having[0] spent[0] 99[0] cents[0] renting[0] this[0] turkey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
