nicolas cage comes up with an ingenious survival mechanism for his role in the wink-and-a-concussive-nudge bombast-o-rama con air . 	Translation	Positive	Negative	EmotionRationale
while the plot of con air finds poe a parolee on board a hijacked prison transport plane whose goal is just to get home , cage's goal is different but just as simple : to get out of the film with some measure of dignity intact . 	while the plot of con air finds poe a parole on board a hijacked prison transport plane whose goal is just to get home , cage's goal is different but just as simple : to get out of the film with some measure of dignity intact .	2	-2	 while[0] the[0] plot[0] of[0] con[0] air[0] finds[0] poe[0] a[0] parolee/parole[0] on[0] board[0] a[0] hijacked[-1] prison[-1] transport[0] plane[0] whose[0] goal[0] is[0] just[0] to[0] get[0] home[0] cage's[0] goal[0] is[0] different[0] but[0] just[0] as[0] simple[0] to[0] get[0] out[0] of[0] the[0] film[0] with[0] some[0] measure[0] of[0] dignity[1] intact[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
audiences , too , should know what they're getting themselves into with a bruckheimer production . 	audiences , too , should know what they're getting themselves into with a bruckheimer production .	1	-1	 audiences[0] too[0] should[0] know[0] what[0] they're[0] getting[0] themselves[0] into[0] with[0] a[0] bruckheimer[0] production[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the marketing people are counting on it . 	in fact , the marketing people are counting on it .	1	-1	 in[0] fact[0] the[0] marketing[0] people[0] are[0] counting[0] on[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no one who loathed the rock for its swear-grunt-blast repetitiveness will be converted by con air ; no one who loved the rock for exactly the same reasons will be dissuaded . 	no one who loathed the rock for its swear-grunt-blast repetitiveness will be converted by con air ; no one who loved the rock for exactly the same reasons will be dissuaded .	4	-2	 no[0] one[0] who[0] loathed[0] the[0] rock[1] for[0] its[0] swear[-1] grunt[0] blast[0] repetitiveness[0] will[0] be[0] converted[0] by[0] con[0] air[0] no[0] one[0] who[0] loved[3] the[0] rock[1] for[0] exactly[0] the[0] same[0] reasons[0] will[0] be[0] dissuaded[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
director simon west ( yet another tv commercial auteur plucked by bruckheimer from the advertising equivalent of the schwab's soda fountain ) delivers exactly the kind of adrenaline/testosterone cocktail which could launch an endocrinology lecture ( it's perversely appropriate that one sympathetic con spends most of the flight nearing a diabetic coma ; like insulin , con air does the work of a gland ) . 	director simon west ( yet another tv commercial auteur plucked by bruckheimer from the advertising equivalent of the schwab's soda fountain ) delivers exactly the kind of adrenaline/testosterone cocktail which could launch an endocrinology lecture ( it's perversely appropriate that one sympathetic con spends most of the flight nearing a diabetic coma ; like insulin , con air does the work of a gland ) .	2	-2	 director[0] simon[0] west[0] yet[0] another[0] tv[0] commercial[0] auteur[0] plucked[0] by[0] bruckheimer[0] from[0] the[0] advertising[0] equivalent[0] of[0] the[0] schwab's[0] soda[0] fountain[0] delivers[0] exactly[0] the[0] kind[1] of[0] adrenaline/testosterone[0] cocktail[0] which[0] could[0] launch[0] an[0] endocrinology[0] lecture[0] it's[0] perversely[-1] appropriate[0] that[0] one[0] sympathetic[0] con[0] spends[0] most[0] of[0] the[0] flight[0] nearing[0] a[0] diabetic[0] coma[0] like[1] insulin[0] con[0] air[0] does[0] the[0] work[0] of[0] a[0] gland[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what he doesn't deliver is a moment of suspense . 	what he doesn't deliver is a moment of suspense .	1	-1	 what[0] he[0] doesn't[0] deliver[0] is[0] a[0] moment[0] of[0] suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bruckheimer film has no use for hitchcock's notion that showing you the bomb under the desk creates a more interesting scene than just blowing up the desk ; a really , _really_ big desk and a really , _really_ big bomb will serve the purpose nicely . 	a bruckheimer film has no use for hitchcock's notion that showing you the bomb under the desk creates a more interesting scene than just blowing up the desk ; a really , _really_ big desk and a really , _really_ big bomb will serve the purpose nicely .	2	-2	 a[0] bruckheimer[0] film[0] has[0] no[0] use[0] for[0] hitchcock's[0] notion[0] that[0] showing[0] you[0] the[0] bomb[-1] under[0] the[0] desk[0] creates[0] a[0] more[0] interesting[1] scene[0] than[0] just[0] blowing[0] up[0] the[0] desk[0] a[0] really[0] _really_[0] big[0] desk[0] and[0] a[0] really[0] _really_[0] big[0] bomb[-1] will[0] serve[0] the[0] purpose[0] nicely[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if either west or bruckheimer were interested in genuine tension , they might have done something with con air's creepiest set-up . 	if either west or bruckheimer were interested in genuine tension , they might have done something with con air's creepiest set-up .	2	-3	 if[0] either[0] west[0] or[0] bruckheimer[0] were[0] interested[1] in[0] genuine[0] tension[-2] they[0] might[0] have[0] done[0] something[0] with[0] con[0] air's[0] creepiest[0] set[0] up[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at a desert stop for the plane-load of convicts , serial killer garland greene ( steve buscemi ) wanders of into a trailer park where he meets a little girl having a tea party in a drained swimming pool . 	at a desert stop for the plane-load of convicts , serial killer garland greene ( steve buscemi ) wanders of into a trailer park where he meets a little girl having a tea party in a drained swimming pool .	1	-2	 at[0] a[0] desert[0] stop[0] for[0] the[0] plane[0] load[0] of[0] convicts[-1] serial[0] killer[-1] garland[0] greene[0] steve[0] buscemi[0] wanders[0] of[0] into[0] a[0] trailer[0] park[0] where[0] he[0] meets[0] a[0] little[0] girl[0] having[0] a[0] tea[0] party[0] in[0] a[0] drained[0] swimming[0] pool[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their tete-a-tete is eerie and menacing , providing a welcome shift in tone and giving buscemi a chance to stand out in a cast with too many villains ( danny trejo , ving rhames and a characteristically reptilian john malkovich among them ) . 	their tete-a-tete is eerie and menacing , providing a welcome shift in tone and giving buscemi a chance to stand out in a cast with too many villains ( danny trejo , ving rhames and a characteristically reptilian john malkovich among them ) .	2	-3	 their[0] tete[0] a[0] tete[0] is[0] eerie[0] and[0] menacing[0] providing[0] a[0] welcome[1] shift[0] in[0] tone[0] and[0] giving[0] buscemi[0] a[0] chance[0] to[0] stand[0] out[0] in[0] a[0] cast[0] with[0] too[0] many[0] villains[-2] danny[0] trejo[0] ving[0] rhames[0] and[0] a[0] characteristically[0] reptilian[0] john[0] malkovich[0] among[0] them[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in fact , con air usually opts for too much of something when the tiniest measure of restraint would have been an improvement -- too many characters , too much editing , too many dopey punch lines , too much of the cheap , ugly appeals to machismo which characterize too many bruckheimer efforts . 	in fact , con air usually opts for too much of something when the tiniest measure of restraint would have been an improvement - too many characters , too much editing , too many dopey punch lines , too much of the cheap , ugly appeals to machismo which characterize too many bruckheimer efforts .	2	-3	 in[0] fact[0] con[0] air[0] usually[0] opts[0] for[0] too[0] much[0] of[0] something[0] when[0] the[0] tiniest[0] measure[0] of[0] restraint[0] would[0] have[0] been[0] an[0] improvement[1] too[0] many[0] characters[0] too[0] much[0] editing[0] too[0] many[0] dopey[0] punch[-1] lines[0] too[0] much[0] of[0] the[0] cheap[-1] ugly[-2] appeals[0] to[0] machismo[0] which[0] characterize[0] too[0] many[0] bruckheimer[0] efforts[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is that kind of exhausting excess to which cage is responding with his detached performance . 	it is that kind of exhausting excess to which cage is responding with his detached performance .	2	-2	 it[0] is[0] that[0] kind[1] of[0] exhausting[-1] excess[-1] to[0] which[0] cage[0] is[0] responding[0] with[0] his[0] detached[0] performance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while malkovich goes for the outrageous and john cusack ( as a u . s . marshal ) goes for earnest , cage looks like he just wants to go to sleep . 	while malkovich goes for the outrageous and john cusack ( as a you .<br> s .<br> marshal ) goes for earnest , cage looks like he just wants to go to sleep .	2	-3	 while[0] malkovich[0] goes[0] for[0] the[0] outrageous[-2] and[0] john[0] cusack[0] as[0] a[0] u[0] [[Sentence=-3,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] marshal[0] goes[0] for[0] earnest[0] cage[0] looks[0] like[1] he[0] just[0] wants[0] to[0] go[0] to[0] sleep[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
his recycled raising arizona performance is a means of escape , his chase after a stuffed bunny a continuation of his pursuit of that big box of huggies . 	his recycled raising arizona performance is a means of escape , his chase after a stuffed bunny a continuation of his pursuit of that big box of huggies .	3	-2	 his[0] recycled[0] raising[0] arizona[0] performance[0] is[0] a[0] means[0] of[0] escape[0] his[0] chase[-1] after[0] a[0] stuffed[0] bunny[0] a[0] continuation[0] of[0] his[0] pursuit[0] of[0] that[0] big[0] box[0] of[0] huggies[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it doesn't bode well for cage's appearance in face/off later this month ; perhaps he already realizes that all he can do in action films is more of the same over and over . 	it doesn't bode well for cage's appearance in face/off later this month ; perhaps he already realizes that all he can do in action films is more of the same over and over .	1	-1	 it[0] doesn't[0] bode[0] well[0] for[0] cage's[0] appearance[0] in[0] face/off[0] later[0] this[0] month[0] perhaps[0] he[0] already[0] realizes[0] that[0] all[0] he[0] can[0] do[0] in[0] action[0] films[0] is[0] more[0] of[0] the[0] same[0] over[0] and[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a word for people like you , nicolas . 	there's a word for people like you , nicolas .	2	-1	 there's[0] a[0] word[0] for[0] people[0] like[1] you[0] nicolas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that word is called recidivist . . . repeat 	that word is called recidivist .<br> .<br> .<br> repeat	1	-1	 that[0] word[0] is[0] called[0] recidivist[0] [[Sentence=-1,1=word max, 1-5]] repeat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
offender . 	offender .	1	-2	 offender[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
