here is a movie that sadly follows the hong kong-recipe of moviemaking and storytelling to the letter . 	Translation	Positive	Negative	EmotionRationale
cisco is surprised and says : " whoa . . . let's 	cisco is surprised and says : " whoa .<br> .<br> .<br> let's	1	-1	 cisco[0] is[0] surprised[0] and[0] says[0] whoa[0] [[Sentence=-1,1=word max, 1-5]] let's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
go ! " 	go !<br> "	1	-1	 go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and they storm the apartment in a very nicely executed sequence . 	and they storm the apartment in a very nicely executed sequence .	3	-2	 and[0] they[0] storm[-1] the[0] apartment[0] in[0] a[0] very[0] nicely[1][1 LastWordBoosterStrength] executed[-1] sequence[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the big hit of the title refers to a kidnapping that happens a quarter of the way through the film . 	the big hit of the title refers to a kidnapping that happens a quarter of the way through the film .	1	-1	 the[0] big[0] hit[0] of[0] the[0] title[0] refers[0] to[0] a[0] kidnapping[0] that[0] happens[0] a[0] quarter[0] of[0] the[0] way[0] through[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
needing cash , cisco devises a plan to kidnap the daughter ( china chow ) of wealthy japanese industrialist jiro nishi . 	needing cash , cisco devises a plan to kidnap the daughter ( china chow ) of wealthy japanese industrialist jiro nishi .	1	-2	 needing[0] cash[0] cisco[0] devises[0] a[0] plan[0] to[0] kidnap[-1] the[0] daughter[0] china[0] chow[0] of[0] wealthy[0] japanese[0] industrialist[0] jiro[0] nishi[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the daughter is also the god-daughter of paris ( avery brooks ) , who is cisco's and melvin's boss . 	however , the daughter is also the god-daughter of paris ( avery brooks ) , who is cisco's and melvin's boss .	1	-1	 however[0] the[0] daughter[0] is[0] also[0] the[0] god[0] daughter[0] of[0] paris[0] avery[0] brooks[0] who[0] is[0] cisco's[0] and[0] melvin's[0] boss[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
infuriated and insufferable , paris commands cisco to uncover the mastermind of the kidnapping . 	infuriated and insufferable , paris commands cisco to uncover the mastermind of the kidnapping .	1	-2	 infuriated[-1] and[0] insufferable[0] paris[0] commands[0] cisco[0] to[0] uncover[0] the[0] mastermind[0] of[0] the[0] kidnapping[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
during his 'investigation' , cisco singles out melvin as the ringleader , and paris orders his capture and execution . 	during his 'investigation' , cisco singles out melvin as the ringleader , and paris orders his capture and execution .	1	-2	 during[0] his[0] 'investigation'[0] cisco[0] singles[0] out[0] melvin[0] as[0] the[0] ringleader[0] and[0] paris[0] orders[0] his[0] capture[-1] and[0] execution[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
melvin must now find a way to stay alive . 	melvin must now find a way to stay alive .	1	-1	 melvin[0] must[0] now[0] find[0] a[0] way[0] to[0] stay[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the way , do you know how the investigation takes place ? 	by the way , do you know how the investigation takes place ?	1	-1	 by[0] the[0] way[0] do[0] you[0] know[0] how[0] the[0] investigation[0] takes[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cisco's partner makes the ransom phone call believing that his call will not be traced because of a trace buster that prevents tracing . 	cisco's partner makes the ransom phone call believing that his call will not be traced because of a trace buster that prevents tracing .	1	-1	 cisco's[0] partner[0] makes[0] the[0] ransom[0] phone[0] call[0] believing[0] that[0] his[0] call[0] will[0] not[0] be[0] traced[0] because[0] of[0] a[0] trace[0] buster[0] that[0] prevents[0] tracing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , mr . nishi has a trace buster buster . 	but , mr .<br> nishi has a trace buster buster .	1	-1	 but[0] mr[0] [[Sentence=-1,1=word max, 1-5]] nishi[0] has[0] a[0] trace[0] buster[0] buster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to counter that , cisco's partner has a trace buster buster buster . 	to counter that , cisco's partner has a trace buster buster buster .	1	-1	 to[0] counter[0] that[0] cisco's[0] partner[0] has[0] a[0] trace[0] buster[0] buster[0] buster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but nishi has a trace buster buster buster buster . 	but nishi has a trace buster buster buster buster .	1	-1	 but[0] nishi[0] has[0] a[0] trace[0] buster[0] buster[0] buster[0] buster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and so on . . . 	and so on .<br> .<br> .	1	-1	 and[0] so[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no doubt that this is an interesting world in which they live . 	there is no doubt that this is an interesting world in which they live .	2	-2	 there[0] is[0] no[0] doubt[-1] that[0] this[0] is[0] an[0] interesting[1] world[0] in[0] which[0] they[0] live[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and there are lots of issues that we'd like to know more about . 	and there are lots of issues that we'd like to know more about .	2	-1	 and[0] there[0] are[0] lots[0] of[0] issues[0] that[0] we'd[0] like[1] to[0] know[0] more[0] about[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how does melvin justify his profession to his fiancee ? 	how does melvin justify his profession to his fiancee ?	1	-1	 how[0] does[0] melvin[0] justify[0] his[0] profession[0] to[0] his[0] fiancee[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what goes on among this clique ? 	what goes on among this clique ?	1	-2	 what[0] goes[0] on[0] among[0] this[0] clique[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why is cisco at odds with melvin ? 	why is cisco at odds with melvin ?	1	-1	 why[0] is[0] cisco[0] at[0] odds[0] with[0] melvin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is actually a lot of potential material that could have been explored , but it seems that no effort is made to go in that direction , and instead we are given a not-so-engrossing plot filled with one-liners , silly sight gags , extraneous sub-plots and tomfoolery . 	there is actually a lot of potential material that could have been explored , but it seems that no effort is made to go in that direction , and instead we are given a not-so-engrossing plot filled with one-liners , silly sight gags , extraneous sub-plots and tomfoolery .	1	-2	 there[0] is[0] actually[0] a[0] lot[0] of[0] potential[0] material[0] that[0] could[0] have[0] been[0] explored[0] but[0] it[0] seems[0] that[0] no[0] effort[0] is[0] made[0] to[0] go[0] in[0] that[0] direction[0] and[0] instead[0] we[0] are[0] given[0] a[0] not[0] so[0] engrossing[0] plot[0] filled[0] with[0] one[0] liners[0] silly[-1] sight[0] gags[0] extraneous[0] sub[0] plots[0] and[0] tomfoolery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and , i haven't even mentioned his financee's visiting parents who want them to separate , nor melvin's mistress , nor the pimple-faced video clerk demanding the return of an overdue video and on and on and on . 	and , i haven't even mentioned his financee's visiting parents who want them to separate , nor melvin's mistress , nor the pimple-faced video clerk demanding the return of an overdue video and on and on and on .	1	-1	 and[0] i[0] haven't[0] even[0] mentioned[0] his[0] financee's[0] visiting[0] parents[0] who[0] want[0] them[0] to[0] separate[0] nor[0] melvin's[0] mistress[0] nor[0] the[0] pimple[0] faced[0] video[0] clerk[0] demanding[0] the[0] return[0] of[0] an[0] overdue[0] video[0] and[0] on[0] and[0] on[0] and[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the big hit signals the future of hong kong style movies that are made for american audiences , then shoot me now . 	if the big hit signals the future of hong kong style movies that are made for american audiences , then shoot me now .	1	-2	 if[0] the[0] big[0] hit[0] signals[0] the[0] future[0] of[0] hong[0] kong[0] style[0] movies[0] that[0] are[0] made[0] for[0] american[0] audiences[0] then[0] shoot[-1] me[0] now[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
