various films seen at the seattle film festival : 	Translation	Positive	Negative	EmotionRationale
unfortunately , the ending is rather poorly tied up ; it is difficult to know whether this is due to the lack of live-action film , or the original script . 	unfortunately , the ending is rather poorly tied up ; it is difficult to know whether this is due to the lack of live-action film , or the original script .	1	-2	 unfortunately[-1] the[0] ending[0] is[0] rather[0] poorly[-1] tied[0] up[0] it[0] is[0] difficult[-1] to[0] know[0] whether[0] this[0] is[0] due[0] to[0] the[0] lack[-1] of[0] live[0] action[0] film[0] or[0] the[0] original[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the happy ending seems particularly poorly tied on ( i cannot believe maugham's short story ended with sadie and our hero moving to australia ) ; the stills are expected to fill in a conclusion we've been waiting an hour and a half for . 	the happy ending seems particularly poorly tied on ( i cannot believe maugham's short story ended with sadie and our hero moving to australia ) ; the stills are expected to fill in a conclusion we've been waiting an hour and a half for .	3	-2	 the[0] happy[1] ending[0] seems[0] particularly[0] poorly[-1] tied[0] on[0] i[0] cannot[0] believe[0] maugham's[0] short[0] story[0] ended[0] with[0] sadie[0] and[0] our[0] hero[2] moving[0] to[0] australia[0] the[0] stills[0] are[0] expected[0] to[0] fill[0] in[0] a[0] conclusion[0] we've[0] been[0] waiting[0] an[0] hour[0] and[0] a[0] half[0] for[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
still , it's entertaining right up to the end ; certainly barrymore's incredibly hammy performance ( which , nonetheless , works , perhaps due to the silent screen ) is a must for anyone who is fed up with the actions of the falwells , bakkers , and robertses of the religious worlds . 	still , it's entertaining right up to the end ; certainly barrymore's incredibly hammy performance ( which , nonetheless , works , perhaps due to the silent screen ) is a must for anyone who is fed up with the actions of the falwells , bakers , and robertses of the religious worlds .	1	-1	 still[0] it's[0] entertaining[0] right[0] up[0] to[0] the[0] end[0] certainly[0] barrymore's[0] incredibly[0] hammy[0] performance[0] which[0] nonetheless[0] works[0] perhaps[0] due[0] to[0] the[0] silent[0] screen[0] is[0] a[0] must[0] for[0] anyone[0] who[0] is[0] fed[0] up[0] with[0] the[0] actions[0] of[0] the[0] falwells[0] bakkers/bakers[0] and[0] robertses[0] of[0] the[0] religious[0] worlds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a c movie ; worth 2 . 50 if you can find it . 	a c movie ; worth 2 .<br> 50 if you can find it .	1	-1	 a[0] c[0] movie[0] worth[0] 2[0] [[Sentence=-1,1=word max, 1-5]] 50[0] if[0] you[0] can[0] find[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the pied piper ( czechoslovakia , 1986 ) director : jim barta screenwriter : kamil piza 	the pied piper ( czechoslovakia , 1986 ) director : jim barta screenwriter : kamil piza	1	-1	 the[0] pied[0] piper[0] czechoslovakia[0] 1986[0] director[0] jim[0] barta[0] screenwriter[0] kamil[0] piza[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is an animated film from czechoslovakia that is definitely not for kids . 	this is an animated film from czechoslovakia that is definitely not for kids .	1	-1	 this[0] is[0] an[0] animated[0] film[0] from[0] czechoslovakia[0] that[0] is[0] definitely[0] not[0] for[0] kids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it tells the old folk tale of the pied piper with a twist ending i find highly appropriate , and with a lot of political comment along with it . 	it tells the old folk tale of the pied piper with a twist ending i find highly appropriate , and with a lot of political comment along with it .	1	-1	 it[0] tells[0] the[0] old[0] folk[0] tale[0] of[0] the[0] pied[0] piper[0] with[0] a[0] twist[0] ending[0] i[0] find[0] highly[0] appropriate[0] and[0] with[0] a[0] lot[0] of[0] political[0] comment[0] along[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps economic content is a better word--it certainly doesn't show capitalism in a good light . 	perhaps economic content is a better word-it certainly doesn't show capitalism in a good light .	2	-1	 perhaps[0] economic[0] content[0] is[0] a[0] better[0] word[0] it[0] certainly[0] doesn't[0] show[0] capitalism[0] in[0] a[0] good[1] light[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nor human nature , nor anything else , for that matter . 	nor human nature , nor anything else , for that matter .	1	-1	 nor[0] human[0] nature[0] nor[0] anything[0] else[0] for[0] that[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as you may have guessed , this is not a tgif film ; this is the kind of film you are glad is over . 	as you may have guessed , this is not a tgif film ; this is the kind of film you are glad is over .	2	-1	 as[0] you[0] may[0] have[0] guessed[0] this[0] is[0] not[0] a[0] tgif[0] film[0] this[0] is[0] the[0] kind[1] of[0] film[0] you[0] are[0] glad[1] is[0] over[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not that it wasn't interesting for technical reasons ; this is stop-animation that is very well done . 	not that it wasn't interesting for technical reasons ; this is stop-animation that is very well done .	2	-1	 not[0] that[0] it[0] wasn't[0] interesting[1] for[0] technical[0] reasons[0] this[0] is[0] stop[0] animation[0] that[0] is[0] very[0] well[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all the puppets have been carefully carved out of walnuts--except for the animated stuffed rats . 	all the puppets have been carefully carved out of walnuts-except for the animated stuffed rats .	1	-1	 all[0] the[0] puppets[0] have[0] been[0] carefully[0] carved[0] out[0] of[0] walnuts[0] except[0] for[0] the[0] animated[0] stuffed[0] rats[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boy , sounds like a real comedy vehicle , doesn't it ? 	boy , sounds like a real comedy vehicle , doesn't it ?	2	-1	 boy[0] sounds[0] like[1] a[0] real[0] comedy[0] vehicle[0] doesn't[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
add onto that set design that makes the cabinet of doctor caligari absolutely cheerful in comparison , and you have something to give the wee ones ( and some of the mentally unstable larger folk ) to keep them up at night . 	add onto that set design that makes the cabinet of doctor caligari absolutely cheerful in comparison , and you have something to give the wee ones ( and some of the mentally unstable larger folk ) to keep them up at night .	4	-2	 add[0] onto[0] that[0] set[0] design[0] that[0] makes[0] the[0] cabinet[0] of[0] doctor[0] caligari[0] absolutely[0] cheerful[2][1 LastWordBoosterStrength] in[0] comparison[0] and[0] you[0] have[0] something[0] to[0] give[0] the[0] wee[-1] ones[0] and[0] some[0] of[0] the[0] mentally[0] unstable[-1] larger[0] folk[0] to[0] keep[0] them[0] up[0] at[0] night[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
some gore . 	some gore .	1	-1	 some[0] gore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't bring children to this one . 	don't bring children to this one .	1	-1	 don't[0] bring[0] children[0] to[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't bring adults to this one , unless they're fascinated by puppetry and/or hate capitalism so badly they enjoy seeing wooden puppets raped . 	don't bring adults to this one , unless they're fascinated by puppetry and/or hate capitalism so badly they enjoy seeing wooden puppets raped .	3	-4	 don't[0] bring[0] adults[0] to[0] this[0] one[0] unless[0] they're[0] fascinated[0] by[0] puppetry[0] and/or[0] hate[-3] capitalism[0] so[0] badly[-1] they[0] enjoy[2] seeing[0] wooden[0] puppets[0] raped[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
blech . 	blech .	1	-1	 blech[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . no fun whatsoever . 	 .<br> no fun whatsoever .	2	-1	 no[0] fun[1] whatsoever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
meier ( west germany , 1986 ) director/screenwriter : peter timm cast : rainier grenkowitz , nadja engelbrecht , alexander hauff , thomas besvater sub-titled 	meier ( west germany , 1986 ) director/screenwriter : peter tim cast : rainier grenkowitz , nadja engelbrecht , alexander hauff , thomas besvater sub-titled	1	-2	 meier[0] west[0] germany[-1] 1986[0] director/screenwriter[0] peter[0] timm/tim[0] cast[0] rainier[0] grenkowitz[0] nadja[0] engelbrecht[0] alexander[0] hauff[0] thomas[0] besvater[0] sub[0] titled[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film takes us back and forth over the east german/west german border with meier , an east german wallpaperer whose father in the west dies and leaves him a good deal of money . 	this film takes us back and forth over the east german/west german border with meier , an east german wallpaperer whose father in the west dies and leaves him a good deal of money .	2	-2	 this[0] film[0] takes[0] us[0] back[0] and[0] forth[0] over[0] the[0] east[0] german/west[-1] german[-1] border[0] with[0] meier[0] an[0] east[0] german[-1] wallpaperer[0] whose[0] father[0] in[0] the[0] west[0] dies[0] and[0] leaves[0] him[0] a[0] good[1] deal[0] of[0] money[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his uncle ( also in the west ) sneaks meier out of the country , unknown to the east germans . 	his uncle ( also in the west ) sneaks meier out of the country , unknown to the east germans .	1	-2	 his[0] uncle[0] also[0] in[0] the[0] west[0] sneaks[-1] meier[0] out[0] of[0] the[0] country[0] unknown[0] to[0] the[0] east[0] germans[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meier , however , is less than thrilled-- his girlfriend , his friends and his job ( which he likes ) all exist in east germany . 	meier , however , is less than thrilled- his girlfriend , his friends and his job ( which he likes ) all exist in east germany .	4	-2	 meier[0] however[0] is[0] less[0] than[0] thrilled[3] his[0] girlfriend[0] his[0] friends[1] and[0] his[0] job[0] which[0] he[0] likes[2] all[0] exist[0] in[0] east[0] germany[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
after a round-the-world trip ( his boss think's he's on leave in bulgaria ) , meier starts visiting east germany on day visas with a fake id , and uses his money and his connections to the west to buy his girlfriend presents and bring credit to his work crew's work--while everyone think's he's still living in east germany . 	after a round-the-world trip ( his boss think's he's on leave in bulgaria ) , meier starts visiting east germany on day visas with a fake id , and uses his money and his connections to the west to buy his girlfriend presents and bring credit to his work crew's work-while everyone think's he's still living in east germany .	1	-2	 after[0] a[0] round[0] the[0] world[0] trip[0] his[0] boss[0] think's[0] he's[0] on[0] leave[0] in[0] bulgaria[0] meier[0] starts[0] visiting[0] east[0] germany[-1] on[0] day[0] visas[0] with[0] a[0] fake[-1] id[0] and[0] uses[0] his[0] money[0] and[0] his[0] connections[0] to[0] the[0] west[0] to[0] buy[0] his[0] girlfriend[0] presents[0] and[0] bring[0] credit[0] to[0] his[0] work[0] crew's[0] work[0] while[0] everyone[0] think's[0] he's[0] still[0] living[0] in[0] east[0] germany[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , something goes wrong--and the ending is very funny , but it takes the film too long to get there . 	of course , something goes wrong-and the ending is very funny , but it takes the film too long to get there .	3	-2	 of[0] course[0] something[0] goes[0] wrong[-1] and[0] the[0] ending[0] is[0] very[0] funny[1][1 LastWordBoosterStrength] but[0] it[0] takes[0] the[0] film[0] too[0] long[0] to[0] get[0] there[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the humor is spread too thin , and much of the plot is too obvious ( as is the acting ) . 	the humor is spread too thin , and much of the plot is too obvious ( as is the acting ) .	3	-1	 the[0] humor[2] is[0] spread[0] too[0] thin[0] and[0] much[0] of[0] the[0] plot[0] is[0] too[0] obvious[0] as[0] is[0] the[0] acting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
still , a good concept for the comedy , and the last five minutes are pretty funny . 	still , a good concept for the comedy , and the last five minutes are pretty funny .	3	-1	 still[0] a[0] good[1] concept[0] for[0] the[0] comedy[0] and[0] the[0] last[0] five[0] minutes[0] are[0] pretty[2] funny[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
c --  2 . 50 . 	c -  2 .<br> 50 .	1	-1	 c[0] 2[0] [[Sentence=-1,1=word max, 1-5]] 50[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the right hand man ( australia , 1986 ) director : di drew screenplay : helen hodgman cast : rupert everett , hugo weaving , arthur dignam , jennifer claire , catherine mcclements 	the right hand man ( australia , 1986 ) director : di drew screenplay : helen hodgman cast : rupert everett , hugo weaving , arthur dignam , jennifer claire , catherine mcclements	1	-1	 the[0] right[0] hand[0] man[0] australia[0] 1986[0] director[0] di[0] drew[0] screenplay[0] helen[0] hodgman[0] cast[0] rupert[0] everett[0] hugo[0] weaving[0] arthur[0] dignam[0] jennifer[0] claire[0] catherine[0] mcclements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after a lifetime of movie-going , and about four years of attending the seattle international film festival , i've learned several rules which , while not absolute , should certainly be given deference to : 	after a lifetime of movie-going , and about four years of attending the seattle international film festival , i've learned several rules which , while not absolute , should certainly be given deference to :	1	-1	 after[0] a[0] lifetime[0] of[0] movie[0] going[0] and[0] about[0] four[0] years[0] of[0] attending[0] the[0] seattle[0] international[0] film[0] festival[0] i've[0] learned[0] several[0] rules[0] which[0] while[0] not[0] absolute[0] should[0] certainly[0] be[0] given[0] deference[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1 ) be wary of french comedies . 	1 ) be wary of french comedies .	1	-2	 1[0] be[0] wary[-1] of[0] french[0] comedies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these people like jerry lewis . 	these people like jerry lewis .	2	-1	 these[0] people[0] like[1] jerry[0] lewis[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2 ) ken russell is never going to grow up , no matter how long you wait . 	2 ) ken russell is never going to grow up , no matter how long you wait .	1	-1	 2[0] ken[0] russell[0] is[0] never[0] going[0] to[0] grow[0] up[0] no[0] matter[0] how[0] long[0] you[0] wait[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3 ) any film where siff associate director gary tucker refers to the lead as " old pouty-lips " is probably not worth watching . 	3 ) any film where siff associate director gary tucker refers to the lead as " old pouty-lips " is probably not worth watching .	1	-2	 3[0] any[0] film[0] where[0] siff[0] associate[0] director[0] gary[0] tucker[0] refers[0] to[0] the[0] lead[0] as[0] old[0] pouty[-1] lips[0] is[0] probably[0] not[0] worth[0] watching[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
4 ) when an australian film only awards credit is best cinematography , watch out ! 	4 ) when an australian film only awards credit is best cinematography , watch out !	2	-1	 4[0] when[0] an[0] australian[0] film[0] only[0] awards[0] credit[0] is[0] best[1] cinematography[0] watch[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
australia has good cinematographers up the whazoo , but since weir and miller left for foreign shores , finding a good script or director seems to be a difficult ( not impossible--witness malcolm last year ) task . 	australia has good cinematographers up the whazoo , but since weir and miller left for foreign shores , finding a good script or director seems to be a difficult ( not impossible-witness malcolm last year ) task .	2	-2	 australia[0] has[0] good[1] cinematographers[0] up[0] the[0] whazoo[0] but[0] since[0] weir[0] and[0] miller[0] left[0] for[0] foreign[-1] shores[0] finding[0] a[0] good[1] script[0] or[0] director[0] seems[0] to[0] be[0] a[0] difficult[-1] not[0] impossible[0] witness[0] malcolm[0] last[0] year[0] task[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
well , i ignored rules 3 & 4 last night , and sat through a film that should be in the golden turkey awards . 	well , i ignored rules 3 & 4 last night , and sat through a film that should be in the golden turkey awards .	1	-1	 well[0] i[0] ignored[0] rules[0] 3[0] &[0] 4[0] last[0] night[0] and[0] sat[0] through[0] a[0] film[0] that[0] should[0] be[0] in[0] the[0] golden[0] turkey[0] awards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's as if the director was trying to do one of those classic romance stories that were done in the 30's about tragedy among the gentry , and falling in love with people below your station , and horses . 	it's as if the director was trying to do one of those classic romance stories that were done in the 30's about tragedy among the gentry , and falling in love with people below your station , and horses .	4	-3	 it's[0] as[0] if[0] the[0] director[0] was[0] trying[0] to[0] do[0] one[0] of[0] those[0] classic[0] romance[3] stories[0] that[0] were[0] done[0] in[0] the[0] 30's[0] about[0] tragedy[-2] among[0] the[0] gentry[0] and[0] falling[0] in[0] love[2] with[0] people[0] below[0] your[0] station[0] and[0] horses[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
lots and lots of horses . 	lots and lots of horses .	1	-1	 lots[0] and[0] lots[0] of[0] horses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens with a stallion mounting a mare under the direction of her ladyship , which i guess is some kind of foreshadowing , because the missus of the house wants to have her son produce an heir . 	the film opens with a stallion mounting a mare under the direction of her ladyship , which i guess is some kind of foreshadowing , because the missus of the house wants to have her son produce an heir .	1	-1	 the[0] film[0] opens[0] with[0] a[0] stallion[0] mounting[0] a[0] mare[0] under[0] the[0] direction[0] of[0] her[0] ladyship[0] which[0] i[0] guess[0] is[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] foreshadowing[0] because[0] the[0] missus[0] of[0] the[0] house[0] wants[0] to[0] have[0] her[0] son[0] produce[0] an[0] heir[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , said son , a reckless idiot who faints at the very worst times , kills his father and loses an arm during a racing accident . 	unfortunately , said son , a reckless idiot who faints at the very worst times , kills his father and loses an arm during a racing accident .	1	-4	 unfortunately[-1] said[0] son[0] a[0] reckless[-1] idiot[-2] who[0] faints[0] at[0] the[0] very[0] worst[-2][-1 LastWordBoosterStrength] times[0] kills[0] his[0] father[0] and[0] loses[-1] an[0] arm[0] during[0] a[0] racing[0] accident[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
highlights include the amputation sequence ; the doctor's daughter , who has the hots for the son , tasting his urine for a diagnosis ; their tender kissing with a window between them ( while it's raining--you'd think a woman studying medicine would know better ) . 	highlights include the amputation sequence ; the doctor's daughter , who has the hots for the son , tasting his urine for a diagnosis ; their tender kissing with a window between them ( while it's raining-you'd think a woman studying medicine would know better ) .	4	-1	 highlights[0] include[0] the[0] amputation[0] sequence[0] the[0] doctor's[0] daughter[0] who[0] has[0] the[0] hots[0] for[0] the[0] son[0] tasting[0] his[0] urine[0] for[0] a[0] diagnosis[0] their[0] tender[2] kissing[2][+1 MultiplePositiveWords] with[0] a[0] window[0] between[0] them[0] while[0] it's[0] raining[0] you'd[0] think[0] a[0] woman[0] studying[0] medicine[0] would[0] know[0] better[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the photography is good , but i kept wishing for b&w--everything seems sepia-colored anyway . 	the photography is good , but i kept wishing for b&w-everything seems sepia-colored anyway .	2	-1	 the[0] photography[0] is[0] good[1] but[0] i[0] kept[0] wishing[0] for[0] b&w[0] everything[0] seems[0] sepia[0] colored[0] anyway[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
actually , i wished i was watching swimming to cambodia instead , but that's life . 	actually , i wished i was watching swimming to cambodia instead , but that's life .	1	-1	 actually[0] i[0] wished[0] i[0] was[0] watching[0] swimming[0] to[0] cambodia[0] instead[0] but[0] that's[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
grade : z . avoid like the plague , unless you're looking for inadvertent yuks . 	grade : z .<br> avoid like the plague , unless you're looking for inadvertent yuks .	2	-2	 grade[0] z[0] [[Sentence=-1,1=word max, 1-5]] avoid[-1] like[1] the[0] plague[-1] unless[0] you're[0] looking[0] for[0] inadvertent[0] yuks[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
