note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
however , dream with the fishes is most hampered not by its uninspired storyline , but by the characters which carry the story - it helps in such a film to have at least one of the protagonists be at least somewhat empathetic , if not likeable . 	however , dream with the fishes is most hampered not by its uninspired storyline , but by the characters which carry the story - it helps in such a film to have at least one of the protagonists be at least somewhat empathetic , if not likeable .	1	-3	 however[0] dream[0] with[0] the[0] fishes[0] is[0] most[0] hampered[0] not[0] by[0] its[0] uninspired[0] storyline[0] but[0] by[0] the[0] characters[0] which[0] carry[0] the[0] story[0] it[0] helps[0] in[0] such[0] a[0] film[0] to[0] have[0] at[0] least[0] one[0] of[0] the[0] protagonists[0] be[0] at[0] least[0] somewhat[0] empathetic[0] if[0] not[0] likeable[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unfortunately , that is not the case here , where both of the film's leading characters are thorougly uninteresting and annoying , giving the audience very little to sympathise with their respective plights , and even less reason to want to follow their onscreen exploits . 	unfortunately , that is not the case here , where both of the film's leading characters are thorougly uninteresting and annoying , giving the audience very little to sympathise with their respective plights , and even less reason to want to follow their onscreen exploits .	3	-3	 unfortunately[-1] that[0] is[0] not[0] the[0] case[0] here[0] where[0] both[0] of[0] the[0] film's[0] leading[0] characters[0] are[0] thorougly[0] uninteresting[0] and[0] annoying[-2] giving[0] the[0] audience[0] very[0] little[0] to[0] sympathise[0] with[0] their[0] respective[2] plights[0] and[0] even[0] less[0] reason[0] to[0] want[0] to[0] follow[0] their[0] onscreen[0] exploits[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
far from a romp , this fatal flaw makes dream with fishes more like a chore to endure than a playful jaunt , and undermines the attempts at emotional resonance in the latter stages of the film as the two men begin to bond . 	far from a romp , this fatal flaw makes dream with fishes more like a chore to endure than a playful jaunt , and undermines the attempts at emotional resonance in the latter stages of the film as the two men begin to bond .	2	-3	 far[0] from[0] a[0] romp[0] this[0] fatal[-2] flaw[-1] makes[0] dream[0] with[0] fishes[0] more[0] like[1] a[0] chore[-2] to[0] endure[0] than[0] a[0] playful[1] jaunt[0] and[0] undermines[-1] the[0] attempts[0] at[0] emotional[-1] resonance[0] in[0] the[0] latter[0] stages[0] of[0] the[0] film[0] as[0] the[0] two[0] men[0] begin[0] to[0] bond[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
mr . taylor's dialogue sporadically falls flat in dream with the fishes - while attempting to capture a quirky and clever tone , it too often comes across instead as hopelessly contrived ( witness such lines as " you should have asked something more interesting , like 'do you enjoy the pain ? ' 	mr .<br> taylor's dialogue sporadically falls flat in dream with the fishes - while attempting to capture a quirky and clever tone , it too often comes across instead as hopelessly contrived ( witness such lines as " you should have asked something more interesting , like 'do you enjoy the pain ?<br> '	3	-4	 mr[0] [[Sentence=-1,1=word max, 1-5]] taylor's[0] dialogue[0] sporadically[0] falls[0] flat[0] in[0] dream[0] with[0] the[0] fishes[0] while[0] attempting[0] to[0] capture[-1] a[0] quirky[0] and[0] clever[0] tone[0] it[0] too[0] often[0] comes[0] across[0] instead[0] as[0] hopelessly[-3] contrived[0] witness[0] such[0] lines[0] as[0] you[0] should[0] have[0] asked[0] something[0] more[0] interesting[1] like[1] 'do[0] you[0] enjoy[2] the[0] pain[-3] [[Sentence=-4,3=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
- see , that's provocative , leaves room for further questions . " ) 	- see , that's provocative , leaves room for further questions .<br> " )	1	-1	 see[0] that's[0] provocative[0] leaves[0] room[0] for[0] further[0] questions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film enjoys a few inspired moments - the urn scene , a session of nude bowling , the policeman joining in on terry and nick's acid trip - but unfortunatetely these instances are few and far between , and for the most part the humour in dream with the fishes registers more as attempts rather than actual successes . 	the film enjoys a few inspired moments - the urn scene , a session of nude bowling , the policeman joining in on terry and nick's acid trip - but unfortunatetely these instances are few and far between , and for the most part the humour in dream with the fishes registers more as attempts rather than actual successes .	3	-2	 the[0] film[0] enjoys[2] a[0] few[0] inspired[2] moments[0] the[0] urn[0] scene[0] a[0] session[0] of[0] nude[0] bowling[0] the[0] policeman[0] joining[0] in[0] on[0] terry[0] and[0] nick's[0] acid[0] trip[0] but[0] unfortunatetely[-1] these[0] instances[0] are[0] few[0] and[0] far[0] between[0] and[0] for[0] the[0] most[0] part[0] the[0] humour[2] in[0] dream[0] with[0] the[0] fishes[0] registers[0] more[0] as[0] attempts[0] rather[0] than[0] actual[0] successes[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this occurs particularly often during the film's opening sequence - as terry is wrestling the bedridden nick for his watch in the hospital , i'm realising that this is * intended * to be funny , although nary a smile crept upon my lips - which is probably due to the obvious fact that it's painfully clear to the audience from the outset that terry is going to be thwarted in his initial suicide attempts , sapping any element of surprise or amusement from nick's scheme of tricking him ; this is not a film which has the wherewithal to kill off its leading star in the opening ten minutes . 	this occurs particularly often during the film's opening sequence - as terry is wrestling the bedridden nick for his watch in the hospital , i'm realising that this is * intended * to be funny , although nary a smile crept upon my lips - which is probably due to the obvious fact that it's painfully clear to the audience from the outset that terry is going to be thwarted in his initial suicide attempts , sapping any element of surprise or amusement from nick's scheme of tricking him ; this is not a film which has the wherewithal to kill off its leading star in the opening ten minutes .	3	-4	 this[0] occurs[0] particularly[0] often[0] during[0] the[0] film's[0] opening[0] sequence[0] as[0] terry[0] is[0] wrestling[0] the[0] bedridden[0] nick[0] for[0] his[0] watch[0] in[0] the[0] hospital[0] i'm[0] realising[0] that[0] this[0] is[0] intended[0] to[0] be[0] funny[1] although[0] nary[0] a[0] smile[2] crept[0] upon[0] my[0] lips[0] which[0] is[0] probably[0] due[0] to[0] the[0] obvious[0] fact[0] that[0] it's[0] painfully[-3] clear[0] to[0] the[0] audience[0] from[0] the[0] outset[0] that[0] terry[0] is[0] going[0] to[0] be[0] thwarted[-1] in[0] his[0] initial[0] suicide[-3] attempts[0] sapping[0] any[0] element[0] of[0] surprise[0] or[0] amusement[1] from[0] nick's[0] scheme[0] of[0] tricking[-1] him[0] this[0] is[0] not[0] a[0] film[0] which[0] has[0] the[0] wherewithal[0] to[0] kill[-1] off[0] its[0] leading[0] star[0] in[0] the[0] opening[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the entire sequence is , then , clearly an exercise for character exposition , with attempts at humour terribly diminished by utter predictability . 	the entire sequence is , then , clearly an exercise for character exposition , with attempts at humour terribly diminished by utter predictability .	3	-4	 the[0] entire[0] sequence[0] is[0] then[0] clearly[0] an[0] exercise[0] for[0] character[0] exposition[0] with[0] attempts[0] at[0] humour[2] terribly[-3] diminished[0] by[0] utter[0] predictability[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
among the cast , coming off best is david arquette , the current master in the portrayal of meek , squirming , stammering fresh-faced characters - he would have been terrific as the lead for george huang's swimming with sharks - who gets to apply his adeptness for timidity as terry . 	among the cast , coming off best is david arquette , the current master in the portrayal of meek , squirming , stammering fresh-faced characters - he would have been terrific as the lead for george huang's swimming with sharks - who gets to apply his adeptness for timidity as terry .	4	-3	 among[0] the[0] cast[0] coming[0] off[0] best[1] is[0] david[0] arquette[0] the[0] current[0] master[0] in[0] the[0] portrayal[0] of[0] meek[-1] squirming[-2] stammering[-1] fresh[0] faced[0] characters[0] he[0] would[0] have[0] been[0] terrific[3] as[0] the[0] lead[0] for[0] george[0] huang's[0] swimming[0] with[0] sharks[0] who[0] gets[0] to[0] apply[0] his[0] adeptness[0] for[0] timidity[-1] as[0] terry[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
mr . taylor ambitiously employs an interesting visual technique , where the portions of the film set in an urban environment have been processed to appear extremely grainy and heavily saturated , as opposed to a bright , crisp look for the smalltown scenes . 	mr .<br> taylor ambitiously employs an interesting visual technique , where the portions of the film set in an urban environment have been processed to appear extremely grainy and heavily saturated , as opposed to a bright , crisp look for the smalltown scenes .	2	-1	 mr[0] [[Sentence=-1,1=word max, 1-5]] taylor[0] ambitiously[0] employs[0] an[0] interesting[1] visual[0] technique[0] where[0] the[0] portions[0] of[0] the[0] film[0] set[0] in[0] an[0] urban[0] environment[0] have[0] been[0] processed[0] to[0] appear[0] extremely[0] grainy[0] and[0] heavily[0] saturated[0] as[0] opposed[0] to[0] a[0] bright[0] crisp[0] look[0] for[0] the[0] smalltown[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the charge of dream with the fishes's protagonists being wholly unempathetic is a bit of an odd one coming from me ; i seem to have a predilection for films with unlikeable characters , and indeed , in many cases have i been in the minority , supporting films which have been condemned as interminable due to the difficult , audience-unfriendly nature of their characters . 	the charge of dream with the fishes's protagonists being wholly unempathetic is a bit of an odd one coming from me ; i seem to have a predilection for films with unlikeable characters , and indeed , in many cases have i been in the minority , supporting films which have been condemned as interminable due to the difficult , audience-unfriendly nature of their characters .	2	-3	 the[0] charge[-1] of[0] dream[0] with[0] the[0] fishes's[0] protagonists[0] being[0] wholly[0] unempathetic[0] is[0] a[0] bit[0] of[0] an[0] odd[0] one[0] coming[0] from[0] me[0] i[0] seem[0] to[0] have[0] a[0] predilection[0] for[0] films[0] with[0] unlikeable[0] characters[0] and[0] indeed[0] in[0] many[0] cases[0] have[0] i[0] been[0] in[0] the[0] minority[0] supporting[1] films[0] which[0] have[0] been[0] condemned[-1] as[0] interminable[0] due[0] to[0] the[0] difficult[-1] audience[0] unfriendly[-2] nature[0] of[0] their[0] characters[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for dream with the fishes , though , i did find myself on the flip side of coin , often hoping that the film would quickly conclude , and that the nick character would just hurry up and die . 	for dream with the fishes , though , i did find myself on the flip side of coin , often hoping that the film would quickly conclude , and that the nick character would just hurry up and die .	2	-1	 for[0] dream[0] with[0] the[0] fishes[0] though[0] i[0] did[0] find[0] myself[0] on[0] the[0] flip[0] side[0] of[0] coin[0] often[0] hoping[1] that[0] the[0] film[0] would[0] quickly[0] conclude[0] and[0] that[0] the[0] nick[0] character[0] would[0] just[0] hurry[0] up[0] and[0] die[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
