a hotshot lawyer gets an obviously guilty child molester acquitted , and shortly after during the victory celebration gets offered an opportunity to show his prowess in new york city . 	Translation	Positive	Negative	EmotionRationale
she is experiencing severe depression over kevin's long hours , and before long is having horrible dreams and hallucinations of people turning into ghouls , their faces becoming horribly disfigured . 	she is experiencing severe depression over kevin's long hours , and before long is having horrible dreams and hallucinations of people turning into ghouls , their faces becoming horribly disfigured .	1	-4	 she[0] is[0] experiencing[0] severe[-1] depression[-3] over[0] kevin's[0] long[0] hours[0] and[0] before[0] long[0] is[0] having[0] horrible[-3] dreams[0] and[0] hallucinations[0] of[0] people[0] turning[0] into[0] ghouls[0] their[0] faces[0] becoming[0] horribly[-3] disfigured[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
kevin does not help matters by dismissing his wife . 	kevin does not help matters by dismissing his wife .	1	-2	 kevin[0] does[0] not[0] help[0] matters[0] by[0] dismissing[-1] his[0] wife[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he does not spend more time with her as he explains to milton that he needs to spend as much time on the case as possible to get it over with , then focus all of his attention on his wife . 	he does not spend more time with her as he explains to milton that he needs to spend as much time on the case as possible to get it over with , then focus all of his attention on his wife .	1	-1	 he[0] does[0] not[0] spend[0] more[0] time[0] with[0] her[0] as[0] he[0] explains[0] to[0] milton[0] that[0] he[0] needs[0] to[0] spend[0] as[0] much[0] time[0] on[0] the[0] case[0] as[0] possible[0] to[0] get[0] it[0] over[0] with[0] then[0] focus[0] all[0] of[0] his[0] attention[0] on[0] his[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not helping matters is the fact that kevin is having ideas about a possible affair with a sexy lawyer ( connie nielson ) also working with the firm . 	not helping matters is the fact that kevin is having ideas about a possible affair with a sexy lawyer ( connie nielson ) also working with the firm .	3	-1	 not[0] helping[0] matters[0] is[0] the[0] fact[0] that[0] kevin[0] is[0] having[0] ideas[0] about[0] a[0] possible[0] affair[0] with[0] a[0] sexy[2] lawyer[0] connie[0] nielson[0] also[0] working[0] with[0] the[0] firm[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mary ann falls deeper into her madness as kevin spends more time away from home . 	mary an falls deeper into her madness as kevin spends more time away from home .	1	-2	 mary[0] ann/an[0] falls[0] deeper[0] into[0] her[0] madness[-1] as[0] kevin[0] spends[0] more[0] time[0] away[0] from[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kevin eventually looses control of his life and has to institutionalize his wife , and gets disturbing news from his mother ( judith ivey ) about the mystery concerning the identity of his father . 	kevin eventually looses control of his life and has to institutionalize his wife , and gets disturbing news from his mother ( judith ivey ) about the mystery concerning the identity of his father .	1	-2	 kevin[0] eventually[0] looses[0] control[0] of[0] his[0] life[0] and[0] has[0] to[0] institutionalize[0] his[0] wife[0] and[0] gets[0] disturbing[-1] news[0] from[0] his[0] mother[0] judith[0] ivey[0] about[0] the[0] mystery[0] concerning[-1] the[0] identity[0] of[0] his[0] father[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also starts to lose control of his case . 	he also starts to lose control of his case .	1	-2	 he[0] also[0] starts[0] to[0] lose[-1] control[0] of[0] his[0] case[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kevin learns that all of his problems have been caused by the work of one man . 	kevin learns that all of his problems have been caused by the work of one man .	1	-2	 kevin[0] learns[0] that[0] all[0] of[0] his[0] problems[-1] have[0] been[0] caused[0] by[0] the[0] work[0] of[0] one[0] man[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that man is his boss , mr . milton , a truly evil character who just may be the devil himself . 	that man is his boss , mr .<br> milton , a truly evil character who just may be the devil himself .	2	-3	 that[0] man[0] is[0] his[0] boss[0] mr[0] [[Sentence=-1,1=word max, 1-5]] milton[0] a[0] truly[1] evil[-2] character[0] who[0] just[0] may[0] be[0] the[0] devil[-1] himself[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
kevin must somehow confront milton and thwart whatever diabolical plan he has in store . 	kevin must somehow confront milton and thwart whatever diabolical plan he has in store .	1	-3	 kevin[0] must[0] somehow[0] confront[-2] milton[0] and[0] thwart[-1] whatever[0] diabolical[-1] plan[0] he[0] has[0] in[0] store[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but how do you defeat the devil ? 	but how do you defeat the devil ?	1	-2	 but[0] how[0] do[0] you[0] defeat[0] the[0] devil[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why is it that most courtroom scenes in the movies are absurd ? 	why is it that most courtroom scenes in the movies are absurd ?	1	-2	 why[0] is[0] it[0] that[0] most[0] courtroom[0] scenes[0] in[0] the[0] movies[0] are[0] absurd[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
do filmmakers really believe that " normal " courtroom drama doesn't fit the bill and they have to juice them up ? 	do filmmakers really believe that " normal " courtroom drama doesn't fit the bill and they have to juice them up ?	1	-1	 do[0] filmmakers[0] really[0] believe[0] that[0] normal[0] courtroom[0] drama[0] doesn't[0] fit[0] the[0] bill[0] and[0] they[0] have[0] to[0] juice[0] them[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the courtroom scenes in this movie would never happen in a real courtroom , which wouldn't have been too bad if it weren't keanu reeves trying to pull it off . 	the courtroom scenes in this movie would never happen in a real courtroom , which wouldn't have been too bad if it weren't keanu reeves trying to pull it off .	1	-2	 the[0] courtroom[0] scenes[0] in[0] this[0] movie[0] would[0] never[0] happen[0] in[0] a[0] real[0] courtroom[0] which[0] wouldn't[0] have[0] been[0] too[0] bad[-1] if[0] it[0] weren't[0] keanu[0] reeves[0] trying[0] to[0] pull[0] it[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i give reeves credit for trying hard , but throughout the movie i never saw the kevin lomax character , just an actor trying very hard to play kevin lomax and coming up short . 	i give reeves credit for trying hard , but throughout the movie i never saw the kevin lomax character , just an actor trying very hard to play kevin lomax and coming up short .	1	-1	 i[0] give[0] reeves[0] credit[0] for[0] trying[0] hard[0] but[0] throughout[0] the[0] movie[0] i[0] never[0] saw[0] the[0] kevin[0] lomax[0] character[0] just[0] an[0] actor[0] trying[0] very[0] hard[0] to[0] play[0] kevin[0] lomax[0] and[0] coming[0] up[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
charlize theron defines the term " over-the-top " in her performance as mary ann lomax , a disappointment in contrast to her good performance in " 2 days in the valley " . 	charlize theron defines the term " over-the-top " in her performance as mary an lomax , a disappointment in contrast to her good performance in " 2 days in the valley " .	2	-2	 charlize[0] theron[0] defines[0] the[0] term[0] over[0] the[0] top[0] in[0] her[0] performance[0] as[0] mary[0] ann/an[0] lomax[0] a[0] disappointment[-1] in[0] contrast[0] to[0] her[0] good[1] performance[0] in[0] 2[0] days[0] in[0] the[0] valley[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only good performance in the movie is by al pacino , but i kept asking myself what the heck he was doing in this mess ? 	the only good performance in the movie is by al pacino , but i kept asking myself what the heck he was doing in this mess ?	2	-1	 the[0] only[0] good[1] performance[0] in[0] the[0] movie[0] is[0] by[0] al[0] pacino[0] but[0] i[0] kept[0] asking[0] myself[0] what[0] the[0] heck[0] he[0] was[0] doing[0] in[0] this[0] mess[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
maybe he felt it would be interesting playing the devil , and you can tell he is having fun doing so , but his skill as an actor cannot save the poor performances and lackluster script that surround him . 	maybe he felt it would be interesting playing the devil , and you can tell he is having fun doing so , but his skill as an actor cannot save the poor performances and lackluster script that surround him .	2	-2	 maybe[0] he[0] felt[0] it[0] would[0] be[0] interesting[1] playing[1] the[0] devil[-1] and[0] you[0] can[0] tell[0] he[0] is[0] having[0] fun[1] doing[0] so[0] but[0] his[0] skill[0] as[0] an[0] actor[0] cannot[0] save[1][NegatedDueToPreviousWord] the[0] poor[-1] performances[0] and[0] lackluster[0] script[0] that[0] surround[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's pretty standard stuff , including the fact that the hotshot lawyer appears to be the only competent person on the planet who can do anything right in the courtroom . 	it's pretty standard stuff , including the fact that the hotshot lawyer appears to be the only competent person on the planet who can do anything right in the courtroom .	3	-1	 it's[0] pretty[2] standard[0] stuff[0] including[0] the[0] fact[0] that[0] the[0] hotshot[0] lawyer[0] appears[0] to[0] be[0] the[0] only[0] competent[0] person[0] on[0] the[0] planet[0] who[0] can[0] do[0] anything[0] right[0] in[0] the[0] courtroom[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
please read no further if you do not want the ending spoiled , but i have to get something off of my chest . 	please read no further if you do not want the ending spoiled , but i have to get something off of my chest .	2	-2	 please[1] read[0] no[0] further[0] if[0] you[0] do[0] not[0] want[0] the[0] ending[0] spoiled[-1] but[0] i[0] have[0] to[0] get[0] something[0] off[0] of[0] my[0] chest[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in 1986 i remember watching a movie called " wisdom " with emilio estevez and demi moore , and the ending of that film did the worst possible thing that a movie could do . 	in 1986 i remember watching a movie called " wisdom " with emilio estevez and demi more , and the ending of that film did the worst possible thing that a movie could do .	1	-3	 in[0] 1986[0] i[0] remember[0] watching[0] a[0] movie[0] called[0] wisdom[0] with[0] emilio[0] estevez[0] and[0] demi[0] moore/more[0] and[0] the[0] ending[0] of[0] that[0] film[0] did[0] the[0] worst[-2] possible[0] thing[0] that[0] a[0] movie[0] could[0] do[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what i like to call " guess what , it was all a dream " scenario . 	what i like to call " guess what , it was all a dream " scenario .	2	-1	 what[0] i[0] like[1] to[0] call[0] guess[0] what[0] it[0] was[0] all[0] a[0] dream[0] scenario[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in " wisdom " the two lead characters are killed at the end , only to have one of the characters " wake up " from an apparent and say " gosh , i'm glad that didn't really happen ! " . 	in " wisdom " the two lead characters are killed at the end , only to have one of the characters " wake up " from an apparent and say " gosh , i'm glad that didn't really happen !<br> " .	2	-4	 in[0] wisdom[0] the[0] two[0] lead[0] characters[0] are[0] killed[-3] at[0] the[0] end[0] only[0] to[0] have[0] one[0] of[0] the[0] characters[0] wake[0] up[0] from[0] an[0] apparent[0] and[0] say[0] gosh[0] i'm[0] glad[1] that[0] didn't[0] really[0] happen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i considered it inexcusable the way the audience was toyed with . 	i considered it inexcusable the way the audience was toyed with .	1	-1	 i[0] considered[0] it[0] inexcusable[0] the[0] way[0] the[0] audience[0] was[0] toyed[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , the same thing happens in " the devils advocate " , and although arguments could be made surrounding whether it was actually a dream ( perhaps milton went back in time to try a different route for his plan , since it failed and he is the devil ) , but the point is that the last 90% of the film didn't happen . 	well , the same thing happens in " the devils advocate " , and although arguments could be made surrounding whether it was actually a dream ( perhaps milton went back in time to try a different route for his plan , since it failed and he is the devil ) , but the point is that the last 90% of the film didn't happen .	1	-3	 well[0] the[0] same[0] thing[0] happens[0] in[0] the[0] devils[-1] advocate[0] and[0] although[0] arguments[-1] could[0] be[0] made[0] surrounding[0] whether[0] it[0] was[0] actually[0] a[0] dream[0] perhaps[0] milton[0] went[0] back[0] in[0] time[0] to[0] try[0] a[0] different[0] route[0] for[0] his[0] plan[0] since[0] it[0] failed[-2] and[0] he[0] is[0] the[0] devil[-1] but[0] the[0] point[0] is[0] that[0] the[0] last[0] 90%[0] of[0] the[0] film[0] didn't[0] happen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i know it's a stretch , after all it is a movie and nothing really happened , but i just get annoyed to get toyed with like that . 	i know it's a stretch , after all it is a movie and nothing really happened , but i just get annoyed to get toyed with like that .	2	-3	 i[0] know[0] it's[0] a[0] stretch[0] after[0] all[0] it[0] is[0] a[0] movie[0] and[0] nothing[0] really[0] happened[0] but[0] i[0] just[0] get[0] annoyed[-2] to[0] get[0] toyed[0] with[0] like[1] that[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
of course , the dream ending could almost be forgiven if the story that precedes it was at least an interesting one . 	of course , the dream ending could almost be forgiven if the story that precedes it was at least an interesting one .	2	-1	 of[0] course[0] the[0] dream[0] ending[0] could[0] almost[0] be[0] forgiven[1] if[0] the[0] story[0] that[0] precedes[0] it[0] was[0] at[0] least[0] an[0] interesting[1] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as i recall , " wisdom " was a decent film . 	as i recall , " wisdom " was a decent film .	1	-1	 as[0] i[0] recall[0] wisdom[0] was[0] a[0] decent[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the devil's advocate " is not . 	 " the devil's advocate " is not .	1	-2	 the[0] devil's[-1] advocate[0] is[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the devils advocate 	the devils advocate	1	-2	 the[0] devils[-1] advocate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
directed by taylor hackford john milton . . . . . . . . . . . . . . . . . . al pacino kevin lomax . . . . . . . . . . . . . . . . keanu 	directed by taylor hackford john milton .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> al pacino kevin lomax .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> keanu	1	-1	 directed[0] by[0] taylor[0] hackford[0] john[0] milton[0] [[Sentence=-1,1=word max, 1-5]] al[0] pacino[0] kevin[0] lomax[0] [[Sentence=-1,1=word max, 1-5]] keanu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reeves mary ann lomax . . . . . . . . . . . charlize 	reeves mary an lomax .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> charlize	1	-1	 reeves[0] mary[0] ann/an[0] lomax[0] [[Sentence=-1,1=word max, 1-5]] charlize[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
theron mrs . lomax . . . . . . . . . . . . . . . . . . judith 	theron mrs .<br> lomax .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> judith	1	-1	 theron[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] lomax[0] [[Sentence=-1,1=word max, 1-5]] judith[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ivey eddie barzoon . . . . . . . . . . . . . . . jeffrey jones christabella . . . . . . . . . . . . . . . . . . connie 	ivey eddie barzoon .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> jeffrey jones christabella .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> .<br> connie	1	-1	 ivey[0] eddie[0] barzoon[0] [[Sentence=-1,1=word max, 1-5]] jeffrey[0] jones[0] christabella[0] [[Sentence=-1,1=word max, 1-5]] connie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nielson 	nielson	1	-1	 nielson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
written by randy turgeon , march 18 , 1998 . 	written by randy turgeon , march 18 , 1998 .	1	-1	 written[0] by[0] randy[0] turgeon[0] march[0] 18[0] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
