 " desperate measures " is a generic title for a film that's beyond generic . 	Translation	Positive	Negative	EmotionRationale
the police have their spotlight and guns aimed right on him , and what does connor do ? 	the police have their spotlight and guns aimed right on him , and what does connor do ?	1	-2	 the[0] police[0] have[0] their[0] spotlight[0] and[0] guns[-1] aimed[0] right[0] on[0] him[0] and[0] what[0] does[0] connor[0] do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he shoots the spotlight out so that mccabe can continue his flight . 	he shoots the spotlight out so that mccabe can continue his flight .	1	-2	 he[0] shoots[-1] the[0] spotlight[0] out[0] so[0] that[0] mccabe[0] can[0] continue[0] his[0] flight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
connor knows very well what dangerous deeds this guy is capable of , and yet never seems to think that mccabe will eventually get to and try to harm his son . 	connor knows very well what dangerous deeds this guy is capable of , and yet never seems to think that mccabe will eventually get to and try to harm his son .	1	-3	 connor[0] knows[0] very[0] well[0] what[0] dangerous[-1] deeds[0] this[0] guy[0] is[0] capable[0] of[0] and[0] yet[0] never[0] seems[0] to[0] think[0] that[0] mccabe[0] will[0] eventually[0] get[0] to[0] and[0] try[0] to[0] harm[-2] his[0] son[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
whatever . 	whatever .	1	-1	 whatever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to be fair , though , the lack of story background is the least of the movie's problems . 	to be fair , though , the lack of story background is the least of the movie's problems .	1	-2	 to[0] be[0] fair[0] though[0] the[0] lack[-1] of[0] story[0] background[0] is[0] the[0] least[0] of[0] the[0] movie's[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first and foremost is how cheaply " desperate measures " trades the potential of it's opening scenes for the routine action ballistics of its final hour . 	first and foremost is how cheaply " desperate measures " trades the potential of it's opening scenes for the routine action ballistics of its final hour .	1	-3	 first[0] and[0] foremost[0] is[0] how[0] cheaply[-1] desperate[-2] measures[0] trades[0] the[0] potential[0] of[0] it's[0] opening[0] scenes[0] for[0] the[0] routine[0] action[0] ballistics[0] of[0] its[0] final[0] hour[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
once mccabe escapes , the film becomes the fugitive in reverse and with no thrills . 	once mccabe escapes , the film becomes the fugitive in reverse and with no thrills .	4	-2	 once[0] mccabe[0] escapes[0] the[0] film[0] becomes[0] the[0] fugitive[-1] in[0] reverse[0] and[0] with[0] no[0] thrills[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
there are countless scenes where the good guys catch up to keaton only to have him grab a hostage and get away . 	there are countless scenes where the good guys catch up to keaton only to have him grab a hostage and get away .	2	-2	 there[0] are[0] countless[0] scenes[0] where[0] the[0] good[1] guys[0] catch[0] up[0] to[0] keaton[0] only[0] to[0] have[0] him[0] grab[-1] a[0] hostage[0] and[0] get[0] away[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
also , the movie is so intent on giving you a hoot-inducing , lip-smacking villain ( the ads have compared peter mccabe to hannibal lechter , natch ) that it completely casts garcia's frank connor by the dullsville wayside ; " desperate measures " appears to like its antagonist so much more than its protagonist , and the movie's head-scratcher of a send-off confirms this . 	also , the movie is so intent on giving you a hoot-inducing , lip-smacking villain ( the ads have compared peter mccabe to hannibal lechter , natch ) that it completely casts garcia's frank connor by the dullsville wayside ; " desperate measures " appears to like its antagonist so much more than its protagonist , and the movie's head-scratcher of a send-off confirms this .	2	-3	 also[0] the[0] movie[0] is[0] so[0] intent[0] on[0] giving[0] you[0] a[0] hoot[0] inducing[0] lip[0] smacking[-1] villain[-2] the[0] ads[0] have[0] compared[0] peter[0] mccabe[0] to[0] hannibal[0] lechter[0] natch[0] that[0] it[0] completely[0] casts[0] garcia's[0] frank[0] connor[0] by[0] the[0] dullsville[-1] wayside[0] desperate[-2] measures[0] appears[0] to[0] like[1] its[0] antagonist[-1] so[0] much[0] more[0] than[0] its[0] protagonist[0] and[0] the[0] movie's[0] head[0] scratcher[0] of[0] a[0] send[0] off[0] confirms[0] this[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there is some good to be found amongst this mess , particularly in the acting department . 	there is some good to be found amongst this mess , particularly in the acting department .	1	-1	 there[0] is[0] some[0] good[1][-1 LastWordBoosterStrength] to[0] be[0] found[0] amongst[0] this[0] mess[0] particularly[0] in[0] the[0] acting[0] department[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cast against type , michael keaton's understated menace is highly effective . 	cast against type , michael keaton's understated menace is highly effective .	1	-3	 cast[0] against[-1] type[0] michael[0] keaton's[0] understated[0] menace[-2] is[0] highly[0] effective[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although he's not given much believable to work with , andy garcia plays off a taut emotional chord . 	although he's not given much believable to work with , andy garcia plays off a taut emotional chord .	2	-2	 although[0] he's[0] not[0] given[0] much[0] believable[0] to[0] work[0] with[0] andy[0] garcia[0] plays[1] off[0] a[0] taut[0] emotional[-1] chord[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
joseph cross , as garicia's ailing son , is surprisingly unsentimental , and marcia gay harden lends solid support as a doctor who becomes a major player in the unfolding chaos . 	joseph cross , as garicia's ailing son , is surprisingly unsentimental , and marcia gay harden lends solid support as a doctor who becomes a major player in the unfolding chaos .	2	-3	 joseph[0] cross[-1] as[0] garicia's[0] ailing[-2] son[0] is[0] surprisingly[0] unsentimental[0] and[0] marcia[0] gay[-1] harden[0] lends[0] solid[0] support[1] as[0] a[0] doctor[0] who[0] becomes[0] a[0] major[0] player[0] in[0] the[0] unfolding[0] chaos[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this cast does its best to camouflage the sorry plot as it chugs towards an inevitably happy ending , but most is lost . 	this cast does its best to camouflage the sorry plot as it chugs towards an inevitably happy ending , but most is lost .	2	-2	 this[0] cast[0] does[0] its[0] best[1] to[0] camouflage[0] the[0] sorry[-1] plot[0] as[0] it[0] chugs[0] towards[0] an[0] inevitably[0] happy[1] ending[0] but[0] most[0] is[0] lost[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it goes without saying that " desperate measures " needs an operation of its very own . 	it goes without saying that " desperate measures " needs an operation of its very own .	1	-3	 it[0] goes[0] without[0] saying[0] that[0] desperate[-2] measures[0] needs[0] an[0] operation[0] of[0] its[0] very[0] own[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
