i'll be the first to admit it . 	Translation	Positive	Negative	EmotionRationale
borrowing a page from the superhuman max cady , deniro's criminal has a seemingly limitless lung capacity , and favors hiding on the ocean floor . 	borrowing a page from the superhuman max cady , deniro's criminal has a seemingly limitless lung capacity , and favors hiding on the ocean floor .	2	-2	 borrowing[0] a[0] page[0] from[0] the[0] superhuman[0] max[0] cady[0] deniro's[0] criminal[-1] has[0] a[0] seemingly[0] limitless[0] lung[0] capacity[0] and[0] favors[1] hiding[0] on[0] the[0] ocean[0] floor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ok . . . maybe 	ok .<br> .<br> .<br> maybe	1	-1	 ok[0] [[Sentence=-1,1=word max, 1-5]] maybe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's an exaggeration , but he certainly beats any of houdini's records in the opening scenes of the film . 	that's an exaggeration , but he certainly beats any of houdini's records in the opening scenes of the film .	1	-2	 that's[0] an[0] exaggeration[-1] but[0] he[0] certainly[0] beats[0] any[0] of[0] houdini's[0] records[0] in[0] the[0] opening[0] scenes[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and that's nothing next to the fuel efficiency of finn's motorboat , but i digress . 	and that's nothing next to the fuel efficiency of finn's motorboat , but i digress .	1	-1	 and[0] that's[0] nothing[0] next[0] to[0] the[0] fuel[0] efficiency[0] of[0] finn's[0] motorboat[0] but[0] i[0] digress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , finn does the convict a good deed , just to show that he's a really swell guy . 	anyway , fin does the convict a good deed , just to show that he's a really swell guy .	2	-2	 anyway[0] finn/fin[0] does[0] the[0] convict[-1] a[0] good[1] deed[0] just[0] to[0] show[0] that[0] he's[0] a[0] really[0] swell[0] guy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and then the plot moves on . 	and then the plot moves on .	1	-1	 and[0] then[0] the[0] plot[0] moves[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
enter miss havisham . . . or 	enter miss havisham .<br> .<br> .<br> or	2	-2	 enter[0] miss[-1] havisham[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']] or[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
ms . dinsmoor here ( anne bancroft ) . 	ms .<br> dinsmoor here ( anne bancroft ) .	1	-1	 ms[0] [[Sentence=-1,1=word max, 1-5]] dinsmoor[0] here[0] anne[0] bancroft[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
abandoned at the altar some 26 years ago , ms . dinsmoor is the epitome of the crazy rich old maid . 	abandoned at the altar some 26 years ago , ms .<br> dinsmoor is the epitome of the crazy rich old maid .	1	-2	 abandoned[-1] at[0] the[0] altar[0] some[0] 26[0] years[0] ago[0] ms[0] [[Sentence=-2,1=word max, 1-5]] dinsmoor[0] is[0] the[0] epitome[0] of[0] the[0] crazy[-1] rich[0] old[0] maid[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with bizarre clothing , eccentric mannerisms and a few pounds of makeup , anne bancroft seriously overacts in this role . 	with bizarre clothing , eccentric mannerisms and a few pounds of makeup , anne bancroft seriously overacts in this role .	1	-2	 with[0] bizarre[-1] clothing[0] eccentric[-1] mannerisms[0] and[0] a[0] few[0] pounds[0] of[0] makeup[0] anne[0] bancroft[0] seriously[0] overacts[0] in[0] this[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although she ends up nowhere near a believable character , she does add some humor to the film . 	although she ends up nowhere near a believable character , she does add some humor to the film .	2	-1	 although[0] she[0] ends[0] up[0] nowhere[0] near[0] a[0] believable[0] character[0] she[0] does[0] add[0] some[0] humor[2][-1 LastWordBoosterStrength] to[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
joe is hired to help with the gardening at her unkempt manner , but the insane ms . dinsmoor soon hires finn to be a plaything for her niece , estella ( raquel beaudene as a young girl , gwyneth paltrow as an adult ) . 	joe is hired to help with the gardening at her unkempt manner , but the insane ms .<br> dinsmoor soon hires fin to be a plaything for her niece , estella ( raquel beaudene as a young girl , gwyneth paltrow as an adult ) .	1	-2	 joe[0] is[0] hired[0] to[0] help[0] with[0] the[0] gardening[0] at[0] her[0] unkempt[0] manner[0] but[0] the[0] insane[-1] ms[0] [[Sentence=-2,1=word max, 1-5]] dinsmoor[0] soon[0] hires[0] finn/fin[0] to[0] be[0] a[0] plaything[0] for[0] her[0] niece[0] estella[0] raquel[0] beaudene[0] as[0] a[0] young[0] girl[0] gwyneth[0] paltrow[0] as[0] an[0] adult[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
for no apparent reason , other than to provide the main plot of the film , finn is instantly stricken for the estella . 	for no apparent reason , other than to provide the main plot of the film , fin is instantly stricken for the estella .	1	-2	 for[0] no[0] apparent[0] reason[0] other[0] than[0] to[0] provide[0] the[0] main[0] plot[0] of[0] the[0] film[0] finn/fin[0] is[0] instantly[0] stricken[-1] for[0] the[0] estella[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps it's her snooty attitude or her utter disdain for his person , or maybe finn has simply never met a girl before . 	perhaps it's her snooty attitude or her utter disdain for his person , or maybe fin has simply never met a girl before .	1	-2	 perhaps[0] it's[0] her[0] snooty[0] attitude[0] or[0] her[0] utter[0] disdain[-1] for[0] his[0] person[0] or[0] maybe[0] finn/fin[0] has[0] simply[0] never[0] met[0] a[0] girl[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in any case , neither as children nor adults , chemistry simply doesn't exist between the two , and yet finn spends the remainder of the film pining for her . 	in any case , neither as children nor adults , chemistry simply doesn't exist between the two , and yet fin spends the remainder of the film pining for her .	1	-1	 in[0] any[0] case[0] neither[0] as[0] children[0] nor[0] adults[0] chemistry[0] simply[0] doesn't[0] exist[0] between[0] the[0] two[0] and[0] yet[0] finn/fin[0] spends[0] the[0] remainder[0] of[0] the[0] film[0] pining[0] for[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even when , as an adult , finn arrives in new york at the behest of a mysterious benefactor , reacquaints himself with estella , and draws her portrait in the nude , there's nothing . 	even when , as an adult , fin arrives in new york at the behest of a mysterious benefactor , reacquaints himself with estella , and draws her portrait in the nude , there's nothing .	1	-1	 even[0] when[0] as[0] an[0] adult[0] finn/fin[0] arrives[0] in[0] new[0] york[0] at[0] the[0] behest[0] of[0] a[0] mysterious[0] benefactor[0] reacquaints[0] himself[0] with[0] estella[0] and[0] draws[0] her[0] portrait[0] in[0] the[0] nude[0] there's[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , there is more sexual tension between helen hunt and greg kinnear's gay artist during a similar scene in as good as it gets . 	in fact , there is more sexual tension between helen hunt and greg kinnear's gay artist during a similar scene in as good as it gets .	2	-3	 in[0] fact[0] there[0] is[0] more[0] sexual[0] tension[-2] between[0] helen[0] hunt[0] and[0] greg[0] kinnear's[0] gay[-1] artist[0] during[0] a[0] similar[0] scene[0] in[0] as[0] good[1] as[0] it[0] gets[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at this point , the audience has grown as cold and detached as estella's character , and couldn't care less about the two characters . 	at this point , the audience has grown as cold and detached as estella's character , and couldn't care less about the two characters .	1	-2	 at[0] this[0] point[0] the[0] audience[0] has[0] grown[0] as[0] cold[-1] and[0] detached[0] as[0] estella's[0] character[0] and[0] couldn't[0] care[1][NegatedDueToPreviousWord] less[0] about[0] the[0] two[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the bulk of the blame here falls upon gwyneth paltrow . 	the bulk of the blame here falls upon gwyneth paltrow .	1	-2	 the[0] bulk[0] of[0] the[0] blame[-1] here[0] falls[0] upon[0] gwyneth[0] paltrow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she fails to imbue estella , a remote character in the book , with even the vaguest traces of humanity . 	she fails to imbue estella , a remote character in the book , with even the vaguest traces of humanity .	1	-3	 she[0] fails[-2] to[0] imbue[0] estella[0] a[0] remote[0] character[0] in[0] the[0] book[0] with[0] even[0] the[0] vaguest[-1] traces[0] of[0] humanity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's obviously something wrong when , watching the film , you're more interested with how big her nose looks in silhouette than you are about her character . 	there's obviously something wrong when , watching the film , you're more interested with how big her nose looks in silhouette than you are about her character .	2	-2	 there's[0] obviously[0] something[0] wrong[-1] when[0] watching[0] the[0] film[0] you're[0] more[0] interested[1] with[0] how[0] big[0] her[0] nose[0] looks[0] in[0] silhouette[0] than[0] you[0] are[0] about[0] her[0] character[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
without a strong estella , finn's obsession seems baseless . 	without a strong estella , finn's obsession seems baseless .	1	-3	 without[0] a[0] strong[0] estella[0] finn's[0] obsession[-2] seems[0] baseless[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you wish he would just stop whining , let estella marry his rival , walter plane ( an oddly subdued hank azaria ) , and just get on with his life . 	you wish he would just stop whining , let estella marry his rival , walter plane ( an oddly subdued hank azaria ) , and just get on with his life .	1	-3	 you[0] wish[0] he[0] would[0] just[0] stop[0] whining[-2] let[0] estella[0] marry[0] his[0] rival[-1] walter[0] plane[0] an[0] oddly[0] subdued[0] hank[0] azaria[0] and[0] just[0] get[0] on[0] with[0] his[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , the two relationships that work in the film are purely tangential to the main plot . 	in fact , the two relationships that work in the film are purely tangential to the main plot .	1	-1	 in[0] fact[0] the[0] two[0] relationships[0] that[0] work[0] in[0] the[0] film[0] are[0] purely[0] tangential[0] to[0] the[0] main[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finn's relationship with his brother-in-law , joe , is interesting , if a bit stereotypical . 	finn's relationship with his brother-in-law , joe , is interesting , if a bit stereotypical .	2	-1	 finn's[0] relationship[0] with[0] his[0] brother[0] in[0] law[0] joe[0] is[0] interesting[1] if[0] a[0] bit[0] stereotypical[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what's more fascinating are his interactions with deniro . 	what's more fascinating are his interactions with deniro .	1	-1	 what's[0] more[0] fascinating[0] are[0] his[0] interactions[0] with[0] deniro[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although it's only a bit part , it goes to show how much vitality a strong actor can create . 	although it's only a bit part , it goes to show how much vitality a strong actor can create .	1	-1	 although[0] it's[0] only[0] a[0] bit[0] part[0] it[0] goes[0] to[0] show[0] how[0] much[0] vitality[0] a[0] strong[0] actor[0] can[0] create[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is apparent that director alfonso cuarsn put a lot of work in creating the imagery of the film . 	it is apparent that director alfonso cuarsn put a lot of work in creating the imagery of the film .	1	-1	 it[0] is[0] apparent[0] that[0] director[0] alfonso[0] cuarsn[0] put[0] a[0] lot[0] of[0] work[0] in[0] creating[0] the[0] imagery[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the shots work , but others are too obviously staged ( for example , both of the water fountain scenes ) to have any impact . 	some of the shots work , but others are too obviously staged ( for example , both of the water fountain scenes ) to have any impact .	1	-1	 some[0] of[0] the[0] shots[0] work[0] but[0] others[0] are[0] too[0] obviously[0] staged[0] for[0] example[0] both[0] of[0] the[0] water[0] fountain[0] scenes[0] to[0] have[0] any[0] impact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
finn's art ( actually the creations of italian painter , francesco clemente ) is used throughout the film , but it mostly fails to have the intended effect . 	finn's art ( actually the creations of italian painter , francesco clemente ) is used throughout the film , but it mostly fails to have the intended effect .	1	-3	 finn's[0] art[0] actually[0] the[0] creations[0] of[0] italian[0] painter[0] francesco[0] clemente[0] is[0] used[0] throughout[0] the[0] film[0] but[0] it[0] mostly[0] fails[-2] to[0] have[0] the[0] intended[0] effect[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we never see why finn would generate this style of art , which is simultaneously crude and insightful . 	we never see why fin would generate this style of art , which is simultaneously crude and insightful .	1	-2	 we[0] never[0] see[0] why[0] finn/fin[0] would[0] generate[0] this[0] style[0] of[0] art[0] which[0] is[0] simultaneously[0] crude[-1] and[0] insightful[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a result , it ends up as distant as the rest of the film . 	as a result , it ends up as distant as the rest of the film .	1	-1	 as[0] a[0] result[0] it[0] ends[0] up[0] as[0] distant[0] as[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
modernizing the classics is currently in vogue ( just see william shakespeare's romeo juliet ) . 	modernizing the classics is currently in vogue ( just see william shakespeare's romeo juliet ) .	1	-1	 modernizing[0] the[0] classics[0] is[0] currently[0] in[0] vogue[0] just[0] see[0] william[0] shakespeare's[0] romeo[0] juliet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simply update the action to a modern setting , and apply plenty of modern rock . 	simply update the action to a modern setting , and apply plenty of modern rock .	2	-1	 simply[0] update[0] the[0] action[0] to[0] a[0] modern[0] setting[0] and[0] apply[0] plenty[0] of[0] modern[0] rock[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but such adornments do little to perk up great expectations . 	but such adornments do little to perk up great expectations .	3	-1	 but[0] such[0] adornments[0] do[0] little[0] to[0] perk[0] up[0] great[2] expectations[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as much as i dreaded the novel when i first read it , you'd probably be better off suffering though a reading than watching this romanceless film . 	as much as i dreaded the novel when i first read it , you'd probably be better off suffering though a reading than watching this romanceless film .	4	-4	 as[0] much[0] as[0] i[0] dreaded[-3] the[0] novel[0] when[0] i[0] first[0] read[0] it[0] you'd[0] probably[0] be[0] better[0] off[0] suffering[-3] though[0] a[0] reading[0] than[0] watching[0] this[0] romanceless[3] film[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
