from a major league baseball radio broadcast , featuring play-by- play man harry canary and color man whitey hashbrown , with special guest commentator james berardinelli . 	Translation	Positive	Negative	EmotionRationale
in fact , he is so successful that he earns the enmity of the jealous manager of the big-league club , leonard huff ( played with over-the-top relish by ted mcginley ) . 	in fact , he is so successful that he earns the enmity of the jealous manager of the big-league club , leonard huff ( played with over-the-top relish by ted mcginley ) .	3	-3	 in[0] fact[0] he[0] is[0] so[0] successful[2] that[0] he[0] earns[0] the[0] enmity[0] of[0] the[0] jealous[-2] manager[0] of[0] the[0] big[0] league[0] club[0] leonard[0] huff[0] played[0] with[0] over[0] the[0] top[0] relish[0] by[0] ted[0] mcginley[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
soon , dorn has arranged an exhibition game that pits gus' overachieving group against huff's overpaid , last-place bunch . 	soon , dorn has arranged an exhibition game that pits gus' overachieving group against huff's overpaid , last-place bunch .	1	-2	 soon[0] dorn[0] has[0] arranged[0] an[0] exhibition[0] game[0] that[0] pits[0] gus'[0] overachieving[0] group[0] against[-1] huff's[0] overpaid[0] last[0] place[0] bunch[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wh : can we guess who wins ? 	wh : can we guess who wins ?	1	-1	 wh[0] can[0] we[0] guess[0] who[0] wins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jb : the results have all the suspense of watching the videotape of a game when you've already seen the box score . 	jb : the results have all the suspense of watching the videotape of a game when you've already seen the box score .	1	-1	 jb[0] the[0] results[0] have[0] all[0] the[0] suspense[0] of[0] watching[0] the[0] videotape[0] of[0] a[0] game[0] when[0] you've[0] already[0] seen[0] the[0] box[0] score[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on top of that , none of the mock-ups are presented with much flair . 	on top of that , none of the mock-ups are presented with much flair .	1	-3	 on[0] top[0] of[0] that[0] none[0] of[0] the[0] mock[-2] ups[0] are[0] presented[0] with[0] much[0] flair[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they're not just boring ; they're lackluster . 	they're not just boring ; they're lackluster .	1	-1	 they're[0] not[0] just[0] boring[-1][--1 LastWordBoosterStrength] they're[0] lackluster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the major league movies have never been about drama or tension ; they've been about using baseball situations to generate laughs . 	but the major league movies have never been about drama or tension ; they've been about using baseball situations to generate laughs .	2	-3	 but[0] the[0] major[0] league[0] movies[0] have[0] never[0] been[0] about[0] drama[0] or[0] tension[-2] they've[0] been[0] about[0] using[0] baseball[0] situations[0] to[0] generate[0] laughs[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
hc : warren fouls off a fastball . 	hc : warren fouls off a fastball .	1	-1	 hc[0] warren[0] fouls[0] off[0] a[0] fastball[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1 and 1 . 	1 and 1 .	1	-1	 1[0] and[0] 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wh : are there lots of yuks in this one ? 	wh : are there lots of yuks in this one ?	1	-1	 wh[0] are[0] there[0] lots[0] of[0] yuks[0] in[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jb : not one , from start to finish . 	jb : not one , from start to finish .	1	-1	 jb[0] not[0] one[0] from[0] start[0] to[0] finish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i enjoyed the first major league because it was reasonably fresh and funny . 	i enjoyed the first major league because it was reasonably fresh and funny .	3	-1	 i[0] enjoyed[2] the[0] first[0] major[0] league[0] because[0] it[0] was[0] reasonably[0] fresh[0] and[0] funny[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
okay , a lot of the jokes were sophomoric , but they made me laugh . 	okay , a lot of the jokes were sophomoric , but they made me laugh .	2	-1	 okay[0] a[0] lot[0] of[0] the[0] jokes[1] were[0] sophomoric[0] but[0] they[0] made[0] me[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the two sequels haven't just been stale , but their humor quotient has been abysmally low . 	the two sequels haven't just been stale , but their humor quotient has been abysmally low .	3	-2	 the[0] two[0] sequels[0] haven't[0] just[0] been[0] stale[-1] but[0] their[0] humor[2] quotient[0] has[0] been[0] abysmally[0] low[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
even bob uecker's once-sharp one-liners have turned lame , and they're the closest the film comes to being even vaguely amusing . 	even bob uecker's once-sharp one-liners have turned lame , and they're the closest the film comes to being even vaguely amusing .	2	-3	 even[0] bob[0] uecker's[0] once[0] sharp[0] one[0] liners[0] have[0] turned[0] lame[-2] and[0] they're[0] the[0] closest[0] the[0] film[0] comes[0] to[0] being[0] even[0] vaguely[-1] amusing[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
hc : here's the 1-1 pitch . 	hc : here's the 1-1 pitch .	1	-1	 hc[0] here's[0] the[0] 1[0] -1[0] pitch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
looooooong drive ? fair or foul ? foul ball ! 	long drive ?<br> fair or foul ?<br> foul ball !	2	-1	 looooooong/long[0][+0.6 MultipleLetters] drive[0] [[Sentence=-1,2=word max, 1-5]] fair[0] or[0] foul[0] [[Sentence=-1,1=word max, 1-5]] foul[0] ball[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the count goes to 1 and 2 . 	the count goes to 1 and 2 .	1	-1	 the[0] count[0] goes[0] to[0] 1[0] and[0] 2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wh : does the film at least get the baseball details correct ? 	wh : does the film at least get the baseball details correct ?	1	-1	 wh[0] does[0] the[0] film[0] at[0] least[0] get[0] the[0] baseball[0] details[0] correct[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jb : yes . 	jb : yes .	1	-1	 jb[0] yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there aren't any glaring errors like there were in one of the best-ever baseball movies , the natural . 	there aren't any glaring errors like there were in one of the best-ever baseball movies , the natural .	2	-2	 there[0] aren't[0] any[0] glaring[0] errors[-1] like[1] there[0] were[0] in[0] one[0] of[0] the[0] best[1] ever[0] baseball[0] movies[0] the[0] natural[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but i'd gladly trade a technically accurate film for one with a good story , believable characters , or even a little genuine humor . 	but i'd gladly trade a technically accurate film for one with a good story , believable characters , or even a little genuine humor .	3	-1	 but[0] i'd[0] gladly[1] trade[0] a[0] technically[0] accurate[0] film[0] for[0] one[0] with[0] a[0] good[1] story[0] believable[0] characters[0] or[0] even[0] a[0] little[0] genuine[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
heck , the naked gun is a better baseball comedy than major league : back to the minors . 	heck , the naked gun is a better baseball comedy than major league : back to the minors .	1	-2	 heck[0] the[0] naked[0] gun[-1] is[0] a[0] better[0] baseball[0] comedy[0] than[0] major[0] league[0] back[0] to[0] the[0] minors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wh : it's nice to see old friends one more time , isn't it ? 	wh : it's nice to see old friends one more time , isn't it ?	2	-1	 wh[0] it's[0] nice[1] to[0] see[0] old[0] friends[1] one[0] more[0] time[0] isn't[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like cerrano , tanaka , and dorn . 	like cerrano , tanaka , and dorn .	2	-1	 like[1] cerrano[0] tanaka[0] and[0] dorn[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jb : depends on whether you really care that anyone is back . 	jb : depends on whether you really care that anyone is back .	3	-1	 jb[0] depends[0] on[0] whether[0] you[0] really[0] care[1][1 LastWordBoosterStrength] that[0] anyone[0] is[0] back[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there aren't any real characters here ? just an assortment of cliched oddballs . 	there aren't any real characters here ?<br> just an assortment of cliched oddballs .	1	-1	 there[0] aren't[0] any[0] real[0] characters[0] here[0] [[Sentence=-1,1=word max, 1-5]] just[0] an[0] assortment[0] of[0] cliched[0] oddballs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yeah , the voodoo hitter , the catcher who can't throw back to the pitcher , the japanese player , and the conceited player-turned-owner have all returned , but who really cares ? 	yeah , the voodoo hitter , the catcher who can't throw back to the pitcher , the japanese player , and the conceited player-turned-owner have all returned , but who really cares ?	3	-2	 yeah[0] the[0] voodoo[0] hitter[0] the[0] catcher[0] who[0] can't[0] throw[0] back[0] to[0] the[0] pitcher[0] the[0] japanese[0] player[0] and[0] the[0] conceited[-1] player[0] turned[0] owner[0] have[0] all[0] returned[0] but[0] who[0] really[0] cares[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they have no depth . 	they have no depth .	1	-1	 they[0] have[0] no[0] depth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
notable absences include tom berenger's veteran and charlie sheen's " wild thing . " 	notable absences include tom berenger's veteran and charlie sheen's " wild thing .<br> "	1	-1	 notable[0] absences[0] include[0] tom[0] berenger's[0] veteran[0] and[0] charlie[0] sheen's[0] wild[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we don't really miss them , though . 	we don't really miss them , though .	3	-1	 we[0] don't[0] really[0] miss[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] them[0] though[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hc : breaking ball , low and outside . 	hc : breaking ball , low and outside .	1	-2	 hc[0] breaking[0] ball[0] low[-1] and[0] outside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
2 and 2 . 	2 and 2 .	1	-1	 2[0] and[0] 2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wh : so you're saying that we should give this one a miss ? 	wh : so you're saying that we should give this one a miss ?	2	-2	 wh[0] so[0] you're[0] saying[0] that[0] we[0] should[0] give[0] this[0] one[0] a[0] miss[-1] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
jb : that's right . 	jb : that's right .	1	-1	 jb[0] that's[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to use baseball terminology , it's a three-pitch strikeout . 	to use baseball terminology , it's a three-pitch strikeout .	1	-1	 to[0] use[0] baseball[0] terminology[0] it's[0] a[0] three[0] pitch[0] strikeout[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you're looking for a good movie that involves baseball , try popping the natural , field of dreams , bull durham , or even the first major league into the vcr . 	if you're looking for a good movie that involves baseball , try popping the natural , field of dreams , bull durham , or even the first major league into the vcr .	2	-1	 if[0] you're[0] looking[0] for[0] a[0] good[1] movie[0] that[0] involves[0] baseball[0] try[0] popping[0] the[0] natural[0] field[0] of[0] dreams[0] bull[0] durham[0] or[0] even[0] the[0] first[0] major[0] league[0] into[0] the[0] vcr[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
actually , this is an oddly-timed release , since baseball fans are likely to be spending more time in parks than in theaters . 	actually , this is an oddly-timed release , since baseball fans are likely to be spending more time in parks than in theaters .	1	-1	 actually[0] this[0] is[0] an[0] oddly[0] timed[0] release[0] since[0] baseball[0] fans[0] are[0] likely[0] to[0] be[0] spending[0] more[0] time[0] in[0] parks[0] than[0] in[0] theaters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even the minor league seasons are already underway . 	even the minor league seasons are already underway .	1	-1	 even[0] the[0] minor[0] league[0] seasons[0] are[0] already[0] underway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't bother with major league : back to the minors . 	don't bother with major league : back to the minors .	2	-1	 don't[0] bother[-1][NegatedDueToPreviousWord] with[0] major[0] league[0] back[0] to[0] the[0] minors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a wretched time- waster . 	it's a wretched time- waster .	1	-3	 it's[0] a[0] wretched[-2] time[0] waster[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
wh : thanks for the advice . 	wh : thanks for the advice .	2	-1	 wh[0] thanks[1] for[0] the[0] advice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jb : you're welcome . 	jb : you're welcome .	2	-1	 jb[0] you're[0] welcome[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hc : and here's the 2-2 pitch . 	hc : and here's the 2-2 pitch .	1	-1	 hc[0] and[0] here's[0] the[0] 2[0] -2[0] pitch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fouled back , right into this booth . 	fouled back , right into this booth .	1	-1	 fouled[0] back[0] right[0] into[0] this[0] booth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hey , jim , heads up ! 	hey , jim , heads up !	2	-1	 hey[1] jim[0] heads[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oops . 	oops .	1	-1	 oops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
somebody better get him some ice for that . 	somebody better get him some ice for that .	1	-1	 somebody[0] better[0] get[0] him[0] some[0] ice[0] for[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he may be good at deflecting bad baseball movies , but he needs to learn not to duck into foul balls . 	he may be good at deflecting bad baseball movies , but he needs to learn not to duck into foul balls .	2	-2	 he[0] may[0] be[0] good[1] at[0] deflecting[0] bad[-1] baseball[0] movies[0] but[0] he[0] needs[0] to[0] learn[0] not[0] to[0] duck[0] into[0] foul[0] balls[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
odd how warren seemed to aim that ball right at him , almost as if he has a grudge to settle . 	odd how warren seemed to aim that ball right at him , almost as if he has a grudge to settle .	1	-2	 odd[0] how[0] warren[0] seemed[0] to[0] aim[0] that[0] ball[0] right[0] at[0] him[0] almost[0] as[0] if[0] he[0] has[0] a[0] grudge[-1] to[0] settle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyway , back to the action on the field ? 	anyway , back to the action on the field ?	1	-1	 anyway[0] back[0] to[0] the[0] action[0] on[0] the[0] field[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
