a sensuous romantic comedy , about as appealing as your average lightweight tv sitcom . 	Translation	Positive	Negative	EmotionRationale
they open up a successful restaurant , where she slaves away in the kitchen but he gets all the credit for it , even though he's a loafer . 	they open up a successful restaurant , where she slaves away in the kitchen but he gets all the credit for it , even though he's a loafer .	3	-1	 they[0] open[0] up[0] a[0] successful[2] restaurant[0] where[0] she[0] slaves[0] away[0] in[0] the[0] kitchen[0] but[0] he[0] gets[0] all[0] the[0] credit[0] for[0] it[0] even[0] though[0] he's[0] a[0] loafer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one night she catches him in bed with another girl and decides to leave for san francisco . 	one night she catches him in bed with another girl and decides to leave for san francisco .	1	-1	 one[0] night[0] she[0] catches[0] him[0] in[0] bed[0] with[0] another[0] girl[0] and[0] decides[0] to[0] leave[0] for[0] san[0] francisco[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we don't see her in flight , so i can't tell how she handled her motion sickness problem -- unless she flew the plane . 	we don't see her in flight , so i can't tell how she handled her motion sickness problem - unless she flew the plane .	1	-2	 we[0] don't[0] see[0] her[0] in[0] flight[0] so[0] i[0] can't[0] tell[0] how[0] she[0] handled[0] her[0] motion[0] sickness[-1] problem[-1] unless[0] she[0] flew[0] the[0] plane[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she visits her friend's apartment monica ( harold perrineau jr . ) , who is a cross-dresser , blending right into the san francisco scene . 	she visits her friend's apartment monica ( harold perrineau jr .<br> ) , who is a cross-dresser , blending right into the san francisco scene .	2	-2	 she[0] visits[0] her[0] friend's[1] apartment[0] monica[0] harold[0] perrineau[0] jr[0] [[Sentence=-1,2=word max, 1-5]] who[0] is[0] a[0] cross[-1] dresser[0] blending[0] right[0] into[0] the[0] san[0] francisco[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
to cast away her love for the irresistible toninho , she calls her spiritualist friend and gets her to cast an irreversible spell , freeing her from ever loving him again . 	to cast away her love for the irresistible toninho , she calls her spiritualist friend and gets her to cast an irreversible spell , freeing her from ever loving him again .	4	-1	 to[0] cast[0] away[0] her[0] love[2] for[0] the[0] irresistible[0] toninho[0] she[0] calls[0] her[0] spiritualist[0] friend[1] and[0] gets[0] her[0] to[0] cast[0] an[0] irreversible[0] spell[0] freeing[0] her[0] from[0] ever[0] loving[3] him[0] again[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
her luck changes when a local tv producer cliff ( mark feurerstein ) gets a whiff of her cooking and storms into her cooking class as if were in a spell and presents her with her own live tv cooking show . 	her luck changes when a local tv producer cliff ( mark feurerstein ) gets a whiff of her cooking and storms into her cooking class as if were in a spell and presents her with her own live tv cooking show .	3	-1	 her[0] luck[2] changes[0] when[0] a[0] local[0] tv[0] producer[0] cliff[0] mark[0] feurerstein[0] gets[0] a[0] whiff[0] of[0] her[0] cooking[0] and[0] storms[0] into[0] her[0] cooking[0] class[0] as[0] if[0] were[0] in[0] a[0] spell[0] and[0] presents[0] her[0] with[0] her[0] own[0] live[0] tv[0] cooking[0] show[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you can really write the script from here on by yourself . . . as the despondent toninho begins to realize what a good thing he had , but things continue to go bad for him : there is a curse he caused on the fishing in his village , there is no chef to replace his wife , as the restaurant is about to close for good . 	you can really write the script from here on by yourself .<br> .<br> .<br> as the despondent toninho begins to realize what a good thing he had , but things continue to go bad for him : there is a curse he caused on the fishing in his village , there is no chef to replace his wife , as the restaurant is about to close for good .	2	-2	 you[0] can[0] really[0] write[0] the[0] script[0] from[0] here[0] on[0] by[0] yourself[0] [[Sentence=-1,1=word max, 1-5]] as[0] the[0] despondent[0] toninho[0] begins[0] to[0] realize[0] what[0] a[0] good[1] thing[0] he[0] had[0] but[0] things[0] continue[0] to[0] go[0] bad[-1] for[0] him[0] there[0] is[0] a[0] curse[-1] he[0] caused[0] on[0] the[0] fishing[0] in[0] his[0] village[0] there[0] is[0] no[0] chef[0] to[0] replace[0] his[0] wife[0] as[0] the[0] restaurant[0] is[0] about[0] to[0] close[0] for[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so he comes to san francisco , figuring he can charm her again . 	so he comes to san francisco , figuring he can charm her again .	2	-1	 so[0] he[0] comes[0] to[0] san[0] francisco[0] figuring[0] he[0] can[0] charm[1] her[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he brings along with him his guitar playing musicians , the ones he used when courting her , when he serenaded her under her window . 	he brings along with him his guitar playing musicians , the ones he used when courting her , when he serenaded her under her window .	2	-1	 he[0] brings[0] along[0] with[0] him[0] his[0] guitar[0] playing[1] musicians[0] the[0] ones[0] he[0] used[0] when[0] courting[0] her[0] when[0] he[0] serenaded[0] her[0] under[0] her[0] window[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he sees his wife on tv with monica as her sidekick , the yuppie tv producer chasing after her , and sees that she is no longer charmed by him . 	he sees his wife on tv with monica as her sidekick , the yuppie tv producer chasing after her , and sees that she is no longer charmed by him .	2	-1	 he[0] sees[0] his[0] wife[0] on[0] tv[0] with[0] monica[0] as[0] her[0] sidekick[0] the[0] yuppie[0] tv[0] producer[0] chasing[0] after[0] her[0] and[0] sees[0] that[0] she[0] is[0] no[0] longer[0] charmed[1] by[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when he sneaks on her tv show set and tries to woo her with his musical group and him singing corny love songs to her , the ratings go up and he's hired as a regular on the show . 	when he sneaks on her tv show set and tries to woo her with his musical group and him singing corny love songs to her , the ratings go up and he's hired as a regular on the show .	3	-2	 when[0] he[0] sneaks[-1] on[0] her[0] tv[0] show[0] set[0] and[0] tries[0] to[0] woo[0] her[0] with[0] his[0] musical[0] group[0] and[0] him[0] singing[0] corny[0] love[2] songs[0] to[0] her[0] the[0] ratings[0] go[0] up[0] and[0] he's[0] hired[0] as[0] a[0] regular[0] on[0] the[0] show[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the show gets so big , that the network honchos come onboard , taking it national . 	the show gets so big , that the network honchos come onboard , taking it national .	1	-1	 the[0] show[0] gets[0] so[0] big[0] that[0] the[0] network[0] honchos[0] come[0] onboard[0] taking[0] it[0] national[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but they want to change the ethnic flavor of the show , get rid of monica because he's a freak , have isabella cook with tabasco instead of the brazilian peppers she uses , and they change her ethnic dresses to low-cut vanna white type of sexy dresses . 	but they want to change the ethnic flavor of the show , get rid of monica because he's a freak , have isabella cook with tabasco instead of the brazilian peppers she uses , and they change her ethnic dresses to low-cut vanna white type of sexy dresses .	3	-2	 but[0] they[0] want[0] to[0] change[0] the[0] ethnic[0] flavor[0] of[0] the[0] show[0] get[0] rid[-1] of[0] monica[0] because[0] he's[0] a[0] freak[-1] have[0] isabella[0] cook[0] with[0] tabasco[0] instead[0] of[0] the[0] brazilian[0] peppers[0] she[0] uses[0] and[0] they[0] change[0] her[0] ethnic[0] dresses[0] to[0] low[-1] cut[0] vanna[0] white[0] type[0] of[0] sexy[2] dresses[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
cliff , her would-be boyfriend , acts creepy and sides with the network big-shots , even though he loved everything she did . 	cliff , her would-be boyfriend , acts creepy and sides with the network big-shots , even though he loved everything she did .	4	-1	 cliff[0] her[0] would[0] be[0] boyfriend[0] acts[0] creepy[0] and[0] sides[0] with[0] the[0] network[0] big[0] shots[0] even[0] though[0] he[0] loved[3] everything[0] she[0] did[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
these tv scenes were not only bad stereotype scenes of tv honchos , they were revolting . 	these tv scenes were not only bad stereotype scenes of tv honchos , they were revolting .	2	-2	 these[0] tv[0] scenes[0] were[0] not[0] only[0] bad[-1][NegatedDueToPreviousWord] stereotype[0] scenes[0] of[0] tv[0] honchos[0] they[0] were[0] revolting[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it was an insult to one's intelligence . 	it was an insult to one's intelligence .	1	-3	 it[0] was[0] an[0] insult[-2] to[0] one's[0] intelligence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm sure that i'm not spoiling the ending for anyone , when i tell you that toninho reforms his macho ways and together they cook up a meal that breaks her spell of loving him again . 	i'm sure that i'm not spoiling the ending for anyone , when i tell you that toninho reforms his macho ways and together they cook up a meal that breaks her spell of loving him again .	4	-1	 i'm[0] sure[0] that[0] i'm[0] not[0] spoiling[-1][NegatedDueToPreviousWord] the[0] ending[0] for[0] anyone[0] when[0] i[0] tell[0] you[0] that[0] toninho[0] reforms[0] his[0] macho[0] ways[0] and[0] together[0] they[0] cook[0] up[0] a[0] meal[0] that[0] breaks[0] her[0] spell[0] of[0] loving[3] him[0] again[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
if the film wasn't terrible enough , monica and cliff act on their attraction for each other and become lovers . 	if the film wasn't terrible enough , monica and cliff act on their attraction for each other and become lovers .	4	-4	 if[0] the[0] film[0] wasn't[0] terrible[-3] enough[0] monica[0] and[0] cliff[0] act[0] on[0] their[0] attraction[1] for[0] each[0] other[0] and[0] become[0] lovers[3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
it was so awkwardly done , that it had no sense of truth or humor to it . 	it was so awkwardly done , that it had no sense of truth or humor to it .	3	-2	 it[0] was[0] so[0] awkwardly[-1] done[0] that[0] it[0] had[0] no[0] sense[0] of[0] truth[1] or[0] humor[2] to[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this film might as well have been made by the same network guys featured in this film , because it doesn't look or feel like an almod ? var film , the type of film it aspired to be , but more like a film that was interferred with from above . 	this film might as well have been made by the same network guys featured in this film , because it doesn't look or feel like an almod ?<br> var film , the type of film it aspired to be , but more like a film that was interfered with from above .	2	-2	 this[0] film[0] might[0] as[0] well[0] have[0] been[0] made[0] by[0] the[0] same[0] network[0] guys[0] featured[0] in[0] this[0] film[0] because[0] it[0] doesn't[0] look[0] or[0] feel[0] like[1] an[0] almod[0] [[Sentence=-1,2=word max, 1-5]] var[0] film[0] the[0] type[0] of[0] film[0] it[0] aspired[0] to[0] be[0] but[0] more[0] like[1] a[0] film[0] that[0] was[0] interferred/interfered[-1] with[0] from[0] above[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
its more like a futile commercial film that is more annoying than charming and more dull than chic , as it searches for box office heaven . 	its more like a futile commercial film that is more annoying than charming and more dull than chic , as it searches for box office heaven .	2	-3	 its[0] more[0] like[1] a[0] futile[0] commercial[0] film[0] that[0] is[0] more[0] annoying[-2] than[0] charming[1] and[0] more[0] dull[-1] than[0] chic[0] as[0] it[0] searches[0] for[0] box[0] office[0] heaven[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
